time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,7.5,6.4,8.6,0.0,160.0,28.5,986.9
2021-01-02,7.1,6.1,8.2,0.0,188.0,37.2,978.5
2021-01-03,6.6,5.2,8.0,0.0,179.0,32.1,996.1
2021-01-04,6.1,4.4,7.8,0.0,172.0,44.4,989.7
2021-01-05,7.0,5.6,8.4,0.0,206.0,42.8,986.8
2021-01-06,6.7,5.4,8.0,0.0,181.0,22.5,1003.8
2021-01-07,8.3,6.6,9.0,0.4,154.0,58.4,1006.8
2021-01-08,7.6,5.6,9.5,0.0,166.0,43.3,1008.1
2021-01-09,6.7,5.3,8.2,0.0,146.0,77.3,1007.1
2021-01-10,8.1,7.0,9.3,0.0,163.0,42.8,998.6
2021-01-11,7.4,6.2,8.7,0.0,164.0,41.5,995.9
2021-01-12,5.9,3.4,8.1,0.0,203.0,22.1,993.9
2021-01-13,5.3,2.8,7.7,0.0,198.0,17.0,1016.0
2021-01-14,7.6,6.1,9.0,0.0,156.0,70.5,1007.7
2021-01-15,7.9,6.5,9.0,0.0,192.0,26.7,1017.1
2021-01-16,9.1,7.5,10.7,0.0,163.0,39.0,1013.9
2021-01-17,8.2,6.6,9.8,0.0,232.0,9.4,1025.9
2021-01-18,7.7,6.2,9.2,0.0,167.0,31.2,1030.4
2021-01-19,7.5,4.4,10.6,0.4,276.0,13.9,1023.6
2021-01-20,4.8,4.1,5.5,0.2,296.0,13.6,1025.2
2021-01-21,4.2,3.1,5.3,0.2,316.0,19.7,1024.7
2021-01-22,4.9,3.9,5.9,0.0,324.0,19.8,1024.4
2021-01-23,4.0,1.6,6.4,0.0,239.0,17.8,1014.3
2021-01-24,4.7,3.2,6.1,0.2,283.0,18.1,1007.7
2021-01-25,3.8,2.6,5.1,0.0,269.0,15.3,1008.9
2021-01-26,3.7,1.2,5.3,0.0,40.0,26.5,1002.0
2021-01-27,2.3,0.7,3.9,0.0,312.0,16.8,1003.3
2021-01-28,1.9,0.5,3.2,0.4,311.0,12.6,1009.3
2021-01-29,4.3,2.0,6.7,0.2,157.0,41.5,996.7
2021-01-30,5.0,3.3,6.8,0.0,152.0,32.1,1000.4
2021-01-31,5.9,4.5,7.2,0.0,143.0,30.0,1003.6
2021-02-01,3.7,1.9,5.6,0.2,269.0,7.7,1005.9
2021-02-02,3.3,1.8,4.8,0.0,270.0,13.8,1002.8
2021-02-03,4.6,2.8,6.5,0.0,229.0,17.3,1016.9
2021-02-04,6.7,4.7,8.8,0.0,243.0,13.3,1017.8
2021-02-05,5.4,4.1,6.7,0.2,296.0,11.5,1024.1
2021-02-06,4.8,3.3,6.3,0.0,296.0,17.7,1018.9
2021-02-07,2.5,0.2,4.8,0.0,316.0,19.0,1021.8
2021-02-08,1.3,-0.8,3.4,0.0,226.0,15.1,1021.4
2021-02-09,-0.4,-3.4,2.5,0.0,340.0,27.8,1023.5
2021-02-10,-4.4,-5.9,-2.8,0.1,18.0,21.5,1027.9
2021-02-11,-3.7,-4.9,-2.5,0.0,86.0,23.6,1024.3
2021-02-12,-0.7,-3.0,1.5,9.5,117.0,46.6,1014.0
2021-02-13,1.9,-0.4,4.2,2.0,124.0,28.0,1008.3
2021-02-14,4.7,3.1,6.3,0.0,142.0,40.9,1000.0
2021-02-15,4.3,3.3,5.3,0.0,307.0,14.5,1003.1
2021-02-16,5.0,3.9,6.1,0.0,322.0,11.7,1019.3
