time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.8,8.9,18.4,,57.0,11.1,1019.5
2021-01-02,11.8,7.0,16.2,,41.0,11.4,1021.3
2021-01-03,12.4,8.5,18.2,,53.0,11.3,1021.1
2021-01-04,11.0,4.0,18.2,,30.0,5.8,1020.9
2021-01-05,11.6,4.8,18.6,,38.0,9.7,1021.0
2021-01-06,10.6,3.0,18.2,,14.0,7.2,1023.8
2021-01-07,10.8,6.0,18.0,,27.0,8.2,1023.2
2021-01-08,9.3,0.8,18.2,,30.0,7.7,1023.0
2021-01-09,8.5,2.2,17.2,,32.0,7.3,1022.2
2021-01-10,8.3,0.0,18.0,,19.0,5.7,1023.6
2021-01-11,9.7,1.0,19.6,,2.0,2.7,1026.2
2021-01-12,10.3,2.0,22.0,,4.0,2.0,1024.8
2021-01-13,10.4,3.0,17.0,,346.0,5.8,1015.4
2021-01-14,9.9,7.0,15.2,,227.0,20.6,1008.5
2021-01-15,9.0,6.8,16.0,,237.0,19.8,1014.1
2021-01-16,7.4,1.0,14.8,,253.0,8.9,1013.5
2021-01-17,8.5,5.7,11.0,,225.0,25.0,1010.1
2021-01-18,9.3,5.0,14.8,,233.0,27.8,1015.0
2021-01-19,7.7,6.0,10.0,,222.0,27.3,1014.4
2021-01-20,5.4,2.0,9.1,,250.0,23.3,1017.1
2021-01-21,2.4,-4.0,9.0,,,5.6,1028.0
2021-01-22,1.9,-4.0,9.7,,22.0,8.3,1029.7
2021-01-23,3.4,-4.0,12.0,,36.0,11.5,1024.6
2021-01-24,4.3,-3.0,14.2,,28.0,10.2,1022.1
2021-01-25,5.7,-2.0,15.2,,6.0,6.4,1021.5
2021-01-26,6.0,-2.0,14.0,,12.0,6.7,1022.2
2021-01-27,8.6,1.0,16.2,,339.0,11.1,1015.3
2021-01-28,10.1,7.0,15.6,,238.0,25.8,1013.2
2021-01-29,7.2,5.0,11.0,,230.0,25.5,1012.9
2021-01-30,8.3,4.0,15.8,,229.0,22.1,1017.6
2021-01-31,10.0,5.0,17.8,,226.0,27.0,1016.5
2021-02-01,9.3,3.3,16.0,,29.0,9.1,1022.8
2021-02-02,13.4,6.0,20.0,,48.0,19.6,1021.5
2021-02-03,13.6,6.2,19.2,,51.0,15.1,1017.6
2021-02-04,12.2,9.0,14.9,,48.0,18.5,1012.9
2021-02-05,11.6,8.8,16.2,,40.0,15.5,1014.1
2021-02-06,10.7,1.0,19.7,,239.0,8.8,1019.9
2021-02-07,10.9,7.7,18.0,,247.0,11.1,1021.9
2021-02-08,10.7,4.0,20.5,,20.0,4.7,1024.5
2021-02-09,12.2,7.0,24.2,,285.0,7.1,1023.2
2021-02-10,9.8,3.0,24.0,,259.0,13.4,1020.2
2021-02-11,4.6,1.0,19.0,,349.0,7.1,1020.5
2021-02-12,10.7,1.0,22.0,,269.0,10.1,1016.1
2021-02-13,9.3,3.0,17.2,,319.0,6.9,1019.0
2021-02-14,11.4,1.0,22.2,,2.0,6.5,1017.7
2021-02-15,11.1,4.9,21.0,,232.0,18.4,1013.3
2021-02-16,9.9,2.5,19.4,,255.0,18.5,1005.8
2021-02-17,3.6,2.0,8.0,,220.0,30.3,1006.4
2021-02-18,4.3,1.0,11.2,,230.0,22.0,1015.3
2021-02-19,4.4,1.2,7.0,,244.0,11.8,1020.6
2021-02-20,4.4,-1.0,12.0,,230.0,9.0,1022.9
2021-02-21,7.0,-2.0,13.4,,28.0,7.2,1024.0
2021-02-22,8.2,4.0,14.0,,48.0,17.3,1025.2
2021-02-23,10.0,5.0,16.2,,43.0,15.5,1023.9
2021-02-24,9.8,-1.0,19.6,,286.0,8.3,1019.9
2021-02-25,9.3,0.0,19.6,,225.0,8.8,1020.9
2021-02-26,10.1,0.0,19.6,,11.0,5.0,1021.1
2021-02-27,10.8,0.0,20.4,,359.0,8.1,1017.6
2021-02-28,12.1,2.0,22.0,,289.0,11.0,1015.4
2021-03-01,10.2,3.7,15.6,,223.0,20.0,1017.5
2021-03-02,8.8,2.6,17.0,,238.0,11.2,1020.1
2021-03-03,8.4,1.0,16.6,,230.0,12.6,1017.9
2021-03-04,7.8,0.4,13.0,,239.0,19.4,1015.2
