time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-19.5,-29.7,-18.6,,304.0,17.6,1011.2
2021-01-02,-10.6,-24.8,-8.2,,307.0,14.0,1012.4
2021-01-03,-17.1,-17.9,-8.5,,299.0,9.8,1001.2
2021-01-04,-15.4,-23.1,-13.4,,301.0,18.5,1001.4
2021-01-05,-14.8,-21.7,-12.2,,298.0,21.8,1014.2
2021-01-06,-18.6,-19.7,-12.8,,310.0,24.7,1026.2
2021-01-07,-23.7,-22.7,-15.3,,315.0,13.7,1020.2
2021-01-08,-24.9,-29.8,-20.1,,298.0,29.6,1019.0
2021-01-09,-21.8,-28.3,-20.7,,322.0,35.5,1024.6
2021-01-10,-18.6,-23.8,-20.0,,316.0,13.5,1020.8
2021-01-11,-24.5,-23.1,-16.1,,313.0,4.5,1014.0
2021-01-12,-26.6,-30.5,-20.7,,312.0,6.0,1016.3
2021-01-13,-24.6,-30.3,-20.8,,321.0,13.8,1013.3
2021-01-14,-20.1,-29.1,-11.0,,288.0,12.4,1009.8
2021-01-15,-23.1,-23.8,-11.6,,317.0,3.9,1014.0
2021-01-16,-24.1,-27.6,-22.2,,300.0,14.7,1014.3
2021-01-17,-17.1,-27.3,-15.5,,295.0,26.6,1018.6
2021-01-18,-15.9,-19.1,-12.2,,301.0,17.2,1023.1
2021-01-19,-15.1,-20.1,-14.5,,294.0,34.9,1028.3
2021-01-20,-18.9,-18.2,-11.0,,316.0,13.8,1031.4
2021-01-21,-23.4,-28.0,-15.7,,334.0,6.4,1029.6
2021-01-22,-20.9,-26.5,-16.0,,331.0,3.6,1031.2
2021-01-23,-15.8,-25.1,-16.4,,355.0,18.1,1033.5
2021-01-24,-14.7,-17.8,-13.3,,330.0,21.4,1034.7
2021-01-25,-20.9,-20.0,-13.4,,349.0,22.2,1038.8
2021-01-26,-18.1,-26.5,-18.7,,309.0,43.2,1038.2
2021-01-27,-18.0,-22.8,-10.6,,315.0,9.0,1033.6
2021-01-28,-17.8,-23.1,-14.0,,311.0,31.9,1021.4
2021-01-29,-12.2,-20.9,-8.2,,8.0,55.0,1028.1
2021-01-30,-15.2,-14.3,-10.5,,313.0,14.4,1024.9
2021-01-31,-22.8,-23.5,-14.0,,296.0,12.7,1015.6
2021-02-01,-25.9,-28.4,-20.1,,303.0,14.0,1015.6
2021-02-02,-23.3,-30.8,-23.5,,287.0,19.1,1015.4
2021-02-03,-22.6,-25.5,-19.5,,283.0,23.6,1025.4
2021-02-04,-19.2,-25.1,-18.7,,319.0,14.4,1033.0
2021-02-05,-20.1,-19.7,-17.0,,350.0,2.7,1039.7
2021-02-06,-23.1,-25.6,-16.7,,302.0,13.3,1042.0
2021-02-07,-27.9,-30.4,-19.7,,329.0,1.8,1043.2
2021-02-08,-18.1,-30.6,-20.0,,310.0,20.2,1044.4
2021-02-09,-14.8,-21.6,-7.7,,300.0,19.0,1039.4
2021-02-10,-20.1,-25.4,-11.1,,338.0,27.8,1036.8
2021-02-11,-28.6,-31.0,-20.0,,306.0,11.5,1037.5
2021-02-12,-25.8,-32.1,-25.7,,293.0,12.9,1030.4
2021-02-13,-27.6,-28.9,-20.5,,316.0,8.6,1021.9
2021-02-14,-26.6,-31.2,-22.2,,310.0,10.9,1012.8
2021-02-15,-21.1,-30.3,-18.6,,297.0,4.2,1004.4
2021-02-16,-10.7,-25.7,-9.0,,317.0,5.5,1002.0
2021-02-17,-10.4,-12.9,-6.2,,310.0,8.3,1005.1
2021-02-18,-9.9,-13.5,-8.4,,22.0,3.3,1010.2
2021-02-19,-9.3,-10.4,-8.1,,3.0,4.2,1009.9
2021-02-20,-5.6,-12.1,-3.0,,8.0,20.9,1009.8
2021-02-21,-3.2,-5.3,-2.9,,2.0,33.6,1006.8
2021-02-22,-5.7,-3.8,-2.3,,353.0,14.1,1001.7
2021-02-23,-15.9,-17.5,-2.4,,325.0,8.2,1003.1
2021-02-24,-17.9,-21.7,-11.9,,294.0,14.5,1003.9
2021-02-25,-15.6,-25.8,-12.6,,288.0,26.8,1006.6
2021-02-26,-18.1,-20.3,-12.2,,294.0,15.6,1008.8
2021-02-27,-25.3,-23.7,-14.6,,351.0,3.4,1003.4
2021-02-28,-25.9,-31.2,-20.8,,356.0,3.0,999.7
2021-03-01,-19.3,-27.3,-18.7,,309.0,20.3,1010.7
2021-03-02,-15.4,-23.6,-12.4,,298.0,22.3,1026.4
2021-03-03,-22.8,-22.2,-13.5,,316.0,12.1,1031.0
2021-03-04,-17.8,-28.5,-16.4,,302.0,34.4,1020.4
2021-03-05,-21.5,-24.5,-11.1,,291.0,44.8,1024.3
2021-03-06,-21.7,-25.3,-17.3,,334.0,12.3,1027.2
2021-03-07,-23.4,-26.4,-18.6,,309.0,13.1,1022.8
2021-03-08,-28.2,-28.7,-20.9,,299.0,14.4,1019.8
2021-03-09,-26.3,-33.0,-25.8,,294.0,12.4,1013.4
2021-03-10,-22.3,-33.0,-19.9,,322.0,23.2,1009.7
2021-03-11,-24.3,-26.6,-19.4,,292.0,10.9,1005.7
2021-03-12,-26.4,-31.1,-20.5,,75.0,5.8,1001.0
2021-03-13,-22.0,-31.7,-18.5,,276.0,7.6,1013.1
2021-03-14,-23.9,-26.9,-20.4,,357.0,28.6,1018.2
2021-03-15,-24.9,-24.4,-23.0,,342.0,32.9,1024.6
2021-03-16,-26.3,-30.3,-23.1,,288.0,24.7,1022.6
2021-03-17,-24.5,-28.8,-23.2,,290.0,8.6,1015.8
2021-03-18,-24.3,-29.0,-21.8,,300.0,7.6,996.4
2021-03-19,-15.4,-26.1,-11.3,,309.0,27.4,1006.4
2021-03-20,-18.0,-20.1,-13.8,,298.0,25.5,1005.8
2021-03-21,-22.8,-25.8,-16.3,,355.0,8.8,998.5
2021-03-22,-20.4,-26.0,-19.4,,336.0,33.5,992.0
2021-03-23,-19.0,-21.4,-19.5,,319.0,29.0,995.1
2021-03-24,-18.6,-21.1,-17.2,,312.0,30.8,1000.8
2021-03-25,-18.9,-19.5,-17.8,,309.0,33.2,1005.3
2021-03-26,-18.9,-19.7,-18.1,,341.0,62.5,1007.3
2021-03-27,-17.4,-20.1,-18.3,,,,
2021-03-28,-12.1,-18.5,-11.3,,349.0,89.9,996.4
2021-03-29,-11.1,-12.7,-10.0,,327.0,56.8,1001.6
2021-03-30,-9.5,-13.1,-7.6,,319.0,14.5,1014.5
