time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,29.7,26.1,33.7,0.4,277.0,11.6,1005.5
2021-01-02,30.4,27.3,33.7,0.0,292.0,20.0,1004.7
2021-01-03,30.5,29.0,33.3,0.0,295.0,23.5,1004.5
2021-01-04,30.8,29.3,33.5,0.0,290.0,24.0,1004.5
2021-01-05,29.4,24.6,33.9,1.4,293.0,13.8,1005.5
2021-01-06,29.2,28.0,34.7,0.4,264.0,14.8,1005.6
2021-01-07,27.7,23.8,33.9,20.8,138.0,9.9,1005.3
2021-01-08,28.3,24.3,33.2,11.0,138.0,7.8,1006.0
2021-01-09,28.2,25.3,32.9,4.4,70.0,9.9,1006.2
2021-01-10,27.4,24.9,32.5,0.2,339.0,8.7,1006.5
2021-01-11,27.2,25.1,32.9,21.2,22.0,8.3,1006.6
2021-01-12,28.4,24.5,34.0,6.0,201.0,10.0,1006.0
2021-01-13,28.9,23.7,33.9,26.6,193.0,8.2,1005.9
2021-01-14,28.6,26.1,32.3,0.2,338.0,6.4,1006.1
2021-01-15,27.6,24.4,32.2,51.4,255.0,8.0,1004.7
2021-01-16,28.2,24.3,32.2,5.8,337.0,8.7,1004.1
2021-01-17,27.6,25.5,33.0,0.0,337.0,10.5,1004.8
2021-01-18,27.0,23.6,30.1,39.4,114.0,13.9,1004.9
2021-01-19,25.9,24.4,29.0,13.4,84.0,13.8,1006.6
2021-01-20,28.2,25.2,31.9,6.4,64.0,12.0,1008.2
2021-01-21,29.2,26.4,33.5,0.4,350.0,8.5,1008.3
2021-01-22,27.6,28.1,31.9,0.0,317.0,10.1,1007.6
2021-01-23,26.5,24.5,31.7,10.2,330.0,7.7,1007.3
2021-01-24,26.5,23.4,30.7,36.4,263.0,15.9,1007.0
2021-01-25,25.1,23.2,28.0,53.2,292.0,15.3,1004.8
2021-01-26,26.4,24.1,30.0,63.4,251.0,12.5,1002.7
2021-01-27,26.7,24.3,31.0,66.6,312.0,20.1,1002.0
2021-01-28,25.9,24.9,27.1,40.0,309.0,16.1,1003.8
2021-01-29,25.9,23.7,28.3,77.4,317.0,14.8,1004.4
2021-01-30,25.9,23.0,28.3,79.4,298.0,15.9,1005.8
2021-01-31,26.7,24.2,28.1,11.6,292.0,18.9,1006.6
2021-02-01,27.6,24.6,30.9,10.4,292.0,17.5,1005.7
2021-02-02,26.3,24.7,29.7,11.0,264.0,12.8,1005.3
2021-02-03,27.5,25.3,29.8,4.4,266.0,14.2,1004.2
2021-02-04,28.3,26.4,31.6,3.4,273.0,17.5,1003.6
2021-02-05,24.8,21.6,29.2,83.8,284.0,10.1,1004.4
2021-02-06,27.6,22.4,31.1,8.0,262.0,14.8,1004.0
2021-02-07,26.5,24.5,30.5,4.6,256.0,14.1,1003.5
2021-02-08,28.0,22.8,30.6,64.0,269.0,19.8,1002.9
2021-02-09,26.9,23.7,30.5,14.0,254.0,12.4,1004.2
2021-02-10,28.1,25.7,31.4,0.0,302.0,11.9,1005.9
2021-02-11,28.7,26.6,31.5,3.6,287.0,15.5,1006.7
2021-02-12,28.7,27.3,32.0,0.0,275.0,16.1,1007.1
2021-02-13,27.2,27.2,31.5,0.0,256.0,15.3,1006.7
2021-02-14,27.0,23.9,30.2,17.0,269.0,10.5,1005.9
2021-02-15,28.4,25.7,32.0,7.6,282.0,13.5,1005.3
2021-02-16,28.3,26.8,32.0,0.6,262.0,16.5,1005.4
2021-02-17,28.0,26.5,32.0,0.2,258.0,8.8,1004.5
2021-02-18,27.5,26.6,33.0,3.2,256.0,9.3,1003.9
2021-02-19,27.4,24.5,30.9,4.6,289.0,10.4,1003.8
2021-02-20,26.7,22.9,31.5,21.2,233.0,12.4,1003.0
2021-02-21,27.5,25.3,30.7,0.2,280.0,11.6,1003.2
2021-02-22,28.5,25.7,32.5,4.0,359.0,13.4,1004.8
2021-02-23,27.4,26.3,32.2,0.0,24.0,10.7,1006.8
2021-02-24,26.3,24.2,32.1,0.6,19.0,10.3,1006.6
2021-02-25,26.7,23.5,31.2,36.0,74.0,9.7,1006.3
2021-02-26,27.8,24.2,32.6,0.0,197.0,9.0,1004.8
2021-02-27,28.3,25.1,32.7,0.0,313.0,10.1,1005.5
2021-02-28,28.3,26.1,32.6,2.8,286.0,9.2,1007.2
2021-03-01,27.5,25.6,32.6,0.0,311.0,9.2,1008.7
