time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-7.7,-11.7,-3.7,5.5,,6.8,1005.3
2021-01-02,-10.9,-15.1,-6.6,0.0,272.0,4.8,992.6
2021-01-03,-5.4,-13.7,3.0,0.0,243.0,31.0,993.2
2021-01-04,-4.6,-11.1,2.0,0.0,203.0,7.1,1003.5
2021-01-05,-5.9,-12.8,1.0,0.0,165.0,9.5,1004.8
2021-01-06,-0.8,-7.4,5.8,0.0,215.0,25.9,1002.0
2021-01-07,-3.6,-9.9,2.8,0.0,215.0,16.7,1020.0
2021-01-08,-6.7,-15.9,2.6,0.0,210.0,4.3,1024.4
2021-01-09,-3.4,-9.4,2.7,0.0,207.0,17.4,1021.7
2021-01-10,0.4,-5.8,6.5,0.0,188.0,13.0,1011.6
2021-01-11,4.0,-0.5,8.4,0.0,188.0,19.3,1003.4
2021-01-12,-1.6,-8.7,5.5,0.0,172.0,12.5,998.8
2021-01-13,-1.2,-4.9,2.6,0.0,267.0,21.6,1005.6
2021-01-14,-1.7,-5.0,1.6,0.0,211.0,14.1,1025.6
2021-01-15,1.1,-4.7,6.8,0.0,228.0,33.4,1011.9
2021-01-16,1.7,-1.2,4.6,0.0,240.0,18.9,1018.0
2021-01-17,1.2,-3.9,6.3,0.0,254.0,21.2,1014.1
2021-01-18,0.6,-3.6,4.8,0.0,251.0,16.5,1026.9
2021-01-19,4.4,-0.2,8.9,0.0,226.0,31.1,1006.8
2021-01-20,-1.8,-5.3,1.8,0.0,275.0,20.8,1016.3
2021-01-21,-6.1,-11.0,-1.1,0.0,270.0,10.8,1024.9
2021-01-22,-8.6,-13.4,-3.7,0.0,286.0,10.6,1023.3
2021-01-23,-10.9,-15.4,-6.4,0.0,17.0,7.5,1019.5
2021-01-24,-13.3,-15.1,-11.5,0.0,36.0,8.1,1014.2
2021-01-25,-16.6,-19.4,-13.8,0.0,29.0,6.8,1020.3
2021-01-26,-19.3,-22.5,-16.0,0.2,12.0,6.8,1020.6
2021-01-27,-21.3,-25.6,-17.0,0.0,303.0,11.4,1028.0
2021-01-28,-23.4,-27.2,-19.5,0.0,86.0,6.5,1024.9
2021-01-29,-22.6,-29.1,-16.0,0.0,207.0,4.1,1016.3
2021-01-30,-18.8,-24.3,-13.3,0.0,170.0,2.7,1018.8
2021-01-31,-16.4,-21.9,-10.8,2.8,47.0,4.5,1020.9
2021-02-01,-15.4,-20.0,-10.8,0.5,311.0,9.3,1022.3
2021-02-02,-20.1,-22.6,-17.6,6.0,298.0,14.5,1026.8
2021-02-03,-20.6,-25.4,-15.7,0.0,318.0,6.3,1027.1
2021-02-04,-21.1,-24.3,-17.8,0.3,340.0,7.5,1026.4
2021-02-05,-21.5,-24.7,-18.3,0.6,329.0,7.5,1032.9
2021-02-06,-31.9,-39.2,-24.5,0.0,311.0,4.0,1038.7
2021-02-07,-35.2,-42.2,-28.1,0.0,245.0,3.8,1038.8
2021-02-08,-31.3,-35.7,-26.9,0.0,296.0,12.4,1047.0
2021-02-09,-32.5,-36.6,-28.3,0.0,291.0,14.9,1049.6
2021-02-10,-28.0,-32.8,-23.2,0.0,291.0,11.7,1048.9
2021-02-11,-29.3,-35.2,-23.4,0.0,267.0,10.5,1055.5
2021-02-12,-20.3,-28.0,-13.9,0.0,205.0,5.0,1039.8
2021-02-13,-29.0,-34.0,-19.3,0.0,289.0,4.2,1037.6
2021-02-14,-26.3,-32.9,-20.3,0.0,51.0,4.5,1025.6
2021-02-15,-17.7,-20.1,-15.8,0.2,43.0,6.6,1012.7
2021-02-16,-20.5,-28.1,-12.8,0.2,280.0,5.8,1018.7
2021-02-17,-17.7,-29.3,-6.0,0.0,230.0,4.2,1029.7
2021-02-18,-12.8,-21.8,-3.7,0.0,177.0,8.2,1016.5
2021-02-19,-4.7,-12.4,3.0,0.0,232.0,26.1,1001.8
2021-02-20,0.2,-1.1,1.4,0.0,238.0,31.9,1000.1
2021-02-21,4.1,0.9,7.3,0.0,235.0,35.7,990.0
2021-02-22,2.8,0.6,5.0,0.0,254.0,28.5,1000.8
2021-02-23,-0.1,-3.3,3.1,0.0,270.0,19.4,1012.7
2021-02-24,-1.2,-4.6,2.2,0.0,251.0,17.3,1018.6
2021-02-25,-5.4,-15.2,4.4,0.0,273.0,18.1,1000.1
