time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.2,25.0,30.6,,278.0,10.7,1008.1
2021-01-02,27.7,24.7,30.2,,265.0,11.9,1008.0
2021-01-03,26.8,24.7,30.2,46.0,273.0,14.3,1007.7
2021-01-04,26.9,23.8,29.2,,270.0,14.3,1007.3
2021-01-05,26.7,24.6,28.8,,274.0,11.8,1007.4
2021-01-06,27.7,25.4,30.9,,273.0,10.2,1007.2
2021-01-07,26.4,24.4,28.3,,280.0,13.4,1006.9
2021-01-08,25.5,24.2,28.2,8.9,275.0,12.2,1007.3
2021-01-09,27.4,24.5,30.2,,277.0,11.4,1006.6
2021-01-10,27.9,25.0,30.4,,274.0,8.0,1006.5
2021-01-11,27.7,25.4,31.3,,292.0,7.8,1007.2
2021-01-12,27.9,25.4,30.8,,273.0,8.5,1007.7
2021-01-13,27.3,24.8,29.1,,272.0,13.0,1008.1
2021-01-14,28.3,25.7,30.8,,261.0,16.7,1008.5
2021-01-15,26.4,24.1,28.7,,262.0,17.5,1007.6
2021-01-16,25.1,23.9,28.2,,274.0,19.5,1006.8
2021-01-17,27.2,24.2,29.9,,283.0,14.5,1006.8
2021-01-18,27.3,25.2,29.6,,264.0,11.8,1007.6
2021-01-19,27.4,24.9,29.9,,273.0,9.5,1008.3
2021-01-20,27.5,25.8,29.6,,275.0,9.8,1008.6
2021-01-21,26.9,23.6,29.5,,271.0,13.2,1008.3
2021-01-22,25.7,24.0,28.6,,277.0,14.7,1008.5
2021-01-23,26.1,24.2,28.6,10.9,278.0,14.6,1008.8
2021-01-24,27.4,25.0,30.0,,284.0,12.9,1009.2
2021-01-25,26.3,25.2,28.1,22.1,276.0,15.2,1009.0
2021-01-26,27.2,24.8,30.5,,275.0,17.6,1007.5
2021-01-27,27.7,24.5,30.0,,277.0,23.6,1006.4
2021-01-28,28.6,25.6,31.2,,279.0,20.4,1006.4
2021-01-29,27.5,25.4,31.0,,273.0,16.5,1006.3
2021-01-30,27.2,24.6,30.2,,274.0,19.4,1007.3
2021-01-31,28.1,24.8,30.5,,273.0,21.2,1008.4
2021-02-01,27.7,24.9,31.0,,273.0,19.2,1008.5
2021-02-02,28.0,25.0,30.6,,274.0,15.3,1008.1
2021-02-03,27.4,23.9,30.0,,271.0,19.8,1008.2
2021-02-04,27.9,24.0,30.9,,272.0,16.4,1008.0
2021-02-05,27.7,24.7,30.0,,272.0,13.5,1007.6
2021-02-06,26.1,25.1,29.1,,288.0,9.3,1007.6
2021-02-07,27.8,24.7,31.7,,337.0,9.0,1007.1
2021-02-08,26.8,24.7,29.6,,276.0,9.3,1007.5
2021-02-09,27.7,24.6,31.2,,266.0,8.9,1007.3
2021-02-10,28.6,25.0,29.7,,274.0,14.4,1007.7
2021-02-11,27.7,26.3,29.0,,268.0,11.6,1007.9
2021-02-12,27.7,26.2,29.1,,270.0,11.4,1008.9
2021-02-13,26.0,25.6,30.4,,272.0,11.1,1010.3
2021-02-14,27.9,23.7,30.3,,272.0,11.7,1010.3
2021-02-15,27.7,25.2,30.2,,273.0,10.4,1009.5
2021-02-16,28.8,24.9,31.2,,268.0,9.5,1008.7
2021-02-17,28.3,25.4,31.0,,272.0,18.5,1009.1
2021-02-18,27.8,26.4,31.0,,276.0,19.5,1008.5
2021-02-19,28.4,24.6,30.0,,272.0,12.4,1008.6
2021-02-20,27.1,25.7,28.5,,270.0,13.3,1009.5
2021-02-21,27.8,26.1,30.2,,268.0,13.0,1009.7
2021-02-22,26.6,26.6,30.0,,270.0,18.0,1008.5
2021-02-23,26.5,22.3,29.2,,281.0,19.7,1006.6
2021-02-24,27.7,23.6,31.5,,289.0,15.1,1004.8
2021-02-25,28.6,25.2,32.1,,345.0,8.3,1006.0
2021-02-26,28.4,26.3,32.2,,274.0,7.8,1007.0
2021-02-27,26.0,24.0,28.2,,272.0,9.9,1008.4
2021-02-28,25.9,25.2,29.4,30.0,275.0,10.1,1009.8
2021-03-01,27.9,23.0,30.4,,280.0,8.2,1010.2
2021-03-02,28.1,23.6,31.8,,294.0,7.1,1009.5
2021-03-03,27.7,24.5,32.2,,57.0,6.4,1009.9
2021-03-04,26.6,24.1,30.8,,285.0,10.7,1010.8
2021-03-05,26.9,23.6,28.8,,276.0,14.0,1010.6
2021-03-06,27.0,24.2,30.4,,297.0,7.6,1010.1
2021-03-07,27.4,24.8,30.2,,296.0,7.8,1010.1
2021-03-08,27.6,24.2,29.7,,273.0,9.5,1009.9
2021-03-09,25.8,23.9,29.2,,289.0,12.0,1010.2
2021-03-10,27.2,24.4,30.7,,288.0,8.7,1010.1
2021-03-11,27.9,24.0,30.8,,283.0,7.0,1010.3
2021-03-12,26.4,25.7,28.8,,272.0,7.5,1010.8
2021-03-13,28.2,24.3,35.1,,284.0,11.2,1010.4
2021-03-14,28.5,25.1,35.5,,288.0,10.6,1009.1
2021-03-15,26.9,24.2,30.2,,283.0,6.3,1009.5
2021-03-16,27.4,24.2,31.0,,72.0,5.9,1009.4
2021-03-17,27.1,24.5,31.3,,321.0,6.6,1008.7
2021-03-18,27.4,23.7,31.0,,297.0,8.2,1007.7
2021-03-19,28.3,23.7,31.0,,274.0,17.4,1006.8
2021-03-20,28.3,24.0,30.6,,278.0,18.8,1005.6
2021-03-21,28.9,27.1,30.9,,281.0,16.5,1005.8
2021-03-22,28.5,27.1,31.0,,275.0,14.0,1007.6
2021-03-23,28.2,25.1,30.7,,276.0,9.8,1008.2
2021-03-24,28.1,24.9,30.4,,278.0,8.0,1007.9
2021-03-25,27.9,25.4,30.8,,316.0,6.6,1007.9
2021-03-26,28.2,25.3,31.4,,338.0,6.1,1008.2
2021-03-27,28.9,25.3,31.7,,85.0,6.9,1008.0
2021-03-28,27.5,24.7,30.2,,114.0,6.5,1008.0
