time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-24.4,-25.4,-23.3,,136.0,24.3,1010.6
2021-01-02,-27.4,-30.7,-24.2,0.1,123.0,19.3,1006.5
2021-01-03,-27.4,-30.4,-24.4,0.0,110.0,20.3,1007.7
2021-01-04,-26.9,-30.1,-23.8,0.0,137.0,23.1,1011.8
2021-01-05,-27.5,-31.3,-23.8,0.0,102.0,18.1,1023.1
2021-01-06,-29.1,-34.5,-23.6,0.0,348.0,16.0,1024.6
2021-01-07,-29.6,-34.6,-24.5,0.0,190.0,17.7,1039.8
2021-01-08,-22.5,-26.1,-18.8,0.2,125.0,36.5,1026.9
2021-01-09,-16.8,-19.1,-14.6,0.2,99.0,30.5,1010.6
2021-01-10,-15.5,-16.7,-14.3,0.5,87.0,29.8,1005.0
2021-01-11,-18.0,-19.5,-16.5,0.2,98.0,20.6,1005.4
2021-01-12,-18.1,-19.5,-16.8,0.0,77.0,10.0,1006.5
2021-01-13,-19.5,-21.5,-17.4,0.0,44.0,9.7,1006.3
2021-01-14,-22.9,-27.1,-18.7,0.0,55.0,13.0,1011.4
2021-01-15,-21.8,-24.7,-19.0,0.7,110.0,42.9,1006.6
2021-01-16,-16.7,-20.4,-13.0,0.5,89.0,42.8,1002.0
2021-01-17,-18.8,-25.4,-12.2,5.9,186.0,20.9,1008.8
2021-01-18,-22.1,-27.0,-17.2,0.0,81.0,24.8,1020.4
2021-01-19,-14.0,-18.0,-10.0,2.4,70.0,46.8,1006.4
2021-01-20,-13.1,-18.1,-8.2,2.0,133.0,26.6,1011.6
2021-01-21,-10.4,-15.2,-5.5,0.0,92.0,26.6,1023.6
2021-01-22,-8.1,-10.1,-6.2,0.0,97.0,45.2,1024.0
2021-01-23,-7.4,-9.2,-5.6,0.0,70.0,16.9,1030.9
2021-01-24,-9.7,-13.4,-6.0,0.0,67.0,28.1,1032.6
2021-01-25,-11.9,-14.4,-9.4,0.0,81.0,17.0,1031.3
2021-01-26,-11.3,-14.4,-9.4,0.0,246.0,7.8,1025.7
2021-01-27,-21.0,-22.5,-18.6,0.0,57.0,5.4,1026.5
2021-01-28,-17.1,-19.4,-14.8,0.0,41.0,13.3,1026.5
2021-01-29,-18.8,-22.5,-15.1,0.0,344.0,20.5,1026.8
2021-01-30,-21.3,-23.4,-19.2,0.0,286.0,16.5,1028.0
2021-01-31,-27.5,-34.7,-20.2,1.7,222.0,25.2,1018.2
2021-02-01,-35.9,-37.8,-33.9,0.0,264.0,23.3,1022.9
2021-02-02,-30.9,-35.0,-26.8,0.0,274.0,12.7,1030.4
2021-02-03,-29.2,-31.5,-27.0,0.0,115.0,21.4,1027.9
2021-02-04,-26.7,-30.3,-23.0,1.1,100.0,35.0,1021.9
2021-02-05,-16.1,-23.0,-9.1,7.0,99.0,39.8,1015.7
2021-02-06,-9.9,-12.5,-7.4,1.3,139.0,41.7,1021.2
2021-02-07,-7.0,-9.8,-4.2,0.0,85.0,39.8,1027.1
2021-02-08,-10.7,-13.8,-7.6,0.0,86.0,26.0,1028.6
2021-02-09,-12.3,-14.6,-10.0,0.0,65.0,20.8,1030.9
2021-02-10,-13.7,-19.0,-8.5,0.0,57.0,14.0,1028.6
2021-02-11,-19.5,-24.3,-14.7,0.0,321.0,25.8,1013.9
2021-02-12,-25.1,-28.7,-21.5,0.0,48.0,11.4,1010.2
2021-02-13,-24.4,-27.9,-20.8,0.0,306.0,14.6,1008.7
2021-02-14,-27.7,-29.2,-26.1,0.1,132.0,13.5,1005.7
2021-02-15,-26.1,-27.8,-24.5,0.3,147.0,9.9,1001.0
2021-02-16,-28.8,-31.5,-26.1,0.2,218.0,17.5,1003.8
2021-02-17,-30.8,-35.8,-25.7,0.5,182.0,18.7,1005.7
2021-02-18,-34.6,-36.3,-32.8,0.0,180.0,15.9,1007.8
2021-02-19,-32.8,-35.6,-29.9,0.0,153.0,16.2,1010.7
2021-02-20,-29.0,-31.9,-26.2,0.0,152.0,12.6,1011.7
2021-02-21,-24.4,-27.7,-21.1,0.7,115.0,33.8,1002.1
2021-02-22,-20.6,-22.0,-19.1,1.1,110.0,34.2,994.2
2021-02-23,-16.3,-20.6,-12.1,3.8,117.0,40.1,993.7
2021-02-24,-19.5,-27.2,-11.9,2.6,188.0,19.0,997.4
2021-02-25,-25.3,-28.6,-22.0,0.1,341.0,14.1,1003.0
2021-02-26,-27.1,-32.1,-22.1,2.4,104.0,17.3,996.5
2021-02-27,-33.8,-37.5,-30.3,0.3,143.0,17.3,996.1
2021-02-28,-36.1,-37.2,-34.3,0.0,134.0,20.5,1003.7
2021-03-01,-31.2,-34.3,-28.8,1.1,131.0,30.1,1013.4
2021-03-02,-24.4,-32.1,-16.8,2.9,125.0,32.0,1004.2
2021-03-03,-29.6,-34.9,-24.4,0.0,263.0,16.9,1032.6
2021-03-04,-24.0,-26.1,-21.9,0.0,56.0,19.7,1036.2
2021-03-05,-27.8,-30.0,-25.6,0.0,53.0,10.9,1028.2
2021-03-06,-27.9,-30.0,-25.9,0.0,47.0,15.5,1025.6
2021-03-07,-22.6,-26.6,-18.7,0.0,81.0,25.5,1020.5
2021-03-08,-20.4,-22.7,-18.1,4.4,139.0,38.3,1006.1
2021-03-09,-18.5,-20.9,-16.9,3.0,157.0,30.3,998.2
2021-03-10,-23.4,-28.5,-21.6,0.1,265.0,14.7,1001.7
