time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.8,,,,,,
2021-01-02,27.7,20.0,36.0,0.0,17.0,11.2,1011.5
2021-01-03,27.0,18.0,36.0,0.0,14.0,8.3,1011.3
2021-01-04,27.7,19.0,38.0,0.0,27.0,6.8,1011.2
2021-01-05,29.1,20.0,38.0,0.0,28.0,7.7,1010.8
2021-01-06,29.9,22.0,40.0,0.0,39.0,7.4,1011.0
2021-01-07,29.5,21.0,41.0,0.0,33.0,6.3,1011.2
2021-01-08,27.6,19.0,38.0,0.0,8.0,11.4,1011.7
2021-01-09,24.9,19.0,32.0,0.0,4.0,15.2,1013.0
2021-01-10,24.4,18.6,31.0,0.0,20.0,15.4,1013.5
2021-01-11,23.8,19.0,29.5,0.0,28.0,15.0,1013.4
2021-01-12,25.7,19.8,32.0,0.0,23.0,11.6,1014.1
2021-01-13,25.9,18.0,34.0,0.0,26.0,11.1,1014.3
2021-01-14,27.2,19.0,37.5,0.0,33.0,11.4,1013.2
2021-01-15,27.2,19.0,36.0,0.0,42.0,11.7,1012.3
2021-01-16,25.4,20.0,31.6,0.0,30.0,7.8,1011.7
2021-01-17,25.3,20.0,32.0,0.0,45.0,11.7,1012.0
2021-01-18,24.2,18.0,32.0,0.0,43.0,9.4,1013.0
2021-01-19,25.8,17.0,35.5,0.0,38.0,7.5,1013.2
2021-01-20,26.1,17.0,37.0,0.0,33.0,7.5,1012.5
2021-01-21,28.5,20.0,39.0,0.0,39.0,9.3,1011.9
2021-01-22,26.9,18.8,35.8,0.0,44.0,9.1,1013.1
2021-01-23,27.3,19.0,37.4,0.0,46.0,8.5,1013.0
2021-01-24,25.7,15.0,37.0,0.0,51.0,8.1,1011.9
2021-01-25,26.1,15.0,38.1,0.0,41.0,7.2,1011.3
2021-01-26,26.2,17.0,39.6,0.0,39.0,7.2,1011.8
2021-01-27,26.4,15.8,38.5,0.0,29.0,5.6,1011.4
2021-01-28,26.8,16.1,38.6,0.0,36.0,6.7,1011.2
2021-01-29,25.9,18.0,36.8,0.0,31.0,6.9,1012.1
2021-01-30,26.6,17.0,38.5,0.0,26.0,6.6,1012.1
2021-01-31,26.3,17.6,37.1,0.0,37.0,9.3,1011.9
2021-02-01,28.4,19.0,38.0,0.0,37.0,8.1,1011.3
2021-02-02,27.9,17.0,38.5,0.0,27.0,6.0,1011.5
2021-02-03,27.9,18.0,38.4,0.0,22.0,6.0,1011.9
2021-02-04,26.6,21.0,35.7,0.0,358.0,11.3,1011.8
2021-02-05,22.9,19.0,28.0,0.0,359.0,15.6,1013.5
2021-02-06,21.4,18.0,25.4,0.0,16.0,15.4,1015.3
2021-02-07,23.9,15.0,32.4,0.0,29.0,13.0,1013.5
2021-02-08,25.7,18.0,33.5,0.0,39.0,10.3,1012.6
2021-02-09,27.1,21.0,34.6,0.0,30.0,8.8,1012.0
2021-02-10,22.4,20.0,36.0,0.0,27.0,9.1,1011.5
2021-02-11,28.4,18.0,39.0,0.0,15.0,8.5,1011.3
2021-02-12,28.7,20.0,39.0,0.0,18.0,10.2,1010.6
2021-02-13,33.4,20.0,39.0,0.0,18.0,12.1,1009.9
2021-02-14,29.6,21.0,40.0,0.0,23.0,8.4,1008.9
2021-02-15,30.2,24.0,39.2,0.0,28.0,7.8,1008.8
2021-02-16,30.3,22.0,39.0,0.0,17.0,6.1,1009.3
2021-02-17,28.8,24.1,32.4,0.0,5.0,7.3,1010.7
2021-02-18,28.5,23.0,37.0,0.0,9.0,6.0,1012.2
2021-02-19,25.2,22.4,36.0,0.0,5.0,10.3,1013.2
2021-02-20,28.0,21.0,38.0,0.0,3.0,10.3,1013.7
2021-02-21,29.7,20.0,37.1,0.0,16.0,12.1,1012.5
2021-02-22,29.2,20.0,39.8,0.0,25.0,11.4,1011.5
2021-02-23,31.1,24.0,40.0,0.0,35.0,10.8,1011.5
2021-02-24,30.9,22.0,40.0,0.0,25.0,8.5,1012.3
2021-02-25,29.4,20.0,39.8,0.0,31.0,9.8,1011.9
2021-02-26,29.9,24.0,36.0,0.0,47.0,15.2,1011.9
2021-02-27,27.0,20.0,34.4,0.0,23.0,10.7,1011.3
2021-02-28,26.4,17.6,34.4,0.0,15.0,13.1,1010.5
2021-03-01,26.3,17.0,35.6,0.0,11.0,12.0,1010.4
2021-03-02,29.0,20.0,39.3,0.0,20.0,9.9,1010.0
2021-03-03,32.2,23.4,40.8,0.0,28.0,11.5,1010.2
2021-03-04,30.3,23.0,39.2,0.0,17.0,11.6,1010.2
2021-03-05,30.4,21.0,40.0,0.0,6.0,10.3,1009.2
2021-03-06,31.4,22.0,41.5,0.0,3.0,9.9,1010.0
2021-03-07,29.6,21.0,39.8,0.0,12.0,11.8,1011.8
2021-03-08,27.6,21.0,38.0,0.0,6.0,14.5,1011.3
2021-03-09,27.8,19.0,36.0,0.0,11.0,13.7,1011.1
2021-03-10,27.4,20.0,36.0,0.0,19.0,13.0,1010.9
2021-03-11,27.7,18.9,36.0,0.0,30.0,11.5,1010.9
2021-03-12,27.9,19.2,37.0,0.0,39.0,10.3,1010.4
2021-03-13,28.9,21.5,37.0,0.0,45.0,10.8,1010.6
2021-03-14,30.1,20.0,40.0,0.0,24.0,7.4,1011.2
2021-03-15,29.1,21.9,40.0,0.0,1.0,9.3,1010.6
2021-03-16,27.8,19.0,39.0,0.0,346.0,7.1,1009.6
2021-03-17,25.6,17.5,37.0,0.0,322.0,8.2,1010.0
2021-03-18,25.1,16.4,37.0,0.0,319.0,8.6,1009.5
2021-03-19,24.6,17.0,35.0,0.0,313.0,10.4,1009.6
2021-03-20,26.2,18.0,38.0,0.0,351.0,10.4,1009.6
2021-03-21,26.6,19.0,38.0,0.0,353.0,11.6,1010.3
2021-03-22,26.3,18.1,38.0,0.0,351.0,13.4,1010.1
2021-03-23,27.2,18.9,38.0,0.0,354.0,10.6,1012.0
2021-03-24,29.0,21.0,40.0,0.0,1.0,14.8,1012.4
2021-03-25,29.5,21.2,41.0,0.0,10.0,14.7,1010.9
2021-03-26,28.6,21.0,40.0,0.0,8.0,13.1,1011.0
2021-03-27,27.7,20.0,40.0,0.0,2.0,14.3,1010.1
2021-03-28,26.7,19.0,39.0,0.0,2.0,17.2,1010.4
2021-03-29,26.7,18.0,39.0,0.0,353.0,14.0,1010.1
2021-03-30,25.5,19.5,35.0,0.0,334.0,13.3,1010.2
2021-03-31,25.9,18.8,37.0,0.0,344.0,13.2,1009.7
2021-04-01,28.8,20.0,42.4,0.0,358.0,13.6,1008.8
