time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,19.2,16.3,21.0,,220.0,19.4,1021.5
2021-01-02,21.2,16.8,24.5,,47.0,20.0,1023.2
2021-01-03,18.3,12.7,24.5,,22.0,9.7,1014.7
2021-01-04,11.9,9.5,22.5,,222.0,13.7,1010.7
2021-01-05,14.6,8.9,18.9,,237.0,19.8,1008.0
2021-01-06,16.0,14.3,19.4,,188.0,12.7,1014.5
2021-01-07,12.9,9.2,19.4,1.0,42.0,20.8,1014.1
2021-01-08,13.9,10.3,16.4,0.0,208.0,16.4,1010.7
2021-01-09,12.9,7.5,16.7,0.3,35.0,16.1,1006.8
2021-01-10,16.2,13.4,17.6,0.0,202.0,17.4,1014.1
2021-01-11,17.5,15.9,20.7,7.1,64.0,15.2,1014.9
2021-01-12,18.4,14.9,21.7,5.1,105.0,10.9,1015.1
2021-01-13,16.8,13.2,21.7,0.0,90.0,10.3,1015.8
2021-01-14,15.7,12.9,19.3,,61.0,17.1,1011.2
2021-01-15,16.1,13.4,19.3,4.1,61.0,14.8,1003.9
2021-01-16,14.5,9.4,18.4,0.0,240.0,28.0,1006.6
2021-01-17,14.8,13.0,18.4,1.0,239.0,23.5,1012.0
2021-01-18,11.9,10.3,17.3,1.0,66.0,14.1,1014.2
2021-01-19,15.3,11.0,20.7,0.0,57.0,24.2,1008.5
2021-01-20,16.6,13.8,20.0,0.5,167.0,15.2,1018.5
2021-01-21,14.4,11.5,20.0,19.1,53.0,21.8,1015.0
2021-01-22,10.2,7.1,18.6,3.0,50.0,16.2,1011.5
2021-01-23,12.1,9.9,14.5,1.0,13.0,14.4,1005.4
2021-01-24,17.2,13.2,18.6,8.9,229.0,19.4,1017.0
2021-01-25,13.9,11.4,18.6,5.1,50.0,18.5,1018.2
2021-01-26,13.5,9.3,16.6,0.0,239.0,14.1,1010.0
2021-01-27,14.4,10.2,20.6,,256.0,14.9,1012.2
2021-01-28,20.4,17.0,24.0,,233.0,12.5,1016.8
2021-01-29,21.6,16.0,25.0,,238.0,13.1,1015.0
2021-01-30,15.3,12.6,17.8,1.0,235.0,13.2,1012.9
2021-01-31,22.6,19.0,27.0,,231.0,9.4,1006.7
2021-02-01,17.6,13.7,20.7,7.1,216.0,17.0,1017.4
2021-02-02,20.6,15.6,25.0,,45.0,20.6,1019.5
2021-02-03,16.4,11.2,21.8,,255.0,10.7,1011.6
2021-02-04,17.3,14.3,21.8,6.1,212.0,12.4,1014.6
2021-02-05,17.1,14.7,21.1,0.0,87.0,10.4,1017.1
2021-02-06,20.2,13.2,23.7,0.5,60.0,11.5,1013.0
2021-02-07,22.4,19.0,25.0,,230.0,15.6,1012.2
2021-02-08,16.2,12.5,24.0,6.1,235.0,16.4,1014.2
2021-02-09,14.3,11.9,20.6,0.0,47.0,11.7,1014.8
2021-02-10,14.2,12.9,17.5,2.0,55.0,11.4,1014.4
2021-02-11,24.9,21.6,29.0,,39.0,16.6,1011.6
2021-02-12,25.8,22.0,32.0,,37.0,12.4,1007.4
2021-02-13,11.8,10.7,14.0,,355.0,10.6,1006.9
2021-02-14,12.5,10.7,14.9,,234.0,18.4,1007.0
2021-02-15,12.2,11.3,15.5,1.0,241.0,31.6,1013.0
2021-02-16,12.2,10.7,15.5,0.8,193.0,12.8,1019.9
2021-02-17,12.8,11.1,14.7,0.0,36.0,17.4,1011.8
2021-02-18,11.8,9.2,14.3,0.0,242.0,23.0,1011.1
2021-02-19,12.6,8.8,14.9,,91.0,11.1,1013.8
2021-02-20,21.4,19.0,24.0,,248.0,18.8,1010.2
2021-02-21,20.2,17.7,23.0,,239.0,22.9,1013.6
2021-02-22,19.3,16.6,23.3,1.0,19.0,16.7,1017.6
2021-02-23,19.7,16.7,23.3,0.3,249.0,17.3,1013.7
2021-02-24,18.6,17.6,23.0,0.0,234.0,11.7,1015.1
2021-02-25,20.1,17.7,23.6,10.9,243.0,12.5,1014.1
2021-02-26,20.4,18.8,23.6,0.3,254.0,16.1,1017.3
2021-02-27,20.0,19.3,23.6,0.0,35.0,11.9,1018.3
2021-02-28,18.2,15.8,20.7,54.1,54.0,21.1,1018.5
2021-03-01,12.5,10.9,20.7,23.1,49.0,25.6,1015.9
2021-03-02,12.6,10.4,15.3,1.0,43.0,14.9,1013.5
2021-03-03,15.1,12.7,18.5,0.0,255.0,12.5,1012.0
2021-03-04,16.6,11.8,19.7,,236.0,13.1,1011.4
2021-03-05,12.6,9.9,19.7,18.0,230.0,15.4,1015.4
2021-03-06,10.9,8.9,13.2,0.8,39.0,19.8,1013.3
2021-03-07,12.7,9.9,13.7,0.0,231.0,17.0,1013.8
2021-03-08,13.6,12.4,14.6,54.1,249.0,19.8,1009.9
2021-03-09,12.6,10.0,16.5,7.9,1.0,13.1,1006.7
2021-03-10,13.0,10.7,16.5,0.0,225.0,13.2,1004.6
2021-03-11,12.6,11.5,14.6,2.0,199.0,13.2,1014.5
2021-03-12,12.4,11.1,14.6,0.5,42.0,19.4,1013.2
2021-03-13,12.7,11.5,15.1,0.5,26.0,12.9,1009.1
2021-03-14,13.4,11.0,15.4,0.0,251.0,16.5,1014.4
2021-03-15,16.7,14.1,18.1,,277.0,13.1,1010.7
2021-03-16,14.7,7.2,23.4,14.0,239.0,13.2,1015.5
2021-03-17,12.6,7.2,23.4,19.1,29.0,8.0,1014.1
2021-03-18,15.9,13.0,20.9,0.0,22.0,13.8,1012.9
2021-03-19,19.7,16.5,25.1,0.0,242.0,17.9,1015.8
2021-03-20,22.2,19.3,29.0,0.3,257.0,11.0,1014.5
2021-03-21,18.7,15.3,29.0,4.1,244.0,23.7,1017.4
2021-03-22,17.3,14.9,26.1,13.0,254.0,12.6,1019.9
2021-03-23,17.0,12.8,28.3,64.0,52.0,17.4,1021.1
2021-03-24,14.1,11.0,28.3,5.1,51.0,14.1,1019.0
2021-03-25,13.1,10.3,23.3,0.0,43.0,11.5,1014.7
2021-03-26,11.6,9.3,15.6,0.5,38.0,15.4,1011.0
2021-03-27,15.7,11.7,19.2,0.0,243.0,23.3,1015.9
2021-03-28,15.3,13.0,19.2,,61.0,13.1,1022.5
2021-03-29,11.2,7.8,16.6,,55.0,19.3,1018.6
2021-03-30,9.1,7.0,13.5,2.0,38.0,17.8,1014.4
2021-03-31,11.9,6.7,15.0,0.3,241.0,18.5,1013.1
2021-04-01,13.6,10.4,17.1,4.1,251.0,13.2,1018.7
2021-04-02,13.3,12.3,17.1,9.9,264.0,16.2,1018.1
2021-04-03,10.8,9.0,15.6,9.9,356.0,14.9,1022.3
2021-04-04,9.8,7.3,13.1,0.0,13.0,9.4,1017.4
2021-04-05,11.3,9.6,13.1,,226.0,13.0,1019.5
2021-04-06,11.3,10.7,12.5,,26.0,9.5,1022.4
2021-04-07,12.8,9.6,16.3,0.0,256.0,13.2,1018.2
2021-04-08,9.4,7.4,16.3,10.9,249.0,11.6,1020.5
2021-04-09,10.2,6.6,12.8,8.9,246.0,9.5,1018.6
2021-04-10,14.7,11.4,17.0,0.8,351.0,7.5,1015.5
2021-04-11,13.7,10.8,17.0,1.0,248.0,10.1,1018.5
2021-04-12,11.8,9.3,16.2,8.9,35.0,12.6,1022.0
2021-04-13,11.9,9.1,15.5,0.0,347.0,9.1,1020.5
2021-04-14,14.4,11.5,15.8,1.0,238.0,15.0,1019.3
2021-04-15,14.6,11.8,18.1,7.1,256.0,17.6,1019.4
2021-04-16,12.9,11.5,18.1,2.0,200.0,14.1,1028.6
2021-04-17,10.8,8.9,15.6,7.1,26.0,16.6,1023.0
2021-04-18,10.6,8.1,13.3,1.0,7.0,10.6,1016.3
2021-04-19,13.0,10.4,15.8,0.0,222.0,20.0,1022.9
2021-04-20,13.5,11.1,15.8,0.3,45.0,13.7,1026.4
2021-04-21,11.2,9.0,15.1,36.1,32.0,10.8,1018.4
2021-04-22,9.6,7.9,12.8,0.5,41.0,10.9,1021.3
2021-04-23,9.8,7.7,12.2,7.9,42.0,15.8,1019.9
2021-04-24,11.5,8.6,13.3,1.0,22.0,10.5,1016.2
2021-04-25,12.9,11.6,14.4,1.0,9.0,11.1,1014.2
2021-04-26,11.6,9.7,14.4,2.0,12.0,11.6,1011.2
2021-04-27,8.8,6.0,12.7,3.0,251.0,19.5,1011.5
2021-04-28,11.1,6.0,14.0,0.0,1.0,11.4,1015.5
2021-04-29,16.8,12.1,18.0,2.0,260.0,18.4,1015.8
2021-04-30,17.1,15.3,18.5,95.0,247.0,15.1,1021.3
2021-05-01,11.6,8.3,18.5,5.1,264.0,13.3,1025.2
2021-05-02,12.3,7.7,15.2,0.0,8.0,10.2,1025.3
2021-05-03,10.7,7.5,15.2,3.0,21.0,13.0,1020.5
2021-05-04,14.7,12.2,17.2,0.0,359.0,9.1,1015.0
2021-05-05,15.1,13.5,18.0,,300.0,12.0,1015.5
2021-05-06,14.4,12.0,18.0,,27.0,11.6,1019.2
2021-05-07,14.5,12.0,17.9,23.1,26.0,14.4,1017.1
2021-05-08,16.0,13.4,18.4,35.1,264.0,21.9,1017.1
2021-05-09,16.5,13.0,20.3,35.1,251.0,23.1,1020.5
2021-05-10,13.6,12.2,20.3,16.0,250.0,16.7,1021.1
2021-05-11,10.4,9.6,14.3,1.0,244.0,9.2,1019.9
2021-05-12,11.8,9.9,12.5,2.0,259.0,16.5,1019.0
2021-05-13,9.6,7.6,12.5,19.1,275.0,11.0,1015.4
2021-05-14,9.4,7.6,10.2,0.0,334.0,9.9,1011.4
2021-05-15,11.1,8.8,12.0,0.3,256.0,13.2,1008.0
2021-05-16,13.4,11.4,14.5,13.0,255.0,21.0,1013.5
2021-05-17,13.3,11.1,15.2,10.9,267.0,15.5,1020.8
2021-05-18,9.3,8.0,15.2,25.9,4.0,11.2,1019.3
2021-05-19,8.6,5.9,11.4,0.0,332.0,14.8,1012.3
2021-05-20,10.2,9.1,11.4,,308.0,20.0,1007.4
2021-05-21,14.1,9.7,17.3,21.1,267.0,22.8,1018.5
2021-05-22,13.7,10.5,17.3,9.9,294.0,11.9,1029.2
2021-05-23,9.2,7.1,14.7,17.0,10.0,10.2,1024.4
2021-05-24,10.0,8.7,12.0,5.1,336.0,13.1,1018.3
2021-05-25,10.8,8.3,14.9,0.3,308.0,9.9,1017.1
2021-05-26,14.4,10.8,15.2,61.0,250.0,12.8,1020.6
2021-05-27,14.6,12.2,16.8,7.9,325.0,8.9,1014.5
2021-05-28,13.9,12.7,16.8,0.0,259.0,16.3,1013.7
2021-05-29,13.4,12.0,14.8,4.1,264.0,21.0,1015.7
2021-05-30,15.0,11.3,16.6,0.0,265.0,15.9,1022.9
2021-05-31,15.9,14.8,16.9,30.0,355.0,11.8,1018.8
2021-06-01,14.2,12.9,16.9,0.3,256.0,16.2,1022.6
2021-06-02,15.5,12.9,16.8,0.8,252.0,21.1,1026.2
2021-06-03,14.1,12.0,16.8,17.0,235.0,16.0,1032.5
2021-06-04,15.9,12.0,18.4,1.0,283.0,11.5,1031.5
2021-06-05,13.1,10.6,17.0,29.0,349.0,10.4,1030.6
2021-06-06,7.4,4.4,14.2,2.0,19.0,10.4,1025.9
2021-06-07,12.2,4.4,15.9,0.0,352.0,14.2,1022.0
2021-06-08,10.8,9.0,15.9,7.9,345.0,12.9,1021.4
2021-06-09,8.4,7.1,13.9,9.9,358.0,9.2,1023.0
2021-06-10,9.1,6.7,13.1,0.3,2.0,9.5,1021.8
2021-06-11,6.4,5.0,13.1,7.9,0.0,10.8,1016.9
2021-06-12,7.1,5.7,8.3,0.5,291.0,15.7,1016.0
2021-06-13,8.1,7.0,9.1,0.0,343.0,9.8,1018.1
2021-06-14,9.4,7.9,11.4,,256.0,11.0,1020.1
2021-06-15,13.4,7.9,14.6,,352.0,8.8,1015.4
2021-06-16,14.2,11.9,15.5,2.0,275.0,13.6,1013.8
2021-06-17,14.3,12.9,15.5,1.0,259.0,14.1,1020.3
2021-06-18,11.8,9.5,14.7,46.0,278.0,15.6,1030.1
2021-06-19,10.5,7.8,12.7,2.0,21.0,9.6,1028.1
2021-06-20,8.7,6.2,12.7,8.9,322.0,14.6,1022.8
2021-06-21,4.3,1.7,9.4,6.1,326.0,14.2,1020.4
2021-06-22,7.8,1.7,10.8,3.0,324.0,19.5,1014.5
2021-06-23,5.9,3.5,10.8,18.0,247.0,13.7,1017.0
2021-06-24,7.2,4.5,8.8,3.0,253.0,8.8,1021.4
2021-06-25,9.1,7.1,10.6,0.0,349.0,11.0,1013.3
2021-06-26,8.6,5.3,11.2,,263.0,22.4,1011.6
2021-06-27,5.2,3.4,11.2,,357.0,11.3,1013.0
2021-06-28,8.6,2.3,12.3,0.5,278.0,16.2,1007.5
2021-06-29,8.6,7.1,12.3,19.1,355.0,11.6,1013.1
2021-06-30,10.5,7.8,14.5,0.5,291.0,17.9,1010.2
2021-07-01,11.1,7.2,14.8,19.1,274.0,19.6,1016.4
2021-07-02,7.6,6.0,13.0,7.9,354.0,11.5,1018.8
2021-07-03,10.2,6.0,12.9,1.0,265.0,19.0,1012.6
2021-07-04,12.1,10.6,13.4,1.0,259.0,19.4,1022.3
2021-07-05,11.7,8.6,13.6,9.9,273.0,15.7,1028.7
2021-07-06,9.9,7.3,12.8,0.3,342.0,10.4,1024.7
2021-07-07,6.7,4.4,12.6,7.1,1.0,12.2,1022.1
2021-07-08,10.9,7.1,13.1,1.0,355.0,13.8,1012.9
2021-07-09,9.8,8.3,13.1,4.1,266.0,18.5,1022.9
2021-07-10,9.3,4.6,12.4,0.5,305.0,10.2,1023.0
2021-07-11,5.6,3.8,12.4,6.1,3.0,11.0,1020.0
2021-07-12,12.3,4.8,15.2,0.0,327.0,23.2,1008.9
2021-07-13,12.7,10.9,15.2,9.9,266.0,38.8,1019.6
2021-07-14,13.6,10.6,16.4,7.1,285.0,16.5,1030.7
2021-07-15,12.8,8.6,16.4,7.9,308.0,12.6,1029.0
2021-07-16,9.4,7.8,15.0,4.1,353.0,10.8,1028.1
2021-07-17,12.2,7.5,14.7,35.1,269.0,15.2,1026.9
2021-07-18,5.7,3.7,14.7,40.9,8.0,14.6,1027.4
2021-07-19,5.7,3.7,8.4,2.0,347.0,11.8,1019.7
2021-07-20,9.9,4.7,12.3,0.3,258.0,15.4,1018.2
2021-07-21,12.8,9.8,13.8,133.1,271.0,25.9,1020.9
2021-07-22,13.2,11.8,13.9,22.1,267.0,37.1,1027.0
2021-07-23,10.2,6.5,13.9,9.9,265.0,21.0,1037.1
2021-07-24,8.4,6.5,11.3,5.1,10.0,15.4,1037.1
2021-07-25,10.5,7.7,12.0,1.0,14.0,10.6,1030.5
2021-07-26,6.3,3.8,12.0,18.0,353.0,13.3,1024.3
2021-07-27,8.4,3.8,13.4,2.0,329.0,15.9,1016.7
2021-07-28,12.3,6.5,15.7,21.1,243.0,12.2,1019.0
2021-07-29,14.9,13.9,16.1,3.0,255.0,23.4,1023.3
2021-07-30,12.8,11.9,15.5,68.1,334.0,9.6,1031.0
2021-07-31,9.3,5.3,13.1,7.9,348.0,9.6,1027.0
2021-08-01,5.6,3.7,11.5,1.0,274.0,19.6,1020.5
2021-08-02,8.6,5.9,10.6,1.0,76.0,14.2,1027.3
2021-08-03,8.7,7.6,11.0,0.0,26.0,11.2,1020.5
2021-08-04,11.1,7.8,12.5,0.3,254.0,15.6,1019.6
2021-08-05,9.5,6.2,12.5,4.1,305.0,12.2,1019.9
2021-08-06,5.2,3.8,11.8,20.1,251.0,20.9,1020.2
2021-08-07,5.8,3.8,8.1,6.1,7.0,10.3,1022.5
2021-08-08,9.2,4.1,13.6,1.0,4.0,11.2,1012.4
2021-08-09,12.4,10.8,13.8,1.0,255.0,29.4,1021.1
2021-08-10,8.6,6.0,13.8,5.1,293.0,14.9,1028.5
2021-08-11,7.4,3.8,9.9,0.5,330.0,11.5,1013.5
2021-08-12,12.9,8.9,15.5,2.0,256.0,23.0,1019.6
2021-08-13,10.3,7.5,15.5,2.0,262.0,13.4,1036.2
2021-08-14,8.6,7.1,13.5,1.0,29.0,11.9,1033.9
2021-08-15,11.1,7.8,13.4,1.0,37.0,11.0,1026.4
2021-08-16,7.2,5.3,13.4,3.0,33.0,16.9,1019.5
2021-08-17,6.4,4.7,8.5,0.8,290.0,19.2,1013.2
2021-08-18,7.0,5.0,10.0,0.3,255.0,14.8,1014.6
2021-08-19,9.5,6.2,12.3,0.5,259.0,20.5,1016.9
2021-08-20,12.6,10.6,16.0,2.0,318.0,11.8,1023.0
2021-08-21,14.7,12.5,16.5,2.0,264.0,17.0,1021.1
2021-08-22,10.7,9.6,15.9,15.0,295.0,11.4,1024.7
2021-08-23,9.5,8.1,12.1,4.1,3.0,10.1,1017.1
2021-08-24,11.3,6.4,14.9,22.1,254.0,18.6,1015.2
2021-08-25,4.0,2.1,14.9,16.0,17.0,14.9,1016.3
2021-08-26,5.8,2.2,8.1,3.0,316.0,13.2,1005.9
2021-08-27,8.8,5.1,12.5,1.0,239.0,29.0,1009.8
2021-08-28,10.8,8.1,14.6,61.0,255.0,30.0,1024.7
2021-08-29,7.8,5.5,10.7,0.3,3.0,15.9,1025.7
2021-08-30,6.6,5.5,10.2,5.1,308.0,12.2,1013.8
2021-08-31,8.3,6.4,10.1,1.0,252.0,25.9,1016.7
2021-09-01,8.1,6.9,10.1,19.1,29.0,14.6,1023.4
2021-09-02,9.4,5.5,13.2,0.5,46.0,14.9,1013.9
2021-09-03,7.9,5.6,13.2,15.0,261.0,22.6,1011.6
2021-09-04,7.8,5.6,9.9,1.0,19.0,16.7,1018.1
2021-09-05,9.0,6.6,11.5,1.0,247.0,17.0,1016.0
2021-09-06,11.9,8.5,14.2,1.0,248.0,18.4,1024.2
2021-09-07,9.6,7.4,14.2,29.0,345.0,9.1,1029.9
2021-09-08,10.8,7.4,12.6,15.0,7.0,10.7,1023.9
2021-09-09,6.9,3.7,12.6,35.1,22.0,18.5,1026.6
2021-09-10,3.9,1.9,6.8,6.1,31.0,18.3,1018.6
2021-09-11,7.3,2.7,9.7,3.0,336.0,12.4,1014.9
2021-09-12,8.1,7.1,9.7,2.0,226.0,14.1,1016.6
2021-09-13,7.7,6.4,9.2,0.3,190.0,12.3,1018.4
2021-09-14,8.2,7.3,9.4,0.0,83.0,11.5,1012.9
2021-09-15,8.1,6.4,10.3,0.3,242.0,28.6,1018.7
2021-09-16,9.3,7.5,11.1,0.8,248.0,21.3,1023.3
2021-09-17,11.3,10.2,11.9,0.3,248.0,20.8,1027.8
2021-09-18,8.9,6.6,11.9,22.1,26.0,17.8,1026.0
2021-09-19,9.8,5.2,14.0,0.0,35.0,17.8,1013.1
2021-09-20,11.6,9.5,14.3,2.0,243.0,26.4,1016.3
2021-09-21,10.2,9.4,14.3,3.0,254.0,23.2,1027.8
2021-09-22,9.1,7.5,11.6,27.9,31.0,20.0,1025.6
2021-09-23,8.3,6.9,10.3,0.5,38.0,17.8,1012.2
2021-09-24,7.2,5.4,9.3,43.9,247.0,16.0,1018.8
2021-09-25,7.5,5.0,11.9,1.0,24.0,11.2,1015.4
2021-09-26,9.3,5.8,11.9,4.1,188.0,14.5,1017.7
2021-09-27,10.5,9.0,13.4,0.0,120.0,24.6,1009.9
2021-09-28,9.8,8.3,13.4,,242.0,19.5,1016.8
2021-09-29,12.2,6.9,16.3,0.0,241.0,12.1,1022.8
2021-09-30,13.9,11.7,17.1,0.3,62.0,20.0,1020.5
2021-10-01,14.2,12.2,17.7,0.0,252.0,17.4,1010.4
2021-10-02,12.3,11.6,17.7,,241.0,27.3,1011.8
2021-10-03,11.9,8.6,14.5,,245.0,20.0,1020.7
2021-10-04,10.9,7.4,15.0,,339.0,9.2,1025.5
2021-10-05,11.4,7.9,15.0,,31.0,11.2,1024.0
2021-10-06,13.4,11.7,16.5,29.0,47.0,18.2,1021.3
2021-10-07,11.8,9.2,16.2,10.9,44.0,21.7,1014.4
2021-10-08,12.2,9.5,14.9,3.0,244.0,13.9,1010.1
2021-10-09,11.9,9.2,14.7,7.9,244.0,27.0,1015.8
2021-10-10,11.6,9.9,14.7,5.1,183.0,16.5,1027.8
2021-10-11,12.1,9.9,16.0,3.0,34.0,17.2,1018.8
2021-10-12,9.6,8.7,16.0,0.0,242.0,16.2,1013.7
2021-10-13,10.1,7.7,13.6,0.3,14.0,12.8,1008.4
2021-10-14,9.8,8.5,13.6,0.5,248.0,28.7,1007.5
2021-10-15,9.3,6.6,13.0,0.0,38.0,14.3,1011.1
2021-10-16,10.5,6.6,13.1,2.0,236.0,26.6,1013.3
2021-10-17,10.9,7.3,15.4,0.3,249.0,28.3,1020.9
2021-10-18,12.2,9.5,15.4,0.0,247.0,13.1,1028.1
2021-10-19,12.5,11.0,15.3,,34.0,14.9,1026.6
2021-10-20,12.1,8.1,14.4,71.9,48.0,21.3,1019.4
2021-10-21,9.0,6.9,14.4,14.0,41.0,15.2,1010.7
2021-10-22,9.4,7.0,12.8,1.0,287.0,14.8,1005.9
2021-10-23,9.9,6.9,13.1,0.0,261.0,24.2,1010.0
2021-10-24,11.2,8.3,14.6,1.0,200.0,17.3,1025.5
2021-10-25,12.4,8.3,14.6,0.0,46.0,20.9,1024.1
2021-10-26,14.4,11.5,17.8,9.9,61.0,21.1,1023.5
2021-10-27,14.4,9.9,18.7,0.0,52.0,28.5,1023.2
2021-10-28,13.8,12.3,18.7,0.3,47.0,21.1,1016.5
2021-10-29,10.6,7.9,16.0,3.0,260.0,17.0,1010.4
2021-10-30,8.6,4.4,11.8,0.0,244.0,22.3,1015.3
2021-10-31,10.8,7.0,14.4,1.0,33.0,16.7,1013.7
2021-11-01,11.0,9.4,14.4,1.0,245.0,23.7,1006.8
2021-11-02,10.2,8.2,14.2,0.0,232.0,22.3,1015.1
2021-11-03,8.5,5.4,14.2,0.3,30.0,16.7,1016.3
2021-11-04,10.0,7.7,13.5,0.0,236.0,10.1,1016.3
2021-11-05,10.2,8.3,13.5,,238.0,14.6,1015.4
2021-11-06,10.7,8.8,13.4,,138.0,11.2,1016.7
2021-11-07,10.6,6.4,14.3,,227.0,12.3,1014.4
2021-11-08,14.8,12.4,18.1,6.1,230.0,14.8,1013.0
2021-11-09,14.5,13.3,18.1,32.0,238.0,15.3,1020.4
2021-11-10,15.5,13.1,19.0,13.0,229.0,12.5,1017.7
2021-11-11,16.5,12.7,19.2,1.0,192.0,15.3,1018.2
2021-11-12,13.9,12.7,19.2,0.5,251.0,11.6,1014.2
2021-11-13,14.1,11.7,16.9,7.1,249.0,15.8,1014.5
2021-11-14,11.2,8.2,16.9,19.1,235.0,14.9,1019.5
2021-11-15,9.2,7.6,13.5,0.5,31.0,11.7,1012.9
2021-11-16,8.9,7.7,11.2,0.5,208.0,20.5,1013.1
2021-11-17,9.1,5.7,12.4,0.0,56.0,19.2,1006.2
2021-11-18,11.1,8.0,16.3,,230.0,27.3,1016.0
2021-11-19,12.6,10.4,16.3,2.0,242.0,15.9,1019.6
2021-11-20,15.8,13.3,18.5,40.9,87.0,13.7,1019.3
2021-11-21,16.0,15.0,18.5,26.9,52.0,22.1,1013.4
2021-11-22,14.6,11.9,17.5,46.0,213.0,15.4,1010.2
2021-11-23,14.8,11.5,18.9,37.1,234.0,29.0,1016.5
2021-11-24,13.6,12.1,18.9,0.0,204.0,14.7,1020.4
2021-11-25,14.8,13.7,15.7,8.9,37.0,14.7,1023.8
2021-11-26,14.7,11.9,18.5,1.0,52.0,23.5,1024.3
