time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,7.4,0.1,16.2,,337.0,3.7,1016.3
2021-01-02,8.1,-1.0,17.1,,,5.1,1015.8
2021-01-03,7.9,3.0,15.0,,0.0,11.2,1017.6
2021-01-04,7.6,-1.0,14.7,,75.0,6.6,1018.9
2021-01-05,10.7,1.0,20.6,,181.0,6.8,1014.5
2021-01-06,15.7,6.7,24.5,,202.0,10.4,1013.7
2021-01-07,18.8,11.8,26.2,,209.0,15.3,1014.4
2021-01-08,22.8,14.7,29.7,0.0,203.0,18.2,1013.5
2021-01-09,20.7,14.8,26.0,,211.0,13.3,1009.6
2021-01-10,14.3,8.0,19.1,,261.0,9.4,1011.6
2021-01-11,9.5,1.0,17.5,,290.0,5.9,1016.1
2021-01-12,10.0,5.0,16.0,,4.0,11.1,1024.4
2021-01-13,8.1,3.0,14.5,,14.0,9.0,1027.9
2021-01-14,6.4,-2.0,15.0,,0.0,6.5,1024.8
2021-01-15,6.7,-2.0,16.0,,351.0,7.7,1022.7
2021-01-16,7.8,-0.3,15.5,,356.0,10.7,1023.9
2021-01-17,8.6,2.5,15.0,,29.0,8.9,1028.3
2021-01-18,7.9,-1.0,17.5,,10.0,6.5,1027.0
2021-01-19,9.6,-0.3,17.5,,59.0,8.3,1028.1
2021-01-20,9.6,0.2,18.0,,55.0,6.3,1026.1
2021-01-21,11.1,3.0,20.3,0.0,349.0,6.4,1024.0
2021-01-22,11.9,1.0,22.0,,,8.4,1023.2
2021-01-23,13.4,6.0,21.2,,345.0,4.7,1021.8
2021-01-24,13.7,3.0,24.0,,297.0,8.2,1020.2
2021-01-25,13.8,5.0,24.0,,307.0,6.1,1019.3
2021-01-26,14.2,5.5,22.2,,356.0,11.5,1022.1
2021-01-27,14.6,7.0,21.0,,20.0,8.0,1025.5
2021-01-28,13.6,5.0,22.5,,20.0,5.2,1026.2
2021-01-29,14.1,4.8,23.0,,,4.3,1025.7
2021-01-30,16.3,4.9,27.0,,280.0,7.3,1019.9
2021-01-31,16.0,10.5,21.2,,328.0,12.9,1015.6
2021-02-01,17.1,11.0,23.0,,306.0,20.1,1017.3
2021-02-02,15.2,6.7,24.5,,335.0,7.2,1020.6
2021-02-03,14.4,5.1,24.6,,57.0,4.2,1022.2
2021-02-04,19.4,8.7,25.0,,80.0,6.4,1018.6
2021-02-05,19.0,10.0,29.1,,155.0,8.3,1015.3
2021-02-06,19.7,15.0,25.0,,188.0,14.4,1010.2
2021-02-07,13.6,10.0,18.1,,264.0,13.4,1011.6
2021-02-08,12.7,3.7,20.2,,269.0,9.1,1018.4
2021-02-09,14.1,4.1,24.0,,237.0,6.5,1019.4
2021-02-10,8.3,3.5,24.0,,305.0,7.7,1019.3
2021-02-11,15.4,7.0,24.0,,2.0,6.7,1021.9
2021-02-12,15.8,7.0,24.0,,34.0,6.3,1021.6
2021-02-13,19.8,8.0,23.0,,,10.7,1020.9
2021-02-14,14.6,8.7,19.1,,32.0,17.1,1024.4
2021-02-15,11.2,9.0,14.5,,57.0,17.2,1031.1
2021-02-16,9.4,5.0,14.0,,77.0,13.4,1032.7
2021-02-17,10.9,5.5,17.0,,73.0,9.9,1028.3
2021-02-18,13.9,3.3,20.5,,67.0,7.4,1023.7
2021-02-19,11.4,8.5,20.0,,44.0,7.4,1023.9
2021-02-20,17.3,9.0,24.5,,98.0,7.8,1021.8
2021-02-21,23.2,13.8,29.6,,161.0,13.6,1016.3
2021-02-22,20.4,17.0,25.0,,310.0,16.0,1015.3
2021-02-23,13.2,9.5,19.0,,333.0,23.7,1018.8
2021-02-24,14.9,10.9,18.0,,53.0,25.9,1021.4
2021-02-25,15.4,11.0,20.1,,52.0,27.2,1024.2
2021-02-26,14.9,10.0,20.0,,59.0,18.5,1023.4
2021-02-27,16.2,10.7,22.0,,69.0,17.9,1019.4
2021-02-28,17.9,12.4,25.0,,75.0,18.0,1015.8
2021-03-01,22.3,15.4,29.5,,109.0,13.2,1014.1
2021-03-02,20.1,15.0,26.0,,66.0,13.4,1014.2
2021-03-03,17.4,12.0,22.2,,32.0,23.0,1015.6
2021-03-04,15.2,11.9,19.7,,1.0,14.8,1015.4
2021-03-05,14.8,7.0,20.5,,346.0,7.6,1017.0
2021-03-06,16.1,7.0,23.0,,63.0,8.2,1019.1
2021-03-07,19.0,13.5,25.0,,73.0,14.5,1013.4
2021-03-08,17.2,9.8,23.0,,357.0,9.4,1012.4
2021-03-09,17.8,7.7,24.2,,32.0,6.4,1012.4
