time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,18.5,13.0,23.0,,349.0,16.9,
2021-01-02,18.5,12.0,23.0,0.0,347.0,12.7,1016.6
2021-01-03,18.7,13.0,24.0,0.0,351.0,15.5,1015.8
2021-01-04,18.5,11.0,24.0,0.0,350.0,13.5,1015.6
2021-01-05,18.8,14.0,24.0,0.0,348.0,18.2,1016.2
2021-01-06,19.5,13.0,25.0,0.0,350.0,12.7,1017.3
2021-01-07,19.7,12.6,25.0,0.0,4.0,16.3,1016.1
2021-01-08,20.4,15.0,25.0,0.0,5.0,10.7,1015.3
2021-01-09,19.7,13.0,25.0,0.0,352.0,16.5,1014.7
2021-01-10,19.8,16.0,25.0,0.0,6.0,16.4,1016.2
2021-01-11,19.8,14.6,26.9,0.0,28.0,10.0,1020.0
2021-01-12,20.5,15.0,26.0,0.0,51.0,15.1,1019.7
2021-01-13,21.5,18.0,26.0,0.0,141.0,24.1,1014.5
2021-01-14,19.8,15.8,22.1,0.0,328.0,27.2,1012.7
2021-01-15,17.1,13.0,22.0,0.0,340.0,17.5,1016.1
2021-01-16,16.3,10.9,22.0,0.0,345.0,18.4,1014.6
2021-01-17,17.4,10.0,23.0,0.0,333.0,21.1,1015.7
2021-01-18,16.7,8.6,21.0,0.0,326.0,21.8,1020.0
2021-01-19,16.6,12.0,21.0,0.0,337.0,24.0,1020.0
2021-01-20,15.8,12.0,19.3,0.0,327.0,35.3,1022.1
2021-01-21,15.0,9.0,21.2,0.0,342.0,22.5,1025.1
2021-01-22,14.6,8.0,20.3,0.0,347.0,19.2,1021.4
2021-01-23,14.7,7.0,21.1,0.0,336.0,17.0,1017.6
2021-01-24,15.1,8.0,22.0,0.0,341.0,21.2,1017.9
2021-01-25,15.3,8.0,22.0,0.0,353.0,19.5,1018.9
2021-01-26,16.5,8.0,22.6,0.0,348.0,13.6,1017.2
2021-01-27,17.7,11.0,25.0,0.0,333.0,10.8,1013.0
2021-01-28,16.9,12.0,22.0,0.0,340.0,18.8,1015.8
2021-01-29,15.9,10.0,21.0,0.0,322.0,23.0,1019.3
2021-01-30,14.7,9.0,20.0,0.0,337.0,14.9,1020.8
2021-01-31,16.5,9.0,23.0,0.0,343.0,14.4,1017.7
2021-02-01,18.3,6.6,24.0,0.0,332.0,10.7,1016.1
2021-02-02,20.2,14.0,26.0,0.0,333.0,12.3,1014.6
2021-02-03,22.3,16.0,27.1,0.0,129.0,28.3,1012.4
2021-02-04,20.0,17.0,23.0,0.0,310.0,31.1,1011.7
2021-02-05,19.1,16.0,22.0,0.0,312.0,35.4,1015.7
2021-02-06,19.0,16.0,22.0,0.0,312.0,24.6,1019.1
2021-02-07,17.8,11.0,23.0,0.0,327.0,9.2,1020.7
2021-02-08,19.0,12.0,25.0,0.0,316.0,14.4,1021.4
2021-02-09,20.6,16.0,25.0,0.0,343.0,15.2,1020.4
2021-02-10,20.4,12.8,28.0,0.0,5.0,18.0,1018.4
2021-02-11,20.5,14.0,28.2,0.0,2.0,18.4,1015.9
2021-02-12,19.7,12.0,27.4,0.0,317.0,13.9,1013.9
2021-02-13,18.7,12.6,23.0,0.0,328.0,26.3,1015.8
2021-02-14,18.9,12.0,24.0,0.0,320.0,22.1,1014.4
2021-02-15,18.9,13.0,23.0,0.0,327.0,25.0,1012.9
2021-02-16,18.0,13.3,25.9,0.0,327.0,30.1,1010.4
2021-02-17,14.3,10.7,21.2,0.0,310.0,38.6,1017.9
2021-02-18,13.6,10.0,18.0,0.0,325.0,26.6,1022.7
2021-02-19,14.9,9.0,19.8,0.0,335.0,19.3,1023.0
2021-02-20,15.9,10.8,20.0,0.0,341.0,29.0,1021.7
2021-02-21,16.2,11.0,21.0,0.0,334.0,25.7,1019.2
2021-02-22,16.3,11.0,21.0,0.0,350.0,22.1,1018.5
2021-02-23,16.7,11.0,22.0,0.0,337.0,25.5,1018.1
2021-02-24,18.6,15.0,22.1,0.0,312.0,42.5,1018.3
2021-02-25,18.1,14.0,22.0,0.0,321.0,23.0,1020.1
2021-02-26,17.9,12.0,24.0,0.0,334.0,12.8,1017.4
2021-02-27,18.1,11.0,22.0,0.0,314.0,25.0,1014.5
2021-02-28,19.3,14.0,25.0,0.0,310.0,41.0,1016.6
2021-03-01,18.4,12.0,22.0,0.0,322.0,24.2,1018.6
2021-03-02,17.6,12.0,22.0,0.0,332.0,22.6,1019.5
2021-03-03,17.7,12.9,21.0,0.0,313.0,33.2,1017.2
2021-03-04,16.1,7.5,19.3,0.0,309.0,37.6,1018.8
2021-03-05,17.3,12.0,21.0,0.0,313.0,19.5,1021.2
2021-03-06,17.8,11.0,23.0,0.0,327.0,16.2,1019.1
2021-03-07,18.5,11.0,23.0,0.0,321.0,27.8,1014.6
2021-03-08,19.1,14.0,22.0,0.0,313.0,33.9,1013.5
2021-03-09,18.6,11.0,24.0,0.0,319.0,12.2,1013.2
2021-03-10,23.9,15.0,36.0,0.0,305.0,10.2,1011.8
2021-03-11,22.1,18.0,25.7,0.0,314.0,22.0,1010.3
2021-03-12,21.0,19.0,24.1,0.0,315.0,42.6,1012.4
2021-03-13,18.3,13.0,21.0,0.0,314.0,25.9,1014.1
2021-03-14,18.2,12.0,22.0,0.0,313.0,23.4,1011.5
2021-03-15,20.0,16.0,25.0,0.0,312.0,22.5,1008.1
2021-03-16,20.5,15.0,25.2,0.0,318.0,25.0,1009.5
2021-03-17,21.5,16.0,28.2,0.0,309.0,31.9,1011.6
2021-03-18,20.5,16.2,23.0,0.0,308.0,30.5,1014.5
2021-03-19,18.7,13.0,23.0,0.0,323.0,21.3,1015.1
2021-03-20,21.9,14.0,29.0,0.0,33.0,12.5,1012.8
2021-03-21,25.2,19.0,30.5,0.0,93.0,16.4,1009.6
2021-03-22,27.5,21.0,36.0,0.0,132.0,25.9,1007.6
2021-03-23,26.2,22.0,31.0,0.0,135.0,36.4,1005.0
2021-03-24,22.4,18.7,26.0,0.0,316.0,39.6,1010.7
2021-03-25,20.1,16.0,24.0,0.0,313.0,34.6,1014.2
2021-03-26,19.9,16.0,24.0,0.0,315.0,44.2,1016.6
2021-03-27,18.4,14.0,22.0,0.0,310.0,47.2,1020.4
2021-03-28,18.9,15.0,22.0,0.0,309.0,40.8,1021.6
2021-03-29,18.7,14.0,22.0,0.0,309.0,37.5,1019.2
2021-03-30,18.5,10.6,21.0,0.0,314.0,40.9,1014.6
2021-03-31,19.6,16.0,26.0,0.0,314.0,36.9,1014.7
2021-04-01,20.3,13.0,26.0,0.0,313.0,27.4,1016.6
2021-04-02,20.5,17.0,24.0,0.0,313.0,35.1,1019.4
2021-04-03,20.6,17.0,24.0,0.0,316.0,31.1,1020.0
2021-04-04,19.5,14.0,24.0,0.0,322.0,26.7,1018.8
2021-04-05,21.1,14.0,26.0,0.0,319.0,14.2,1015.3
2021-04-06,24.3,17.0,34.0,0.0,310.0,11.8,1011.5
2021-04-07,24.8,19.7,32.0,0.0,310.0,11.0,1011.7
2021-04-08,22.6,18.0,27.0,0.0,321.0,23.8,1010.4
2021-04-09,21.6,15.3,27.0,0.0,311.0,48.7,1010.8
2021-04-10,19.6,11.6,25.0,0.0,317.0,39.9,1014.0
2021-04-11,18.3,14.6,21.5,0.0,321.0,34.4,1016.2
2021-04-12,19.2,16.0,22.0,0.0,313.0,33.2,1015.3
2021-04-13,19.4,15.6,23.0,0.0,317.0,23.3,1015.3
2021-04-14,20.5,17.0,24.0,0.0,303.0,26.3,1014.1
2021-04-15,21.9,16.4,26.2,0.0,304.0,24.2,1011.8
2021-04-16,23.2,19.0,27.6,0.0,300.0,26.1,1009.5
2021-04-17,24.5,20.6,30.0,0.0,299.0,17.6,1010.6
2021-04-18,26.4,19.0,35.0,0.0,219.0,8.2,1012.4
2021-04-19,29.2,23.0,35.0,0.0,179.0,14.8,1010.9
2021-04-20,26.8,22.6,34.0,0.0,302.0,15.2,1009.2
2021-04-21,22.8,21.0,26.0,0.0,298.0,45.4,1010.7
2021-04-22,22.9,20.0,33.3,0.0,306.0,44.7,1011.6
2021-04-23,22.0,19.0,25.0,0.0,302.0,38.6,1010.3
2021-04-24,22.0,18.9,26.0,0.0,300.0,32.7,1008.0
2021-04-25,25.9,18.8,37.0,0.0,252.0,17.5,1006.9
2021-04-26,25.2,19.9,29.6,0.0,325.0,25.9,1008.1
2021-04-27,22.9,20.0,25.0,0.0,309.0,32.7,1010.4
2021-04-28,23.6,20.0,29.0,0.0,302.0,21.5,1012.1
