time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.0,-4.3,5.6,15.2,95.0,10.4,1022.3
2021-01-02,3.4,1.7,6.7,4.3,263.0,12.6,1015.1
2021-01-03,2.1,1.1,3.3,4.6,353.0,6.8,1014.7
2021-01-04,2.3,1.7,2.8,0.0,226.0,7.2,1016.5
2021-01-05,1.9,1.1,2.8,0.0,314.0,5.0,1015.7
2021-01-06,2.2,1.1,2.8,0.0,338.0,12.6,1024.0
2021-01-07,1.3,-1.6,2.2,0.0,19.0,11.5,1026.1
2021-01-08,-1.1,-2.1,-0.5,0.0,40.0,14.4,1021.4
2021-01-09,-1.1,-6.0,3.3,0.0,335.0,8.3,1022.4
2021-01-10,1.4,-2.1,3.3,0.0,307.0,6.1,1026.4
2021-01-11,-0.3,-2.1,2.2,0.0,222.0,10.1,1024.0
2021-01-12,-1.1,-2.1,-0.5,0.0,212.0,15.8,1021.1
2021-01-13,1.4,-0.5,6.7,0.0,192.0,20.5,1012.9
2021-01-14,5.0,2.2,7.8,1.3,177.0,12.6,1008.2
2021-01-15,5.7,0.6,9.4,2.3,157.0,19.4,1004.0
2021-01-16,0.9,-1.6,3.3,3.8,212.0,12.6,1002.3
2021-01-17,1.3,0.0,2.8,2.5,234.0,14.0,1004.3
2021-01-18,0.6,-1.0,1.1,40.6,232.0,15.5,1009.7
2021-01-19,-0.7,-1.0,0.0,4.6,221.0,15.8,1017.8
2021-01-20,-2.3,-6.0,-0.5,6.4,253.0,19.4,1018.1
2021-01-21,-0.3,-3.8,5.0,0.0,228.0,25.9,1004.4
2021-01-22,1.2,-4.3,3.3,0.0,281.0,20.9,1011.0
2021-01-23,-4.3,-4.9,-3.2,0.0,296.0,18.4,1025.8
2021-01-24,-3.9,-6.6,-1.6,0.3,105.0,7.6,1024.9
2021-01-25,-2.2,-7.1,1.1,0.0,32.0,6.8,1018.3
2021-01-26,1.2,-1.0,2.8,4.3,18.0,12.2,1008.1
2021-01-27,-1.2,-4.3,-0.5,0.0,333.0,13.0,1022.8
2021-01-28,-4.5,-6.0,-3.8,0.3,328.0,21.6,1029.9
2021-01-29,-4.1,-5.5,-2.7,0.3,309.0,21.2,1028.5
2021-01-30,-2.6,-3.8,-1.0,0.0,7.0,9.0,1027.4
2021-01-31,-1.2,-3.2,2.8,0.0,75.0,15.5,1017.4
2021-02-01,-1.6,-2.7,-0.5,4.1,47.0,25.9,1014.8
2021-02-02,-2.6,-4.3,0.0,0.0,350.0,18.4,1013.0
2021-02-03,-1.3,-2.7,0.6,0.0,305.0,15.5,1013.0
2021-02-04,-0.8,-6.0,5.0,2.5,180.0,16.6,1012.7
2021-02-05,0.7,-4.3,3.9,1.8,224.0,25.9,1002.0
2021-02-06,-5.1,-8.8,-3.2,0.0,235.0,18.4,1015.7
2021-02-07,-6.8,-8.8,-4.9,0.8,252.0,17.6,1019.2
2021-02-08,-8.0,-10.5,-4.3,1.0,215.0,8.6,1027.4
2021-02-09,-5.3,-6.6,-3.8,2.0,342.0,8.6,1025.2
2021-02-10,-6.4,-9.3,-5.5,0.8,302.0,7.6,1028.4
2021-02-11,-5.4,-8.2,-3.2,0.0,20.0,10.8,1028.1
2021-02-12,-5.7,-7.1,-2.1,0.0,55.0,16.6,1026.9
2021-02-13,-5.6,-8.2,-2.1,0.0,65.0,14.8,1023.7
2021-02-14,-4.4,-7.7,-3.2,0.0,342.0,8.6,1026.2
2021-02-15,-4.9,-7.1,-3.2,7.4,41.0,16.9,1022.0
2021-02-16,-4.3,-6.6,-2.7,7.1,312.0,18.7,1010.1
2021-02-17,-7.4,-13.2,-4.9,0.3,304.0,10.8,1029.7
2021-02-18,-4.6,-6.0,-2.1,1.3,59.0,11.5,1026.1
