time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.5,-0.1,3.1,10.9,72.0,26.8,1021.4
2021-01-02,1.6,0.3,3.0,5.2,333.0,8.0,1016.0
2021-01-03,2.1,1.1,3.1,2.1,114.0,12.1,1014.9
2021-01-04,1.5,0.8,2.1,0.0,245.0,7.4,1016.8
2021-01-05,0.5,-0.1,1.1,0.4,283.0,6.8,1016.7
2021-01-06,2.4,0.3,4.5,0.3,299.0,5.7,1025.6
2021-01-07,-0.7,-2.4,1.1,0.0,353.0,13.0,1027.4
2021-01-08,-4.1,-5.9,-2.4,0.0,352.0,14.7,1023.4
2021-01-09,-1.2,-5.3,2.9,0.0,312.0,7.5,1024.0
2021-01-10,-0.7,-3.4,2.0,0.0,255.0,6.5,1027.0
2021-01-11,-1.5,-3.3,0.3,0.0,235.0,17.7,1024.3
2021-01-12,-1.4,-3.5,0.8,0.4,226.0,20.3,1020.9
2021-01-13,2.1,0.7,3.6,0.0,205.0,26.3,1012.0
2021-01-14,3.5,2.6,4.4,1.0,165.0,12.9,1007.4
2021-01-15,2.6,1.0,4.1,4.9,134.0,19.0,1002.9
2021-01-16,0.6,-0.8,1.9,0.0,229.0,15.4,1002.7
2021-01-17,1.6,0.3,2.8,1.8,239.0,17.4,1004.7
2021-01-18,0.3,-0.5,1.1,1.5,247.0,15.3,1010.2
2021-01-19,-1.0,-2.5,0.5,0.8,239.0,24.4,1018.1
2021-01-20,-3.6,-7.5,0.2,1.2,250.0,20.8,1019.0
2021-01-21,1.8,0.1,3.5,0.0,228.0,24.8,1004.0
2021-01-22,-2.6,-7.0,1.8,0.0,281.0,17.0,1013.0
2021-01-23,-5.7,-8.0,-3.4,0.0,277.0,9.9,1028.1
2021-01-24,-2.4,-3.9,-1.0,1.5,122.0,17.0,1024.5
2021-01-25,-0.8,-2.3,0.7,0.2,12.0,11.6,1018.4
2021-01-26,-0.6,-2.5,1.2,5.3,13.0,14.7,1009.1
2021-01-27,-4.1,-6.7,-1.5,0.0,315.0,6.3,1025.0
2021-01-28,-6.9,-8.6,-5.2,0.0,295.0,13.7,1032.7
2021-01-29,-5.8,-8.9,-2.7,0.0,290.0,10.9,1030.9
2021-01-30,-4.4,-8.1,-0.7,0.0,33.0,12.6,1027.8
2021-01-31,-1.3,-2.2,-0.3,1.4,55.0,35.5,1016.9
2021-02-01,-3.4,-4.9,-2.0,2.7,359.0,23.3,1017.0
2021-02-02,-2.6,-5.5,0.3,0.2,322.0,14.1,1016.2
2021-02-03,-2.3,-5.6,1.0,0.0,299.0,11.5,1015.6
2021-02-04,-1.6,-5.2,2.1,3.5,148.0,16.9,1011.8
