time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-6.3,-13.3,-1.7,0.0,326.0,5.4,1023.4
2021-01-02,-5.5,-10.6,1.1,0.0,268.0,7.4,1018.0
2021-01-03,-5.4,-6.7,-3.3,0.0,241.0,8.4,1014.6
2021-01-04,-4.7,-6.1,-3.3,0.0,219.0,11.9,1012.9
2021-01-05,-0.2,-3.3,2.8,0.0,302.0,8.1,1017.9
2021-01-06,-0.1,-4.4,2.8,0.0,343.0,3.7,1028.9
2021-01-07,0.1,-1.1,0.6,0.0,9.0,7.5,1031.9
2021-01-08,-1.0,-2.2,1.7,0.0,358.0,8.6,1028.7
2021-01-09,-2.6,-5.0,-0.6,0.0,297.0,7.0,1027.5
2021-01-10,-2.2,-3.9,0.0,0.0,268.0,7.6,1025.9
2021-01-11,-3.6,-5.6,-1.1,0.0,233.0,13.1,1019.2
2021-01-12,-1.3,-2.2,-0.6,0.0,276.0,8.1,1015.1
2021-01-13,-3.2,-8.3,1.7,0.0,237.0,6.4,1007.2
2021-01-14,-0.4,-7.8,2.2,0.0,78.0,12.3,1004.6
2021-01-15,1.7,0.6,2.8,1.8,62.0,18.4,1002.5
2021-01-16,0.4,-1.7,1.7,6.1,338.0,13.0,1003.3
2021-01-17,-2.3,-4.4,-0.6,0.0,322.0,12.3,1006.5
2021-01-18,-3.7,-5.0,-1.7,0.8,292.0,11.6,1010.2
2021-01-19,-8.0,-10.6,-5.0,0.0,296.0,15.9,1018.3
2021-01-20,-8.6,-13.3,-3.3,0.0,237.0,18.8,1012.9
2021-01-21,-1.0,-7.2,2.2,0.0,272.0,20.5,999.1
2021-01-22,-11.3,-15.6,-8.3,0.5,308.0,17.8,1018.7
2021-01-23,-10.1,-15.6,-3.9,0.0,247.0,7.8,1026.7
2021-01-24,-5.0,-11.7,-1.1,1.3,257.0,9.6,1020.4
2021-01-25,-9.5,-16.1,-3.9,1.0,343.0,9.5,1022.5
2021-01-26,-6.6,-8.9,-5.0,0.0,349.0,13.1,1020.4
