time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-11.6,-12.8,-10.4,,86.0,5.4,1004.5
2021-01-02,-15.4,-19.0,-11.8,0.0,98.0,8.8,989.7
2021-01-03,-18.1,-21.2,-15.0,0.0,101.0,4.6,993.9
2021-01-04,-21.5,-25.1,-17.9,0.1,83.0,6.1,1002.8
2021-01-05,-13.5,-19.9,-7.0,1.5,81.0,9.7,991.6
2021-01-06,-10.4,-14.3,-6.5,0.4,98.0,6.3,993.0
2021-01-07,-11.3,-18.2,-4.5,0.1,114.0,9.0,1010.2
2021-01-08,-7.7,-10.8,-4.5,1.0,112.0,14.8,1010.2
2021-01-09,-10.1,-14.2,-6.0,0.0,110.0,8.4,1013.1
2021-01-10,-5.6,-8.4,-2.8,0.4,135.0,22.7,996.6
2021-01-11,-8.5,-15.1,-2.0,0.1,128.0,10.4,992.7
2021-01-12,-12.2,-16.3,-8.0,1.0,91.0,5.7,990.6
2021-01-13,-11.4,-18.0,-4.8,0.7,96.0,3.8,1004.0
2021-01-14,-14.7,-21.7,-7.8,2.2,120.0,11.5,1019.1
2021-01-15,-5.9,-8.0,-3.7,2.1,130.0,12.0,999.7
2021-01-16,-11.3,-16.3,-6.3,0.3,120.0,5.8,1014.2
2021-01-17,-11.3,-16.1,-6.6,0.1,70.0,3.4,1014.9
2021-01-18,-9.4,-18.1,-0.7,3.4,124.0,14.3,1018.6
2021-01-19,-1.3,-4.0,1.3,0.6,281.0,13.0,1000.4
2021-01-20,-5.4,-11.1,0.4,0.0,270.0,11.9,1020.2
2021-01-21,-15.4,-20.2,-10.5,0.0,133.0,4.5,1032.1
2021-01-22,-21.4,-24.8,-18.0,0.0,106.0,4.3,1031.9
2021-01-23,-19.8,-23.6,-16.1,0.0,63.0,2.7,1021.0
2021-01-24,-15.5,-19.3,-11.6,0.8,346.0,4.3,1013.0
2021-01-25,-11.6,-14.6,-8.6,0.2,291.0,9.6,1014.4
2021-01-26,-21.6,-29.6,-13.5,0.0,292.0,8.4,1026.5
2021-01-27,-32.0,-36.9,-27.1,0.0,111.0,4.5,1035.8
2021-01-28,-34.0,-37.3,-30.8,0.0,89.0,4.0,1023.9
2021-01-29,-28.5,-33.4,-23.7,0.0,94.0,5.0,1014.8
2021-01-30,-26.8,-31.3,-22.2,0.0,121.0,4.3,1020.8
2021-01-31,-26.7,-32.2,-21.2,0.8,59.0,2.5,1026.9
2021-02-01,-20.4,-22.0,-18.8,1.4,287.0,10.2,1024.7
