time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.3,24.1,30.1,,78.0,30.7,1014.2
2021-01-02,27.0,25.2,29.5,,73.0,30.3,1014.4
2021-01-03,26.7,24.7,29.5,,79.0,22.5,1014.1
2021-01-04,25.1,23.5,28.5,,79.0,16.2,1012.5
2021-01-05,25.2,22.5,29.0,,87.0,14.6,1012.3
2021-01-06,26.7,24.5,29.2,,99.0,14.5,1012.7
2021-01-07,26.0,23.7,27.6,,77.0,19.4,1013.3
2021-01-08,26.4,25.0,29.0,,93.0,21.1,1012.7
2021-01-09,26.7,25.5,28.7,,89.0,21.0,1013.4
2021-01-10,26.7,24.7,29.0,,89.0,23.7,1013.9
2021-01-11,27.0,25.7,29.0,,88.0,29.1,1015.0
2021-01-12,26.1,23.7,28.7,,81.0,21.9,1014.2
2021-01-13,26.4,24.7,28.7,,94.0,24.0,1012.8
2021-01-14,26.6,25.0,29.2,,93.0,22.5,1011.9
2021-01-15,26.6,23.7,29.0,,92.0,18.6,1012.0
2021-01-16,25.4,24.0,28.6,,91.0,14.7,1012.5
2021-01-17,26.2,24.0,29.5,,78.0,20.0,1012.6
2021-01-18,25.9,23.5,29.0,,80.0,20.4,1013.6
2021-01-19,26.1,24.2,28.7,,82.0,24.5,1013.7
2021-01-20,25.9,22.5,28.7,,82.0,21.3,1012.8
2021-01-21,26.3,24.0,29.0,,93.0,17.2,1012.4
2021-01-22,26.7,24.7,29.1,,92.0,19.5,1013.1
2021-01-23,27.0,25.7,29.1,,88.0,24.6,1013.1
2021-01-24,26.8,25.2,29.0,,86.0,22.2,1012.8
2021-01-25,26.5,24.5,29.2,,81.0,22.1,1013.1
2021-01-26,26.8,25.5,29.1,,87.0,27.8,1013.5
2021-01-27,26.8,25.6,29.0,,84.0,29.6,1013.8
2021-01-28,26.3,22.7,29.2,,83.0,18.0,1013.8
2021-01-29,25.8,22.0,29.2,,82.0,16.6,1012.9
2021-01-30,26.5,24.5,29.0,,85.0,22.6,1013.9
2021-01-31,26.2,23.7,29.5,,84.0,25.7,1013.5
2021-02-01,26.8,25.5,29.0,,95.0,28.8,1012.4
2021-02-02,26.7,25.6,29.0,,98.0,27.6,1011.2
2021-02-03,27.0,25.6,29.0,,95.0,27.3,1011.8
2021-02-04,27.5,26.1,30.0,,93.0,31.1,1012.8
2021-02-05,27.3,25.6,30.2,,89.0,30.7,1013.2
2021-02-06,26.8,25.1,29.1,,86.0,29.3,1014.0
2021-02-07,26.8,25.1,29.5,,93.0,26.7,1013.1
2021-02-08,27.1,25.5,30.1,,88.0,28.4,1013.8
2021-02-09,26.9,25.6,29.2,,89.0,26.0,1013.7
2021-02-10,26.5,24.7,29.0,,91.0,20.5,1013.1
2021-02-11,26.5,24.0,29.0,,81.0,23.6,1012.0
2021-02-12,26.6,24.0,29.0,,90.0,27.4,1011.8
2021-02-13,27.2,26.0,29.6,,93.0,31.5,1012.2
2021-02-14,27.2,26.1,30.0,,90.0,29.1,1014.0
2021-02-15,27.0,25.1,30.0,,91.0,28.8,1014.6
2021-02-16,27.0,25.7,29.7,,89.0,27.5,1015.0
2021-02-17,27.0,25.0,29.1,,85.0,28.6,1014.8
2021-02-18,26.7,23.7,29.5,,91.0,24.8,1014.8
2021-02-19,26.9,25.5,30.0,,91.0,26.5,1015.0
2021-02-20,26.4,24.1,29.0,,86.0,22.8,1014.3
2021-02-21,26.5,25.0,29.0,,83.0,20.7,1014.1
2021-02-22,26.8,24.6,29.2,,87.0,20.2,1013.6
2021-02-23,27.1,25.7,29.2,,90.0,31.4,1013.7
2021-02-24,26.7,24.5,29.5,,79.0,30.9,1014.1
2021-02-25,26.8,24.5,29.2,,84.0,31.7,1013.5
2021-02-26,27.0,25.7,29.7,,77.0,29.4,1013.0
2021-02-27,26.3,24.0,28.7,,79.0,27.5,1013.6
2021-02-28,26.1,24.0,29.5,,79.0,27.2,1013.2
2021-03-01,26.4,23.7,29.6,,74.0,24.0,1012.5
2021-03-02,26.0,23.0,30.0,,93.0,15.5,1013.4
2021-03-03,26.3,23.6,29.6,,85.0,22.5,1014.2
2021-03-04,26.7,24.7,29.5,,93.0,21.3,1013.7
2021-03-05,27.2,25.2,30.7,,92.0,22.8,1011.9
2021-03-06,27.4,26.0,30.0,,88.0,31.1,1012.4
2021-03-07,27.2,25.2,30.0,,90.0,29.6,1013.3
2021-03-08,27.4,26.0,30.0,,77.0,27.2,1014.9
2021-03-09,26.9,24.7,30.0,,85.0,23.8,1014.9
2021-03-10,26.4,23.7,30.0,,85.0,19.4,1013.7
2021-03-11,27.0,25.2,30.1,,89.0,20.1,1014.0
2021-03-12,26.8,24.6,30.5,,82.0,17.9,1014.3
2021-03-13,26.8,23.2,30.2,,73.0,16.7,1014.4
2021-03-14,27.1,24.7,30.1,,74.0,21.0,1014.3
2021-03-15,26.2,23.2,29.6,,66.0,21.5,1013.8
2021-03-16,24.7,23.1,27.7,,67.0,22.9,1013.4
2021-03-17,26.4,24.0,29.2,,75.0,26.8,1013.6
2021-03-18,26.2,24.6,29.1,,81.0,22.7,1013.7
2021-03-19,26.2,23.5,29.1,,84.0,20.2,1013.3
2021-03-20,26.6,24.5,29.2,,86.0,20.0,1013.6
2021-03-21,26.7,25.0,29.0,,90.0,26.4,1013.2
2021-03-22,26.8,25.2,29.5,,91.0,25.6,1012.6
2021-03-23,26.9,25.5,29.5,,91.0,24.2,1012.9
2021-03-24,26.8,25.6,28.7,,88.0,26.6,1013.5
2021-03-25,26.9,25.5,29.2,,87.0,27.6,1014.6
2021-03-26,26.4,23.5,29.2,,83.0,26.3,1014.5
2021-03-27,26.4,22.7,29.1,,85.0,25.7,1014.2
2021-03-28,26.8,25.2,29.1,,80.0,29.1,1013.2
2021-03-29,27.3,26.0,29.5,,82.0,33.5,1012.7
2021-03-30,27.1,26.0,29.5,,84.0,33.2,1013.3
2021-03-31,26.8,25.0,29.2,,86.0,29.9,1012.4
2021-04-01,27.0,25.5,29.5,,85.0,31.0,1011.1
2021-04-02,26.9,25.5,29.2,,91.0,28.7,1011.2
2021-04-03,26.9,25.0,29.7,,91.0,29.3,1011.7
2021-04-04,26.9,25.5,29.5,,91.0,24.8,1011.5
2021-04-05,26.8,25.1,29.1,,84.0,24.0,1011.4
2021-04-06,27.0,25.2,30.0,,88.0,23.6,1011.8
2021-04-07,27.1,25.5,29.7,,81.0,21.6,1011.9
2021-04-08,27.2,25.2,29.7,,85.0,21.9,1011.7
2021-04-09,27.2,25.6,30.0,,81.0,22.7,1012.6
2021-04-10,27.3,25.7,29.7,,87.0,22.2,1012.2
2021-04-11,27.7,25.8,32.0,,83.0,26.1,1010.9
2021-04-12,27.4,25.7,29.7,,89.0,26.1,1010.3
2021-04-13,28.1,26.0,30.6,,87.0,25.9,1009.8
2021-04-14,28.4,26.6,31.6,,78.0,21.2,1011.1
2021-04-15,27.9,26.5,30.7,,89.0,26.7,1011.1
2021-04-16,28.0,26.2,30.5,,93.0,28.2,1011.3
2021-04-17,27.7,26.6,30.5,,93.0,30.7,1012.6
2021-04-18,27.8,26.5,30.7,,93.0,33.0,1013.4
2021-04-19,27.8,26.2,30.5,,90.0,34.5,1014.6
2021-04-20,27.8,26.2,30.5,,87.0,34.1,1014.4
2021-04-21,27.6,25.7,31.0,,93.0,27.1,1013.8
2021-04-22,27.7,26.0,30.2,,89.0,28.7,1012.6
2021-04-23,27.9,26.2,30.1,,88.0,30.6,1012.4
2021-04-24,27.9,26.5,30.2,,90.0,30.6,1012.8
2021-04-25,27.8,26.1,31.1,,93.0,26.1,1012.4
2021-04-26,27.6,26.0,30.2,,92.0,23.8,1011.2
2021-04-27,27.9,26.2,30.5,,87.0,21.6,1011.2
2021-04-28,25.2,22.7,29.6,,86.0,18.2,1012.0
2021-04-29,25.8,23.2,28.6,,102.0,9.4,1013.1
2021-04-30,26.6,24.0,29.1,,94.0,15.0,1013.2
2021-05-01,27.4,25.7,29.7,,94.0,19.8,1013.1
2021-05-02,27.4,25.2,30.0,,91.0,19.3,1013.5
2021-05-03,27.6,25.5,30.2,,82.0,20.0,1013.9
2021-05-04,26.9,25.5,29.6,,81.0,20.0,1014.4
2021-05-05,27.3,25.2,29.7,,87.0,24.2,1014.2
2021-05-06,27.5,25.2,30.0,,89.0,25.4,1013.5
2021-05-07,27.2,24.5,29.2,,88.0,26.2,1013.7
2021-05-08,27.9,26.0,30.1,,86.0,28.8,1013.9
2021-05-09,27.3,26.1,29.5,,85.0,29.9,1014.2
2021-05-10,28.0,26.7,30.2,,86.0,29.1,1013.5
2021-05-11,28.0,26.5,30.2,,88.0,32.7,1013.5
2021-05-12,27.9,26.5,30.7,,85.0,31.5,1013.6
2021-05-13,27.9,26.2,30.2,,88.0,26.6,1013.5
2021-05-14,28.0,26.2,30.5,,90.0,26.0,1012.9
2021-05-15,28.1,26.7,30.5,,93.0,28.5,1012.5
2021-05-16,28.4,27.0,30.5,,92.0,29.1,1012.6
2021-05-17,28.2,27.0,30.5,,96.0,29.0,1013.2
2021-05-18,28.5,26.5,31.0,,93.0,28.2,1012.8
2021-05-19,28.5,27.1,31.0,,98.0,29.3,1012.4
2021-05-20,28.4,27.0,30.7,,94.0,34.2,1012.3
2021-05-21,28.4,27.2,30.7,,90.0,34.4,1012.5
2021-05-22,28.6,27.5,31.5,,85.0,32.8,1012.3
2021-05-23,28.5,27.0,31.2,,84.0,28.8,1012.5
2021-05-24,28.5,27.5,30.6,,87.0,34.5,1012.9
