time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-28.4,-32.5,-24.4,0.0,,3.5,1016.1
2021-01-02,-24.3,-29.0,-19.6,0.2,79.0,9.1,999.1
2021-01-03,-24.2,-27.4,-21.0,1.7,182.0,7.3,1001.1
2021-01-04,-30.1,-35.6,-24.6,0.0,80.0,4.7,1006.5
2021-01-05,-29.4,-34.3,-24.4,0.0,143.0,3.7,996.5
2021-01-06,-31.4,-34.4,-28.5,0.0,238.0,3.4,995.4
2021-01-07,-27.2,-29.9,-24.6,0.0,82.0,4.0,1004.9
2021-01-08,-21.1,-25.9,-16.3,0.0,81.0,6.4,1007.4
2021-01-09,-19.0,-23.5,-14.5,0.0,78.0,4.2,1006.2
2021-01-10,-15.1,-23.2,-7.0,0.0,104.0,5.4,995.8
2021-01-11,-19.7,-22.6,-16.8,0.0,208.0,4.0,991.5
2021-01-12,-21.6,-25.9,-17.3,0.0,204.0,3.3,994.2
2021-01-13,-19.3,-22.4,-16.2,0.3,301.0,5.1,1005.9
2021-01-14,-19.0,-21.4,-16.6,0.2,44.0,5.2,1022.5
2021-01-15,-20.1,-20.8,-19.3,1.6,69.0,9.7,1011.4
2021-01-16,-20.2,-21.8,-18.6,0.3,82.0,3.8,1015.2
2021-01-17,-22.6,-24.3,-20.8,0.0,144.0,3.3,1013.7
2021-01-18,-20.0,-25.5,-14.5,0.0,83.0,4.0,1013.6
2021-01-19,-14.2,-16.9,-11.6,2.0,320.0,8.4,995.8
2021-01-20,-16.1,-17.3,-14.9,1.0,308.0,5.7,1018.8
2021-01-21,-18.9,-20.6,-17.2,0.0,64.0,3.3,1027.1
2021-01-22,-22.7,-28.1,-17.4,0.0,69.0,6.3,1027.4
2021-01-23,-30.5,-33.9,-27.1,0.0,72.0,5.1,1022.4
2021-01-24,-32.2,-37.9,-26.5,0.1,336.0,3.0,1023.8
2021-01-25,-27.3,-30.2,-24.5,0.3,139.0,4.3,1026.3
2021-01-26,-29.0,-31.9,-26.1,0.1,56.0,3.3,1031.7
2021-01-27,-28.8,-31.9,-25.7,0.0,139.0,4.3,1030.8
2021-01-28,-32.5,-37.7,-27.3,0.0,63.0,3.4,1017.8
2021-01-29,-37.8,-41.1,-34.4,0.0,43.0,1.0,1014.6
2021-01-30,-34.8,-38.7,-30.9,0.0,57.0,1.1,1024.0
2021-01-31,-37.8,-40.8,-34.7,0.0,256.0,1.4,1034.3
