time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-28.8,-35.9,-21.7,0.3,264.0,5.7,1016.5
2021-01-02,-36.7,-40.0,-33.4,0.0,344.0,3.9,1010.8
2021-01-03,-27.4,-33.5,-21.3,0.3,67.0,8.0,1002.6
2021-01-04,-22.6,-26.3,-18.9,1.2,220.0,7.0,1006.2
2021-01-05,-26.8,-33.5,-20.2,0.2,57.0,7.1,1017.4
2021-01-06,-11.3,-20.2,-2.5,2.6,152.0,21.0,1000.1
2021-01-07,-10.8,-18.9,-2.8,0.0,253.0,6.7,1007.0
2021-01-08,-19.4,-23.5,-15.3,0.0,148.0,4.5,1021.8
2021-01-09,-17.1,-22.7,-11.6,0.3,163.0,3.5,1012.5
2021-01-10,-12.6,-15.5,-9.7,0.0,302.0,3.7,1006.7
2021-01-11,-12.3,-17.7,-7.0,0.2,98.0,2.5,998.5
2021-01-12,-10.9,-15.4,-6.4,0.4,197.0,3.9,992.2
2021-01-13,-11.8,-16.8,-6.8,1.5,50.0,7.3,994.8
2021-01-14,-18.5,-22.1,-15.0,0.1,224.0,5.4,1021.4
2021-01-15,-18.1,-22.6,-13.6,0.0,81.0,7.8,1016.6
2021-01-16,-26.5,-30.4,-22.6,0.1,40.0,9.5,1022.0
2021-01-17,-22.7,-27.0,-18.5,0.9,48.0,4.8,1018.0
2021-01-18,-27.0,-32.5,-21.5,0.2,42.0,6.5,1027.7
2021-01-19,-19.2,-26.1,-12.2,12.4,92.0,10.2,999.5
2021-01-20,-18.6,-23.3,-13.8,1.1,50.0,6.7,1008.2
2021-01-21,-26.3,-32.7,-19.9,0.2,318.0,7.8,1024.0
2021-01-22,-37.0,-42.2,-31.8,0.0,131.0,2.8,1028.7
2021-01-23,-31.4,-36.7,-26.2,0.8,209.0,4.2,1025.9
2021-01-24,-29.9,-34.5,-25.2,0.3,93.0,7.5,1030.2
2021-01-25,-32.5,-36.9,-28.2,0.0,62.0,7.8,1038.4
2021-01-26,-32.0,-36.2,-27.9,0.0,26.0,6.3,1034.6
2021-01-27,-26.5,-33.1,-20.0,0.3,76.0,6.3,1029.7
2021-01-28,-23.4,-27.0,-19.9,0.0,215.0,7.3,1024.0
2021-01-29,-27.3,-31.7,-22.8,0.0,80.0,4.0,1019.3
2021-01-30,-26.0,-31.7,-20.4,0.5,335.0,6.4,1022.8
2021-01-31,-20.0,-22.4,-17.6,0.3,77.0,6.0,1027.3
2021-02-01,-18.2,-20.5,-16.0,0.8,56.0,8.0,1026.3
2021-02-02,-24.3,-28.1,-20.5,0.0,47.0,8.4,1028.8
2021-02-03,-26.9,-29.1,-24.8,0.3,45.0,6.4,1026.5
2021-02-04,-34.5,-40.1,-28.9,0.5,338.0,7.9,1025.6
2021-02-05,-41.8,-44.6,-39.1,0.0,310.0,6.3,1033.8
