time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.1,,,,,,
2021-01-02,24.0,20.6,27.7,16.0,,,
2021-01-03,22.7,17.6,27.1,0.0,,,
2021-01-04,24.9,,,,,,
2021-01-05,25.9,17.8,29.5,1.8,,,
2021-01-06,28.2,,,0.0,,,
2021-01-07,25.7,,,,,,
2021-01-08,25.1,,29.3,,,,
2021-01-09,27.2,,31.5,,,,
2021-01-10,27.8,,,,,,
2021-01-11,25.8,,,,,,
2021-01-12,25.4,,,,,,
2021-01-13,27.9,,,,,,
2021-01-14,27.7,19.7,,0.0,,,
2021-01-15,24.0,20.0,31.0,0.0,,,
2021-01-16,24.8,20.2,29.6,14.2,,,
2021-01-17,23.8,,,0.0,,,
2021-01-18,22.3,,,,,,
2021-01-19,23.4,,,,,,
2021-01-20,26.0,17.9,29.3,0.0,,,
2021-01-21,22.8,,29.3,8.1,,,
2021-01-22,24.0,19.6,27.7,1.3,,,
2021-01-23,24.9,14.2,,0.0,,,
2021-01-24,25.7,,29.6,,,,
2021-01-25,26.3,,30.8,,,,
2021-01-26,24.1,19.7,30.8,0.0,,,
2021-01-27,24.6,18.8,30.7,0.0,,,
2021-01-28,26.8,20.6,32.6,0.0,,,
2021-01-29,21.9,19.4,32.6,32.0,,,
2021-01-30,26.1,,,0.0,,,
2021-01-31,25.5,,,,,,
2021-02-01,24.2,,30.5,,,,
2021-02-02,22.2,18.8,30.5,,,,
2021-02-03,22.4,19.0,27.2,11.2,,,
2021-02-04,26.3,,31.5,0.0,,,
2021-02-05,25.3,,31.5,,,,
2021-02-06,25.0,,29.5,,,,
2021-02-07,22.2,,29.5,,,,
2021-02-08,24.3,19.8,,34.3,,,
2021-02-09,24.0,19.6,29.7,9.9,,,
2021-02-10,22.1,16.3,27.9,0.0,,,
2021-02-11,,,,,,,
2021-02-12,,,,,,,
2021-02-13,,,,,,,
2021-02-14,24.1,18.9,31.8,18.0,,,
2021-02-15,24.2,,30.5,0.0,,,
2021-02-16,20.9,,24.2,,,,
2021-02-17,21.3,16.6,24.2,5.1,,,
2021-02-18,25.3,16.4,30.7,0.0,,,
2021-02-19,25.8,16.6,,0.0,,,
2021-02-20,,,,,,,
2021-02-21,,,,,,,
2021-02-22,23.5,,29.3,,,,
2021-02-23,24.7,20.2,29.5,1.0,,,
2021-02-24,23.7,,29.5,0.0,,,
2021-02-25,22.1,,29.3,0.0,,,
2021-02-26,23.3,18.0,29.3,43.9,,,
2021-02-27,19.6,,23.2,0.0,,,
2021-02-28,17.1,,20.2,,,,
2021-03-01,18.3,14.0,20.7,0.0,,,
2021-03-02,20.0,16.6,,1.8,,,
2021-03-03,21.3,15.0,,0.0,,,
2021-03-04,23.6,11.8,,,,,
2021-03-05,24.7,,30.6,,,,
2021-03-06,23.7,17.0,30.6,,,,
2021-03-07,24.5,12.7,30.1,,,,
2021-03-08,25.2,13.9,31.6,,,,
2021-03-09,26.2,13.8,,0.0,,,
2021-03-10,26.7,13.7,,0.0,,,
2021-03-11,27.4,,33.8,,,,
2021-03-12,24.3,15.9,33.8,,,,
2021-03-13,24.7,,,,,,
2021-03-14,24.6,14.0,28.8,0.0,,,
2021-03-15,24.9,15.7,30.6,0.0,,,
2021-03-16,24.4,17.8,30.6,8.4,,,
2021-03-17,25.3,16.7,31.3,0.0,,,
2021-03-18,26.1,17.7,31.5,,,,
2021-03-19,,,,,,,
2021-03-20,25.2,,31.6,,,,
2021-03-21,25.4,12.9,,0.0,,,
2021-03-22,25.2,18.5,31.6,0.0,,,
2021-03-23,23.2,,30.0,,,,
2021-03-24,23.0,16.5,28.1,0.0,,,
2021-03-25,22.3,16.6,28.1,,,,
2021-03-26,,,,,,,
2021-03-27,,,,,,,
2021-03-28,22.6,,28.2,,,,
2021-03-29,21.0,,26.1,,,,
2021-03-30,24.1,12.3,29.4,,,,
2021-03-31,23.3,,29.0,,,,
2021-04-01,23.0,,31.2,,,,
2021-04-02,23.9,9.5,31.2,0.0,,,
2021-04-03,26.7,11.6,,0.0,,,
2021-04-04,25.2,17.4,32.8,,,,
2021-04-05,25.0,,32.1,,,,
2021-04-06,24.8,13.0,32.1,,,,
2021-04-07,21.4,,30.5,,,,
2021-04-08,21.9,10.2,,0.0,,,
2021-04-09,,,,,,,
2021-04-10,22.3,,29.4,,,,
2021-04-11,,,,,,,
2021-04-12,23.2,,30.2,,,,
2021-04-13,24.4,,28.2,,,,
2021-04-14,24.6,,31.7,0.0,,,
2021-04-15,25.3,,31.3,,,,
2021-04-16,,,,,,,
2021-04-17,,,,,,,
2021-04-18,18.1,,24.4,,,,
2021-04-19,18.5,3.0,26.4,0.0,,,
2021-04-20,18.4,3.1,26.4,0.0,,,
2021-04-21,18.5,7.4,25.3,0.0,,,
2021-04-22,20.2,,27.5,,,,
2021-04-23,21.4,,28.8,,,,
2021-04-24,22.1,5.9,,0.0,,,
2021-04-25,22.5,6.3,31.1,,,,
2021-04-26,18.8,5.8,31.1,0.0,,,
2021-04-27,23.0,,31.2,0.0,,,
