time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,8.6,3.9,13.3,0.0,93.0,6.1,1022.6
2021-01-02,8.6,3.9,15.6,0.0,5.0,4.7,1024.5
2021-01-03,11.7,8.9,15.6,0.0,338.0,5.0,1023.6
2021-01-04,12.6,8.3,17.2,0.0,38.0,7.9,1022.1
2021-01-05,10.8,5.6,15.6,0.0,320.0,6.5,1024.1
2021-01-06,8.7,3.9,15.0,0.0,344.0,4.3,1023.8
2021-01-07,7.8,3.3,12.8,0.0,343.0,4.7,1024.2
2021-01-08,7.1,5.6,12.2,0.0,319.0,9.4,1025.1
2021-01-09,8.3,6.1,10.6,0.0,353.0,5.4,1025.0
2021-01-10,7.6,2.8,15.0,0.0,335.0,4.7,1025.4
2021-01-11,9.1,3.9,15.6,0.0,346.0,4.7,1024.8
2021-01-12,9.3,5.0,14.4,0.0,17.0,3.2,1026.2
2021-01-13,9.8,4.4,17.8,0.0,10.0,4.0,1028.4
2021-01-14,10.8,4.4,16.7,0.0,0.0,4.3,1027.3
2021-01-15,11.0,5.6,20.0,0.0,349.0,7.2,1025.8
2021-01-16,11.4,6.1,18.3,0.0,97.0,5.8,1021.9
2021-01-17,12.4,6.1,21.1,0.0,337.0,3.2,1019.0
2021-01-18,12.8,6.7,20.6,0.0,336.0,6.5,1012.7
2021-01-19,13.5,6.7,20.0,0.0,307.0,11.9,1010.7
2021-01-20,10.7,2.8,18.3,0.0,347.0,3.6,1018.7
2021-01-21,10.8,3.9,20.0,0.0,85.0,5.4,1017.6
2021-01-22,11.8,7.2,13.3,3.3,73.0,9.7,1013.0
2021-01-23,8.4,6.1,13.3,10.4,330.0,9.0,1013.4
2021-01-24,8.3,5.0,12.2,9.1,119.0,8.6,1013.1
2021-01-25,7.4,5.0,8.3,6.6,314.0,13.7,1009.0
2021-01-26,6.1,1.7,10.6,2.0,110.0,12.6,1015.4
2021-01-27,8.6,6.1,12.8,7.9,119.0,20.5,1013.3
2021-01-28,10.9,7.8,12.8,45.2,115.0,14.0,1010.8
2021-01-29,9.1,5.0,13.3,1.8,96.0,7.9,1013.7
2021-01-30,8.4,3.3,15.6,0.0,31.0,5.0,1022.3
2021-01-31,10.1,4.4,17.2,0.0,37.0,4.3,1021.7
2021-02-01,14.5,10.6,22.8,0.0,98.0,9.0,1017.1
2021-02-02,14.9,7.8,21.7,0.0,101.0,12.2,1018.8
2021-02-03,12.3,7.2,15.6,0.0,310.0,16.9,1021.8
2021-02-04,8.7,5.0,13.9,0.0,8.0,5.4,1023.9
2021-02-05,9.3,3.3,16.7,0.0,347.0,4.7,1022.8
2021-02-06,10.9,5.0,19.4,0.0,350.0,3.2,1019.4
2021-02-07,11.7,5.6,20.0,0.0,351.0,3.6,1015.8
2021-02-08,11.9,5.6,18.9,0.0,358.0,4.7,1014.5
2021-02-09,13.9,10.0,18.9,0.0,327.0,6.5,1015.6
2021-02-10,13.7,8.9,20.0,0.0,349.0,5.8,1017.9
2021-02-11,13.2,8.3,17.8,0.3,22.0,5.8,1017.7
2021-02-12,13.3,9.4,16.1,6.6,311.0,13.3,1015.7
2021-02-13,12.5,8.3,16.7,0.5,311.0,13.0,1015.9
2021-02-14,10.6,5.6,15.0,0.0,322.0,9.7,1018.0
2021-02-15,11.6,8.9,15.0,0.0,50.0,6.1,1019.0
2021-02-16,11.2,6.1,16.1,0.0,300.0,14.8,1019.0
2021-02-17,9.8,3.3,16.1,0.0,345.0,5.0,1020.8
2021-02-18,10.5,4.4,18.3,0.0,96.0,7.6,1027.1
2021-02-19,12.1,5.0,21.1,0.0,346.0,6.5,1025.5
2021-02-20,12.7,7.2,15.0,0.0,308.0,21.2,1025.8
2021-02-21,9.7,3.3,17.2,0.0,348.0,5.8,1029.7
2021-02-22,11.7,4.4,21.1,0.0,335.0,4.7,1025.4
2021-02-23,13.3,6.7,21.1,0.0,357.0,4.3,1020.0
2021-02-24,13.5,6.7,21.1,0.0,326.0,7.9,1019.8
2021-02-25,11.8,3.9,18.9,0.0,330.0,5.4,1022.9
2021-02-26,12.1,5.0,20.0,0.0,4.0,7.6,1019.8
2021-02-27,12.3,6.1,18.3,0.0,314.0,16.6,1018.0
2021-02-28,11.7,4.4,19.4,0.0,122.0,9.4,1021.9
2021-03-01,13.2,5.0,22.8,0.0,76.0,6.1,1020.2
2021-03-02,14.4,6.1,23.3,0.0,332.0,6.1,1012.5
2021-03-03,13.3,7.8,18.9,0.0,54.0,7.9,1009.2
2021-03-04,12.7,6.1,21.1,0.0,358.0,4.7,1022.8
2021-03-05,14.1,6.1,24.4,0.0,331.0,6.1,1020.0
2021-03-06,15.3,8.9,18.9,0.0,315.0,15.5,1018.5
2021-03-07,12.2,6.1,17.8,0.0,326.0,7.9,1018.3
2021-03-08,13.1,8.3,17.8,0.0,323.0,13.0,1021.0
2021-03-09,11.2,5.6,16.7,0.0,277.0,10.1,1019.6
2021-03-10,11.1,5.6,13.9,10.9,117.0,15.1,1015.6
2021-03-11,7.4,4.4,12.8,0.0,337.0,9.4,1018.0
2021-03-12,10.4,6.7,15.6,0.0,85.0,6.8,1020.9
2021-03-13,11.9,6.1,18.9,0.0,344.0,8.3,1023.7
2021-03-14,11.9,5.6,17.8,0.0,,9.0,
2021-03-15,10.1,5.0,11.7,12.2,305.0,11.9,1016.2
2021-03-16,7.2,3.3,13.3,0.0,106.0,6.1,1018.4
2021-03-17,10.0,4.4,17.2,0.0,16.0,4.0,1019.2
2021-03-18,15.7,12.2,22.8,0.0,80.0,7.6,1018.9
2021-03-19,16.7,11.7,19.4,9.9,316.0,10.1,1020.5
2021-03-20,12.1,7.8,16.7,0.8,310.0,19.8,1023.4
2021-03-21,11.1,5.6,17.8,0.0,334.0,7.6,1022.7
2021-03-22,12.9,6.7,20.0,0.0,328.0,10.1,1020.3
2021-03-23,13.3,8.3,21.1,0.0,333.0,17.3,1014.4
2021-03-24,13.8,6.1,20.6,0.0,352.0,6.5,1015.8
2021-03-25,13.7,8.3,17.8,0.0,318.0,13.0,1009.0
2021-03-26,12.7,6.7,21.1,0.0,350.0,5.4,1015.6
2021-03-27,16.1,8.9,24.4,0.0,81.0,5.8,1024.0
2021-03-28,18.4,10.0,28.3,0.0,329.0,5.8,1022.6
2021-03-29,19.4,10.0,27.2,0.0,317.0,11.2,1014.6
2021-03-30,16.7,8.9,24.4,0.0,293.0,6.8,1015.5
2021-03-31,18.8,10.0,28.9,0.0,338.0,6.1,1019.0
2021-04-01,20.7,11.7,30.6,0.0,347.0,7.2,1014.0
2021-04-02,21.7,12.8,31.1,0.0,337.0,5.8,1013.8
2021-04-03,20.2,11.1,27.2,0.0,312.0,11.9,1017.7
2021-04-04,16.7,9.4,24.4,0.0,319.0,11.2,1019.6
2021-04-05,16.6,9.4,23.3,0.0,305.0,14.4,1015.5
2021-04-06,16.2,8.9,25.0,0.0,320.0,8.3,1015.9
2021-04-07,19.1,11.7,27.2,0.0,307.0,10.1,1018.4
2021-04-08,17.3,9.4,25.0,0.0,310.0,12.2,1018.7
2021-04-09,18.2,10.6,26.7,0.0,334.0,7.9,1017.4
2021-04-10,16.8,8.3,23.9,0.0,312.0,12.2,1015.7
2021-04-11,19.3,11.7,26.7,0.0,316.0,8.6,1010.5
2021-04-12,20.4,12.2,28.3,0.0,310.0,8.6,1008.4
2021-04-13,20.2,12.2,25.6,0.0,308.0,11.9,1008.3
2021-04-14,15.3,8.9,21.1,0.0,318.0,7.2,1013.2
2021-04-15,16.8,10.0,25.0,0.0,314.0,9.4,1015.3
2021-04-16,18.1,10.0,26.1,0.0,315.0,12.6,1014.0
2021-04-17,19.5,11.7,27.2,0.0,308.0,7.9,1014.9
2021-04-18,21.5,12.8,30.6,0.0,290.0,9.4,1017.4
2021-04-19,22.9,13.9,31.7,0.0,320.0,10.1,1015.8
2021-04-20,22.1,11.7,28.9,0.0,314.0,12.6,1010.4
2021-04-21,16.9,11.1,25.0,0.0,315.0,6.8,1009.8
2021-04-22,19.1,11.7,27.2,0.0,297.0,13.0,1011.0
2021-04-23,17.8,10.0,26.7,0.0,309.0,11.5,1013.5
2021-04-24,18.2,11.7,24.4,0.0,306.0,15.1,1015.0
2021-04-25,16.9,11.7,18.3,3.8,348.0,9.7,1013.0
2021-04-26,13.6,10.0,20.0,0.0,303.0,18.4,1012.6
2021-04-27,14.8,8.3,22.8,0.0,308.0,9.4,1015.0
2021-04-28,18.8,11.7,28.3,0.0,1.0,8.3,1020.4
2021-04-29,22.6,14.4,32.8,0.0,330.0,7.2,1021.1
2021-04-30,25.3,16.1,35.0,0.0,317.0,11.5,1017.3
2021-05-01,23.7,15.0,30.6,0.0,305.0,20.5,1013.3
2021-05-02,20.0,11.1,28.9,0.0,302.0,20.5,1010.5
2021-05-03,22.0,14.4,30.0,0.0,302.0,8.3,1011.0
2021-05-04,24.5,16.7,33.3,0.0,271.0,8.6,1012.1
2021-05-05,26.7,17.8,36.7,0.0,344.0,9.0,1011.3
2021-05-06,26.9,18.9,32.8,0.0,311.0,20.5,1013.3
2021-05-07,21.9,14.4,27.8,0.0,306.0,17.3,1014.5
2021-05-08,20.9,13.9,29.4,0.0,304.0,9.4,1014.0
2021-05-09,23.2,15.6,31.1,0.0,294.0,12.2,1011.0
2021-05-10,23.7,15.6,32.2,0.0,297.0,11.5,1009.2
2021-05-11,25.6,16.7,34.4,0.0,316.0,8.3,1010.5
2021-05-12,26.9,17.2,36.7,0.0,330.0,10.1,1012.4
2021-05-13,27.5,17.8,35.6,0.0,300.0,13.0,1012.9
2021-05-14,25.7,16.7,34.4,0.0,313.0,10.8,1010.4
2021-05-15,20.9,11.7,26.1,0.0,311.0,15.5,1009.8
2021-05-16,19.1,13.3,27.2,0.0,312.0,7.6,1012.0
2021-05-17,21.8,14.4,29.4,0.0,299.0,13.3,1014.3
2021-05-18,22.0,14.4,31.1,0.0,308.0,16.9,1015.1
2021-05-19,22.1,13.9,28.3,0.0,302.0,20.2,1012.1
2021-05-20,17.4,10.0,22.2,0.0,305.0,27.0,1013.3
2021-05-21,16.6,10.6,23.3,0.0,307.0,15.1,1013.4
2021-05-22,17.4,11.1,25.0,0.0,305.0,11.5,1016.2
2021-05-23,20.1,12.8,27.2,0.0,299.0,12.2,1017.8
2021-05-24,22.1,13.9,31.7,0.0,295.0,12.6,1017.1
2021-05-25,24.9,17.8,31.7,0.0,308.0,20.9,1015.0
2021-05-26,23.4,15.0,32.2,0.0,311.0,14.8,1014.5
2021-05-27,24.5,16.1,32.2,0.0,304.0,16.9,1015.6
2021-05-28,23.9,15.6,32.2,0.0,310.0,13.0,1013.6
2021-05-29,24.3,16.7,32.2,0.0,301.0,15.1,1010.2
2021-05-30,24.3,15.6,33.9,0.0,304.0,9.0,1009.9
2021-05-31,29.8,21.7,38.3,0.0,325.0,10.1,1010.0
2021-06-01,31.8,23.9,40.0,0.0,307.0,13.3,1010.2
2021-06-02,31.4,22.2,40.0,0.0,311.0,11.5,1008.7
2021-06-03,30.6,21.1,38.9,0.0,303.0,11.2,1007.5
2021-06-04,30.4,22.2,38.3,0.0,306.0,14.0,1009.7
2021-06-05,29.1,20.0,37.2,0.0,306.0,12.2,1009.4
2021-06-06,28.1,20.0,35.0,0.0,295.0,13.3,1007.0
2021-06-07,23.9,16.1,28.9,0.0,309.0,14.8,1009.0
2021-06-08,19.9,13.3,26.1,0.0,303.0,18.7,1014.9
2021-06-09,19.2,12.8,25.0,0.0,303.0,20.2,1018.2
2021-06-10,18.3,11.7,26.1,0.0,307.0,19.1,1020.7
2021-06-11,20.6,13.3,28.9,0.0,308.0,15.8,1016.3
2021-06-12,23.6,16.7,32.8,0.0,308.0,13.3,1012.8
2021-06-13,27.5,20.6,35.6,0.0,306.0,16.2,1011.0
2021-06-14,26.2,18.9,33.3,0.0,304.0,18.4,1013.9
2021-06-15,25.5,18.3,33.3,0.0,305.0,18.4,1015.6
2021-06-16,26.8,18.3,35.6,0.0,305.0,9.4,1012.8
2021-06-17,30.0,21.7,40.6,0.0,334.0,6.5,1007.7
2021-06-18,34.7,26.1,43.9,0.0,305.0,9.7,1004.6
2021-06-19,34.8,25.6,43.9,0.0,300.0,13.7,1004.1
2021-06-20,33.3,24.4,42.2,0.0,285.0,10.8,1006.4
2021-06-21,31.7,21.7,40.0,0.0,278.0,11.5,1009.4
2021-06-22,28.2,18.3,35.6,0.0,265.0,10.8,1010.0
2021-06-23,26.9,18.3,35.6,0.0,298.0,13.7,1010.5
2021-06-24,26.6,18.9,33.3,0.0,308.0,14.8,1013.0
2021-06-25,26.3,18.3,35.0,0.0,305.0,12.2,1012.5
