time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.7,23.0,29.0,,115.0,12.9,1012.8
2021-01-02,25.5,24.0,27.2,,108.0,13.8,1011.1
2021-01-03,25.6,24.0,28.0,39.8,14.0,11.5,1009.4
2021-01-04,25.5,24.0,29.0,6.6,353.0,13.6,1009.0
2021-01-05,26.4,25.0,28.5,17.5,349.0,15.6,1006.9
2021-01-06,26.3,24.0,30.0,1.4,306.0,9.5,1006.0
2021-01-07,26.3,23.0,30.0,0.9,358.0,8.8,1008.9
2021-01-08,26.6,24.0,30.0,4.5,354.0,13.8,1012.6
2021-01-09,26.8,24.0,29.7,0.0,53.0,11.0,1014.7
2021-01-10,26.9,25.0,30.0,0.1,71.0,9.4,1014.2
2021-01-11,26.9,25.0,30.0,0.0,67.0,10.9,1013.8
2021-01-12,27.0,25.0,30.0,0.4,57.0,12.2,1012.8
2021-01-13,27.2,25.0,30.0,1.3,42.0,11.9,1013.1
2021-01-14,27.2,24.0,30.0,2.0,45.0,11.7,1013.5
2021-01-15,27.3,24.0,31.0,1.3,29.0,10.7,1012.6
2021-01-16,27.5,24.6,31.0,0.7,21.0,11.5,1012.7
2021-01-17,27.6,24.5,31.0,0.2,1.0,10.1,1013.0
2021-01-18,27.8,25.0,31.0,0.5,359.0,11.1,1012.9
2021-01-19,27.2,24.0,32.0,0.5,338.0,8.8,1012.8
2021-01-20,27.3,23.0,32.0,0.1,355.0,7.1,1011.5
2021-01-21,26.9,23.0,31.0,5.7,355.0,11.5,1009.8
2021-01-22,25.8,23.0,30.0,34.8,0.0,12.4,1010.5
2021-01-23,24.8,22.9,28.0,19.4,353.0,10.6,1010.9
2021-01-24,25.5,22.0,28.0,41.7,342.0,9.2,1009.2
2021-01-25,24.8,22.0,29.0,16.0,94.0,7.3,1006.7
2021-01-26,25.4,23.6,28.8,10.0,43.0,12.3,1006.0
2021-01-27,25.3,23.0,28.0,17.6,45.0,13.2,1006.6
2021-01-28,23.7,22.4,25.0,39.5,47.0,12.0,1005.6
2021-01-29,25.4,24.0,28.0,157.8,347.0,30.3,1000.7
2021-01-30,24.9,23.0,27.0,39.6,313.0,16.9,1004.3
2021-01-31,25.7,22.6,30.0,17.4,8.0,14.6,1006.3
2021-02-01,25.0,21.9,27.2,29.4,28.0,15.7,1005.5
2021-02-02,26.9,24.0,29.0,27.8,354.0,35.8,1002.1
2021-02-03,26.0,24.0,28.8,18.2,309.0,14.8,1006.3
