time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,21.4,18.0,24.4,,299.0,8.4,1018.1
2021-01-02,20.7,16.8,24.0,0.0,276.0,9.7,1018.7
2021-01-03,20.6,17.0,25.0,0.0,326.0,9.9,1017.5
2021-01-04,20.0,15.8,24.1,0.0,338.0,10.1,1017.3
2021-01-05,19.5,14.8,24.0,0.0,310.0,10.3,1018.8
2021-01-06,19.6,14.0,24.0,0.0,331.0,10.0,1019.5
2021-01-07,19.7,16.0,23.0,0.0,57.0,14.6,1020.1
2021-01-08,19.9,16.0,22.2,0.0,102.0,17.4,1020.7
2021-01-09,17.4,12.0,22.4,0.0,288.0,9.2,1020.1
2021-01-10,18.0,13.0,23.0,0.0,290.0,9.2,1019.7
2021-01-11,18.2,12.9,23.1,0.0,306.0,9.7,1019.6
2021-01-12,18.4,12.1,25.0,0.0,293.0,9.3,1019.6
2021-01-13,20.3,14.5,25.0,0.0,318.0,11.9,1017.6
2021-01-14,22.2,19.0,27.0,0.0,293.0,26.0,1015.1
2021-01-15,22.3,18.5,27.0,0.0,305.0,18.0,1014.2
2021-01-16,21.9,18.0,25.0,0.0,314.0,13.7,1013.1
2021-01-17,21.8,18.0,25.3,0.0,234.0,8.6,1012.4
2021-01-18,25.2,18.9,32.0,0.0,296.0,13.5,1014.0
2021-01-19,25.0,21.1,30.0,0.0,295.0,25.6,1015.2
2021-01-20,23.0,19.8,26.2,0.0,297.0,16.4,1016.0
2021-01-21,25.1,22.0,30.0,0.0,296.0,22.1,1015.8
2021-01-22,21.9,19.0,26.4,0.0,305.0,21.9,1017.2
2021-01-23,20.9,19.0,23.0,0.0,123.0,14.0,1020.6
2021-01-24,19.8,15.7,23.0,0.0,288.0,8.3,1019.8
2021-01-25,20.5,16.4,25.0,0.0,280.0,8.6,1019.1
2021-01-26,22.4,18.4,28.0,0.0,291.0,22.4,1017.6
2021-01-27,21.9,19.0,25.0,0.0,292.0,12.3,1017.6
2021-01-28,20.3,16.0,24.2,0.0,279.0,8.4,1018.9
2021-01-29,20.7,16.0,25.0,0.0,207.0,9.5,1018.3
2021-01-30,21.7,17.0,26.0,0.0,196.0,7.4,1016.8
2021-01-31,23.7,19.0,29.4,0.0,296.0,16.3,1016.0
2021-02-01,22.4,18.6,28.0,0.0,302.0,26.4,1017.9
