time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,6.9,1.7,12.9,0.0,322.0,8.8,1028.6
2021-01-02,10.1,3.2,14.6,0.0,349.0,9.0,1026.8
2021-01-03,12.7,4.7,18.3,0.0,333.0,7.9,1025.9
2021-01-04,14.2,8.4,18.3,0.0,311.0,6.5,1024.0
2021-01-05,12.2,10.3,16.2,0.5,17.0,6.6,1023.7
2021-01-06,10.9,11.0,15.7,0.0,42.0,7.6,1023.5
2021-01-07,5.9,4.6,15.7,0.0,50.0,8.7,1026.4
2021-01-08,5.3,1.9,10.1,0.0,337.0,10.9,1028.5
2021-01-09,5.3,1.5,11.0,0.0,336.0,10.4,1028.6
2021-01-10,8.1,2.3,12.1,0.0,359.0,8.7,1027.5
2021-01-11,7.0,8.0,12.1,0.0,328.0,10.0,1027.2
2021-01-12,6.6,2.1,14.8,0.0,306.0,13.7,1024.9
2021-01-13,9.0,1.4,17.0,0.0,277.0,7.6,1021.1
2021-01-14,12.4,3.5,19.6,0.0,257.0,6.2,1019.2
2021-01-15,15.0,5.3,23.5,0.0,273.0,6.6,1017.0
2021-01-16,10.9,8.4,23.5,0.0,39.0,8.5,1021.8
2021-01-17,8.6,5.0,19.2,0.0,49.0,10.4,1029.3
2021-01-18,9.2,4.8,16.5,0.0,345.0,9.0,1026.3
2021-01-19,12.9,5.9,16.5,0.0,355.0,9.8,1024.4
2021-01-20,16.8,7.7,18.9,0.0,324.0,8.0,1021.3
2021-01-21,19.6,13.3,27.8,0.0,241.0,6.3,1016.9
2021-01-22,17.6,14.0,27.8,0.0,228.0,6.8,1014.1
2021-01-23,15.2,13.0,27.4,0.0,273.0,6.6,1015.5
2021-01-24,12.1,11.0,24.4,0.0,50.0,6.8,1021.3
2021-01-25,13.5,9.8,21.2,0.0,222.0,6.6,1020.4
2021-01-26,14.8,11.3,23.4,0.0,256.0,5.7,1018.9
2021-01-27,13.1,12.0,23.4,0.0,98.0,6.2,1021.1
2021-01-28,12.8,11.0,18.8,0.0,327.0,8.0,1023.0
2021-01-29,9.3,5.4,18.8,0.0,43.0,10.1,1027.5
2021-01-30,13.5,5.2,19.0,0.0,311.0,8.6,1025.9
2021-01-31,15.3,7.0,23.6,0.0,245.0,7.6,1023.0
2021-02-01,16.9,11.6,26.7,0.0,233.0,6.2,1019.3
2021-02-02,12.3,12.0,26.7,0.0,28.0,7.2,1024.2
2021-02-03,14.4,10.4,20.6,0.0,350.0,7.8,1025.3
2021-02-04,15.6,11.1,23.1,0.0,281.0,7.4,1024.6
2021-02-05,16.8,13.0,24.7,0.0,249.0,7.2,1020.5
2021-02-06,16.9,13.7,26.2,0.0,214.0,6.7,1018.4
2021-02-07,17.9,15.3,26.2,0.0,214.0,6.7,1020.0
2021-02-08,13.5,12.0,24.7,0.0,53.0,8.9,1023.8
2021-02-09,11.8,11.0,19.5,0.5,20.0,10.2,1025.0
2021-02-10,12.6,10.0,14.7,14.0,343.0,10.4,1018.3
2021-02-11,14.4,13.0,16.0,,333.0,11.9,1015.5
2021-02-12,14.9,13.0,17.0,,341.0,7.9,1017.7
2021-02-13,14.8,13.0,21.0,0.0,348.0,6.4,1019.0
2021-02-14,16.2,12.0,25.9,0.0,288.0,7.3,1015.3
2021-02-15,16.6,10.0,25.9,0.0,224.0,8.5,1016.9
2021-02-16,15.8,12.8,24.3,0.5,198.0,6.9,1018.2
2021-02-17,12.9,11.0,22.4,0.0,73.0,8.2,1023.7
2021-02-18,11.7,10.0,19.9,0.0,68.0,10.0,1028.5
2021-02-19,14.8,7.3,20.0,0.0,241.0,7.3,1025.1
2021-02-20,14.1,8.1,24.6,0.0,236.0,6.5,1020.5
2021-02-21,15.8,9.9,25.4,0.0,217.0,6.9,1017.3
2021-02-22,19.1,12.7,29.0,0.0,217.0,6.0,1015.9
2021-02-23,15.4,13.0,29.0,0.0,54.0,8.0,1019.3
2021-02-24,16.8,13.0,22.6,0.0,3.0,7.3,1017.3
2021-02-25,18.1,14.7,22.5,1.0,256.0,6.2,1011.9
2021-02-26,14.4,13.0,22.5,18.3,190.0,6.0,1012.2
2021-02-27,14.7,13.0,18.3,3.8,228.0,6.0,1017.1
2021-02-28,15.6,13.4,19.6,0.0,212.0,5.1,1018.1
2021-03-01,17.5,14.0,25.6,5.1,229.0,5.1,1016.1
2021-03-02,11.8,10.5,25.6,2.8,95.0,8.3,1023.7
2021-03-03,12.3,10.5,14.2,1.8,339.0,7.0,1024.3
2021-03-04,15.1,11.1,18.8,1.3,280.0,6.0,1019.6
2021-03-05,14.8,12.0,18.8,1.0,196.0,5.4,1019.5
2021-03-06,14.7,12.7,19.3,20.1,191.0,5.4,1019.7
2021-03-07,14.3,12.6,19.3,0.3,314.0,5.9,1022.9
2021-03-08,14.2,12.9,16.7,0.0,28.0,6.1,1023.8
2021-03-09,15.4,13.0,22.5,1.5,226.0,6.2,1023.0
2021-03-10,14.7,12.7,22.5,0.0,31.0,7.2,1025.2
2021-03-11,16.4,13.0,23.5,0.0,272.0,6.1,1021.7
2021-03-12,16.3,13.0,23.5,0.0,182.0,5.8,1021.3
2021-03-13,13.8,12.0,21.8,1.3,107.0,6.7,1022.3
2021-03-14,15.7,12.6,23.5,0.0,255.0,7.0,1019.7
2021-03-15,17.7,12.5,27.1,0.0,221.0,7.7,1015.8
2021-03-16,19.3,13.0,29.3,0.0,192.0,7.0,1013.7
2021-03-17,16.4,14.0,29.3,0.0,153.0,10.6,1016.4
2021-03-18,16.7,14.0,24.2,0.0,63.0,8.5,1015.9
2021-03-19,17.7,15.0,27.3,0.0,149.0,7.9,1013.4
2021-03-20,17.1,14.0,27.3,13.7,136.0,10.8,1012.6
2021-03-21,12.3,11.0,26.5,3.3,44.0,27.6,1021.3
2021-03-22,12.8,10.3,16.6,0.0,31.0,15.6,1026.9
2021-03-23,12.7,10.3,16.6,3.3,10.0,15.5,1023.7
2021-03-24,15.4,11.0,22.9,0.0,283.0,11.1,1017.7
2021-03-25,17.1,11.2,23.2,0.0,6.0,13.7,1020.0
2021-03-26,17.8,13.1,25.0,0.0,1.0,9.9,1017.7
2021-03-27,20.8,15.9,28.3,0.0,190.0,11.2,1011.0
2021-03-28,18.9,19.0,28.9,0.0,160.0,11.2,1009.3
2021-03-29,19.7,18.0,28.9,0.0,163.0,8.8,1009.1
2021-03-30,20.1,19.2,30.6,6.1,164.0,8.9,1006.0
2021-03-31,17.8,18.0,30.6,0.0,155.0,7.0,1008.6
2021-04-01,21.4,18.8,27.5,0.0,169.0,8.1,1007.6
2021-04-02,20.6,21.0,28.2,0.0,164.0,8.6,1010.1
2021-04-03,19.6,19.7,28.2,0.0,161.0,8.3,1012.9
2021-04-04,16.3,15.4,28.2,0.0,137.0,8.6,1018.3
2021-04-05,16.3,14.2,19.5,0.0,126.0,8.8,1021.2
2021-04-06,16.7,13.7,21.5,0.0,186.0,7.5,1020.5
2021-04-07,17.1,14.7,24.4,0.0,46.0,10.6,1019.6
2021-04-08,14.4,13.0,24.4,0.0,17.0,19.7,1018.7
2021-04-09,16.1,13.7,22.1,0.0,29.0,22.5,1021.2
2021-04-10,17.4,14.3,24.0,0.0,31.0,23.8,1022.8
2021-04-11,19.9,15.7,26.7,0.5,355.0,10.1,1020.2
2021-04-12,22.2,16.3,31.0,0.0,202.0,12.8,1015.0
2021-04-13,17.3,14.6,31.0,2.5,32.0,22.6,1016.3
2021-04-14,14.3,14.0,26.3,13.7,25.0,23.9,1018.5
2021-04-15,15.1,12.9,17.6,1.3,19.0,11.9,1016.7
2021-04-16,19.2,13.5,25.5,0.8,32.0,8.7,1015.8
2021-04-17,20.3,15.8,27.7,0.0,8.0,14.1,1018.3
2021-04-18,17.2,15.2,27.7,0.0,30.0,30.4,1020.3
2021-04-19,17.9,15.2,24.1,0.0,25.0,23.1,1017.3
2021-04-20,20.0,15.7,25.2,0.0,13.0,19.3,1015.8
2021-04-21,21.8,17.8,27.2,0.0,21.0,22.4,1014.6
2021-04-22,22.8,20.0,30.9,0.0,14.0,15.3,1010.0
2021-04-23,22.2,19.0,30.9,0.0,28.0,14.6,1009.8
2021-04-24,21.7,19.0,30.8,0.8,31.0,17.9,1012.9
2021-04-25,20.1,18.9,27.5,1.8,19.0,20.4,1015.0
2021-04-26,21.1,18.9,25.8,0.0,24.0,22.4,1016.6
2021-04-27,20.6,19.0,25.8,6.1,326.0,8.2,1015.9
2021-04-28,18.8,18.0,23.7,15.0,37.0,7.8,1016.0
2021-04-29,19.8,17.0,28.2,0.8,125.0,10.0,1013.7
2021-04-30,23.7,16.4,31.8,0.0,216.0,11.7,1010.6
2021-05-01,24.1,19.0,35.1,0.0,202.0,16.2,1010.5
2021-05-02,22.1,19.6,35.1,0.0,36.0,21.8,1016.2
2021-05-03,21.3,19.8,29.1,4.3,12.0,11.8,1015.5
2021-05-04,24.6,20.0,30.3,21.1,190.0,12.4,1010.9
2021-05-05,18.6,15.3,30.3,2.8,21.0,20.2,1016.4
2021-05-06,21.4,15.3,28.9,0.0,71.0,8.1,1016.5
2021-05-07,24.7,18.9,32.9,14.2,201.0,11.9,1011.8
2021-05-08,21.9,19.9,32.9,12.2,257.0,8.6,1009.9
2021-05-09,23.9,19.9,30.7,1.5,232.0,9.1,1009.1
2021-05-10,26.2,21.2,32.7,0.0,185.0,14.1,1007.7
2021-05-11,26.9,23.0,32.8,0.0,196.0,19.0,1006.3
2021-05-12,25.3,24.0,32.8,2.3,186.0,7.9,1007.6
2021-05-13,27.2,23.5,33.5,0.0,170.0,11.0,1008.1
2021-05-14,28.5,25.0,36.8,0.0,178.0,18.4,1008.1
2021-05-15,28.9,25.0,36.8,0.0,190.0,22.1,1007.5
2021-05-16,29.0,25.0,36.5,0.0,199.0,20.5,1007.0
2021-05-17,24.2,21.0,35.4,7.6,16.0,13.7,1009.4
2021-05-18,21.4,21.0,32.2,22.9,36.0,13.1,1010.9
2021-05-19,24.2,21.0,28.6,0.5,48.0,9.1,1009.0
2021-05-20,27.4,21.7,32.5,0.0,199.0,16.4,1007.0
2021-05-21,22.2,20.0,32.5,47.5,22.0,17.5,1008.5
2021-05-22,21.6,20.1,29.5,0.5,34.0,13.5,1008.8
2021-05-23,24.5,20.1,29.4,0.0,93.0,8.0,1008.8
2021-05-24,21.8,19.7,29.4,33.5,26.0,14.9,1010.9
2021-05-25,23.7,19.7,29.9,0.0,9.0,7.9,1012.5
2021-05-26,28.0,21.5,34.2,0.3,213.0,16.5,1008.0
2021-05-27,25.6,22.0,34.2,58.2,203.0,15.8,1007.4
2021-05-28,24.9,22.0,34.1,11.7,223.0,6.6,1008.0
2021-05-29,21.6,20.8,29.4,36.1,309.0,7.8,1007.8
2021-05-30,21.9,20.8,23.3,38.6,348.0,7.5,1006.3
2021-05-31,22.3,21.0,24.0,,354.0,10.4,1007.6
2021-06-01,24.9,20.1,28.6,0.0,243.0,6.9,1008.0
2021-06-02,26.8,21.4,33.0,3.3,205.0,9.1,1006.9
2021-06-03,29.1,24.2,35.0,0.0,203.0,13.9,1004.6
2021-06-04,22.8,20.8,35.0,14.7,48.0,21.4,1005.1
2021-06-05,21.9,20.8,29.1,14.5,3.0,9.6,1005.5
2021-06-06,23.8,19.5,29.1,0.0,31.0,11.5,1007.1
2021-06-07,23.7,19.5,29.1,1.3,21.0,9.7,1010.8
2021-06-08,25.4,21.5,30.5,0.8,212.0,5.5,1011.0
2021-06-09,26.7,23.0,32.1,0.0,161.0,6.7,1009.2
2021-06-10,27.9,24.5,33.0,0.0,132.0,7.5,1007.4
2021-06-11,28.1,24.7,35.4,55.1,88.0,7.9,1008.0
2021-06-12,28.8,24.6,35.4,0.5,40.0,8.0,1010.2
2021-06-13,29.9,26.3,35.9,0.0,201.0,15.5,1008.5
2021-06-14,29.3,26.3,35.9,2.8,198.0,17.0,1004.5
