time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.8,6.8,17.0,,1.0,0.0,1021.0
2021-01-02,12.6,7.2,19.0,,349.0,2.0,1021.7
2021-01-03,12.0,5.8,20.2,,,0.8,1020.1
2021-01-04,11.0,5.0,19.0,,,1.2,1019.3
2021-01-05,11.5,4.8,18.4,,,2.1,1020.8
2021-01-06,11.0,4.4,18.0,,,0.5,1022.3
2021-01-07,10.6,3.0,19.0,,9.0,3.5,1022.8
2021-01-08,9.7,2.8,18.0,,,2.3,1023.3
2021-01-09,10.2,4.4,19.0,,3.0,2.2,1023.2
2021-01-10,9.2,0.6,18.6,,,0.0,1022.9
2021-01-11,8.5,-1.0,19.0,,,1.3,1023.0
2021-01-12,9.2,0.0,21.2,,,0.5,1023.2
2021-01-13,10.0,0.8,20.8,,0.0,0.0,1021.1
2021-01-14,10.6,2.0,21.0,,6.0,1.4,1018.3
2021-01-15,12.2,5.8,20.4,,12.0,2.2,1017.2
2021-01-16,13.0,5.6,22.4,,357.0,0.5,1016.0
2021-01-17,13.4,7.0,18.8,,87.0,5.6,1014.2
2021-01-18,11.7,6.0,19.2,,10.0,3.4,1017.7
2021-01-19,10.6,4.0,18.6,,356.0,0.9,1019.7
2021-01-20,12.3,4.0,20.0,,61.0,5.2,1018.4
2021-01-21,10.6,5.0,14.0,,282.0,13.3,1021.2
2021-01-22,7.3,0.4,15.0,,345.0,2.3,1022.6
2021-01-23,8.6,-0.4,19.0,,13.0,3.7,1023.3
2021-01-24,9.6,1.0,19.0,,351.0,1.5,1023.0
2021-01-25,10.4,2.0,19.4,,354.0,0.9,1022.1
2021-01-26,11.0,2.2,19.0,,342.0,3.2,1021.4
2021-01-27,10.6,1.6,20.0,,350.0,1.4,1021.1
2021-01-28,12.9,3.0,22.0,,37.0,4.6,1020.5
2021-01-29,13.1,5.0,20.0,,47.0,5.6,1018.8
2021-01-30,13.4,7.0,17.2,,77.0,6.0,1018.4
2021-01-31,10.0,3.4,17.0,,,2.3,1020.8
2021-02-01,10.6,3.0,19.0,,,2.6,1021.9
2021-02-02,11.6,3.0,21.4,,351.0,0.0,1022.3
2021-02-03,12.8,2.0,22.4,,1.0,2.6,1020.4
2021-02-04,13.9,4.0,24.0,,5.0,2.0,1019.8
2021-02-05,14.7,6.0,24.0,,48.0,2.9,1019.0
2021-02-06,15.1,5.6,23.0,,,6.0,1017.4
2021-02-07,11.2,8.0,16.2,,36.0,7.0,1018.8
2021-02-08,10.9,0.0,19.0,,,1.9,1023.2
2021-02-09,13.6,5.8,23.4,,,2.2,1023.4
2021-02-10,14.1,6.6,25.0,,,0.0,1020.3
2021-02-11,14.4,6.0,24.0,,,0.5,1017.7
2021-02-12,14.2,6.0,24.0,,,1.2,1016.4
2021-02-13,14.1,6.0,23.1,,,1.5,1017.5
2021-02-14,14.0,5.7,24.0,,,2.7,1018.5
2021-02-15,14.7,4.9,27.0,,0.0,0.0,1017.3
2021-02-16,15.5,5.7,26.0,,13.0,2.0,1015.5
2021-02-17,18.1,8.0,25.7,,81.0,9.1,1014.9
2021-02-18,13.6,10.9,21.2,,106.0,9.5,1017.2
2021-02-19,10.8,7.0,17.0,,307.0,3.4,1021.1
2021-02-20,11.1,5.0,19.0,,,2.3,1021.5
2021-02-21,13.6,9.0,20.0,,,3.8,1021.4
2021-02-22,13.0,5.8,20.0,,,2.9,1022.2
2021-02-23,12.9,7.0,19.0,,337.0,3.3,1021.3
2021-02-24,13.8,6.0,20.0,,,2.9,1016.1
2021-02-25,12.6,9.0,18.0,,322.0,3.9,1016.1
2021-02-26,11.5,7.0,16.5,,345.0,1.7,1016.9
2021-02-27,11.3,6.0,17.0,,333.0,4.6,1017.4
2021-02-28,12.4,4.0,21.0,,3.0,1.1,1017.1
2021-03-01,12.8,8.0,15.0,,41.0,6.1,1018.3
2021-03-02,13.6,5.0,23.0,,359.0,1.9,1020.2
2021-03-03,14.4,5.6,24.0,,6.0,2.0,1019.1
2021-03-04,17.4,12.0,23.0,,107.0,8.1,1017.1
2021-03-05,16.0,9.0,20.8,,7.0,2.8,1017.3
2021-03-06,12.9,4.6,20.0,,328.0,3.7,1019.2
2021-03-07,13.0,5.0,21.0,,329.0,3.2,1016.9
2021-03-08,15.1,5.0,25.0,,11.0,1.8,1015.3
2021-03-09,16.3,7.8,26.3,,359.0,2.3,1016.4
2021-03-10,16.0,7.2,24.0,,348.0,2.3,1017.7
2021-03-11,17.1,8.0,27.0,,4.0,2.0,1015.7
2021-03-12,18.2,15.0,21.7,,39.0,6.8,1008.6
2021-03-13,13.5,7.0,19.1,,322.0,3.3,1014.3
2021-03-14,14.4,5.0,23.0,,,0.8,1015.2
2021-03-15,15.8,6.5,25.0,,,2.3,1015.3
2021-03-16,18.7,10.7,27.0,,,3.1,1016.1
2021-03-17,21.3,14.3,29.0,,62.0,5.4,1014.1
2021-03-18,21.2,13.0,30.0,,9.0,2.5,1012.0
2021-03-19,20.9,12.6,29.0,,339.0,4.7,1012.1
2021-03-20,17.8,7.2,25.0,,309.0,7.5,1014.2
2021-03-21,16.6,6.0,25.0,,329.0,7.7,1012.5
