time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.6,24.5,32.7,,262.0,4.6,1010.0
2021-01-02,28.6,23.9,33.8,,249.0,6.3,1009.5
2021-01-03,27.6,24.5,33.5,,217.0,6.7,1009.6
2021-01-04,26.0,22.1,32.9,,233.0,6.3,1009.3
2021-01-05,26.3,21.5,31.8,,261.0,6.7,1008.9
2021-01-06,25.9,20.5,32.2,2.0,255.0,6.3,1009.4
2021-01-07,26.5,21.3,31.9,0.0,242.0,6.4,1010.4
2021-01-08,27.1,21.9,32.5,,228.0,6.8,1010.2
2021-01-09,27.7,23.0,33.4,,221.0,6.9,1009.7
2021-01-10,27.8,24.5,32.5,,230.0,7.6,1008.7
2021-01-11,27.5,23.9,33.1,,236.0,7.0,1008.5
2021-01-12,26.4,21.2,32.2,4.1,261.0,6.4,1009.9
2021-01-13,26.3,21.8,31.5,0.0,241.0,7.0,1010.8
2021-01-14,27.8,23.3,32.0,,244.0,7.0,1010.3
2021-01-15,27.4,23.1,32.6,,256.0,6.7,1009.1
2021-01-16,26.7,22.5,32.1,,255.0,6.1,1008.4
2021-01-17,27.3,22.0,33.6,,248.0,6.1,1008.4
2021-01-18,26.9,23.4,33.0,,221.0,6.3,1009.1
2021-01-19,26.3,22.1,32.9,,241.0,5.9,1009.9
2021-01-20,26.3,23.2,34.0,,282.0,6.1,1009.7
2021-01-21,27.8,24.2,33.5,,150.0,4.6,1009.7
2021-01-22,28.1,23.4,34.4,,280.0,4.1,1010.3
2021-01-23,27.9,23.5,33.5,,202.0,4.9,1010.1
2021-01-24,27.7,22.7,34.0,,246.0,5.6,1009.3
2021-01-25,27.9,23.0,33.5,,208.0,5.7,1009.3
2021-01-26,27.6,22.8,33.7,,213.0,6.3,1009.5
2021-01-27,28.1,23.5,33.5,,232.0,6.7,1009.3
2021-01-28,28.3,24.4,34.0,,244.0,7.1,1009.2
2021-01-29,27.9,24.4,33.4,,218.0,6.2,1009.9
2021-01-30,27.9,22.5,33.7,,228.0,6.0,1010.0
2021-01-31,29.0,24.5,35.0,,246.0,6.7,1009.5
2021-02-01,28.5,24.0,34.7,,221.0,7.0,1009.5
2021-02-02,27.3,24.5,34.5,,215.0,7.0,1009.9
2021-02-03,29.0,24.7,34.6,,228.0,7.5,1010.3
2021-02-04,28.6,24.0,34.0,,234.0,7.1,1009.7
2021-02-05,29.3,25.5,35.3,,233.0,8.1,1009.6
2021-02-06,28.3,24.0,34.2,7.1,227.0,7.4,1010.0
2021-02-07,29.0,23.2,35.2,0.0,230.0,6.5,1008.9
2021-02-08,28.1,22.0,34.0,,248.0,6.8,1008.6
2021-02-09,27.5,19.4,35.0,30.0,233.0,6.3,1008.8
2021-02-10,25.4,24.3,35.5,0.0,228.0,7.5,1009.0
2021-02-11,29.3,24.6,35.6,,232.0,7.9,1009.1
2021-02-12,29.5,25.1,35.7,,230.0,7.9,1008.6
2021-02-13,32.3,25.2,36.0,,237.0,9.5,1007.7
2021-02-14,27.7,23.6,34.2,6.1,233.0,9.4,1007.2
2021-02-15,27.9,24.0,34.0,0.3,234.0,7.3,1008.0
2021-02-16,27.4,21.3,34.0,6.1,223.0,7.5,1008.1
2021-02-17,26.8,20.6,33.2,2.0,231.0,6.7,1009.3
2021-02-18,26.8,20.8,31.5,3.0,222.0,6.1,1010.7
2021-02-19,24.9,22.5,33.3,0.0,227.0,5.5,1011.2
2021-02-20,27.7,23.6,34.0,,246.0,5.3,1011.8
2021-02-21,27.9,23.5,34.5,,234.0,6.0,1010.6
2021-02-22,27.3,24.0,33.5,,225.0,6.3,1009.7
2021-02-23,28.4,23.6,34.5,,209.0,5.9,1010.1
2021-02-24,28.6,23.0,35.1,,238.0,5.7,1010.4
2021-02-25,29.2,23.9,33.8,,246.0,8.0,1009.8
2021-02-26,27.4,24.0,34.5,,224.0,7.4,1009.0
2021-02-27,27.8,23.0,34.0,,218.0,6.2,1008.3
2021-02-28,27.3,23.5,33.5,,222.0,6.5,1007.8
2021-03-01,28.2,22.5,35.0,2.0,227.0,6.7,1007.4
2021-03-02,29.1,24.6,34.9,0.0,202.0,6.8,1007.5
2021-03-03,29.4,24.5,35.5,,228.0,5.8,1008.1
2021-03-04,28.8,25.6,33.7,,247.0,7.2,1008.1
2021-03-05,27.6,22.5,32.8,,241.0,6.3,1008.4
2021-03-06,27.7,22.9,32.7,,226.0,5.7,1009.7
2021-03-07,28.7,22.8,35.1,,232.0,6.5,1010.3
2021-03-08,24.1,22.0,34.0,10.9,247.0,6.3,1008.9
2021-03-09,26.3,22.2,33.5,0.0,241.0,7.0,1008.2
2021-03-10,26.4,21.7,33.5,34.0,256.0,5.6,1008.2
2021-03-11,26.2,22.0,32.5,0.0,235.0,4.7,1008.1
2021-03-12,26.9,23.2,32.2,,234.0,6.0,1008.3
2021-03-13,27.6,22.5,34.0,,264.0,5.5,1008.9
2021-03-14,27.5,23.5,33.4,,246.0,7.2,1010.0
2021-03-15,25.5,13.7,31.9,,222.0,5.4,1009.2
2021-03-16,27.4,23.5,33.0,,233.0,7.4,1008.4
2021-03-17,26.5,22.8,31.7,,242.0,6.8,1008.7
2021-03-18,25.9,20.7,31.2,,240.0,5.8,1009.6
2021-03-19,26.3,21.1,33.9,,239.0,5.1,1008.4
2021-03-20,26.5,22.0,31.8,,221.0,5.0,1008.8
2021-03-21,27.2,22.5,33.5,,256.0,6.2,1008.7
2021-03-22,26.8,22.8,33.4,,258.0,5.9,1008.8
2021-03-23,26.7,22.7,32.4,,237.0,5.7,1010.4
2021-03-24,26.2,22.8,31.9,,214.0,4.7,1011.3
2021-03-25,27.2,22.7,32.9,,204.0,5.2,1010.3
2021-03-26,27.8,23.0,34.1,,218.0,4.4,1009.1
2021-03-27,26.7,22.9,32.1,,219.0,5.5,1009.2
2021-03-28,26.8,23.3,32.8,,220.0,4.2,1009.7
2021-03-29,26.5,22.7,32.2,,220.0,4.8,1009.9
2021-03-30,27.5,23.5,34.0,,235.0,5.0,1009.3
2021-03-31,27.6,23.0,33.4,,212.0,5.8,1008.3
2021-04-01,28.2,24.6,33.8,,201.0,5.5,1008.5
2021-04-02,28.7,24.7,34.1,,205.0,5.6,1009.3
2021-04-03,28.3,25.0,34.0,,221.0,4.8,1009.3
2021-04-04,27.7,24.3,34.3,,219.0,5.1,1009.3
2021-04-05,27.2,23.9,32.8,,217.0,5.8,1009.5
2021-04-06,28.1,24.2,33.9,,217.0,4.9,1008.8
2021-04-07,28.8,24.2,35.0,,212.0,5.9,1008.8
2021-04-08,28.2,24.2,34.4,,248.0,4.7,1009.3
2021-04-09,26.6,22.5,33.6,,225.0,5.9,1008.9
2021-04-10,26.8,21.4,32.6,,237.0,6.4,1007.9
2021-04-11,28.2,24.0,35.0,,232.0,4.6,1008.1
2021-04-12,28.6,24.6,34.2,,224.0,5.8,1009.2
2021-04-13,27.7,23.9,33.6,,221.0,6.5,1010.3
2021-04-14,28.1,24.0,34.0,,226.0,6.8,1010.2
2021-04-15,28.5,24.4,34.7,,232.0,6.4,1009.0
2021-04-16,27.4,23.9,33.9,,234.0,6.7,1008.1
2021-04-17,26.5,23.0,31.2,,256.0,5.3,1009.2
2021-04-18,27.9,23.5,35.6,,201.0,4.8,1009.5
2021-04-19,27.2,23.2,32.4,,210.0,6.3,1009.7
2021-04-20,28.4,24.3,34.8,,222.0,5.2,1008.6
2021-04-21,28.0,24.0,33.1,,226.0,6.9,1008.8
2021-04-22,27.4,22.6,34.0,,232.0,5.8,1009.6
2021-04-23,27.0,21.9,34.0,,224.0,4.8,1009.6
2021-04-24,28.0,24.5,34.3,,228.0,5.3,1008.6
2021-04-25,27.4,23.9,32.5,,244.0,5.4,1009.1
