time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-4.2,-6.6,-2.2,,46.0,5.6,1014.1
2021-01-02,-9.0,-10.0,-6.9,,294.0,6.7,1018.8
2021-01-03,-10.6,-14.1,-7.2,,289.0,7.7,1028.6
2021-01-04,-14.9,-17.2,-10.9,,263.0,3.9,1032.9
2021-01-05,-14.7,-18.7,-12.1,,10.0,2.2,1030.3
2021-01-06,-14.2,-15.9,-12.0,,360.0,1.6,1027.6
2021-01-07,-16.0,-18.6,-13.0,0.4,357.0,1.7,1024.2
2021-01-08,-11.5,-12.6,-11.0,,31.0,3.2,1021.0
2021-01-09,-9.7,-11.3,-8.5,1.7,60.0,2.8,1018.9
2021-01-10,-12.2,-17.5,-8.4,5.1,105.0,6.6,1011.6
2021-01-11,-14.8,-18.6,-12.2,,29.0,3.1,1013.0
2021-01-12,-14.4,-18.9,-12.8,,97.0,4.1,1016.7
2021-01-13,-21.3,-24.2,-19.2,,62.0,2.9,1027.1
2021-01-14,-15.7,-20.9,-8.0,,295.0,5.7,1025.4
2021-01-15,-10.3,-15.6,-6.5,,293.0,7.6,1021.7
2021-01-16,-13.7,-18.6,-10.8,,286.0,5.9,1020.7
2021-01-17,-14.3,-18.6,-10.6,,275.0,5.2,1013.3
2021-01-18,-19.2,-22.2,-16.6,,269.0,5.6,1008.9
2021-01-19,-13.3,-19.2,-8.9,,343.0,3.6,1010.4
2021-01-20,-13.1,-15.5,-10.6,1.0,68.0,3.3,1013.1
2021-01-21,-15.6,-17.0,-14.9,4.8,84.0,6.9,1010.1
2021-01-22,-14.3,-14.9,-13.8,,98.0,12.2,1000.1
2021-01-23,-15.3,-16.8,-14.0,8.5,78.0,9.8,996.3
2021-01-24,-18.5,-24.5,-16.0,,345.0,2.8,999.1
2021-01-25,-25.1,-29.0,-18.7,,310.0,4.1,1004.4
2021-01-26,-15.9,-25.3,-10.6,,278.0,5.9,1007.8
2021-01-27,-11.9,-21.6,-9.2,,317.0,5.0,1008.4
2021-01-28,-10.9,-12.2,-9.7,,44.0,4.8,1006.9
2021-01-29,-22.4,-27.7,-12.3,,274.0,4.3,1005.6
2021-01-30,-13.8,-21.9,-8.5,,283.0,7.4,999.6
2021-01-31,-7.9,-8.9,-7.3,,14.0,8.4,993.1
2021-02-01,-16.1,-23.5,-8.7,,288.0,5.0,998.6
2021-02-02,-15.7,-24.6,-10.1,,297.0,3.8,1011.0
2021-02-03,-13.1,-17.5,-8.1,,320.0,6.6,1019.4
2021-02-04,-6.4,-7.7,-5.3,,18.0,13.4,1023.2
2021-02-05,-6.0,-7.6,-4.7,,350.0,9.0,1029.1
2021-02-06,-7.0,-11.8,-4.9,,345.0,9.8,1031.1
2021-02-07,-6.5,-8.7,-5.5,,331.0,8.8,1027.4
2021-02-08,-9.0,-14.0,-7.4,,300.0,7.3,1024.3
2021-02-09,-13.3,-21.4,-10.4,,294.0,5.9,1021.4
2021-02-10,-15.2,-23.8,-9.3,,296.0,11.2,1022.8
2021-02-11,-11.6,-19.0,-7.0,,292.0,11.4,1023.9
2021-02-12,-9.7,-19.0,-3.0,,294.0,14.4,1020.1
2021-02-13,-15.3,-20.8,-8.2,,284.0,7.0,1024.4
2021-02-14,-14.6,-22.9,-8.6,,296.0,8.9,1029.2
2021-02-15,-6.7,-15.0,-2.6,,290.0,8.7,1021.2
2021-02-16,-13.4,-24.2,-7.4,,0.0,2.7,1024.1
2021-02-17,-21.5,-28.4,-14.0,,52.0,4.5,1022.1
2021-02-18,-21.3,-28.9,-16.0,,63.0,4.0,1017.1
2021-02-19,-14.5,-17.0,-12.0,,96.0,4.9,1015.1
2021-02-20,-13.3,-14.2,-13.0,,94.0,7.3,1013.4
2021-02-21,-16.2,-20.0,-14.0,,98.0,7.7,1018.2
2021-02-22,-14.8,-16.0,-13.8,,157.0,9.0,1025.9
2021-02-23,-14.5,-21.6,-9.7,,90.0,6.3,1019.9
2021-02-24,-11.6,-22.9,-5.9,,89.0,8.3,1007.5
2021-02-25,-0.1,-7.1,4.1,,338.0,8.9,995.1
2021-02-26,-0.2,-3.8,3.1,,300.0,14.5,1003.0
2021-02-27,-2.7,-12.0,0.6,,313.0,8.2,1013.1
2021-02-28,2.9,-0.5,5.5,,282.0,12.4,1008.6
2021-03-01,0.0,-2.5,2.3,,284.0,16.2,1003.9
2021-03-02,-2.0,-6.3,1.5,,294.0,13.6,1011.6
2021-03-03,-3.7,-8.4,-0.8,,306.0,10.9,1007.0
2021-03-04,-7.5,-12.5,-4.3,,320.0,14.0,1011.1
2021-03-05,-7.6,-12.9,-3.5,,278.0,10.3,1011.5
2021-03-06,-6.2,-9.7,-4.0,,311.0,16.4,991.5
2021-03-07,-6.4,-12.3,-3.4,,347.0,18.0,1007.4
2021-03-08,-10.2,-15.3,-5.6,,167.0,5.8,1015.4
2021-03-09,-11.5,-23.0,-7.7,,81.0,4.6,1023.1
2021-03-10,-14.5,-25.0,-9.2,,209.0,12.0,1019.0
2021-03-11,-10.7,-14.3,-8.1,,146.0,7.9,1001.8
2021-03-12,-7.1,-8.2,-5.8,,129.0,9.5,987.0
2021-03-13,-5.0,-8.0,-2.5,,150.0,4.4,987.7
2021-03-14,-5.0,-10.1,-0.4,,8.0,4.3,992.9
2021-03-15,-5.4,-12.9,-0.8,,310.0,5.7,1000.9
2021-03-16,-8.0,-14.7,-2.0,,335.0,7.3,1014.9
2021-03-17,-9.8,-17.6,-3.8,,313.0,4.9,1019.8
2021-03-18,-13.3,-22.7,-4.0,,315.0,10.4,1025.7
2021-03-19,-11.9,-23.0,-5.2,,270.0,6.9,1017.4
2021-03-20,0.1,-5.8,2.1,,291.0,11.4,990.2
2021-03-21,-5.0,-17.4,-1.1,,322.0,18.7,994.8
2021-03-22,-7.8,-20.7,0.6,0.2,258.0,6.0,1001.6
2021-03-23,2.1,-2.6,5.4,,276.0,14.3,995.3
2021-03-24,1.9,-2.9,6.1,,237.0,21.8,989.3
2021-03-25,-0.5,-8.5,3.6,,276.0,13.9,998.2
2021-03-26,-3.4,-14.1,5.3,,207.0,7.1,1008.5
2021-03-27,0.6,-2.2,3.1,,136.0,9.6,1005.3
2021-03-28,,,,,,,
2021-03-29,0.5,-0.2,1.5,,159.0,8.5,1001.1
2021-03-30,2.1,0.2,4.9,,288.0,13.5,995.1
2021-03-31,1.7,-0.9,4.6,,297.0,16.5,1005.4
2021-04-01,-0.1,-5.1,3.6,,288.0,9.6,1006.9
2021-04-02,0.2,-1.9,2.2,,307.0,12.4,1007.5
2021-04-03,0.0,-4.5,3.0,,266.0,10.3,1005.4
2021-04-04,2.4,-1.8,5.6,,237.0,15.5,982.0
2021-04-05,-2.5,-4.1,1.1,,301.0,9.6,967.3
2021-04-06,-1.5,-2.7,-0.7,,239.0,6.2,972.0
2021-04-07,-2.1,-5.4,1.8,,291.0,11.6,988.3
2021-04-08,-5.7,-13.8,1.0,,285.0,7.5,998.1
2021-04-09,-8.8,-20.7,-1.6,,101.0,8.0,991.0
2021-04-10,-3.0,-5.6,0.6,,309.0,11.5,990.6
2021-04-11,-0.4,-5.4,3.3,,283.0,16.9,1007.3
2021-04-12,-2.5,-12.3,2.7,,344.0,7.6,1020.9
2021-04-13,-3.1,-7.4,0.0,,345.0,7.6,1015.9
2021-04-14,-2.1,-7.8,1.8,,298.0,14.6,1016.4
2021-04-15,2.9,-1.8,7.5,,275.0,12.8,1025.8
2021-04-16,3.4,-2.7,9.2,,292.0,8.5,1034.2
2021-04-17,2.1,-6.5,10.2,,275.0,6.4,1033.9
2021-04-18,2.9,-6.5,10.3,,261.0,6.2,1031.4
2021-04-19,5.3,-5.9,13.4,,287.0,5.4,1026.2
2021-04-20,5.3,-3.9,12.0,,146.0,8.4,1015.8
2021-04-21,2.7,-0.4,6.7,,288.0,9.7,1004.5
2021-04-22,-1.1,-3.0,0.1,,343.0,12.8,1008.1
