time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,30.1,18.5,,,,,
2021-01-02,31.9,19.0,36.0,0.0,22.0,23.8,1011.1
2021-01-03,24.3,18.5,36.0,11.7,2.0,16.9,1011.1
2021-01-04,24.7,19.4,29.1,1.2,102.0,20.4,1009.8
2021-01-05,19.6,15.5,30.3,0.9,175.0,22.7,1013.2
2021-01-06,22.6,11.4,28.1,0.0,189.0,23.3,1012.3
2021-01-07,28.9,12.6,34.6,0.0,279.0,18.4,1008.0
2021-01-08,25.8,15.0,35.6,0.2,90.0,13.5,1011.7
2021-01-09,24.7,11.0,31.2,14.0,344.0,17.2,1009.4
2021-01-10,25.3,17.0,33.1,0.0,55.0,22.0,1005.0
2021-01-11,22.1,14.2,33.2,47.0,184.0,17.4,1008.7
2021-01-12,20.9,8.9,27.0,0.0,50.0,17.5,1017.4
2021-01-13,24.5,13.3,29.5,0.0,47.0,20.8,1017.3
2021-01-14,25.8,16.9,30.1,1.8,39.0,27.1,1012.5
2021-01-15,24.2,14.0,30.5,24.9,68.0,8.6,1006.9
2021-01-16,19.4,13.9,29.2,10.9,196.0,20.2,1009.9
2021-01-17,22.9,8.8,28.2,4.1,229.0,13.6,1012.9
2021-01-18,26.9,13.6,32.3,0.0,349.0,19.3,1012.7
2021-01-19,27.6,15.6,33.0,0.0,6.0,23.3,1013.3
2021-01-20,26.9,15.6,33.0,0.0,19.0,20.7,1014.7
2021-01-21,28.0,16.0,33.2,0.0,32.0,17.1,1015.1
2021-01-22,28.8,16.5,34.1,0.0,23.0,21.6,1015.2
2021-01-23,30.3,19.5,35.2,0.0,15.0,22.6,1010.9
2021-01-24,30.3,22.0,35.5,0.0,32.0,17.6,1007.8
2021-01-25,30.4,21.0,36.0,0.1,41.0,13.8,1003.9
2021-01-26,25.9,20.0,35.7,0.5,149.0,12.0,1004.6
2021-01-27,25.6,13.0,32.0,0.3,147.0,9.6,1006.2
2021-01-28,24.2,13.3,32.0,0.0,148.0,10.4,1006.4
2021-01-29,24.7,11.5,30.1,2.8,4.0,10.3,1004.8
2021-01-30,19.0,16.5,30.5,14.0,117.0,12.9,1012.1
2021-01-31,17.9,12.5,21.5,0.0,103.0,17.8,1017.2
2021-02-01,18.6,12.3,22.6,3.7,151.0,11.3,1015.2
2021-02-02,20.1,10.5,24.2,0.5,154.0,8.6,1015.8
2021-02-03,22.1,12.0,26.2,0.1,325.0,9.2,1017.6
2021-02-04,24.4,11.7,30.4,0.0,36.0,10.7,1018.1
2021-02-05,26.4,13.5,32.1,0.0,5.0,12.2,1014.7
2021-02-06,27.6,17.5,33.1,0.0,22.0,16.9,1011.9
2021-02-07,27.3,16.0,33.2,0.0,66.0,18.2,1012.0
2021-02-08,18.6,12.0,32.6,0.0,118.0,18.6,1019.5
2021-02-09,21.4,13.5,24.7,0.0,86.0,12.5,1020.9
2021-02-10,15.5,13.1,25.5,0.3,65.0,11.0,1018.6
2021-02-11,21.8,16.0,27.2,1.3,60.0,9.3,1013.9
2021-02-12,21.7,16.2,27.1,2.2,99.0,6.8,1011.9
2021-02-13,24.1,14.3,30.3,1.0,70.0,6.5,1008.3
2021-02-14,28.0,17.2,34.5,1.0,336.0,9.1,1005.4
2021-02-15,22.6,16.5,34.8,0.0,164.0,18.3,1013.3
2021-02-16,22.6,9.7,28.3,0.0,165.0,9.0,1013.0
2021-02-17,27.1,14.0,34.1,0.0,323.0,11.6,1009.4
2021-02-18,27.9,17.2,34.6,0.4,323.0,13.0,1007.6
2021-02-19,20.9,17.1,33.5,2.6,197.0,14.9,1014.4
2021-02-20,25.8,12.2,28.0,0.0,33.0,11.9,1014.7
2021-02-21,30.1,17.1,33.5,0.0,1.0,15.8,1009.8
2021-02-22,24.1,16.3,34.0,4.1,198.0,14.6,1010.2
2021-02-23,24.7,10.8,31.6,0.0,232.0,7.7,1014.2
2021-02-24,25.4,13.0,32.2,0.0,20.0,12.5,1013.8
2021-02-25,27.6,16.8,32.5,0.0,15.0,18.0,1011.7
2021-02-26,27.5,17.2,33.5,0.0,30.0,24.5,1010.6
2021-02-27,27.4,18.5,34.0,0.0,52.0,20.7,1013.8
2021-02-28,24.9,18.0,33.5,0.0,37.0,19.4,1012.6
2021-03-01,26.4,18.3,31.7,0.4,50.0,12.5,1010.9
2021-03-02,26.6,19.2,32.4,0.0,52.0,12.6,1012.4
2021-03-03,26.3,18.5,32.5,1.5,59.0,11.4,1014.1
2021-03-04,26.8,18.7,33.0,0.1,101.0,12.1,1013.2
2021-03-05,22.8,18.0,33.0,0.0,118.0,12.8,1014.2
2021-03-06,25.1,14.5,31.1,0.0,30.0,20.8,1010.7
2021-03-07,29.1,18.5,36.1,4.3,18.0,19.8,1008.9
2021-03-08,22.9,16.4,36.5,7.9,156.0,16.0,1015.8
2021-03-09,22.3,12.5,29.8,0.0,58.0,19.7,1014.8
2021-03-10,26.1,14.4,33.1,0.0,25.0,24.8,1007.6
2021-03-11,24.3,18.8,33.2,8.9,169.0,14.2,1011.8
2021-03-12,23.4,11.5,30.1,0.0,53.0,11.7,1014.5
2021-03-13,26.0,16.8,31.6,0.0,11.0,15.7,1013.6
2021-03-14,20.7,17.8,32.0,9.8,72.0,11.1,1015.5
2021-03-15,21.7,16.0,25.1,5.4,32.0,15.7,1012.0
2021-03-16,18.8,16.3,25.5,21.1,127.0,13.6,1009.2
2021-03-17,16.3,11.6,22.0,8.9,164.0,23.5,1020.2
2021-03-18,12.0,7.5,19.3,0.0,85.0,8.3,1021.0
2021-03-19,15.8,9.0,19.2,3.0,56.0,13.0,1014.1
2021-03-20,19.7,11.5,25.1,7.1,227.0,13.3,1015.2
2021-03-21,17.4,7.5,25.1,0.5,150.0,8.5,1021.8
2021-03-22,18.2,10.5,24.6,0.0,43.0,12.3,1020.0
2021-03-23,22.7,11.8,29.0,0.0,20.0,16.8,1014.4
2021-03-24,23.4,14.6,29.7,0.0,25.0,15.5,1012.3
2021-03-25,19.8,14.5,30.0,1.0,150.0,24.9,1013.2
2021-03-26,14.8,13.1,24.0,9.9,205.0,18.2,1016.1
2021-03-27,15.2,12.0,18.0,115.1,187.0,17.2,1017.5
2021-03-28,16.5,6.6,22.1,0.5,190.0,8.3,1017.3
2021-03-29,19.1,10.1,24.6,0.0,150.0,7.9,1018.1
2021-03-30,21.1,12.8,26.0,0.0,44.0,15.3,1017.3
2021-03-31,19.9,10.0,26.0,0.0,53.0,15.2,1016.3
2021-04-01,19.6,11.0,26.2,0.0,62.0,16.2,1016.4
2021-04-02,20.6,11.8,25.7,0.0,48.0,17.8,1016.6
2021-04-03,21.1,12.6,26.6,0.0,42.0,18.2,1016.2
2021-04-04,23.3,14.6,29.6,0.0,29.0,19.8,1013.5
2021-04-05,24.1,15.2,30.2,0.0,39.0,19.1,1012.1
2021-04-06,24.7,17.3,30.4,0.0,33.0,23.1,1012.7
2021-04-07,24.7,17.5,30.0,0.1,14.0,22.3,1010.9
2021-04-08,20.1,18.7,29.5,20.1,141.0,13.4,1009.0
2021-04-09,19.1,16.5,22.2,10.9,143.0,16.1,1014.4
