time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.4,,30.0,,,,
2021-01-02,16.3,11.8,21.4,0.0,14.0,13.1,1013.4
2021-01-03,20.1,9.9,26.3,0.0,262.0,10.5,1012.4
2021-01-04,14.9,9.5,24.5,0.0,349.0,10.6,1016.2
2021-01-05,15.3,9.3,23.1,0.0,338.0,7.4,1013.8
2021-01-06,21.0,11.3,27.2,0.0,314.0,7.3,1016.8
2021-01-07,23.1,11.9,29.0,0.0,314.0,10.0,1017.8
2021-01-08,19.6,14.4,26.6,0.0,315.0,7.5,1018.8
2021-01-09,21.4,13.1,30.9,0.0,185.0,11.0,1017.0
2021-01-10,21.1,14.2,31.1,0.0,188.0,15.1,1015.4
2021-01-11,21.4,13.5,31.7,0.0,178.0,13.1,1013.3
2021-01-12,16.8,11.6,22.0,0.0,350.0,14.7,1019.1
2021-01-13,15.9,8.0,19.0,0.0,355.0,14.6,1024.3
2021-01-14,13.9,6.8,22.1,0.0,139.0,9.6,1020.2
2021-01-15,13.5,7.4,19.0,0.0,349.0,12.8,1017.3
2021-01-16,11.4,5.3,21.0,0.0,352.0,11.3,1019.2
2021-01-17,9.2,4.6,13.1,0.0,348.0,14.8,1024.9
2021-01-18,14.7,3.8,20.0,0.0,14.0,6.1,1025.5
2021-01-19,14.0,3.2,17.0,0.0,16.0,8.6,1026.6
2021-01-20,10.6,4.1,17.0,0.0,145.0,9.7,1026.5
2021-01-21,15.9,2.9,20.2,0.0,168.0,9.0,1024.1
2021-01-22,12.6,6.3,25.0,0.0,357.0,6.9,1021.9
2021-01-23,12.8,5.2,19.7,0.0,327.0,7.7,1020.6
2021-01-24,18.4,6.6,23.2,0.0,328.0,8.0,1020.5
2021-01-25,16.9,10.2,24.5,0.0,152.0,5.9,1019.9
2021-01-26,16.1,8.5,24.1,0.0,306.0,9.5,1018.5
2021-01-27,20.5,9.4,25.0,0.0,348.0,13.0,1021.7
2021-01-28,13.5,6.7,20.0,0.0,5.0,9.9,1024.2
2021-01-29,14.3,8.6,21.0,0.0,198.0,5.3,1024.9
2021-01-30,15.6,6.8,24.3,0.0,180.0,8.9,1020.0
2021-01-31,17.7,9.8,26.5,0.0,157.0,9.6,1013.8
2021-02-01,15.9,10.0,24.0,0.0,340.0,12.3,1015.5
2021-02-02,14.4,7.0,22.1,0.0,303.0,11.5,1018.7
2021-02-03,15.2,8.5,21.3,0.0,356.0,10.1,1021.9
2021-02-04,15.2,6.3,22.7,0.0,144.0,10.8,1022.1
2021-02-05,17.0,8.9,26.6,0.0,165.0,15.1,1020.1
2021-02-06,20.9,9.8,29.8,0.0,182.0,14.5,1016.3
2021-02-07,20.8,16.2,26.3,0.0,172.0,22.3,1012.2
2021-02-08,16.2,10.1,21.7,0.0,0.0,8.5,1018.3
2021-02-09,16.9,8.7,26.2,0.0,159.0,8.5,1019.4
2021-02-10,18.6,10.1,27.3,0.0,166.0,11.8,1018.1
2021-02-11,18.0,10.2,25.0,0.0,336.0,12.0,1018.6
2021-02-12,17.4,11.2,24.0,0.0,348.0,7.6,1019.4
2021-02-13,17.4,8.9,25.7,0.0,145.0,11.2,1016.8
2021-02-14,22.3,10.4,28.2,0.0,348.0,7.7,1016.6
2021-02-15,14.7,8.5,19.5,0.0,19.0,15.3,1021.2
2021-02-16,10.3,6.0,18.0,0.0,20.0,17.5,1028.6
2021-02-17,8.8,1.5,15.7,0.0,134.0,8.4,1028.4
2021-02-18,15.3,3.9,23.0,0.0,153.0,11.0,1024.5
2021-02-19,15.1,7.7,23.0,0.0,164.0,12.9,1023.3
2021-02-20,15.4,7.5,22.4,0.0,160.0,12.6,1022.9
2021-02-21,16.0,7.7,26.0,0.0,167.0,11.6,1020.8
2021-02-22,16.3,7.3,24.5,0.0,169.0,9.6,1021.0
2021-02-23,16.0,9.0,22.8,0.0,164.0,16.2,1021.6
2021-02-24,15.5,8.0,22.3,0.0,155.0,17.5,1021.8
2021-02-25,15.1,7.0,22.7,0.0,153.0,12.0,1020.1
2021-02-26,19.1,9.5,26.0,0.0,136.0,9.5,1019.0
2021-02-27,16.2,7.7,26.5,0.0,140.0,8.9,1019.1
2021-02-28,17.3,9.6,26.5,0.0,148.0,12.1,1018.9
2021-03-01,17.1,8.8,30.2,0.0,157.0,9.2,1019.3
2021-03-02,22.7,9.4,26.2,0.0,163.0,13.5,1019.2
2021-03-03,23.0,10.2,28.0,0.0,160.0,16.0,1018.4
2021-03-04,20.0,12.3,27.8,0.0,177.0,22.4,1015.0
2021-03-05,25.2,15.0,29.4,0.0,345.0,14.6,1013.5
2021-03-06,20.8,13.0,28.5,0.0,1.0,10.9,1016.6
2021-03-07,24.0,13.8,33.0,0.0,202.0,15.6,1014.5
2021-03-08,31.3,21.6,35.0,0.0,209.0,24.9,1009.0
2021-03-09,24.0,16.5,33.5,0.0,355.0,8.1,1009.3
2021-03-10,25.2,18.9,32.0,0.0,0.0,13.7,1007.7
2021-03-11,23.6,18.6,30.0,0.0,24.0,15.2,1011.5
2021-03-12,23.3,16.6,30.3,0.0,113.0,12.9,1011.5
2021-03-13,24.3,19.5,28.0,0.7,155.0,14.7,1009.8
2021-03-14,25.7,14.3,31.5,0.0,336.0,17.6,1013.7
2021-03-15,19.5,13.7,24.7,0.0,357.0,17.8,1015.9
2021-03-16,19.4,12.1,25.7,0.0,94.0,10.8,1015.3
2021-03-17,21.2,13.9,28.6,0.0,160.0,14.5,1012.8
2021-03-18,24.7,16.3,32.7,0.0,199.0,24.8,1007.7
2021-03-19,25.7,19.6,33.0,0.0,280.0,15.2,1008.3
2021-03-20,24.7,15.8,35.0,0.0,254.0,11.8,1007.1
2021-03-21,26.3,18.5,32.2,0.0,242.0,24.2,1006.5
2021-03-22,22.1,15.9,26.2,0.0,291.0,27.2,1009.2
2021-03-23,16.5,9.5,22.0,0.0,353.0,16.3,1019.4
2021-03-24,15.0,9.0,22.0,0.0,355.0,13.5,1021.2
2021-03-25,18.1,8.4,31.0,0.0,13.0,12.7,1021.9
2021-03-26,15.4,9.4,23.7,0.0,27.0,10.0,1024.2
2021-03-27,16.0,8.4,22.7,0.0,109.0,10.6,1025.6
2021-03-28,21.2,8.5,25.0,0.0,132.0,11.5,1025.9
2021-03-29,19.9,8.9,24.0,0.0,104.0,11.0,1024.5
2021-03-30,15.8,8.0,23.0,0.0,121.0,9.5,1022.4
2021-03-31,21.8,10.8,25.2,0.0,159.0,10.1,1018.6
2021-04-01,20.0,11.3,28.5,0.0,145.0,9.8,1018.5
2021-04-02,25.1,13.5,30.0,0.0,153.0,11.7,1018.5
2021-04-03,22.6,14.1,32.0,0.0,176.0,13.7,1015.7
2021-04-04,30.0,17.0,37.0,0.0,196.0,14.9,1012.5
2021-04-05,28.4,21.0,36.0,0.0,217.0,18.5,1009.3
2021-04-06,27.9,14.0,35.0,0.0,349.0,15.4,1010.6
2021-04-07,27.8,17.6,36.1,0.0,210.0,13.9,1010.1
2021-04-08,27.5,20.5,34.2,0.0,334.0,14.2,1012.0
2021-04-09,26.1,18.1,35.2,0.0,16.0,15.3,1013.7
2021-04-10,30.5,18.5,36.1,0.0,180.0,19.3,1011.1
2021-04-11,28.7,20.3,37.0,0.0,193.0,16.3,1009.5
