time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.7,-0.5,4.4,0.0,224.0,7.9,1018.2
2021-01-02,3.6,2.2,5.0,0.0,179.0,16.9,1011.2
2021-01-03,4.6,-1.0,7.2,1.0,185.0,15.8,1008.3
2021-01-04,0.2,-3.8,3.3,2.0,318.0,5.0,1012.1
2021-01-05,3.3,-1.0,6.7,0.0,206.0,11.2,1019.3
2021-01-06,1.7,0.6,6.7,1.0,317.0,4.0,1020.7
2021-01-07,1.6,-1.0,4.4,4.6,352.0,2.5,1025.9
2021-01-08,-0.9,-6.0,4.4,0.0,348.0,4.3,1027.7
2021-01-09,-1.4,-2.1,1.1,0.0,351.0,1.1,1031.1
2021-01-10,-0.1,-1.0,3.3,0.0,356.0,2.2,1028.0
2021-01-11,1.3,-1.0,5.6,0.0,288.0,4.3,1024.2
2021-01-12,2.1,0.6,6.1,8.4,266.0,7.2,1015.5
2021-01-13,5.2,0.6,7.8,7.4,206.0,22.0,1011.8
2021-01-14,0.6,-6.0,3.9,0.0,204.0,6.1,1034.1
2021-01-15,-3.8,-6.6,-0.5,0.5,331.0,3.2,1030.3
2021-01-16,-1.6,-2.7,-0.5,0.0,300.0,3.2,1030.4
2021-01-17,-0.2,-1.6,3.9,6.4,190.0,6.8,1023.2
2021-01-18,-0.8,-7.1,3.9,0.0,356.0,1.1,1029.9
2021-01-19,-3.3,-8.2,0.6,0.0,298.0,4.7,1031.1
2021-01-20,-2.6,-8.8,3.3,0.0,353.0,1.8,1020.7
2021-01-21,-5.0,-10.5,0.6,0.0,350.0,2.9,1021.6
2021-01-22,-6.1,-11.6,-1.0,0.0,333.0,2.5,1020.1
2021-01-23,-6.0,-7.7,-2.7,0.0,348.0,1.4,1018.4
2021-01-24,-5.8,-12.1,-0.5,0.0,353.0,1.1,1012.2
2021-01-25,-4.7,-10.5,0.6,0.0,351.0,2.5,1011.2
2021-01-26,-8.2,-13.8,-2.7,0.0,354.0,1.1,1011.7
2021-01-27,-6.3,-12.7,-2.7,0.8,8.0,3.6,1011.2
2021-01-28,-2.7,-8.8,2.8,2.3,350.0,2.9,1011.8
2021-01-29,0.8,0.0,2.2,0.0,359.0,1.1,1008.7
