time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-2.9,-6.3,0.4,0.4,109.0,15.4,1023.3
2021-01-02,0.4,-1.1,1.9,1.8,29.0,6.5,1016.0
2021-01-03,-0.6,-2.4,1.1,2.8,97.0,7.1,1015.4
2021-01-04,0.2,-0.4,0.8,0.0,218.0,12.8,1016.0
2021-01-05,0.0,-0.5,0.5,0.2,138.0,5.7,1016.3
2021-01-06,0.3,-1.2,1.8,0.0,8.0,6.0,1025.3
2021-01-07,-3.9,-8.0,0.2,0.0,22.0,12.5,1028.0
2021-01-08,-6.0,-8.5,-3.6,0.0,26.0,10.8,1024.3
2021-01-09,-2.1,-5.4,1.3,0.0,22.0,9.5,1024.0
2021-01-10,-0.4,-1.6,0.9,0.0,263.0,11.4,1026.1
2021-01-11,-1.1,-1.9,-0.4,0.0,221.0,18.0,1022.3
2021-01-12,-0.9,-2.2,0.4,0.0,229.0,14.4,1018.4
2021-01-13,1.3,-0.6,3.1,0.0,209.0,18.0,1009.7
2021-01-14,2.4,0.6,4.3,0.0,148.0,11.7,1007.2
2021-01-15,2.0,0.4,3.7,1.7,122.0,26.5,1003.4
2021-01-16,-0.2,-1.5,1.2,0.0,207.0,11.8,1001.6
2021-01-17,-1.4,-4.9,2.1,3.9,324.0,13.1,1002.9
2021-01-18,-4.8,-9.8,0.2,3.4,252.0,10.3,1008.8
2021-01-19,-2.1,-4.0,-0.3,0.0,270.0,26.8,1015.9
2021-01-20,-3.1,-5.4,-0.7,0.2,266.0,24.8,1016.4
2021-01-21,1.0,-0.7,2.7,0.0,239.0,30.0,1000.6
2021-01-22,-2.7,-6.8,1.3,1.1,313.0,30.7,1011.3
2021-01-23,-6.0,-7.0,-5.0,3.4,348.0,20.0,1025.9
2021-01-24,-6.0,-7.9,-4.0,0.4,151.0,11.0,1024.5
2021-01-25,-2.3,-4.4,-0.2,0.0,132.0,7.7,1019.2
2021-01-26,-3.1,-4.1,-2.2,2.3,46.0,21.1,1011.6
2021-01-27,-5.1,-6.9,-3.2,1.1,7.0,16.5,1024.4
2021-01-28,-6.2,-8.0,-4.5,2.7,337.0,29.2,1030.8
2021-01-29,-6.3,-9.8,-2.8,7.5,355.0,22.0,1028.7
2021-01-30,-7.6,-12.8,-2.5,0.0,147.0,8.6,1027.5
2021-01-31,-6.5,-10.0,-3.0,0.0,84.0,24.6,1020.8
2021-02-01,-7.5,-10.9,-4.0,0.0,40.0,15.7,1020.1
2021-02-02,-5.2,-8.6,-1.7,0.0,15.0,17.8,1017.3
2021-02-03,-7.7,-14.7,-0.7,0.0,11.0,15.6,1015.6
2021-02-04,-7.1,-15.4,1.2,1.0,139.0,15.6,1010.9
2021-02-05,-3.3,-8.0,1.4,1.8,222.0,39.5,997.5
2021-02-06,-7.3,-8.9,-5.6,0.5,242.0,34.0,1012.9
2021-02-07,-9.5,-12.1,-6.9,0.7,269.0,24.8,1019.0
2021-02-08,-10.3,-11.6,-9.0,0.2,226.0,16.0,1027.1
2021-02-09,-8.7,-10.4,-7.0,1.7,237.0,11.5,1026.2
2021-02-10,-8.4,-9.9,-7.0,0.0,274.0,11.9,1028.4
2021-02-11,-9.4,-12.8,-6.0,0.2,19.0,13.2,1029.8
2021-02-12,-11.5,-15.2,-7.7,0.2,67.0,13.5,1030.4
2021-02-13,-14.4,-21.1,-7.7,1.7,73.0,13.2,1027.6
2021-02-14,-15.2,-24.0,-6.3,0.5,244.0,9.2,1027.4
2021-02-15,-8.9,-11.5,-6.3,5.1,33.0,16.4,1025.0
2021-02-16,-8.8,-10.9,-6.7,3.8,4.0,24.8,1014.1
2021-02-17,-11.0,-15.5,-6.5,0.0,262.0,12.5,1029.6
2021-02-18,-9.8,-15.2,-4.3,0.2,67.0,12.7,1029.1
2021-02-19,-5.8,-8.3,-3.2,0.7,338.0,9.8,1022.7
2021-02-20,-6.0,-9.2,-2.9,3.2,286.0,13.1,1025.0
2021-02-21,-7.2,-13.4,-1.0,0.0,156.0,17.0,1029.2
2021-02-22,-0.4,-2.4,1.5,2.4,204.0,24.0,1005.1
2021-02-23,0.6,-2.0,3.2,2.6,223.0,17.7,1003.4
2021-02-24,1.9,-1.8,5.6,0.0,199.0,19.8,1008.4
2021-02-25,-1.5,-3.8,0.9,0.0,293.0,18.9,1024.3
2021-02-26,-5.1,-12.8,2.6,0.0,166.0,14.5,1025.6
2021-02-27,0.5,-1.6,2.6,4.4,186.0,15.3,1016.4
2021-02-28,3.5,-1.3,8.2,1.0,140.0,21.3,1011.8
2021-03-01,-2.5,-7.7,2.6,1.1,315.0,31.8,1016.0
2021-03-02,-3.5,-7.1,0.2,0.0,237.0,24.3,1022.6
2021-03-03,0.3,-2.0,2.7,0.0,254.0,13.1,1013.4
2021-03-04,-3.7,-7.2,-0.3,0.4,352.0,24.2,1022.8
2021-03-05,-2.6,-5.4,0.1,0.0,335.0,28.3,1022.2
2021-03-06,-3.6,-5.2,-1.9,0.0,341.0,21.3,1024.0
2021-03-07,-6.0,-9.0,-3.1,0.0,70.0,7.7,1030.6
2021-03-08,1.6,-7.0,10.2,0.0,175.0,17.0,1025.2
2021-03-09,1.3,-4.6,7.2,0.0,114.0,8.6,1028.1
2021-03-10,10.4,4.7,16.1,0.0,161.0,21.3,1019.0
2021-03-11,9.3,2.9,15.7,0.0,212.0,32.4,1012.3
2021-03-12,1.3,-3.1,5.7,0.0,281.0,20.0,1025.6
2021-03-13,-1.0,-6.6,4.6,0.0,234.0,18.4,1027.9
2021-03-14,-1.1,-4.7,2.4,0.0,,,
2021-03-15,-3.1,-8.1,2.0,0.0,80.0,14.8,1031.4
2021-03-16,1.6,-1.9,5.2,0.2,86.0,15.3,1017.9
2021-03-17,2.7,0.5,4.8,0.0,329.0,8.3,1018.1
2021-03-18,1.3,-3.0,5.5,0.0,37.0,27.2,1018.4
2021-03-19,-1.2,-6.0,3.6,0.0,23.0,14.6,1033.0
2021-03-20,2.8,-4.5,10.1,0.0,180.0,11.0,1034.9
2021-03-21,5.1,-5.4,15.6,0.0,168.0,11.5,1030.0
2021-03-22,12.3,6.0,18.6,0.0,170.0,16.6,1021.8
2021-03-23,14.5,8.6,20.4,0.0,141.0,14.6,1017.9
2021-03-24,14.9,9.5,20.2,0.3,167.0,24.3,1008.8
2021-03-25,9.3,6.3,12.4,2.6,263.0,17.7,1011.6
2021-03-26,4.7,1.5,7.8,30.8,10.0,21.1,1009.1
2021-03-27,5.0,1.1,8.8,3.2,24.0,9.2,1018.2
2021-03-28,4.5,0.0,9.0,11.5,247.0,23.8,1004.1
2021-03-29,3.4,-0.2,7.1,0.2,254.0,22.9,1020.1
2021-03-30,11.8,6.1,17.5,0.2,183.0,31.2,1011.5
2021-03-31,6.1,-1.0,13.2,1.2,323.0,17.1,1015.4
2021-04-01,-2.5,-5.0,0.1,0.2,346.0,30.0,1025.7
2021-04-02,-2.0,-5.7,1.8,0.0,8.0,14.8,1031.1
2021-04-03,4.7,-2.3,11.7,0.0,171.0,17.3,1023.0
2021-04-04,2.7,-2.6,8.0,0.0,355.0,8.7,1022.2
2021-04-05,8.1,4.7,11.5,1.2,124.0,14.9,1019.4
2021-04-06,14.0,6.5,21.5,2.5,145.0,16.8,1013.9
2021-04-07,15.3,6.7,23.8,0.0,128.0,15.5,1013.1
2021-04-08,19.6,11.9,27.4,0.6,130.0,25.2,1009.0
2021-04-09,18.1,14.3,21.8,1.5,161.0,20.2,1008.0
2021-04-10,17.6,11.2,24.1,0.0,156.0,14.5,1005.2
2021-04-11,13.7,10.5,16.9,4.8,168.0,13.0,996.8
2021-04-12,10.6,9.1,12.0,7.8,337.0,5.1,1005.0
2021-04-13,11.4,6.7,16.1,0.8,199.0,10.7,1016.0
2021-04-14,6.5,2.8,10.1,0.0,288.0,12.5,1016.7
2021-04-15,2.8,1.9,3.7,0.0,306.0,14.9,1011.4
2021-04-16,3.3,2.3,4.3,0.2,334.0,24.4,1011.1
2021-04-17,5.5,3.1,7.8,0.3,334.0,9.0,1012.7
2021-04-18,5.2,0.9,9.4,0.4,329.0,9.4,1011.8
2021-04-19,8.5,1.7,15.4,1.4,200.0,17.5,1008.0
2021-04-20,1.4,-0.5,3.3,0.0,312.0,18.0,1015.2
2021-04-21,0.3,-1.7,2.2,0.2,348.0,17.3,1016.0
2021-04-22,2.2,-0.1,4.4,0.0,311.0,18.3,1016.2
2021-04-23,8.8,2.8,14.8,0.0,218.0,15.4,1014.7
2021-04-24,9.6,4.2,15.0,0.0,206.0,10.3,1012.6
2021-04-25,2.3,-3.7,8.2,0.0,330.0,23.6,1014.5
2021-04-26,1.5,-4.7,7.6,0.0,56.0,9.2,1022.3
