time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-15.6,-19.7,-11.5,0.2,240.0,23.6,1014.3
2021-01-02,-17.3,-21.2,-13.4,0.0,220.0,19.8,1018.4
2021-01-03,-16.1,-23.6,-8.6,0.0,191.0,10.1,1018.2
2021-01-04,-7.5,-12.4,-2.5,0.0,192.0,7.9,1019.4
2021-01-05,-9.9,-14.6,-5.2,0.0,204.0,6.2,1025.6
2021-01-06,-9.0,-13.4,-4.6,15.0,287.0,6.8,1021.1
2021-01-07,-3.5,-4.8,-2.2,20.0,336.0,22.8,1016.4
2021-01-08,-1.8,-3.1,-0.5,21.2,338.0,24.0,1008.0
2021-01-09,-6.1,-9.9,-2.3,2.0,299.0,18.0,1007.1
2021-01-10,-12.6,-18.5,-6.7,0.0,248.0,12.3,1013.9
2021-01-11,-16.0,-20.9,-11.1,0.0,239.0,10.0,1016.7
2021-01-12,-14.1,-19.7,-8.4,0.0,202.0,9.8,1012.5
2021-01-13,-12.0,-16.9,-7.1,0.0,178.0,9.3,1008.9
2021-01-14,-7.6,-10.5,-4.7,0.0,175.0,8.0,1009.3
2021-01-15,-9.5,-15.1,-3.9,0.0,205.0,7.2,1016.5
2021-01-16,-8.2,-10.9,-5.5,0.0,155.0,13.9,1018.4
2021-01-17,-5.1,-10.8,0.7,3.6,38.0,17.5,1004.7
2021-01-18,-0.5,-2.9,1.9,0.0,104.0,15.6,987.8
2021-01-19,-9.2,-16.3,-2.0,0.2,220.0,16.2,996.4
2021-01-20,-16.4,-17.7,-15.1,5.4,246.0,22.7,998.6
2021-01-21,-19.3,-23.3,-15.3,0.0,273.0,12.6,1001.0
2021-01-22,-16.0,-21.6,-10.3,7.6,276.0,5.5,1010.9
2021-01-23,-4.9,-10.6,0.9,7.0,355.0,24.3,998.0
2021-01-24,0.8,-0.2,1.8,0.0,357.0,41.4,998.6
2021-01-25,-0.4,-2.0,1.3,0.2,348.0,35.1,1006.7
