time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.6,5.4,21.6,,,,
2021-01-02,14.0,5.8,22.4,0.0,308.0,4.6,1016.4
2021-01-03,16.8,8.6,23.4,0.0,342.0,2.7,1014.8
2021-01-04,17.1,13.8,24.0,0.0,52.0,4.3,1015.6
2021-01-05,18.2,15.2,22.6,0.0,291.0,5.0,1015.7
2021-01-06,19.3,12.0,26.5,0.0,288.0,6.7,1012.8
2021-01-07,19.8,14.6,26.8,0.0,287.0,8.4,1011.5
2021-01-08,18.9,14.2,26.7,0.0,292.0,7.1,1012.6
2021-01-09,17.9,12.0,24.8,0.0,283.0,7.2,1012.3
2021-01-10,19.0,15.4,24.8,0.0,270.0,9.0,1011.5
2021-01-11,13.1,9.4,25.1,0.0,284.0,9.6,1013.9
2021-01-12,11.8,8.4,15.4,0.0,282.0,6.1,1015.3
2021-01-13,11.6,8.4,15.2,0.0,283.0,5.7,1015.1
2021-01-14,13.3,8.0,19.2,0.0,291.0,4.5,1015.5
2021-01-15,13.2,8.9,17.7,0.0,279.0,4.3,1014.1
2021-01-16,13.5,11.1,15.2,0.0,261.0,5.4,1012.7
2021-01-17,14.3,11.0,20.7,0.0,78.0,4.4,1016.1
2021-01-18,13.6,8.8,21.9,0.0,337.0,4.2,1015.8
2021-01-19,14.4,9.6,22.1,0.0,265.0,5.7,1012.3
2021-01-20,13.5,11.4,20.2,0.0,285.0,6.6,1012.0
2021-01-21,13.3,8.0,18.8,0.0,284.0,5.5,1012.5
2021-01-22,13.5,9.0,20.2,0.0,22.0,3.7,1015.0
2021-01-23,13.6,9.0,19.8,0.0,324.0,3.7,1013.9
2021-01-24,13.4,10.3,18.5,0.0,10.0,4.2,1014.4
2021-01-25,13.2,11.4,17.2,0.0,304.0,6.7,1016.4
2021-01-26,12.3,8.2,17.0,0.0,281.0,7.2,1016.5
2021-01-27,11.8,8.2,18.5,0.0,264.0,7.0,1016.8
2021-01-28,11.6,7.4,17.4,0.0,296.0,4.4,1017.6
2021-01-29,9.9,5.3,17.0,0.0,298.0,6.6,1016.9
2021-01-30,11.1,6.8,18.8,0.0,268.0,7.7,1016.2
2021-01-31,10.9,6.0,19.1,0.0,298.0,5.4,1017.6
2021-02-01,11.5,7.4,17.6,0.0,290.0,5.6,1019.0
2021-02-02,12.9,7.7,21.4,0.0,305.0,6.1,1018.0
2021-02-03,14.6,6.8,24.0,0.0,319.0,4.8,1017.1
2021-02-04,16.6,8.6,25.2,0.0,44.0,3.2,1016.4
2021-02-05,17.2,11.3,25.2,0.9,347.0,8.4,1016.0
2021-02-06,17.1,12.3,23.3,0.1,284.0,7.9,1015.7
2021-02-07,16.7,10.8,24.0,0.0,293.0,6.5,1016.8
2021-02-08,17.0,10.4,24.0,0.0,279.0,6.5,1016.8
2021-02-09,16.2,9.8,24.0,0.0,267.0,4.7,1014.6
2021-02-10,18.3,11.0,24.6,0.0,295.0,5.1,1013.0
2021-02-11,12.4,11.3,24.7,0.0,307.0,7.0,1013.2
2021-02-12,18.7,12.5,25.4,0.0,297.0,6.4,1014.2
2021-02-13,18.0,12.1,25.6,0.0,297.0,6.7,1014.5
2021-02-14,18.6,11.6,26.6,0.0,297.0,5.7,1013.8
2021-02-15,17.6,11.3,26.4,0.0,288.0,5.2,1012.1
2021-02-16,18.4,11.0,27.6,0.0,288.0,2.5,1011.7
2021-02-17,19.2,12.0,27.6,0.6,339.0,3.2,1013.1
2021-02-18,18.8,13.0,27.6,1.4,43.0,3.9,1015.5
2021-02-19,21.4,11.0,27.6,0.0,311.0,3.9,1017.5
2021-02-20,19.0,12.0,28.0,0.0,303.0,5.1,1016.8
2021-02-21,16.8,12.0,28.0,0.0,283.0,5.7,1015.3
2021-02-22,19.2,12.0,28.1,0.0,271.0,3.4,1013.7
2021-02-23,20.9,13.0,28.0,0.0,287.0,2.9,1011.9
2021-02-24,21.3,16.1,29.0,0.0,277.0,4.8,1009.2
2021-02-25,24.2,15.3,32.0,0.0,275.0,9.6,1006.7
2021-02-26,23.2,17.0,31.2,0.0,284.0,9.6,1005.9
2021-02-27,23.9,15.3,30.6,0.0,278.0,8.6,1005.6
