time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.9,23.2,32.4,,,,
2021-01-02,29.3,23.4,,,,,
2021-01-03,27.1,23.6,31.4,1.0,352.0,6.8,1008.1
2021-01-04,27.2,23.7,30.6,0.8,343.0,6.8,1007.9
2021-01-05,27.1,23.9,31.9,1.7,331.0,5.9,1007.7
2021-01-06,25.8,23.7,29.0,20.2,349.0,3.4,1007.9
2021-01-07,27.1,23.8,32.2,4.9,335.0,4.8,1006.9
2021-01-08,27.0,23.5,32.6,2.5,343.0,4.5,1007.0
2021-01-09,27.7,23.4,32.7,6.2,357.0,4.2,1007.1
2021-01-10,27.6,23.6,33.3,2.0,347.0,4.5,1006.9
2021-01-11,28.0,23.4,33.0,4.7,351.0,3.8,1007.3
2021-01-12,27.4,23.9,32.8,5.7,351.0,4.3,1007.6
2021-01-13,27.5,24.2,33.1,4.4,4.0,4.0,1007.4
2021-01-14,26.4,24.1,33.4,3.4,337.0,5.1,1007.5
2021-01-15,26.1,24.1,30.4,8.3,0.0,3.4,1007.0
2021-01-16,26.2,23.1,32.4,3.0,27.0,6.4,1006.2
2021-01-17,26.5,23.2,31.4,0.7,14.0,5.0,1007.0
2021-01-18,27.5,23.7,32.5,0.0,358.0,5.1,1006.6
2021-01-19,28.0,23.6,33.8,1.0,84.0,4.7,1007.1
2021-01-20,28.7,23.5,34.0,1.9,344.0,4.7,1008.1
2021-01-21,27.3,24.4,33.7,6.1,34.0,3.9,1008.8
2021-01-22,25.6,23.5,32.4,7.7,343.0,5.0,1008.7
2021-01-23,27.1,23.0,32.0,3.6,323.0,4.6,1009.2
2021-01-24,26.4,23.8,31.7,2.0,345.0,7.4,1009.4
2021-01-25,25.8,23.1,31.4,8.6,334.0,7.0,1009.1
2021-01-26,26.4,22.7,32.3,2.3,339.0,6.3,1007.8
2021-01-27,27.7,23.1,32.0,1.6,339.0,6.1,1007.1
2021-01-28,27.2,23.9,31.7,0.4,342.0,9.2,1007.8
2021-01-29,26.9,22.9,32.0,0.1,341.0,8.4,1007.7
2021-01-30,24.8,22.9,30.7,6.3,341.0,5.3,1008.4
2021-01-31,26.2,22.9,31.0,7.6,347.0,5.0,1009.3
2021-02-01,26.2,23.8,32.0,5.6,346.0,4.1,1009.3
2021-02-02,26.5,24.1,30.6,5.1,340.0,5.8,1009.4
2021-02-03,27.9,24.4,32.4,0.2,336.0,6.2,1008.7
2021-02-04,27.4,24.7,32.1,1.9,332.0,6.2,1008.7
2021-02-05,26.9,24.3,31.4,3.2,335.0,5.4,1008.9
2021-02-06,27.6,24.2,31.8,1.3,343.0,6.4,1008.0
2021-02-07,27.9,24.0,33.2,3.7,345.0,4.3,1007.8
2021-02-08,26.8,23.9,32.1,0.9,339.0,4.4,1008.0
2021-02-09,27.7,24.3,34.7,1.0,346.0,3.4,1007.8
2021-02-10,30.1,24.2,31.2,0.7,20.0,4.5,1008.1
2021-02-11,26.6,24.0,29.9,4.1,10.0,4.1,1009.0
2021-02-12,26.3,23.8,30.2,4.7,335.0,3.5,1009.4
2021-02-13,25.2,24.2,32.6,10.0,340.0,3.2,1010.4
2021-02-14,26.8,24.2,32.5,3.7,29.0,5.0,1009.7
