time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.0,15.0,34.0,,,,
2021-01-02,23.5,15.0,34.5,0.0,31.0,6.9,1011.5
2021-01-03,23.2,14.5,36.0,0.0,42.0,7.4,1011.5
2021-01-04,25.4,15.5,37.0,0.0,39.0,7.6,1011.0
2021-01-05,25.3,15.0,38.0,0.0,47.0,8.4,1010.5
2021-01-06,27.3,18.0,38.0,0.0,43.0,10.6,1011.4
2021-01-07,27.4,19.5,37.0,0.0,38.0,12.9,1012.3
2021-01-08,27.8,19.0,37.2,0.0,44.0,15.8,1012.3
2021-01-09,25.9,17.0,35.0,0.0,45.0,13.7,1012.1
2021-01-10,25.2,18.0,34.0,0.0,59.0,14.3,1011.9
2021-01-11,24.5,17.5,33.5,0.0,57.0,13.1,1012.0
2021-01-12,24.0,15.5,32.5,0.0,41.0,12.4,1013.3
2021-01-13,23.2,15.5,33.0,0.0,42.0,11.0,1014.0
2021-01-14,23.4,15.5,32.0,0.0,43.0,11.3,1013.7
2021-01-15,21.7,14.6,30.8,0.0,46.0,11.0,1012.8
2021-01-16,22.0,11.5,32.5,0.0,47.0,7.8,1011.5
2021-01-17,23.6,14.6,34.0,0.0,48.0,11.3,1012.3
2021-01-18,22.4,16.0,29.5,0.0,48.0,17.8,1014.6
2021-01-19,21.2,15.6,29.0,0.0,50.0,15.7,1016.0
2021-01-20,20.8,14.5,28.4,0.0,58.0,18.8,1016.3
2021-01-21,21.0,15.5,28.1,0.0,64.0,17.9,1016.5
2021-01-22,20.0,13.0,28.0,0.0,53.0,16.9,1015.8
2021-01-23,19.6,12.0,29.0,0.0,40.0,10.6,1014.7
2021-01-24,20.6,13.0,30.0,0.0,42.0,12.4,1014.3
2021-01-25,21.6,13.5,31.0,0.0,41.0,13.4,1014.3
2021-01-26,23.2,15.4,32.0,0.0,41.0,11.5,1013.4
2021-01-27,23.5,15.0,32.5,0.0,45.0,15.2,1013.1
2021-01-28,23.2,17.0,31.5,0.0,45.0,16.1,1014.1
2021-01-29,25.3,16.0,30.0,0.0,54.0,18.8,1015.9
2021-01-30,22.9,17.7,29.8,0.0,53.0,14.8,1014.8
2021-01-31,22.1,15.0,31.0,0.0,38.0,10.2,1012.6
2021-02-01,22.7,15.0,31.6,0.0,32.0,8.1,1012.4
2021-02-02,23.9,14.0,33.0,0.0,29.0,9.7,1013.7
2021-02-03,23.1,15.8,30.5,0.0,40.0,15.4,1014.8
2021-02-04,22.7,17.0,29.5,0.0,43.0,17.1,1015.0
2021-02-05,23.1,18.5,29.5,0.0,67.0,18.1,1015.7
2021-02-06,22.4,16.0,30.5,0.0,59.0,14.7,1015.0
2021-02-07,22.0,12.5,31.5,0.0,53.0,10.3,1013.2
2021-02-08,22.8,12.5,33.5,0.0,40.0,8.5,1011.8
2021-02-09,24.1,15.0,35.5,0.0,50.0,10.7,1012.0
2021-02-10,19.3,15.0,32.5,0.0,43.0,12.2,1012.7
2021-02-11,23.8,16.3,32.4,0.0,46.0,14.5,1012.7
2021-02-12,24.1,16.6,32.9,0.0,39.0,12.0,1011.9
2021-02-13,30.2,16.4,34.5,0.0,36.0,10.6,1010.7
2021-02-14,26.3,18.5,34.8,0.0,47.0,11.1,1010.3
2021-02-15,27.9,18.3,35.0,0.0,46.0,13.5,1011.4
2021-02-16,25.2,18.5,32.5,0.0,41.0,18.4,1013.5
2021-02-17,20.0,15.5,25.3,0.0,44.0,23.0,1017.3
2021-02-18,19.5,15.4,24.6,0.0,66.0,20.6,1018.6
2021-02-19,18.2,12.2,24.8,0.0,61.0,19.0,1018.7
2021-02-20,19.1,12.2,26.6,0.0,56.0,15.9,1017.5
2021-02-21,20.5,13.7,27.8,0.0,53.0,16.5,1015.7
2021-02-22,23.8,14.5,30.0,0.0,46.0,12.3,1015.1
2021-02-23,23.1,14.0,31.0,0.0,51.0,13.3,1015.3
2021-02-24,24.4,18.3,30.5,0.0,59.0,16.3,1015.0
2021-02-25,24.6,18.8,31.0,0.0,58.0,13.2,1013.1
2021-02-26,24.3,17.5,31.8,0.0,45.0,10.0,1011.9
2021-02-27,26.0,18.4,32.0,0.0,55.0,15.7,1012.0
2021-02-28,24.9,17.5,33.0,0.0,50.0,14.4,1011.4
2021-03-01,27.2,20.1,34.7,0.0,45.0,16.9,1011.2
2021-03-02,27.3,19.5,35.0,0.0,49.0,16.9,1012.0
2021-03-03,26.9,18.5,34.0,0.0,49.0,16.7,1012.0
2021-03-04,26.7,19.5,34.0,0.0,52.0,13.8,1011.5
2021-03-05,27.4,19.4,35.0,0.0,54.0,12.9,1010.9
2021-03-06,27.4,18.4,35.5,0.0,56.0,14.5,1012.5
2021-03-07,28.7,20.0,37.0,0.0,52.0,13.5,1011.7
2021-03-08,28.3,20.5,38.5,0.0,55.0,10.1,1009.5
2021-03-09,30.2,21.0,39.0,0.0,56.0,10.7,1007.9
2021-03-10,29.8,17.5,40.0,0.0,56.0,9.0,1006.8
2021-03-11,31.7,20.8,42.0,0.0,60.0,8.3,1005.3
2021-03-12,31.3,20.5,43.0,0.0,70.0,8.6,1005.1
2021-03-13,32.2,22.0,42.7,0.0,33.0,5.4,1005.6
2021-03-14,32.8,23.7,41.5,0.0,2.0,9.7,1006.1
2021-03-15,32.9,23.5,41.0,0.0,2.0,9.2,1005.7
2021-03-16,32.4,26.5,40.0,0.0,29.0,11.4,1006.2
2021-03-17,32.2,25.0,39.5,0.0,45.0,10.9,1007.0
2021-03-18,31.8,23.5,40.5,0.0,50.0,9.3,1007.2
2021-03-19,29.2,22.0,42.7,0.0,37.0,6.9,1006.2
2021-03-20,34.3,26.0,43.5,0.0,20.0,6.1,1005.4
2021-03-21,35.2,26.6,43.0,0.0,20.0,13.8,1004.7
