time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.1,24.4,27.6,8.6,316.0,18.0,1004.8
2021-01-02,25.6,23.5,28.7,82.6,309.0,16.0,1004.0
2021-01-03,27.4,23.2,32.0,12.0,299.0,21.1,1003.8
2021-01-04,28.3,23.6,32.2,2.0,301.0,17.2,1004.1
2021-01-05,29.2,24.6,33.6,0.2,297.0,11.0,1004.9
2021-01-06,28.4,26.4,34.0,0.0,328.0,8.4,1005.3
2021-01-07,28.9,24.6,32.9,34.2,347.0,7.1,1005.4
2021-01-08,29.0,26.0,32.8,0.0,347.0,8.4,1006.3
2021-01-09,28.1,26.9,32.5,0.0,308.0,9.9,1006.0
2021-01-10,28.2,25.7,32.7,25.4,311.0,8.6,1006.2
2021-01-11,27.7,25.6,32.6,1.6,322.0,7.5,1006.2
2021-01-12,29.2,24.8,32.9,1.2,5.0,8.6,1006.0
2021-01-13,28.7,26.5,33.0,0.0,337.0,7.9,1006.6
2021-01-14,27.6,26.0,33.1,0.0,289.0,7.4,1006.2
2021-01-15,25.9,24.8,30.4,20.6,198.0,8.3,1004.4
2021-01-16,25.7,23.6,28.8,72.2,149.0,11.9,1003.2
2021-01-17,27.6,23.7,30.0,90.6,40.0,17.6,1003.4
2021-01-18,27.2,24.9,30.6,15.6,39.0,11.2,1006.0
2021-01-19,27.4,25.5,31.4,13.2,329.0,9.8,1008.3
2021-01-20,28.4,25.3,32.8,0.2,336.0,3.6,1009.0
2021-01-21,26.8,23.3,31.2,5.6,296.0,8.5,1008.1
2021-01-22,26.2,24.6,31.7,26.2,251.0,8.7,1006.6
2021-01-23,26.2,24.7,29.3,15.0,233.0,8.3,1006.3
2021-01-24,25.7,24.9,30.0,1.2,254.0,11.3,1005.3
2021-01-25,27.4,24.1,31.4,32.6,285.0,17.2,1004.5
2021-01-26,28.3,25.8,31.1,0.4,303.0,16.5,1003.0
2021-01-27,29.1,27.0,33.3,0.0,300.0,19.3,1002.7
2021-01-28,27.3,26.3,32.2,0.0,279.0,18.0,1003.8
2021-01-29,28.4,24.2,32.5,2.0,296.0,15.0,1004.4
2021-01-30,28.3,26.4,33.7,1.2,279.0,15.8,1005.1
2021-01-31,27.8,24.1,33.7,15.2,286.0,13.8,1005.6
2021-02-01,28.1,24.8,33.3,23.4,278.0,11.5,1005.7
2021-02-02,28.2,24.8,33.0,17.4,303.0,13.2,1005.2
2021-02-03,27.3,25.4,30.1,0.0,313.0,10.4,1003.9
2021-02-04,26.2,25.1,30.6,0.0,295.0,14.0,1003.4
2021-02-05,27.3,24.5,31.5,7.2,302.0,14.3,1002.2
2021-02-06,27.4,24.4,29.5,2.0,273.0,18.0,1001.2
2021-02-07,27.2,25.4,30.2,0.4,298.0,21.0,1001.7
2021-02-08,27.8,25.3,31.7,9.8,319.0,19.6,1003.3
2021-02-09,28.7,25.2,31.9,2.8,321.0,17.0,1005.1
2021-02-10,28.9,27.1,32.0,0.0,324.0,15.7,1006.3
2021-02-11,26.8,26.2,31.1,1.8,285.0,10.1,1006.9
2021-02-12,25.8,24.8,29.7,0.8,292.0,8.1,1007.1
2021-02-13,26.9,23.0,31.0,30.2,318.0,11.4,1006.9
2021-02-14,28.5,24.9,32.1,0.0,332.0,14.3,1006.4
2021-02-15,28.8,25.8,32.1,0.0,329.0,15.8,1006.0
2021-02-16,26.8,27.0,31.8,0.0,303.0,12.8,1005.3
2021-02-17,27.5,24.7,30.4,12.2,296.0,10.6,1004.5
2021-02-18,26.3,24.9,29.9,2.6,306.0,11.3,1004.0
2021-02-19,29.7,24.9,31.8,13.6,320.0,14.7,1004.3
2021-02-20,27.4,25.5,30.1,1.6,324.0,17.0,1005.0
2021-02-21,27.3,25.5,31.1,3.0,341.0,15.4,1006.3
2021-02-22,27.6,25.5,31.9,5.2,346.0,10.9,1007.1
2021-02-23,26.7,24.4,29.0,10.6,309.0,8.3,1007.8
2021-02-24,26.7,24.8,31.6,0.2,294.0,7.7,1006.5
2021-02-25,27.0,24.2,31.7,37.2,269.0,8.9,1005.8
2021-02-26,27.6,24.3,31.8,0.0,17.0,7.8,1005.0
2021-02-27,28.1,24.2,32.2,3.8,30.0,6.2,1005.1
2021-02-28,28.7,25.4,32.2,0.0,282.0,9.9,1006.4
2021-03-01,29.4,24.2,34.1,14.0,294.0,17.8,1007.1
2021-03-02,29.7,26.0,34.1,0.0,290.0,16.4,1006.9
2021-03-03,28.6,27.7,34.0,0.0,287.0,15.1,1006.9
2021-03-04,27.7,25.9,33.8,2.6,290.0,14.0,1006.8
2021-03-05,28.8,24.6,34.0,9.0,308.0,17.5,1007.0
2021-03-06,27.2,22.6,31.3,1.8,299.0,14.4,1007.5
2021-03-07,28.8,22.6,33.0,5.0,300.0,15.6,1007.3
2021-03-08,28.1,25.9,32.6,0.0,336.0,11.3,1008.1
2021-03-09,27.9,24.2,31.7,0.0,5.0,10.1,1009.5
2021-03-10,27.0,24.9,30.8,0.8,19.0,10.5,1011.0
2021-03-11,26.6,24.2,31.8,4.8,80.0,8.2,1011.8
2021-03-12,27.9,24.3,32.2,1.8,52.0,8.4,1011.2
2021-03-13,26.9,24.7,31.6,0.2,43.0,7.5,1010.5
2021-03-14,28.1,24.0,32.0,0.6,26.0,7.4,1009.4
2021-03-15,26.1,24.4,30.8,0.2,286.0,5.6,1009.8
2021-03-16,27.7,24.2,31.8,12.8,53.0,7.8,1009.7
2021-03-17,28.2,24.4,32.2,0.0,61.0,7.8,1008.7
2021-03-18,26.1,24.5,30.2,0.0,214.0,7.7,1007.7
2021-03-19,25.2,23.5,29.2,44.6,121.0,10.9,1006.3
2021-03-20,26.8,23.5,30.0,34.8,16.0,7.9,1006.2
2021-03-21,26.9,23.9,31.7,1.8,2.0,11.5,1007.5
2021-03-22,26.8,24.2,31.5,11.2,327.0,4.3,1008.6
2021-03-23,28.2,24.5,32.4,11.6,342.0,7.8,1008.3
2021-03-24,28.4,25.1,33.0,0.0,342.0,7.7,1007.4
2021-03-25,26.7,25.0,30.4,0.0,334.0,2.9,1007.4
2021-03-26,28.4,24.4,32.5,23.0,75.0,8.2,1007.5
2021-03-27,26.7,25.3,30.5,0.4,140.0,8.9,1007.5
2021-03-28,26.5,24.1,29.5,25.0,109.0,12.1,1007.5
2021-03-29,26.5,24.1,30.5,18.6,127.0,14.5,1007.6
2021-03-30,25.8,23.5,31.8,16.4,115.0,15.2,1007.3
2021-03-31,27.6,22.9,30.8,68.2,116.0,18.0,1006.8
2021-04-01,25.6,24.0,28.9,3.6,126.0,17.3,1007.0
2021-04-02,27.7,23.3,31.3,45.0,123.0,21.8,1007.5
2021-04-03,27.3,23.7,31.4,2.6,120.0,19.3,1007.1
2021-04-04,27.8,24.2,31.8,0.0,117.0,12.1,1007.7
2021-04-05,26.9,24.8,32.2,0.0,94.0,7.1,1008.9
2021-04-06,26.1,21.8,32.3,0.0,82.0,5.9,1009.7
2021-04-07,26.2,20.3,32.0,0.0,49.0,6.7,1008.4
2021-04-08,26.7,20.6,31.6,0.2,4.0,5.0,1007.3
2021-04-09,28.0,22.5,32.0,0.0,1.0,6.0,1008.2
2021-04-10,28.1,24.6,32.0,0.0,9.0,8.0,1009.2
2021-04-11,28.0,25.0,32.8,0.0,49.0,8.8,1010.1
2021-04-12,27.9,23.9,33.2,0.0,142.0,9.5,1010.5
2021-04-13,28.1,23.0,32.9,0.0,122.0,12.1,1010.8
2021-04-14,27.2,24.3,32.0,0.6,88.0,11.4,1010.6
2021-04-15,27.4,23.9,32.4,2.8,101.0,12.1,1010.8
2021-04-16,27.9,23.4,32.9,0.2,110.0,10.5,1011.2
2021-04-17,28.9,24.5,32.6,0.0,141.0,17.3,1010.9
2021-04-18,28.7,26.7,32.9,0.0,154.0,18.8,1009.5
2021-04-19,27.5,25.2,31.0,0.0,136.0,10.7,1008.8
2021-04-20,26.2,25.0,31.3,6.6,132.0,8.0,1009.3
2021-04-21,26.4,24.3,30.3,9.6,250.0,6.6,1010.0
2021-04-22,28.1,24.0,31.3,0.4,183.0,13.0,1009.5
2021-04-23,28.4,26.8,31.4,2.2,145.0,25.6,1009.6
2021-04-24,27.8,26.5,31.9,0.0,152.0,22.0,1010.5
2021-04-25,26.4,23.6,31.0,0.0,147.0,9.0,1010.0
2021-04-26,25.9,23.7,28.8,13.2,194.0,7.1,1011.0
2021-04-27,26.4,24.7,30.1,8.8,73.0,7.8,1011.5
2021-04-28,25.9,24.4,29.4,8.4,91.0,14.6,1012.4
2021-04-29,26.0,23.6,30.9,20.6,123.0,14.3,1012.2
2021-04-30,26.7,21.9,30.8,2.0,96.0,11.6,1012.5
2021-05-01,27.2,23.3,31.1,0.2,110.0,17.8,1013.1
2021-05-02,26.7,23.7,31.2,0.8,117.0,16.3,1012.7
2021-05-03,26.7,23.7,30.4,0.2,111.0,16.9,1011.4
2021-05-04,26.8,23.4,30.9,4.8,115.0,16.0,1010.8
2021-05-05,26.9,23.6,31.3,0.0,121.0,15.4,1010.4
2021-05-06,26.8,23.6,31.2,0.0,128.0,18.3,1010.3
2021-05-07,26.6,21.0,31.2,0.0,129.0,13.7,1010.3
2021-05-08,27.1,22.0,31.5,0.0,128.0,12.3,1010.4
2021-05-09,26.7,23.4,30.8,0.0,119.0,14.7,1010.7
2021-05-10,27.7,23.8,31.9,0.0,144.0,16.5,1010.9
2021-05-11,27.7,24.0,31.9,0.0,143.0,17.2,1011.3
2021-05-12,27.4,25.9,31.2,0.0,139.0,21.8,1011.2
2021-05-13,27.3,24.4,31.7,0.0,149.0,19.1,1010.5
2021-05-14,26.7,23.8,31.3,0.0,142.0,18.2,1010.4
2021-05-15,27.2,22.6,31.6,0.0,150.0,18.6,1010.5
2021-05-16,27.1,24.7,31.0,0.0,138.0,22.2,1011.2
2021-05-17,26.6,24.7,30.4,0.0,137.0,22.2,1012.2
2021-05-18,27.6,24.0,30.6,0.0,140.0,21.1,1012.3
2021-05-19,27.5,25.9,31.4,0.0,123.0,24.0,1011.7
2021-05-20,27.1,25.7,31.6,0.0,129.0,21.8,1012.0
