time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.0,8.0,16.0,,37.0,5.6,
2021-01-02,15.8,13.0,19.0,5.4,272.0,7.2,1016.5
2021-01-03,14.8,9.0,19.0,11.8,288.0,10.1,1012.2
2021-01-04,6.5,0.0,10.0,0.0,2.0,4.0,1016.3
2021-01-05,4.3,-1.0,10.0,3.8,330.0,3.0,1014.0
2021-01-06,3.7,-1.0,9.0,0.0,353.0,5.3,1021.1
2021-01-07,2.9,-3.0,9.0,0.1,17.0,1.5,1022.6
2021-01-08,5.0,2.0,9.0,16.0,20.0,12.8,1012.9
2021-01-09,3.2,-2.0,9.0,1.7,321.0,9.1,1015.8
2021-01-10,1.8,-4.0,10.0,0.0,351.0,3.7,1025.5
2021-01-11,2.8,-4.0,9.6,4.0,3.0,1.8,1026.3
2021-01-12,5.3,0.0,9.0,9.0,359.0,5.2,1021.3
2021-01-13,5.4,-1.0,13.0,0.0,317.0,3.5,1018.9
2021-01-14,7.4,3.9,12.5,0.3,243.0,9.0,1012.5
2021-01-15,8.3,2.0,15.8,9.5,194.0,11.2,1009.5
2021-01-16,6.1,2.7,9.5,0.0,255.0,16.5,1006.3
2021-01-17,3.7,-1.1,8.8,0.0,237.0,10.7,1013.5
2021-01-18,5.3,2.3,10.1,0.0,255.0,13.4,1015.8
2021-01-19,5.7,-1.6,12.5,0.0,223.0,10.9,1025.1
2021-01-20,7.6,0.6,11.2,0.0,290.0,14.1,1020.6
2021-01-21,6.4,-0.5,10.6,0.9,220.0,10.5,1013.7
2021-01-22,8.0,5.0,13.1,0.0,273.0,9.6,1013.6
2021-01-23,4.0,0.1,7.4,0.0,350.0,13.3,1022.2
2021-01-24,1.8,-3.6,7.4,0.0,52.0,6.5,1025.9
2021-01-25,6.8,4.0,9.0,10.8,111.0,5.8,1017.9
2021-01-26,14.5,8.6,20.1,11.3,216.0,10.2,1011.2
2021-01-27,9.6,6.6,15.3,13.0,15.0,9.1,1016.1
2021-01-28,2.2,-2.0,5.6,10.3,345.0,20.9,1021.3
2021-01-29,-1.6,-5.2,3.1,0.0,324.0,10.2,1027.7
2021-01-30,0.3,-4.4,5.3,0.0,47.0,6.4,1028.3
2021-01-31,7.6,1.1,13.2,28.0,135.0,12.4,1016.3
2021-02-01,4.3,2.5,5.8,1.8,342.0,13.3,1005.7
2021-02-02,3.6,0.5,7.4,0.0,311.0,18.5,1005.3
2021-02-03,2.9,-1.8,8.7,0.0,295.0,16.7,1011.1
2021-02-04,3.3,-3.8,10.0,0.0,249.0,8.0,1018.0
2021-02-05,9.0,6.0,10.7,9.4,224.0,15.0,1011.4
2021-02-06,6.7,3.8,11.0,2.1,33.0,9.0,1019.8
2021-02-07,4.9,0.3,8.9,5.2,0.0,14.8,1013.4
2021-02-08,4.5,-2.7,12.3,0.0,73.0,9.2,1027.3
2021-02-09,11.3,4.6,18.0,2.3,199.0,8.6,1021.5
2021-02-10,9.9,6.6,14.0,0.0,48.0,8.7,1023.3
2021-02-11,9.1,6.0,14.0,12.0,16.0,4.0,1018.6
2021-02-12,3.2,1.0,6.0,14.4,28.0,13.4,1020.3
2021-02-13,2.2,1.0,4.0,34.9,17.0,13.9,1018.3
2021-02-14,2.8,2.0,4.0,33.4,24.0,11.5,1019.2
2021-02-15,5.2,3.0,10.0,0.2,34.0,7.4,1017.8
2021-02-16,15.0,6.0,19.0,24.0,235.0,14.0,1011.1
2021-02-17,5.2,0.0,9.0,0.0,35.0,9.9,1025.3
2021-02-18,2.5,1.0,4.0,44.1,24.0,10.7,1020.1
2021-02-19,2.5,0.0,4.0,30.8,0.0,10.8,1018.1
2021-02-20,1.7,-3.0,7.0,0.0,330.0,10.4,1026.8
2021-02-21,0.7,-4.0,7.0,0.0,26.0,4.4,1034.3
2021-02-22,7.5,-2.0,18.0,8.5,190.0,8.4,1020.4
2021-02-23,9.9,5.0,18.0,0.3,281.0,8.6,1014.8
2021-02-24,12.0,-1.0,23.0,0.0,227.0,4.9,1019.2
2021-02-25,13.0,5.0,20.0,0.0,15.0,6.9,1020.8
2021-02-26,8.2,5.0,12.0,7.3,45.0,6.1,1024.6
2021-02-27,14.0,8.0,24.0,1.3,312.0,6.6,1022.1
2021-02-28,19.2,11.0,28.0,1.1,226.0,7.4,1020.4
