time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,7.1,2.4,10.6,,155.0,5.6,1012.9
2021-01-02,10.8,5.6,15.2,34.5,123.0,13.3,1008.6
2021-01-03,8.8,6.0,11.0,20.8,136.0,9.3,1010.8
2021-01-04,7.1,4.0,12.2,2.3,69.0,7.2,1010.9
2021-01-05,8.4,3.4,11.0,29.9,107.0,7.9,1010.7
2021-01-06,8.2,7.0,10.6,8.3,39.0,4.1,1013.0
2021-01-07,6.7,3.6,9.4,5.2,31.0,9.3,1012.9
2021-01-08,8.1,6.0,10.4,10.2,35.0,6.9,1008.4
2021-01-09,7.5,6.0,9.0,6.8,45.0,20.1,1010.5
2021-01-10,8.8,8.0,9.4,16.6,41.0,13.8,1008.3
2021-01-11,8.2,6.0,11.8,0.4,43.0,9.6,1012.3
2021-01-12,7.7,3.0,12.2,0.0,7.0,9.1,1013.2
2021-01-13,5.1,0.0,13.0,0.0,21.0,5.4,1013.6
2021-01-14,6.6,-0.2,13.2,0.7,40.0,7.0,1012.1
2021-01-15,7.1,5.0,9.0,0.8,45.0,19.1,1011.0
2021-01-16,4.1,1.0,9.6,0.0,33.0,12.3,1016.1
2021-01-17,2.7,-1.8,5.2,7.7,49.0,10.3,1015.4
2021-01-18,4.9,0.0,12.0,0.0,38.0,9.1,1021.2
2021-01-19,5.2,-1.2,12.6,0.1,40.0,6.1,1026.6
2021-01-20,8.1,2.6,13.0,3.6,76.0,6.0,1024.3
2021-01-21,11.8,7.0,15.8,4.3,133.0,11.3,1019.2
2021-01-22,13.7,12.0,15.8,12.0,200.0,19.7,1012.1
2021-01-23,12.2,9.8,15.0,25.3,240.0,25.6,1004.1
2021-01-24,11.6,9.8,15.0,23.1,240.0,21.0,1000.0
2021-01-25,9.2,1.8,14.0,11.8,265.0,18.5,1005.3
2021-01-26,7.6,4.0,12.4,0.0,1.0,11.6,1010.8
2021-01-27,4.3,-2.0,11.6,0.0,36.0,6.0,1016.9
2021-01-28,6.8,-0.8,13.0,0.5,35.0,6.0,1015.8
2021-01-29,10.8,7.6,14.2,1.7,3.0,10.2,1009.7
2021-01-30,10.8,4.2,16.2,0.1,131.0,7.8,1005.4
2021-01-31,11.9,9.0,14.4,24.8,229.0,14.4,995.9
2021-02-01,10.3,5.6,16.0,2.1,78.0,6.0,999.6
2021-02-02,10.6,5.8,17.0,2.0,19.0,5.8,1009.8
2021-02-03,9.8,4.6,15.6,0.0,107.0,6.7,1018.0
2021-02-04,12.2,8.0,18.0,0.0,45.0,5.6,1018.6
2021-02-05,11.3,6.0,21.0,0.0,26.0,6.2,1016.6
2021-02-06,11.8,5.4,22.0,0.0,47.0,7.0,1013.1
2021-02-07,11.8,7.8,15.0,10.9,102.0,10.9,1004.2
2021-02-08,11.6,10.4,14.6,9.1,233.0,16.4,1001.7
2021-02-09,13.1,9.6,15.0,9.9,231.0,20.4,1006.3
2021-02-10,12.6,10.0,15.0,31.3,214.0,17.1,1006.6
2021-02-11,10.2,6.0,15.0,0.5,250.0,7.8,1010.3
2021-02-12,8.4,7.0,10.0,1.5,60.0,16.6,1018.3
2021-02-13,4.1,3.0,6.2,35.8,44.0,21.6,1017.3
2021-02-14,3.2,0.0,6.2,0.0,20.0,18.6,1027.3
2021-02-15,4.3,0.0,9.0,0.0,7.0,13.8,1034.6
2021-02-16,3.7,-3.0,11.4,0.0,51.0,6.7,1030.3
2021-02-17,6.4,1.0,12.0,0.0,42.0,5.8,1024.1
2021-02-18,8.1,1.0,16.8,0.0,33.0,6.8,1024.0
2021-02-19,6.1,1.6,15.0,0.0,21.0,5.7,1025.7
2021-02-20,7.9,1.0,16.0,0.0,22.0,6.2,1025.8
2021-02-21,8.3,2.0,19.2,0.0,56.0,6.5,1025.0
2021-02-22,10.1,3.8,18.4,0.0,35.0,7.0,1028.8
2021-02-23,10.5,3.4,19.8,0.0,14.0,7.7,1033.3
2021-02-24,10.9,4.8,17.8,0.0,42.0,6.2,1032.4
2021-02-25,10.1,4.6,16.6,0.0,58.0,7.0,1030.6
2021-02-26,10.9,7.8,16.8,0.0,75.0,5.6,1027.5
2021-02-27,11.1,6.0,15.8,0.0,34.0,5.9,1023.2
2021-02-28,10.9,3.6,18.4,0.0,51.0,13.6,1025.1
2021-03-01,9.9,5.0,18.2,0.0,42.0,9.0,1027.2
2021-03-02,10.9,3.4,20.0,0.0,39.0,8.4,1030.8
2021-03-03,10.1,4.0,18.2,0.0,19.0,6.5,1031.1
2021-03-04,8.1,1.7,16.0,0.0,3.0,7.3,1025.1
2021-03-05,9.1,1.6,15.8,0.0,101.0,6.7,1018.7
2021-03-06,12.1,7.6,18.8,0.0,50.0,10.0,1022.2
2021-03-07,12.0,8.6,17.0,0.0,41.0,7.8,1021.8
2021-03-08,11.7,10.0,15.8,2.3,48.0,7.2,1014.6
2021-03-09,9.3,7.8,13.2,0.0,54.0,10.8,1010.5
2021-03-10,10.3,6.0,16.0,0.0,42.0,10.1,1012.6
2021-03-11,8.9,1.4,15.2,0.0,239.0,9.4,1022.0
2021-03-12,12.3,8.6,16.6,0.0,209.0,9.7,1019.6
2021-03-13,13.1,9.0,17.6,1.3,211.0,8.7,1016.8
2021-03-14,11.9,8.0,15.6,1.5,251.0,18.3,1011.2
2021-03-15,9.3,2.8,14.2,0.0,303.0,13.1,1009.3
2021-03-16,7.3,1.8,17.2,0.0,27.0,8.3,1011.9
2021-03-17,7.7,0.4,15.0,0.0,13.0,7.0,1016.4
2021-03-18,7.9,2.2,14.2,1.0,47.0,11.2,1014.4
2021-03-19,6.8,1.6,11.4,0.0,52.0,13.1,1012.7
2021-03-20,7.9,4.0,12.2,3.0,48.0,20.1,1011.6
2021-03-21,8.9,4.0,14.0,0.0,45.0,14.8,1006.4
2021-03-22,7.8,0.4,15.4,0.0,34.0,12.3,1007.2
2021-03-23,7.2,2.8,12.4,0.0,359.0,19.0,1016.3
2021-03-24,8.0,0.0,15.0,0.0,328.0,10.7,1021.5
2021-03-25,9.4,0.8,16.4,0.0,17.0,8.3,1022.3
2021-03-26,10.8,3.4,17.2,0.0,72.0,8.2,1025.5
2021-03-27,11.3,6.0,17.0,0.0,47.0,7.2,1027.7
