time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,9.7,1.1,15.5,0.0,352.0,11.3,1026.9
2021-01-02,11.8,2.4,18.0,0.0,18.0,5.0,1023.5
2021-01-03,16.8,4.3,22.0,0.0,9.0,10.0,1022.7
2021-01-04,17.4,6.7,21.2,0.0,352.0,10.2,1021.7
2021-01-05,17.6,14.1,23.2,0.0,350.0,11.0,1020.7
2021-01-06,15.6,10.9,23.2,0.0,353.0,12.2,1020.8
2021-01-07,9.1,4.2,20.2,0.0,4.0,24.5,1023.1
2021-01-08,6.7,4.2,13.2,0.0,3.0,25.0,1027.9
2021-01-09,9.9,4.8,12.3,0.0,0.0,16.8,1026.2
2021-01-10,9.7,5.1,12.3,0.0,7.0,13.9,1025.0
2021-01-11,6.6,6.0,12.3,0.0,354.0,17.6,1028.3
2021-01-12,9.3,1.2,16.4,0.0,346.0,14.1,1025.4
2021-01-13,12.1,1.2,20.0,0.0,3.0,5.5,1020.0
2021-01-14,14.1,2.3,22.0,0.0,20.0,5.5,1017.7
2021-01-15,15.6,4.1,23.2,0.0,9.0,6.0,1016.1
2021-01-16,17.9,6.9,23.2,0.0,8.0,5.7,1016.9
2021-01-17,13.2,6.2,22.9,0.0,350.0,23.4,1025.0
2021-01-18,12.3,6.0,18.1,0.0,341.0,9.9,1024.3
2021-01-19,15.0,4.3,20.0,0.0,62.0,5.7,1020.4
2021-01-20,19.1,5.2,23.0,0.0,6.0,4.8,1018.3
2021-01-21,19.8,10.0,24.2,0.0,322.0,7.5,1015.9
2021-01-22,19.4,15.0,24.2,0.0,337.0,9.3,1013.9
2021-01-23,19.2,15.2,25.4,0.0,342.0,11.1,1014.5
2021-01-24,19.9,13.6,25.4,0.0,109.0,9.7,1016.4
2021-01-25,20.9,14.2,26.1,0.0,82.0,6.8,1017.2
2021-01-26,19.4,14.8,26.1,0.0,349.0,10.6,1017.3
2021-01-27,19.3,13.4,26.0,0.0,13.0,8.5,1017.8
2021-01-28,15.8,13.0,23.6,0.0,351.0,16.4,1021.8
2021-01-29,15.6,7.8,21.3,0.0,10.0,8.6,1023.2
2021-01-30,17.0,8.4,23.5,0.0,40.0,6.1,1022.1
2021-01-31,18.7,9.0,26.0,0.0,55.0,6.1,1021.4
2021-02-01,20.1,10.5,26.5,0.0,351.0,5.5,1019.2
2021-02-02,22.0,12.2,28.0,0.0,19.0,5.4,1019.3
2021-02-03,20.2,11.9,27.9,0.0,126.0,6.2,1021.3
2021-02-04,20.6,11.6,27.0,0.0,99.0,6.4,1021.1
2021-02-05,20.6,11.5,27.0,0.0,28.0,5.4,1019.5
2021-02-06,21.6,12.0,28.3,0.0,354.0,4.8,1017.1
2021-02-07,22.4,12.3,29.0,0.0,58.0,6.6,1016.9
2021-02-08,22.4,12.9,28.6,0.0,357.0,5.5,1018.2
2021-02-09,16.9,15.0,27.5,14.5,4.0,13.4,1017.6
2021-02-10,14.3,12.7,20.9,35.8,0.0,12.5,1014.8
2021-02-11,16.4,13.0,20.0,,346.0,9.1,1015.3
2021-02-12,17.4,13.0,21.0,,347.0,7.3,1016.8
2021-02-13,17.2,11.4,24.3,0.0,340.0,6.5,1017.2
2021-02-14,19.8,11.1,27.0,0.0,333.0,5.8,1015.9
2021-02-15,21.6,11.9,28.0,0.0,112.0,7.2,1014.6
2021-02-16,21.3,12.4,27.2,0.0,3.0,8.5,1015.9
2021-02-17,19.3,10.9,25.8,0.0,352.0,18.1,1020.4
2021-02-18,18.2,9.5,24.5,0.0,0.0,10.3,1024.6
2021-02-19,20.4,9.3,25.0,0.0,350.0,6.5,1023.1
2021-02-20,19.4,13.0,26.0,,56.0,5.3,1019.0
2021-02-21,17.2,11.5,25.9,0.0,110.0,6.7,1016.9
2021-02-22,22.3,12.6,28.0,0.0,115.0,5.9,1015.3
2021-02-23,23.3,13.7,30.0,0.0,116.0,7.2,1014.3
2021-02-24,22.3,15.1,29.7,0.0,142.0,9.9,1013.3
2021-02-25,21.2,18.0,25.4,0.8,106.0,8.4,1010.5
2021-02-26,16.7,14.0,24.5,0.3,356.0,11.5,1010.4
2021-02-27,15.6,14.0,21.3,0.3,3.0,13.0,1015.4
2021-02-28,19.1,14.1,22.9,0.0,15.0,6.3,1015.8
2021-03-01,20.0,17.2,26.0,0.0,354.0,8.1,1016.3
2021-03-02,17.2,14.2,24.8,,352.0,20.3,1020.3
2021-03-03,16.2,14.7,21.5,0.0,10.0,9.9,1020.5
2021-03-04,15.5,13.8,20.9,4.3,16.0,7.1,1018.4
2021-03-05,19.4,13.9,21.2,2.5,57.0,5.7,1015.2
2021-03-06,20.3,19.0,22.3,18.3,49.0,6.5,1015.6
2021-03-07,19.5,16.7,23.0,0.0,0.0,14.8,1019.2
2021-03-08,19.3,16.7,22.5,0.0,40.0,6.9,1019.9
2021-03-09,19.8,16.5,24.1,0.0,25.0,7.3,1019.7
2021-03-10,21.4,16.5,25.0,0.0,60.0,6.6,1019.4
2021-03-11,22.8,18.2,25.0,0.0,45.0,5.3,1019.3
2021-03-12,23.6,18.2,29.0,0.0,351.0,8.1,1018.3
2021-03-13,22.1,18.7,29.0,0.0,4.0,7.2,1018.2
2021-03-14,22.4,18.2,25.6,0.0,73.0,5.7,1015.7
2021-03-15,24.2,17.9,29.0,0.0,151.0,10.4,1014.0
