time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,17.4,10.6,19.4,0.5,237.0,8.6,1014.6
2021-01-02,12.1,5.0,16.7,0.0,317.0,11.2,1018.7
2021-01-03,8.2,1.7,16.1,0.0,334.0,4.7,1021.2
2021-01-04,8.4,1.7,16.7,0.0,240.0,5.8,1019.6
2021-01-05,13.4,4.4,20.6,0.0,336.0,7.2,1019.6
2021-01-06,9.7,3.9,16.7,0.0,72.0,13.7,1019.7
2021-01-07,13.4,8.3,16.1,8.6,259.0,20.2,1012.5
2021-01-08,7.5,4.4,8.3,0.0,325.0,20.5,1020.5
2021-01-09,5.6,0.6,10.6,0.0,342.0,10.8,1024.7
2021-01-10,2.7,-1.6,6.1,0.0,26.0,9.7,1025.5
2021-01-11,5.3,3.3,8.3,10.9,359.0,20.5,1022.6
2021-01-12,3.9,1.1,5.6,0.0,355.0,11.9,1027.0
2021-01-13,5.3,0.6,11.7,0.0,324.0,4.7,1022.5
2021-01-14,8.1,0.0,16.1,0.0,222.0,7.6,1014.5
2021-01-15,12.2,3.9,16.1,0.0,283.0,14.4,1012.1
2021-01-16,7.6,1.1,12.8,0.0,282.0,10.1,1016.6
2021-01-17,6.1,-1.0,14.4,0.0,280.0,5.4,1017.6
2021-01-18,7.3,-1.0,15.6,0.0,6.0,3.6,1021.8
2021-01-19,9.6,1.7,19.4,0.0,40.0,6.1,1026.1
2021-01-20,12.6,7.2,20.0,0.0,357.0,5.4,1025.7
2021-01-21,15.8,10.6,21.1,0.0,235.0,7.6,1017.5
2021-01-22,17.6,16.1,19.4,8.9,4.0,4.3,1014.2
2021-01-23,16.1,13.9,17.8,0.0,88.0,13.3,1018.7
2021-01-24,17.1,15.0,20.0,0.0,119.0,18.7,1017.8
2021-01-25,19.2,17.8,22.2,0.0,161.0,14.8,1011.7
2021-01-26,20.1,17.8,23.3,0.8,84.0,11.5,1012.0
2021-01-27,18.9,9.4,21.7,0.5,318.0,18.0,1017.4
