time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.6,9.6,17.4,,74.0,3.3,1020.4
2021-01-02,14.5,8.4,17.4,,77.0,3.9,1021.6
2021-01-03,13.6,8.2,19.5,,46.0,5.9,1020.5
2021-01-04,13.2,9.0,18.0,,66.0,4.7,1021.0
2021-01-05,14.0,9.0,18.0,,95.0,6.3,1021.6
2021-01-06,11.4,6.4,19.0,,70.0,3.0,1024.3
2021-01-07,12.6,8.5,19.0,,71.0,4.5,1023.6
2021-01-08,11.3,4.0,18.4,,80.0,4.6,1023.5
2021-01-09,14.3,6.9,19.0,,69.0,3.4,1022.2
2021-01-10,13.0,5.0,20.0,,41.0,1.8,1023.5
2021-01-11,11.9,4.5,20.4,,,1.3,1026.7
2021-01-12,15.7,6.3,20.0,,163.0,2.9,1025.9
2021-01-13,12.4,5.5,17.5,,170.0,7.6,1017.6
2021-01-14,12.4,8.8,16.5,,254.0,13.2,1010.5
2021-01-15,9.8,7.0,13.5,0.5,275.0,8.4,1016.9
2021-01-16,9.8,4.6,16.0,0.0,235.0,6.7,1015.1
2021-01-17,7.9,2.0,15.0,,240.0,16.4,1013.9
2021-01-18,8.3,5.0,11.0,,251.0,13.5,1018.4
2021-01-19,8.7,2.0,15.0,,228.0,20.2,1018.2
2021-01-20,5.0,3.0,8.5,2.0,270.0,16.6,1020.1
2021-01-21,5.8,0.0,10.5,1.5,342.0,2.9,1031.2
2021-01-22,4.3,-1.0,11.5,0.0,98.0,9.0,1031.4
2021-01-23,6.1,0.0,13.0,,80.0,6.7,1025.7
2021-01-24,7.2,-0.2,16.0,,56.0,3.6,1022.7
2021-01-25,8.7,1.0,17.5,,,2.4,1021.6
2021-01-26,12.1,2.9,19.0,,14.0,5.3,1022.2
2021-01-27,13.3,6.0,19.5,,174.0,7.5,1015.9
2021-01-28,11.0,6.6,16.0,,282.0,12.7,1014.9
2021-01-29,7.4,4.0,11.0,,244.0,16.0,1016.5
2021-01-30,8.9,3.5,13.6,,264.0,7.1,1020.6
2021-01-31,9.3,2.8,17.0,,261.0,7.4,1019.8
2021-02-01,14.7,5.0,20.5,,37.0,6.2,1022.3
2021-02-02,18.4,8.0,23.5,,79.0,12.0,1019.9
2021-02-03,14.9,11.0,22.5,,64.0,8.1,1016.2
2021-02-04,12.2,10.0,17.0,,45.0,9.9,1012.0
2021-02-05,10.6,8.0,12.5,,18.0,11.2,1014.5
2021-02-06,12.2,7.8,18.2,,358.0,10.0,1020.7
