time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.5,24.0,31.0,,126.0,8.8,1011.4
2021-01-02,27.5,24.0,32.0,,154.0,9.4,1011.9
2021-01-03,26.6,24.3,31.0,,147.0,7.0,1011.2
2021-01-04,26.1,24.6,30.2,,68.0,9.4,1010.6
2021-01-05,27.5,23.5,31.0,,29.0,9.6,1010.9
2021-01-06,26.9,24.6,30.0,,28.0,10.6,1011.4
2021-01-07,28.2,24.5,32.0,,25.0,10.4,1010.4
2021-01-08,26.7,24.9,29.0,,45.0,9.7,1008.5
2021-01-09,27.4,24.0,31.0,,26.0,10.7,1008.0
2021-01-10,25.8,17.0,29.0,,46.0,11.8,1008.4
2021-01-11,25.2,24.0,27.0,,50.0,11.1,1009.5
2021-01-12,27.7,23.2,32.0,,29.0,14.5,1011.0
2021-01-13,27.8,24.0,31.0,,38.0,12.4,1011.6
2021-01-14,28.0,24.3,32.0,,20.0,9.5,1011.1
2021-01-15,27.9,23.5,32.0,,30.0,10.3,1010.0
2021-01-16,27.9,24.4,32.0,,19.0,10.5,1009.4
2021-01-17,28.2,24.6,32.0,,31.0,9.0,1008.9
2021-01-18,28.3,24.9,32.0,,28.0,9.5,1008.6
2021-01-19,28.9,26.0,32.0,,0.0,9.6,1008.8
2021-01-20,28.7,26.0,30.2,,336.0,15.1,1009.0
2021-01-21,27.2,24.8,28.5,,5.0,17.8,1009.8
2021-01-22,28.7,25.8,32.2,,19.0,14.8,1011.0
2021-01-23,27.7,24.0,32.0,,51.0,10.5,1011.2
2021-01-24,27.3,24.0,31.3,,84.0,7.7,1011.8
2021-01-25,28.6,24.6,32.0,,143.0,12.9,1012.1
2021-01-26,28.1,23.5,32.0,,94.0,7.6,1012.0
2021-01-27,27.7,23.5,31.5,,63.0,8.5,1010.8
2021-01-28,28.1,24.1,32.0,,44.0,11.0,1010.9
2021-01-29,27.2,24.1,32.0,,45.0,11.5,1011.7
2021-01-30,25.7,24.0,28.4,,52.0,7.8,1011.7
2021-01-31,28.0,24.0,32.1,,58.0,14.2,1010.9
2021-02-01,28.2,24.9,32.0,,40.0,8.1,1012.6
2021-02-02,27.5,23.7,32.0,,125.0,8.0,1013.2
2021-02-03,26.8,24.1,30.0,,136.0,9.5,1012.6
2021-02-04,27.7,24.0,31.1,,166.0,8.7,1012.1
2021-02-05,27.4,24.3,31.0,,146.0,8.0,1011.8
2021-02-06,27.8,24.0,32.0,,60.0,8.4,1010.2
2021-02-07,27.9,24.0,32.0,,48.0,11.8,1008.6
2021-02-08,26.8,25.3,30.0,,57.0,12.6,1009.5
2021-02-09,25.6,24.0,28.0,,56.0,9.8,1010.6
2021-02-10,26.9,25.0,30.0,,26.0,12.8,1010.1
2021-02-11,27.8,25.1,31.0,,20.0,20.1,1009.3
2021-02-12,28.4,26.2,32.0,,16.0,13.7,1008.7
2021-02-13,28.7,24.5,33.0,,19.0,12.8,1009.6
2021-02-14,27.8,24.5,31.3,,36.0,14.6,1010.0
2021-02-15,28.8,26.0,32.3,,30.0,17.7,1009.3
2021-02-16,28.6,25.2,32.0,,31.0,14.7,1009.0
2021-02-17,28.6,24.5,32.0,,31.0,14.9,1009.6
2021-02-18,28.7,25.0,33.0,,28.0,11.4,1010.5
2021-02-19,28.3,25.8,32.0,,106.0,8.2,1010.7
2021-02-20,27.3,25.0,31.0,,44.0,8.4,1010.8
2021-02-21,27.4,24.9,31.0,,110.0,6.2,1010.5
2021-02-22,27.4,24.6,31.0,,156.0,7.7,1010.5
2021-02-23,26.4,24.5,29.2,,153.0,10.5,1009.8
2021-02-24,27.6,24.0,31.0,,178.0,7.2,1010.0
2021-02-25,28.4,24.7,32.0,,136.0,7.3,1010.0
2021-02-26,28.1,25.2,32.0,,2.0,6.5,1008.6
2021-02-27,28.0,25.0,31.0,,291.0,10.0,1008.5
2021-02-28,26.7,24.5,30.0,,358.0,7.2,1008.4
2021-03-01,26.8,24.5,31.0,,38.0,7.8,1009.4
2021-03-02,26.3,24.0,30.0,,51.0,8.5,1010.0
2021-03-03,27.8,23.7,31.7,,31.0,13.5,1009.4
2021-03-04,28.4,24.8,32.0,,29.0,14.8,1008.9
