time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.4,10.0,17.0,,77.0,9.0,1024.5
2021-01-02,14.1,7.4,20.0,,66.0,7.8,1021.5
2021-01-03,15.9,9.5,18.0,0.0,14.0,7.8,1021.0
2021-01-04,16.8,15.0,21.0,0.0,347.0,5.3,1020.2
2021-01-05,17.6,13.0,19.0,0.0,74.0,7.9,1019.5
2021-01-06,16.9,16.0,18.2,0.0,60.0,6.3,1018.0
2021-01-07,13.4,13.0,18.0,0.0,38.0,10.1,1019.0
2021-01-08,10.9,9.0,12.6,0.0,34.0,14.4,1024.4
2021-01-09,10.9,9.6,13.0,0.0,33.0,9.3,1024.3
2021-01-10,11.5,10.0,23.0,0.0,50.0,8.4,1023.3
2021-01-11,13.0,11.2,16.4,0.0,28.0,13.4,1027.9
2021-01-12,14.3,12.0,18.0,0.0,42.0,9.3,1025.2
2021-01-13,15.5,8.9,20.8,0.0,84.0,8.6,1018.4
2021-01-14,16.0,10.5,21.2,0.0,87.0,9.9,1016.6
2021-01-15,16.8,12.2,19.0,0.0,81.0,5.5,1014.8
2021-01-16,18.2,16.2,20.6,0.0,69.0,5.1,1015.3
2021-01-17,15.3,14.0,19.0,2.3,9.0,12.1,1023.4
2021-01-18,15.3,12.0,20.3,0.0,80.0,9.0,1023.5
2021-01-19,16.3,10.0,21.4,0.0,97.0,8.3,1018.3
2021-01-20,17.5,13.5,21.4,0.0,85.0,7.3,1016.4
2021-01-21,17.2,16.2,18.3,0.0,89.0,5.7,1015.2
2021-01-22,17.8,16.0,22.0,0.0,270.0,5.0,1014.8
2021-01-23,19.9,14.2,24.5,0.0,159.0,6.0,1014.0
2021-01-24,20.9,16.4,24.7,0.0,107.0,9.5,1013.3
2021-01-25,20.4,19.5,22.5,0.3,91.0,10.2,1014.7
2021-01-26,20.6,18.0,23.9,0.0,119.0,9.7,1015.8
2021-01-27,20.9,18.5,25.2,0.0,131.0,10.2,1015.8
2021-01-28,17.8,17.0,19.5,0.3,61.0,11.5,1020.0
2021-01-29,18.7,16.5,22.5,0.0,87.0,6.8,1020.4
2021-01-30,18.2,16.1,21.0,0.4,77.0,10.5,1019.1
2021-01-31,18.6,17.7,22.0,1.8,81.0,12.5,1018.6
2021-02-01,20.5,18.4,23.0,0.0,108.0,10.8,1017.9
2021-02-02,20.6,18.6,22.0,0.8,114.0,6.9,1018.5
2021-02-03,21.1,18.4,24.0,0.0,140.0,9.2,1019.1
2021-02-04,20.5,18.0,23.0,0.0,116.0,7.8,1019.5
2021-02-05,21.2,18.0,23.0,0.0,117.0,8.2,1018.1
2021-02-06,20.4,17.0,24.0,0.0,134.0,6.7,1016.7
2021-02-07,22.1,17.3,25.0,0.0,126.0,8.1,1015.8
2021-02-08,18.8,19.0,23.5,2.3,96.0,8.5,1016.7
2021-02-09,15.6,16.0,20.0,45.0,3.0,14.0,1015.7
2021-02-10,19.3,13.2,24.0,0.0,318.0,8.6,1014.9
2021-02-11,18.8,16.0,24.0,0.0,92.0,9.1,1015.8
2021-02-12,19.7,17.0,24.0,0.0,140.0,8.0,1016.5
2021-02-13,20.3,16.0,23.0,0.0,112.0,8.0,1016.5
2021-02-14,21.6,17.4,24.0,0.6,151.0,6.2,1015.8
2021-02-15,21.1,17.8,23.0,0.0,111.0,8.2,1013.6
2021-02-16,20.9,19.2,23.0,0.5,115.0,8.9,1014.5
2021-02-17,19.7,19.0,21.9,0.0,73.0,7.7,1019.1
2021-02-18,20.2,18.5,24.0,0.2,74.0,10.2,1022.5
2021-02-19,21.3,18.4,24.0,0.0,116.0,8.5,1022.2
2021-02-20,20.4,17.0,24.0,0.0,127.0,7.6,1018.9
2021-02-21,20.0,17.4,23.0,0.0,127.0,10.4,1015.7
2021-02-22,22.4,18.6,24.0,0.3,118.0,10.7,1014.5
2021-02-23,22.9,19.9,25.0,0.0,131.0,6.3,1013.9
2021-02-24,22.8,20.5,24.0,0.0,135.0,11.4,1011.0
2021-02-25,23.3,21.2,24.0,0.0,130.0,13.0,1007.2
2021-02-26,23.9,21.7,26.0,0.3,108.0,8.1,1006.9
2021-02-27,17.6,19.0,19.1,6.6,85.0,14.5,1010.8
2021-02-28,18.4,16.4,22.0,2.0,75.0,9.0,1011.4
2021-03-01,20.9,19.1,23.0,1.3,118.0,8.9,1013.5
2021-03-02,19.6,17.0,23.0,0.8,109.0,7.0,1017.6
2021-03-03,17.6,17.0,18.9,0.0,30.0,5.4,1017.7
2021-03-04,18.2,16.0,19.5,4.1,55.0,5.0,1015.5
2021-03-05,20.3,18.3,21.2,1.3,108.0,6.4,1012.3
2021-03-06,23.7,19.7,27.9,1.0,110.0,8.7,1013.3
2021-03-07,22.1,20.5,24.0,0.3,93.0,11.1,1015.9
2021-03-08,22.0,19.5,23.5,0.0,93.0,12.3,1015.8
2021-03-09,23.7,21.6,27.3,0.0,109.0,11.3,1016.0
2021-03-10,24.1,21.9,28.3,0.0,116.0,11.9,1015.8
2021-03-11,23.6,21.0,26.1,0.8,111.0,10.4,1016.7
2021-03-12,23.8,22.0,28.0,0.0,118.0,10.9,1017.0
2021-03-13,22.8,21.0,25.0,1.4,136.0,8.7,1016.3
2021-03-14,23.2,19.0,26.0,0.4,116.0,10.8,1013.8
2021-03-15,23.1,22.0,24.0,0.6,127.0,11.4,1011.4
2021-03-16,23.7,22.0,25.0,1.3,114.0,10.2,1010.9
2021-03-17,23.8,22.0,25.0,0.9,127.0,11.4,1010.8
2021-03-18,24.0,22.0,26.0,0.5,124.0,10.6,1010.2
2021-03-19,24.7,24.0,26.0,0.0,128.0,11.2,1008.8
2021-03-20,24.3,23.2,26.0,0.5,111.0,8.2,1008.4
2021-03-21,19.7,17.0,23.6,13.5,56.0,13.8,1014.4
2021-03-22,18.3,17.3,20.8,0.0,39.0,12.2,1023.0
2021-03-23,19.8,17.0,23.5,0.0,86.0,9.3,1019.8
2021-03-24,20.4,18.3,21.5,0.0,99.0,7.4,1015.3
2021-03-25,21.2,19.1,23.0,0.0,77.0,5.2,1013.3
2021-03-26,23.6,21.0,26.0,1.0,117.0,8.4,1011.1
2021-03-27,23.6,22.0,26.0,0.3,111.0,8.7,1009.1
2021-03-28,23.9,22.0,25.6,1.8,106.0,6.3,1007.6
2021-03-29,26.0,22.9,29.6,0.0,163.0,10.6,1003.7
2021-03-30,25.9,23.8,28.2,0.0,131.0,10.4,1000.8
2021-03-31,26.4,24.5,30.4,0.0,130.0,12.1,1000.4
2021-04-01,26.5,24.7,29.6,0.0,122.0,9.7,1002.3
2021-04-02,25.7,24.8,29.5,0.3,113.0,8.9,1005.6
2021-04-03,25.4,24.0,27.8,0.5,123.0,6.3,1009.5
2021-04-04,25.6,23.0,30.2,0.0,106.0,8.3,1012.1
2021-04-05,23.4,21.1,25.9,6.9,85.0,9.4,1014.9
2021-04-06,25.6,22.0,29.6,0.3,90.0,11.4,1015.0
2021-04-07,25.8,23.9,29.7,0.0,124.0,8.6,1013.0
2021-04-08,26.1,24.0,30.5,0.3,126.0,11.7,1011.2
2021-04-09,20.4,22.0,22.0,9.9,73.0,12.7,1013.5
2021-04-10,20.6,18.9,21.5,2.0,68.0,9.0,1015.4
2021-04-11,25.4,20.4,29.2,1.0,108.0,10.9,1015.0
2021-04-12,26.6,23.6,30.5,0.0,132.0,11.4,1013.5
2021-04-13,25.9,24.0,28.5,0.0,135.0,12.2,1011.9
2021-04-14,27.2,24.1,30.8,0.0,130.0,12.1,1010.0
2021-04-15,26.2,24.8,28.0,3.3,128.0,13.2,1009.0
2021-04-16,27.2,25.0,30.0,0.0,126.0,10.5,1010.5
2021-04-17,22.0,22.0,23.0,124.5,54.0,9.1,1013.4
2021-04-18,23.7,20.0,25.5,1.8,50.0,5.4,1011.9
2021-04-19,26.9,23.0,31.4,0.3,142.0,9.9,1008.3
2021-04-20,28.3,25.3,33.0,0.0,136.0,15.6,1007.8
2021-04-21,28.7,26.0,32.7,0.0,146.0,16.9,1008.6
2021-04-22,28.4,26.1,32.3,0.0,141.0,13.0,1008.2
2021-04-23,28.1,26.0,31.0,0.3,140.0,13.5,1005.8
2021-04-24,28.3,26.3,31.4,0.0,132.0,15.8,1006.0
2021-04-25,26.9,27.0,28.7,4.3,124.0,10.9,1008.1
2021-04-26,23.4,23.0,26.0,41.9,84.0,8.1,1009.6
2021-04-27,24.6,21.2,27.8,0.8,94.0,7.7,1012.4
2021-04-28,22.9,22.0,27.5,5.6,84.0,9.6,1013.7
2021-04-29,24.6,19.5,29.5,2.3,198.0,8.3,1014.5
2021-04-30,26.0,21.2,30.5,0.0,155.0,8.0,1011.8
2021-05-01,25.4,23.0,28.2,0.0,112.0,10.1,1011.3
2021-05-02,28.2,24.7,32.9,3.8,140.0,11.4,1009.9
2021-05-03,29.1,26.3,33.7,0.0,156.0,19.5,1007.9
2021-05-04,29.4,26.0,34.3,0.0,153.0,16.2,1007.6
2021-05-05,23.9,23.0,27.6,41.9,89.0,12.7,1010.8
2021-05-06,27.5,22.5,32.9,0.3,146.0,9.4,1012.5
2021-05-07,28.4,25.2,32.7,0.0,173.0,11.7,1011.6
2021-05-08,27.8,26.0,29.0,0.0,170.0,11.1,1008.8
2021-05-09,28.5,27.0,31.0,0.0,156.0,13.6,1006.8
2021-05-10,29.0,28.0,30.0,0.0,166.0,15.7,1005.7
2021-05-11,28.8,28.0,36.0,24.9,168.0,13.5,1004.5
2021-05-12,29.0,26.0,31.0,0.0,149.0,14.1,1004.3
2021-05-13,27.3,24.9,34.1,6.9,137.0,15.0,1004.9
2021-05-14,29.0,26.0,31.0,0.1,178.0,16.1,1005.2
2021-05-15,29.5,29.0,31.0,0.0,168.0,17.0,1005.5
2021-05-16,29.5,28.0,31.0,7.0,168.0,16.5,1005.7
2021-05-17,29.2,27.0,31.0,0.1,160.0,11.6,1006.6
2021-05-18,29.5,29.0,31.0,0.9,156.0,15.8,1006.3
2021-05-19,29.8,29.0,32.0,0.0,164.0,17.4,1004.1
2021-05-20,29.8,29.0,32.0,0.7,153.0,15.0,1004.1
2021-05-21,30.0,29.0,32.0,0.2,156.0,16.3,1003.8
2021-05-22,30.3,29.0,32.0,0.2,152.0,17.8,1002.5
2021-05-23,30.4,29.0,32.0,16.6,138.0,16.3,1004.3
2021-05-24,29.4,27.0,32.0,12.8,35.0,8.6,1007.5
2021-05-25,28.3,26.0,32.0,5.2,59.0,10.3,1007.6
2021-05-26,28.3,26.0,30.0,2.8,105.0,11.9,1006.7
2021-05-27,29.4,27.0,32.0,1.8,152.0,11.2,1007.5
2021-05-28,29.4,26.0,32.0,2.0,158.0,11.2,1007.6
2021-05-29,30.2,28.0,32.0,0.0,164.0,13.9,1005.3
2021-05-30,31.6,29.0,35.0,3.1,181.0,13.2,1002.5
2021-05-31,32.4,29.0,37.0,0.0,165.0,11.5,1000.8
2021-06-01,32.8,30.0,37.0,0.0,169.0,13.3,1001.2
2021-06-02,33.8,30.0,39.4,0.0,162.0,16.1,1002.3
2021-06-03,32.3,29.3,36.0,1.2,155.0,13.5,1002.1
2021-06-04,27.3,26.0,30.3,9.6,28.0,13.4,1005.2
2021-06-05,28.5,27.0,31.0,3.3,230.0,7.2,1005.4
2021-06-06,29.2,27.0,32.0,8.9,117.0,9.4,1003.5
2021-06-07,27.7,25.3,33.5,54.6,90.0,12.9,1004.0
2021-06-08,27.7,25.0,31.0,24.2,80.0,11.8,1005.0
2021-06-09,28.3,26.0,31.0,25.7,125.0,10.1,1003.8
2021-06-10,29.5,27.0,32.0,14.9,95.0,10.5,1002.5
2021-06-11,29.6,27.0,32.0,29.4,74.0,11.7,1002.8
2021-06-12,28.8,25.0,33.0,31.9,10.0,14.0,1001.1
2021-06-13,28.5,25.0,31.0,14.9,121.0,24.7,1001.8
2021-06-14,30.0,28.0,32.0,0.1,160.0,16.5,1001.8
2021-06-15,30.9,29.0,33.0,0.5,189.0,15.7,999.8
2021-06-16,31.6,30.0,35.0,0.0,175.0,12.5,1001.5
2021-06-17,31.9,30.0,35.0,0.0,167.0,13.7,1003.4
2021-06-18,32.2,30.0,36.0,0.0,181.0,14.1,1003.5
2021-06-19,32.9,30.0,38.0,0.0,205.0,14.0,1001.1
2021-06-20,33.5,30.0,39.0,0.0,215.0,12.5,999.0
2021-06-21,34.9,30.5,40.1,0.0,159.0,8.9,999.3
2021-06-22,31.3,30.0,37.4,0.0,101.0,11.6,1002.1
2021-06-23,30.6,25.4,34.5,42.7,165.0,10.8,1003.5
2021-06-24,29.1,27.0,34.0,0.5,103.0,9.0,1002.4
2021-06-25,28.3,26.0,32.4,0.0,96.0,10.1,1002.4
2021-06-26,29.1,24.8,35.2,39.1,152.0,12.2,1003.5
2021-06-27,32.8,24.8,38.0,6.6,200.0,16.1,1002.3
2021-06-28,32.7,30.0,36.0,0.1,205.0,16.0,999.6
2021-06-29,31.5,29.0,35.0,0.8,190.0,13.3,999.8
2021-06-30,31.2,29.0,33.0,0.4,189.0,14.1,1000.6
2021-07-01,31.8,30.0,35.0,0.0,195.0,18.3,1001.2
2021-07-02,32.1,30.0,35.0,0.0,199.0,16.0,1002.1
2021-07-03,32.7,30.0,37.0,0.0,208.0,11.9,1001.8
2021-07-04,32.8,29.9,37.2,0.0,147.0,14.6,1002.8
2021-07-05,29.2,29.0,32.6,5.1,128.0,15.8,1004.1
2021-07-06,31.6,27.5,35.5,0.0,109.0,11.0,1003.6
2021-07-07,28.6,28.0,34.5,24.1,53.0,13.9,1003.4
2021-07-08,28.4,25.0,31.0,47.2,120.0,15.0,1006.0
2021-07-09,29.6,27.0,32.0,14.0,133.0,12.7,1007.8
2021-07-10,30.4,28.0,33.0,2.1,163.0,8.6,1008.3
2021-07-11,30.1,26.0,33.0,0.6,180.0,7.9,1009.3
2021-07-12,30.5,28.0,33.0,0.0,184.0,11.4,1008.5
2021-07-13,30.6,29.0,33.0,0.6,175.0,15.2,1006.4
2021-07-14,30.5,29.0,33.0,1.1,163.0,14.5,1006.0
2021-07-15,30.4,27.0,33.0,0.4,174.0,10.8,1007.3
2021-07-16,30.6,28.0,34.0,0.3,180.0,9.0,1007.5
2021-07-17,30.5,28.0,33.0,0.0,181.0,9.7,1003.9
2021-07-18,28.2,24.0,34.1,0.8,126.0,11.6,1001.4
2021-07-19,29.5,26.0,33.0,21.1,165.0,9.1,1001.3
2021-07-20,30.5,28.0,34.0,4.3,297.0,8.0,1001.4
2021-07-21,28.8,27.0,34.0,9.1,289.0,8.3,1000.7
2021-07-22,28.6,26.0,32.8,32.8,281.0,6.9,999.4
2021-07-23,26.7,25.0,28.0,67.2,338.0,10.3,997.0
2021-07-24,29.5,25.7,34.0,19.9,74.0,12.6,997.7
2021-07-25,29.9,28.0,35.0,9.4,1.0,6.7,999.3
2021-07-26,30.8,27.0,35.0,2.0,267.0,9.6,998.6
2021-07-27,31.7,29.0,35.0,0.6,218.0,7.3,997.3
2021-07-28,30.3,27.0,32.0,5.4,346.0,6.4,997.0
2021-07-29,28.4,26.0,33.0,11.8,285.0,4.9,998.8
2021-07-30,30.8,27.0,34.0,0.4,167.0,7.7,999.3
2021-07-31,31.8,28.0,35.0,1.3,156.0,7.8,998.1
2021-08-01,27.1,25.0,31.0,12.4,319.0,11.2,998.5
2021-08-02,29.0,26.0,34.0,0.1,294.0,8.8,998.1
2021-08-03,32.5,27.9,37.3,0.0,291.0,8.2,999.0
2021-08-04,33.4,29.2,37.9,0.0,260.0,8.6,999.0
2021-08-05,33.8,30.0,38.5,0.0,271.0,7.6,997.7
2021-08-06,34.1,30.0,39.0,0.0,218.0,7.9,998.5
2021-08-07,34.5,28.8,39.6,0.0,215.0,8.4,999.8
2021-08-08,31.2,31.0,34.9,0.0,114.0,11.6,1001.1
2021-08-09,29.9,29.0,32.8,0.0,78.0,10.3,1001.3
2021-08-10,27.0,24.0,30.5,23.1,52.0,10.1,1002.2
2021-08-11,27.7,26.0,33.5,24.9,85.0,8.8,1004.6
2021-08-12,27.7,24.2,32.7,50.5,94.0,13.1,1005.9
2021-08-13,29.5,26.0,32.0,2.2,155.0,7.8,1002.2
2021-08-14,30.8,30.0,32.0,9.2,176.0,12.6,1001.0
