time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.8,-7.2,8.0,,,2.7,1026.1
2021-01-02,-1.4,-7.3,8.0,,,2.2,1028.7
2021-01-03,-1.1,-7.0,8.0,,,3.2,1025.4
2021-01-04,-1.8,-8.0,6.0,,,3.3,1026.0
2021-01-05,-2.9,-8.6,6.0,,77.0,3.4,1028.7
2021-01-06,-4.0,-11.0,5.0,,,3.0,1030.5
2021-01-07,-3.6,-11.0,7.0,,,4.5,1029.9
2021-01-08,-3.0,-10.0,7.0,,135.0,2.8,1028.9
2021-01-09,-2.7,-11.0,8.0,,,2.8,1028.0
2021-01-10,-2.3,-10.0,9.0,,,1.0,1026.5
2021-01-11,-1.3,-10.0,11.0,,148.0,2.9,1027.2
2021-01-12,1.9,-8.0,17.0,,143.0,4.8,1026.3
2021-01-13,2.7,-6.0,15.0,,,4.4,1023.1
2021-01-14,4.6,-4.0,15.0,,195.0,7.7,1015.5
2021-01-15,3.7,-0.4,8.0,,190.0,15.9,1013.4
2021-01-16,1.6,-7.0,11.0,,108.0,5.2,1017.9
2021-01-17,2.1,-5.0,9.0,,215.0,8.7,1012.4
2021-01-18,3.6,-1.2,8.0,,229.0,15.9,1013.4
2021-01-19,4.2,-2.0,9.0,,207.0,13.4,1016.8
2021-01-20,3.5,-4.0,8.0,,221.0,13.4,1013.0
2021-01-21,-2.8,-7.8,2.0,,290.0,15.9,1018.9
2021-01-22,-6.3,-10.7,-1.0,,86.0,6.6,1031.1
2021-01-23,-5.8,-12.0,2.0,,136.0,4.2,1030.3
2021-01-24,-3.5,-12.0,8.0,,,2.6,1027.4
2021-01-25,-1.2,-9.5,10.0,,,3.1,1025.0
2021-01-26,-1.2,-9.0,8.8,,116.0,6.0,1024.3
2021-01-27,1.0,-8.0,11.2,,86.0,4.6,1023.0
2021-01-28,3.8,-4.0,14.0,,190.0,8.0,1017.4
2021-01-29,6.7,3.7,12.0,,193.0,15.4,1013.4
2021-01-30,3.5,-0.4,7.0,,248.0,15.5,1012.4
2021-01-31,2.1,-3.7,9.0,,175.0,9.7,1018.7
2021-02-01,2.0,-4.0,9.0,,33.0,5.6,1024.2
2021-02-02,1.6,-7.0,13.0,,,2.4,1026.0
2021-02-03,2.7,-7.0,16.0,,84.0,4.3,1023.0
2021-02-04,4.8,-5.0,15.0,,99.0,3.6,1021.4
2021-02-05,7.1,4.2,10.0,,251.0,11.8,1016.1
2021-02-06,4.8,3.2,7.0,,53.0,7.4,1017.0
2021-02-07,4.4,1.2,9.0,,316.0,6.7,1017.0
2021-02-08,4.9,-2.0,14.0,,89.0,9.0,1023.7
2021-02-09,6.5,-2.0,17.0,,223.0,8.1,1025.8
2021-02-10,5.7,-2.0,15.0,,66.0,5.1,1022.3
2021-02-11,5.8,-2.0,13.0,,276.0,8.5,1018.4
2021-02-12,4.4,-5.0,15.0,,103.0,5.1,1018.4
2021-02-13,5.1,-4.0,16.0,,206.0,8.5,1017.8
2021-02-14,4.9,-5.0,17.0,,87.0,4.5,1021.9
2021-02-15,6.9,-3.8,18.0,,159.0,6.8,1019.4
2021-02-16,10.7,3.2,17.0,,180.0,13.7,1012.9
2021-02-17,9.4,4.2,14.0,,184.0,24.8,1007.6
2021-02-18,1.1,-2.2,7.0,,255.0,13.1,1010.3
2021-02-19,-1.7,-6.0,3.0,,166.0,10.4,1020.5
2021-02-20,-1.4,-9.0,5.0,,170.0,7.9,1022.7
2021-02-21,1.1,-4.0,6.0,,193.0,8.2,1022.3
2021-02-22,1.6,-4.5,8.5,,37.0,7.6,1021.9
2021-02-23,1.9,-5.5,10.0,,319.0,8.3,1020.6
2021-02-24,1.3,-6.0,9.0,,36.0,7.2,1018.6
2021-02-25,-2.1,-4.3,0.0,,116.0,11.9,1021.7
2021-02-26,-1.6,-5.9,4.0,,104.0,5.1,1024.2
2021-02-27,0.9,-5.1,9.0,,,3.9,1020.0
2021-02-28,3.1,-5.2,12.0,,162.0,6.3,1016.7
2021-03-01,5.1,1.7,10.0,,203.0,7.5,1015.7
2021-03-02,4.2,-2.0,11.0,,157.0,7.1,1020.4
2021-03-03,4.9,-2.0,12.0,,204.0,9.9,1019.3
2021-03-04,6.0,-2.0,14.0,,131.0,8.7,1017.2
2021-03-05,6.4,1.0,11.0,,247.0,18.7,1011.9
2021-03-06,4.3,-3.0,12.0,,335.0,11.0,1020.4
2021-03-07,5.9,-5.0,15.3,,228.0,9.2,1016.3
2021-03-08,7.4,-1.0,14.2,,191.0,10.9,1012.5
2021-03-09,8.4,3.8,13.0,,243.0,20.1,1012.1
2021-03-10,7.3,2.5,13.0,,273.0,15.0,1015.8
2021-03-11,9.5,1.8,16.0,,216.0,20.2,1010.5
2021-03-12,6.1,0.5,10.9,,247.0,19.7,1001.1
2021-03-13,0.8,-3.0,5.4,,346.0,10.6,1014.6
2021-03-14,2.6,-3.4,11.0,,105.0,4.7,1018.1
2021-03-15,6.9,0.0,16.0,,142.0,5.9,1015.4
2021-03-16,10.6,3.0,18.0,,184.0,11.3,1014.1
2021-03-17,12.4,4.8,19.0,,208.0,11.6,1010.9
2021-03-18,13.8,9.7,18.0,,227.0,19.5,1007.7
2021-03-19,9.3,4.0,14.0,,268.0,15.0,1010.1
2021-03-20,6.7,-1.3,14.0,,299.0,10.9,1015.5
2021-03-21,8.8,2.0,15.0,,279.0,13.9,1011.8
2021-03-22,,,,,,,
2021-03-23,11.8,7.9,16.0,,220.0,14.9,1012.1
2021-03-24,15.7,9.8,20.0,,208.0,22.2,1004.9
2021-03-25,13.1,8.6,17.0,,238.0,21.2,1004.3
2021-03-26,10.3,2.0,16.6,,236.0,15.7,1010.5
2021-03-27,10.0,4.6,16.0,,259.0,18.0,1011.0
2021-03-28,4.8,-0.6,10.5,,319.0,11.3,1018.3
2021-03-29,5.5,-3.1,14.3,,146.0,5.9,1019.2
2021-03-30,7.9,-1.5,17.6,,121.0,9.0,1017.5
2021-03-31,9.0,2.6,15.7,,137.0,9.4,1016.2
2021-04-01,11.9,4.1,19.8,,195.0,11.3,1013.2
2021-04-02,13.8,9.1,19.0,,205.0,15.9,1008.7
2021-04-03,9.5,4.8,13.1,,261.0,18.7,1007.8
2021-04-04,6.9,-1.0,14.9,,320.0,8.6,1017.5
2021-04-05,9.3,1.4,16.7,,284.0,10.5,1017.4
2021-04-06,12.3,3.8,20.8,,278.0,12.7,1016.9
2021-04-07,13.2,3.7,23.0,,119.0,6.4,1017.6
2021-04-08,14.1,3.0,22.9,,126.0,7.9,1016.3
2021-04-09,15.5,8.6,21.9,,187.0,9.2,1008.1
2021-04-10,15.3,8.2,23.0,,177.0,14.9,1011.0
2021-04-11,13.9,8.5,19.6,,203.0,16.9,1011.3
2021-04-12,13.0,4.0,21.0,,196.0,10.9,1015.7
2021-04-13,13.6,5.9,21.0,,203.0,12.6,1015.6
2021-04-14,13.5,5.0,20.3,,204.0,14.8,1013.9
2021-04-15,11.9,-1.0,21.0,,176.0,9.6,1015.2
2021-04-16,13.1,4.0,21.3,,350.0,8.4,1013.9
2021-04-17,13.9,4.0,23.0,,79.0,7.3,1017.7
2021-04-18,14.9,2.0,24.1,,19.0,6.7,1017.5
2021-04-19,16.8,7.1,25.0,,21.0,8.6,1016.1
2021-04-20,17.7,7.0,27.0,,88.0,8.6,1016.9
2021-04-21,19.0,9.0,28.2,,145.0,7.3,1015.7
2021-04-22,19.3,8.0,28.0,,186.0,8.2,1016.3
2021-04-23,18.0,9.0,26.0,,6.0,10.6,1016.9
2021-04-24,16.8,8.0,26.0,,194.0,8.2,1014.3
2021-04-25,17.5,7.5,27.0,,210.0,8.7,1014.4
2021-04-26,17.7,7.0,26.3,,166.0,9.1,1013.4
2021-04-27,16.7,10.0,25.0,,156.0,11.0,1013.5
2021-04-28,16.8,10.0,25.0,,228.0,13.5,1013.1
2021-04-29,15.4,7.0,23.0,,317.0,8.8,1015.2
2021-04-30,16.8,6.0,26.0,,359.0,7.1,1013.9
2021-05-01,16.5,9.0,24.0,,198.0,11.3,1008.9
2021-05-02,15.3,3.0,24.0,,287.0,9.5,1009.0
2021-05-03,12.9,6.0,19.0,,153.0,8.3,1011.6
2021-05-04,14.6,6.9,22.0,,346.0,10.0,1010.7
2021-05-05,16.8,8.0,24.0,,216.0,11.0,1007.6
2021-05-06,18.8,9.0,25.0,,197.0,12.9,1010.3
2021-05-07,17.7,11.0,23.0,,214.0,13.1,1010.2
2021-05-08,15.6,7.0,24.0,,26.0,9.2,1013.1
2021-05-09,16.8,5.0,26.0,,239.0,7.1,1014.7
2021-05-10,18.6,9.9,26.0,,230.0,11.1,1011.5
2021-05-11,17.7,8.0,25.0,,222.0,10.1,1010.9
2021-05-12,17.9,10.0,26.0,,254.0,9.5,1012.5
2021-05-13,16.0,10.4,23.0,,108.0,9.1,1013.3
2021-05-14,16.2,6.0,24.0,,55.0,7.0,1014.4
2021-05-15,16.1,7.0,25.0,,80.0,9.1,1013.0
2021-05-16,17.6,9.1,26.0,,106.0,7.2,1009.0
2021-05-17,20.2,9.0,29.0,,230.0,9.4,1011.0
2021-05-18,20.5,10.0,29.0,,239.0,14.6,1011.6
2021-05-19,21.1,9.8,30.0,,255.0,11.6,1011.8
2021-05-20,21.1,8.9,30.0,,112.0,8.1,1013.3
2021-05-21,21.7,10.0,31.6,,119.0,10.9,1009.6
2021-05-22,22.5,14.0,31.0,,196.0,12.0,1010.5
2021-05-23,19.8,12.0,24.9,,180.0,14.7,1008.6
2021-05-24,19.1,7.0,27.1,,210.0,11.2,1011.6
2021-05-25,17.8,11.5,23.7,,150.0,20.2,1007.5
2021-05-26,16.9,10.7,23.0,,273.0,11.1,1006.4
2021-05-27,19.2,8.0,28.0,,27.0,7.8,1012.8
2021-05-28,20.8,8.0,30.0,,234.0,7.1,1011.3
2021-05-29,21.7,10.8,30.0,,239.0,10.9,1011.7
2021-05-30,21.5,10.0,31.0,,246.0,10.5,1012.9
2021-05-31,21.9,11.1,31.0,,274.0,8.1,1009.8
2021-06-01,21.8,10.5,31.0,,301.0,10.9,1011.4
2021-06-02,22.6,10.8,32.0,,269.0,10.2,1012.6
2021-06-03,23.5,12.3,34.0,,233.0,10.4,1010.2
2021-06-04,23.2,12.3,33.0,,256.0,9.9,1010.4
2021-06-05,23.2,10.0,32.0,,221.0,12.1,1009.3
2021-06-06,23.0,12.0,32.0,,249.0,12.0,1009.0
2021-06-07,21.6,12.0,29.0,,269.0,14.2,1012.0
2021-06-08,20.8,7.0,31.0,,310.0,7.7,1011.4
2021-06-09,21.6,9.7,32.0,,260.0,8.1,1008.1
2021-06-10,21.8,11.6,31.0,,275.0,8.5,1006.0
2021-06-11,22.1,10.0,32.0,,310.0,8.3,1007.8
2021-06-12,23.7,12.2,33.0,,269.0,8.4,1006.7
2021-06-13,22.6,11.0,31.7,,278.0,9.7,1005.0
2021-06-14,21.7,10.2,32.0,,313.0,7.9,1009.4
2021-06-15,23.7,10.0,34.5,,241.0,7.7,1003.8
2021-06-16,26.0,13.0,36.0,,164.0,10.7,1005.3
2021-06-17,26.1,13.0,37.0,,260.0,8.0,1006.3
2021-06-18,26.7,15.0,38.0,,273.0,11.1,1008.7
2021-06-19,26.9,13.0,36.0,,129.0,18.3,1008.6
2021-06-20,27.3,14.0,35.8,,127.0,18.7,1004.7
2021-06-21,26.5,13.0,37.0,,176.0,10.1,1008.6
2021-06-22,26.7,14.0,36.0,,145.0,9.9,1009.7
2021-06-23,26.5,13.0,36.0,,125.0,12.3,1010.4
2021-06-24,25.9,13.0,35.0,,112.0,9.8,1010.0
2021-06-25,26.4,15.6,35.0,,117.0,14.1,1008.5
2021-06-26,25.7,15.0,36.0,,129.0,12.4,1006.5
2021-06-27,25.7,15.0,34.0,,216.0,10.5,1007.5
2021-06-28,25.7,15.8,35.0,,165.0,10.3,1009.6
2021-06-29,26.7,18.2,34.0,,173.0,12.6,1008.7
2021-06-30,25.7,14.0,34.0,,87.0,8.6,1009.1
2021-07-01,26.4,17.1,35.0,,238.0,13.4,1012.3
2021-07-02,25.2,12.0,33.6,,300.0,9.2,1004.5
2021-07-03,26.2,17.4,35.0,,285.0,7.9,1004.1
2021-07-04,27.1,17.0,37.0,,230.0,9.3,1002.8
2021-07-05,27.0,17.0,36.0,,233.0,10.4,1003.2
2021-07-06,25.6,15.0,34.0,,238.0,9.9,1004.6
2021-07-07,25.3,13.0,35.0,,259.0,8.5,1007.7
2021-07-08,26.0,14.7,36.0,,276.0,9.2,1008.7
2021-07-09,26.7,15.0,36.0,,2.0,9.6,1006.7
2021-07-10,27.5,19.0,36.2,,149.0,10.6,998.4
