time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-6.9,-10.2,-4.8,0.0,203.0,9.0,1012.5
2021-01-02,-7.3,-8.8,-4.6,0.0,232.0,9.7,1017.8
2021-01-03,-10.1,-18.4,-1.0,0.2,298.0,6.6,1021.9
2021-01-04,-3.4,-6.8,0.0,4.0,244.0,8.3,1024.1
2021-01-05,-3.6,-6.7,-1.0,2.9,332.0,8.9,1021.4
2021-01-06,-6.4,-13.5,-1.0,0.6,347.0,5.0,1016.6
2021-01-07,-1.9,-5.0,1.0,6.9,211.0,12.7,1000.0
2021-01-08,-7.3,-16.3,-3.9,0.8,241.0,10.5,1006.6
2021-01-09,-12.1,-20.0,-5.0,0.0,311.0,5.2,1009.9
2021-01-10,-7.5,-16.1,-3.0,1.2,244.0,7.0,1015.1
2021-01-11,-5.5,-10.0,1.0,0.5,338.0,6.1,1022.6
2021-01-12,-3.3,-7.3,0.7,3.2,31.0,3.2,1017.2
2021-01-13,-0.8,-4.4,2.0,2.4,186.0,5.6,1011.9
2021-01-14,0.4,-4.8,4.0,8.9,258.0,14.2,1016.2
2021-01-15,-3.8,-9.8,2.0,0.0,66.0,6.2,1023.5
2021-01-16,1.3,-2.6,4.0,9.4,263.0,6.5,1011.5
2021-01-17,-1.9,-5.7,1.0,0.3,266.0,10.5,1015.5
2021-01-18,-4.4,-13.6,-1.0,3.8,291.0,5.7,1012.8
2021-01-19,-4.0,-7.5,-1.3,3.8,285.0,16.9,1014.2
2021-01-20,-3.3,-6.4,0.0,0.6,312.0,12.4,1027.4
2021-01-21,-0.5,-3.5,3.0,0.1,175.0,5.9,1024.2
2021-01-22,2.2,-1.9,7.0,0.7,307.0,9.1,1017.5
2021-01-23,-2.3,-7.5,2.0,0.0,1.0,7.3,1024.6
2021-01-24,-2.0,-6.4,3.0,0.0,359.0,4.6,1025.1
2021-01-25,-3.3,-10.3,7.0,0.0,340.0,6.2,1026.6
2021-01-26,-1.9,-9.4,3.1,0.0,0.0,4.9,1025.0
2021-01-27,2.6,-4.6,8.0,4.8,250.0,10.2,1013.0
2021-01-28,-2.5,-7.6,0.0,3.6,357.0,7.3,1015.2
2021-01-29,-0.8,-3.0,2.0,10.5,261.0,11.8,999.9
2021-01-30,-3.6,-8.1,0.0,0.7,300.0,15.2,1012.2
2021-01-31,-3.3,-7.3,-1.0,0.1,301.0,11.6,1024.3
2021-02-01,-3.9,-13.0,2.0,1.3,288.0,4.5,1022.5
2021-02-02,0.7,-5.2,5.0,14.0,265.0,12.6,1007.0
2021-02-03,-5.4,-7.8,-3.0,2.8,262.0,11.2,1014.4
2021-02-04,-6.3,-11.0,-3.0,6.3,281.0,8.5,1012.4
2021-02-05,-1.9,-6.4,3.0,2.4,288.0,11.3,1016.3
2021-02-06,3.4,0.0,8.0,0.5,155.0,6.9,1011.0
2021-02-07,1.1,-4.7,4.0,4.2,279.0,7.5,1009.9
2021-02-08,-4.7,-8.9,-2.0,0.5,278.0,11.7,1010.5
2021-02-09,-4.2,-9.3,-1.0,0.2,289.0,9.3,1013.7
2021-02-10,-0.5,-4.0,4.0,1.7,303.0,10.6,1014.7
2021-02-11,-0.1,-5.9,4.0,0.0,319.0,10.6,1018.7
2021-02-12,-1.8,-10.0,7.0,0.0,27.0,5.7,1027.8
2021-02-13,0.4,-6.6,7.0,0.0,309.0,4.5,1027.1
2021-02-14,1.7,-4.7,11.0,0.0,354.0,3.1,1019.7
2021-02-15,3.1,-0.4,7.0,46.6,348.0,10.4,998.2
2021-02-16,1.0,-2.0,6.7,2.9,260.0,24.6,991.9
2021-02-17,-2.8,-6.0,-1.5,4.1,209.0,11.7,997.1
2021-02-18,-3.6,-10.2,2.0,0.8,235.0,8.3,1000.5
2021-02-19,1.0,-5.2,5.0,0.2,262.0,8.4,1009.0
2021-02-20,3.6,1.3,6.0,5.7,181.0,15.3,1004.0
2021-02-21,4.0,-1.1,9.0,0.9,297.0,9.2,1010.3
2021-02-22,5.3,1.4,10.0,2.0,232.0,3.3,1007.7
2021-02-23,0.9,-3.3,7.3,1.5,285.0,19.2,1009.2
