time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.2,8.0,14.0,,18.0,16.4,1026.0
2021-01-02,13.2,9.0,17.0,,54.0,11.9,1023.0
2021-01-03,16.8,13.0,20.0,,43.0,13.4,1022.0
2021-01-04,18.4,17.0,20.0,,17.0,9.8,1021.0
2021-01-05,19.2,17.6,21.0,,23.0,9.0,1020.1
2021-01-06,16.9,15.3,19.0,,37.0,12.2,1020.0
2021-01-07,14.9,10.7,17.0,,21.0,17.6,1020.9
2021-01-08,8.6,7.0,10.0,,13.0,18.6,1025.7
2021-01-09,10.2,7.9,12.6,,21.0,13.6,1024.9
2021-01-10,12.4,11.0,14.3,,23.0,15.1,1023.6
2021-01-11,10.2,9.0,12.0,,3.0,20.7,1026.5
2021-01-12,10.9,7.9,15.0,,1.0,15.1,1024.5
2021-01-13,12.8,8.0,17.0,,125.0,9.9,1020.0
2021-01-14,15.0,10.5,19.0,,105.0,8.1,1017.8
2021-01-15,17.4,15.0,21.0,,84.0,9.8,1015.9
2021-01-16,18.0,15.0,23.0,,92.0,19.1,1016.9
2021-01-17,16.8,14.8,19.0,,34.0,20.2,1023.5
2021-01-18,14.0,11.9,17.0,,10.0,11.4,1023.7
2021-01-19,15.7,12.0,19.0,,86.0,13.5,1020.2
2021-01-20,18.9,16.7,22.3,,92.0,15.9,1017.9
2021-01-21,20.5,18.0,24.8,,24.0,11.7,1015.5
2021-01-22,20.5,18.9,25.0,,293.0,7.3,1013.8
2021-01-23,20.2,17.0,23.0,,307.0,8.3,1013.9
2021-01-24,19.1,17.7,22.0,,93.0,19.9,1016.6
2021-01-25,19.7,18.0,22.0,,102.0,16.7,1017.2
2021-01-26,20.2,17.0,23.4,,30.0,9.2,1016.7
2021-01-27,19.5,17.8,23.0,,75.0,11.5,1017.5
2021-01-28,18.7,16.7,22.0,,35.0,14.9,1020.5
2021-01-29,16.9,13.0,20.0,,65.0,16.7,1022.3
2021-01-30,17.5,15.0,20.0,,94.0,18.9,1021.9
2021-01-31,19.6,16.9,23.4,,92.0,16.7,1021.2
2021-02-01,20.5,17.0,24.0,,49.0,9.8,1019.3
2021-02-02,21.1,18.0,26.0,,163.0,14.1,1019.3
