time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.3,20.2,31.4,53.1,232.0,7.0,1012.1
2021-01-02,26.8,20.0,34.6,0.0,174.0,5.3,1010.6
2021-01-03,26.6,20.5,35.0,0.7,43.0,9.9,1007.8
2021-01-04,25.3,20.4,32.7,0.1,31.0,12.6,1008.3
2021-01-05,23.1,20.4,29.8,41.9,57.0,9.3,1008.6
2021-01-06,24.4,20.7,30.5,55.1,300.0,5.4,1009.8
2021-01-07,24.0,20.4,31.0,4.1,227.0,7.9,1011.2
2021-01-08,25.1,20.8,31.0,0.0,353.0,3.2,1011.4
2021-01-09,26.0,21.0,31.0,2.0,43.0,9.8,1009.4
2021-01-10,25.4,21.5,32.6,7.1,34.0,8.8,1009.8
2021-01-11,27.1,21.5,33.3,7.9,21.0,11.4,1008.8
2021-01-12,25.5,21.4,33.6,0.0,49.0,9.0,1010.2
2021-01-13,24.7,20.0,33.5,15.0,123.0,8.7,1011.7
2021-01-14,26.4,21.7,32.5,9.9,53.0,6.9,1011.0
2021-01-15,27.1,22.0,32.5,0.0,61.0,12.0,1008.3
2021-01-16,25.6,22.2,29.0,0.0,37.0,11.1,1004.6
2021-01-17,24.3,20.0,29.4,63.0,140.0,10.5,1005.7
2021-01-18,24.0,21.0,28.4,0.0,200.0,12.6,1010.0
2021-01-19,23.3,19.4,27.9,24.7,135.0,11.1,1011.0
2021-01-20,23.6,20.8,29.0,18.2,66.0,11.0,1011.6
2021-01-21,23.0,21.0,28.2,51.1,62.0,8.2,1013.5
2021-01-22,24.0,20.5,29.2,15.0,43.0,7.7,1015.2
2021-01-23,24.7,21.0,30.3,0.0,27.0,5.6,1014.0
2021-01-24,25.2,20.8,30.5,17.7,22.0,9.9,1011.8
2021-01-25,23.6,22.0,30.4,4.1,40.0,9.3,1009.5
2021-01-26,24.1,21.4,28.6,20.1,39.0,10.4,1007.7
2021-01-27,24.7,21.8,29.4,6.1,17.0,11.0,1006.8
2021-01-28,24.3,21.8,29.0,7.1,37.0,9.7,1006.5
2021-01-29,24.8,21.0,30.6,29.0,28.0,10.3,1007.2
2021-01-30,23.0,20.3,30.6,32.0,42.0,10.2,1009.4
2021-01-31,21.8,19.5,28.4,87.9,42.0,10.5,1010.6
2021-02-01,21.8,19.2,24.5,23.1,29.0,6.4,1010.2
2021-02-02,20.9,19.0,24.4,4.1,59.0,7.3,1011.1
2021-02-03,24.4,19.8,31.4,4.1,19.0,6.8,1011.3
2021-02-04,24.5,20.7,32.0,0.0,239.0,12.2,1011.9
2021-02-05,22.7,17.0,28.2,0.0,223.0,9.2,1011.1
2021-02-06,21.8,14.2,28.7,0.0,205.0,8.4,1011.3
2021-02-07,22.9,15.2,31.6,0.0,99.0,6.9,1011.6
2021-02-08,25.1,18.6,33.2,0.0,11.0,5.7,1011.5
2021-02-09,24.8,18.2,33.2,1.1,40.0,7.2,1012.3
2021-02-10,20.7,18.2,29.6,0.1,32.0,6.6,1012.8
2021-02-11,21.6,19.0,29.0,3.2,145.0,9.5,1012.8
2021-02-12,23.3,18.0,30.0,22.7,41.0,7.5,1012.3
2021-02-13,26.6,19.0,30.4,7.1,49.0,6.4,1010.4
2021-02-14,25.0,19.1,31.5,0.0,334.0,5.9,1008.1
2021-02-15,24.2,19.4,31.5,2.7,39.0,7.2,1008.0
2021-02-16,24.6,19.3,31.0,2.8,280.0,4.5,1007.8
2021-02-17,24.4,17.5,31.1,0.0,220.0,7.4,1008.4
2021-02-18,23.1,15.7,30.5,0.0,201.0,9.1,1009.3
2021-02-19,20.6,14.9,29.8,0.0,174.0,7.0,1011.2
2021-02-20,29.9,17.0,32.0,0.0,172.0,6.4,1012.5
2021-02-21,30.4,20.0,34.7,0.0,48.0,6.6,1011.7
2021-02-22,28.0,21.8,35.1,0.0,14.0,7.9,1010.6
2021-02-23,28.1,21.0,36.1,0.0,27.0,9.6,1010.3
2021-02-24,25.4,21.0,36.3,0.7,152.0,7.8,1010.9
2021-02-25,27.2,22.0,33.2,0.1,354.0,4.4,1009.7
2021-02-26,26.9,21.7,34.0,0.0,105.0,10.0,1009.7
2021-02-27,27.1,21.0,33.6,0.0,90.0,10.8,1012.2
2021-02-28,26.8,21.7,33.6,0.1,105.0,10.0,1010.9
2021-03-01,26.2,22.6,33.2,0.5,40.0,7.8,1008.6
2021-03-02,26.2,21.0,32.2,8.7,50.0,8.0,1010.1
2021-03-03,26.4,22.0,32.4,15.6,47.0,9.9,1011.2
2021-03-04,23.8,20.4,31.8,6.1,32.0,9.6,1009.5
2021-03-05,24.4,21.6,29.6,9.9,268.0,8.6,1007.1
2021-03-06,24.8,20.9,31.0,0.0,205.0,8.9,1008.6
2021-03-07,23.7,17.6,31.4,0.0,185.0,6.7,1010.1
2021-03-08,24.6,16.5,33.3,0.0,188.0,6.1,1010.7
2021-03-09,24.3,17.0,33.4,0.0,191.0,8.4,1010.5
2021-03-10,24.1,16.8,31.2,0.0,180.0,8.3,1009.3
2021-03-11,23.6,15.7,32.3,0.0,193.0,4.4,1009.5
2021-03-12,23.8,16.0,32.5,0.0,351.0,4.6,1011.6
2021-03-13,24.4,15.0,34.2,0.0,34.0,5.6,1011.8
2021-03-14,25.7,18.0,35.2,0.0,156.0,6.2,1012.3
2021-03-15,26.2,18.3,35.3,0.0,53.0,5.1,1010.8
2021-03-16,27.6,21.0,35.6,0.2,29.0,10.8,1008.1
2021-03-17,24.2,19.2,36.0,20.1,0.0,9.1,1010.0
2021-03-18,23.4,18.7,29.0,0.0,180.0,9.1,1012.2
2021-03-19,24.5,17.0,33.0,0.2,11.0,6.4,1011.0
2021-03-20,26.8,22.1,33.5,0.1,41.0,10.0,1012.4
2021-03-21,24.5,22.2,33.5,6.3,60.0,7.9,1014.8
2021-03-22,26.1,21.0,32.2,5.8,171.0,5.1,1014.5
2021-03-23,25.4,21.0,32.6,0.0,317.0,4.8,1014.0
2021-03-24,26.4,20.8,34.4,0.6,7.0,2.2,1013.9
2021-03-25,27.3,22.4,34.4,3.3,54.0,8.4,1012.4
2021-03-26,26.4,22.0,34.7,11.9,49.0,8.6,1011.3
2021-03-27,26.5,22.5,32.7,0.0,31.0,6.5,1010.8
2021-03-28,23.6,21.0,32.2,7.9,258.0,5.2,1012.8
2021-03-29,21.5,19.7,27.2,0.8,214.0,8.0,1014.4
2021-03-30,20.7,17.2,25.6,3.4,192.0,8.7,1014.0
2021-03-31,20.5,15.4,27.3,0.0,202.0,8.3,1012.8
2021-04-01,20.1,12.6,28.2,0.0,177.0,6.6,1012.4
2021-04-02,21.8,15.2,29.7,0.0,24.0,4.0,1014.0
2021-04-03,23.4,17.1,31.0,0.0,56.0,6.2,1015.0
2021-04-04,24.1,18.5,31.4,0.0,36.0,6.7,1014.9
2021-04-05,24.4,19.1,31.2,0.0,81.0,9.4,1014.1
2021-04-06,23.4,18.2,30.8,1.0,62.0,6.5,1014.6
2021-04-07,24.1,19.0,29.6,0.0,44.0,7.7,1014.6
2021-04-08,25.0,19.6,32.2,0.0,43.0,9.6,1015.0
2021-04-09,26.1,21.2,33.7,0.0,29.0,9.5,1015.1
2021-04-10,25.5,19.9,33.9,0.0,31.0,9.1,1012.6
2021-04-11,24.1,19.0,33.4,0.0,29.0,11.1,1012.4
2021-04-12,20.2,17.4,33.4,23.1,209.0,9.6,1016.0
2021-04-13,22.0,16.0,29.7,0.0,194.0,6.7,1016.4
2021-04-14,23.7,18.7,30.6,0.2,55.0,8.0,1014.7
2021-04-15,24.0,19.4,30.8,0.0,71.0,11.8,1014.4
2021-04-16,21.3,18.5,29.1,3.0,76.0,6.9,1014.0
2021-04-17,21.8,16.0,27.6,0.0,213.0,4.7,1013.1
2021-04-18,22.7,17.2,29.1,0.0,170.0,6.9,1013.2
2021-04-19,22.8,17.6,29.6,0.0,92.0,8.2,1014.8
2021-04-20,22.6,16.3,29.6,0.0,44.0,7.5,1015.6
2021-04-21,22.2,16.8,29.5,0.0,39.0,8.2,1015.4
2021-04-22,21.6,16.5,29.4,0.0,62.0,9.5,1014.8
2021-04-23,22.2,17.9,28.5,0.0,41.0,9.0,1014.1
2021-04-24,20.0,18.3,29.3,2.0,32.0,7.6,1014.3
2021-04-25,19.5,17.2,22.5,11.8,208.0,6.8,1015.3
2021-04-26,17.6,13.4,22.7,0.0,213.0,8.2,1016.3
2021-04-27,16.1,10.6,23.5,0.0,212.0,7.8,1017.0
2021-04-28,16.7,10.0,24.6,0.0,209.0,8.2,1018.4
2021-04-29,16.9,8.4,27.6,0.0,175.0,6.3,1020.2
2021-04-30,19.2,12.0,27.8,0.0,44.0,7.0,1019.6
2021-05-01,20.0,14.2,27.5,0.0,33.0,5.6,1017.5
2021-05-02,21.8,16.5,30.0,0.0,31.0,6.0,1015.9
2021-05-03,23.7,18.1,31.6,0.0,39.0,9.7,1014.5
2021-05-04,23.6,17.6,31.6,0.0,33.0,9.4,1014.8
2021-05-05,22.3,18.8,31.4,1.7,13.0,7.4,1014.6
2021-05-06,16.2,12.8,26.6,9.9,211.0,13.6,1019.3
2021-05-07,13.2,7.7,19.0,0.0,190.0,8.9,1022.7
2021-05-08,16.1,8.2,25.2,0.0,39.0,5.1,1022.5
2021-05-09,19.0,12.9,27.0,0.0,53.0,7.5,1020.4
2021-05-10,20.6,15.0,28.0,0.0,33.0,8.5,1018.4
2021-05-11,18.4,15.0,28.5,7.3,201.0,8.3,1016.3
2021-05-12,15.9,13.5,21.8,0.6,200.0,10.2,1018.3
2021-05-13,15.9,8.2,24.2,0.0,30.0,5.6,1020.3
2021-05-14,17.0,11.5,24.5,0.0,38.0,5.8,1019.1
2021-05-15,17.3,11.4,25.5,0.0,24.0,3.3,1018.0
2021-05-16,19.1,13.2,26.6,0.0,8.0,3.5,1017.6
2021-05-17,18.9,12.5,26.8,0.1,199.0,5.5,1018.0
2021-05-18,17.2,9.5,26.1,0.0,173.0,6.7,1017.7
2021-05-19,17.3,10.6,26.6,0.0,33.0,5.6,1015.2
2021-05-20,18.4,10.5,27.2,0.0,21.0,6.0,1012.2
2021-05-21,22.0,16.6,29.6,15.9,19.0,11.3,1007.3
2021-05-22,19.5,17.0,29.8,13.0,232.0,9.6,1011.2
2021-05-23,14.2,8.0,21.4,0.0,236.0,9.8,1018.2
2021-05-24,11.3,4.5,19.8,0.0,255.0,4.3,1020.7
2021-05-25,12.7,6.0,21.6,0.0,63.0,5.5,1020.4
2021-05-26,15.1,8.4,23.3,0.0,31.0,3.9,1018.2
2021-05-27,18.9,13.2,27.6,0.0,30.0,5.0,1014.1
2021-05-28,21.1,16.5,27.8,1.6,6.0,10.7,1005.9
2021-05-29,23.1,19.4,27.5,0.5,254.0,10.1,1010.2
2021-05-30,16.8,11.0,27.6,0.0,191.0,11.0,1017.4
2021-05-31,14.9,6.9,24.0,0.0,192.0,6.0,1018.9
2021-06-01,17.6,10.5,25.3,0.0,33.0,8.5,1014.9
2021-06-02,20.1,15.0,26.4,2.7,29.0,7.1,1014.3
2021-06-03,21.8,16.8,29.5,0.0,11.0,4.0,1016.3
2021-06-04,22.4,17.5,30.2,0.0,31.0,9.7,1015.7
2021-06-05,22.4,16.0,30.4,0.0,29.0,9.0,1013.8
2021-06-06,18.4,15.5,30.4,5.1,106.0,12.5,1015.6
2021-06-07,18.3,15.7,22.0,21.2,62.0,5.6,1015.7
2021-06-08,19.8,17.2,23.5,38.2,37.0,7.5,1015.9
2021-06-09,19.9,16.7,24.5,8.3,15.0,4.0,1015.5
2021-06-10,20.1,17.4,25.0,8.9,224.0,8.4,1015.6
2021-06-11,18.7,15.6,23.4,17.0,193.0,9.0,1019.8
2021-06-12,14.4,7.9,23.0,0.0,195.0,5.4,1021.1
2021-06-13,15.3,8.5,24.2,0.0,34.0,5.3,1019.8
2021-06-14,16.2,10.0,24.3,0.0,50.0,6.8,1019.5
2021-06-15,15.8,9.0,23.5,0.0,181.0,7.2,1019.8
2021-06-16,14.9,11.2,23.3,0.0,209.0,10.3,1020.3
2021-06-17,11.1,7.5,18.2,0.0,206.0,9.2,1022.5
2021-06-18,13.1,8.5,17.6,5.5,230.0,6.3,1021.6
2021-06-19,14.0,10.4,18.2,37.1,305.0,7.7,1019.1
2021-06-20,13.8,12.0,16.6,1.0,338.0,2.5,1020.4
2021-06-21,13.7,12.0,17.0,6.1,64.0,6.1,1019.1
2021-06-22,16.8,13.7,20.8,0.0,147.0,3.8,1019.3
2021-06-23,19.8,15.5,24.6,0.0,55.0,12.8,1016.1
2021-06-24,18.9,16.4,25.0,0.8,28.0,11.4,1012.4
2021-06-25,18.3,11.7,24.7,0.9,63.0,6.2,1014.7
2021-06-26,22.2,18.2,28.2,0.2,18.0,12.5,1010.2
2021-06-27,13.7,9.5,28.5,17.0,213.0,15.6,1018.5
2021-06-28,8.2,5.3,12.1,0.1,210.0,10.8,1028.2
2021-06-29,5.7,-0.5,12.6,0.0,233.0,6.2,1030.2
2021-06-30,6.8,1.2,14.0,0.0,191.0,5.1,1027.7
2021-07-01,11.1,4.4,20.5,0.0,39.0,7.9,1024.4
2021-07-02,13.5,6.5,23.0,0.0,26.0,6.6,1022.6
2021-07-03,13.7,6.6,23.6,0.0,223.0,5.2,1023.3
2021-07-04,15.5,7.8,25.2,0.0,22.0,4.5,1021.5
2021-07-05,17.0,10.8,26.2,0.0,27.0,6.4,1022.3
2021-07-06,17.2,11.4,26.3,0.0,50.0,8.3,1020.3
2021-07-07,16.9,11.0,25.9,0.0,31.0,8.2,1019.2
2021-07-08,17.5,11.3,25.4,0.0,27.0,5.1,1019.2
2021-07-09,17.3,11.0,26.2,0.0,39.0,7.2,1018.0
2021-07-10,16.7,10.5,25.6,0.0,52.0,8.1,1018.2
2021-07-11,18.2,12.1,27.2,0.0,56.0,10.4,1017.9
2021-07-12,18.4,11.6,27.3,0.0,47.0,9.0,1016.8
2021-07-13,18.7,12.6,27.5,0.0,48.0,7.8,1017.1
2021-07-14,20.0,15.2,26.9,0.0,38.0,8.7,1014.3
2021-07-15,17.8,14.6,27.0,22.6,175.0,9.1,1014.5
2021-07-16,14.1,9.2,18.5,0.0,330.0,4.8,1016.6
2021-07-17,15.1,11.4,20.2,0.0,241.0,7.0,1018.8
2021-07-18,10.4,6.0,20.2,0.0,215.0,12.0,1027.2
2021-07-19,7.3,-0.3,14.6,0.0,212.0,6.4,1027.7
2021-07-20,9.5,1.2,18.2,0.0,46.0,5.0,1024.8
2021-07-21,15.5,9.7,25.0,1.3,45.0,4.7,1023.0
2021-07-22,17.3,10.6,27.8,0.0,26.0,6.5,1023.0
2021-07-23,18.2,11.2,28.4,0.0,31.0,6.3,1019.5
2021-07-24,20.7,14.6,30.2,0.0,38.0,9.3,1016.6
2021-07-25,21.1,14.2,30.2,0.0,41.0,11.0,1013.2
2021-07-26,23.0,16.8,30.8,0.0,30.0,10.9,1010.9
2021-07-27,15.2,6.7,30.8,15.0,214.0,17.9,1018.4
2021-07-28,7.3,-0.4,14.8,0.8,233.0,10.6,1026.7
2021-07-29,5.8,-0.6,13.6,0.0,224.0,6.9,1029.0
2021-07-30,8.7,-0.8,19.6,0.0,5.0,3.3,1026.9
2021-07-31,11.2,5.5,19.8,0.0,34.0,6.6,1026.0
2021-08-01,15.3,10.0,22.4,0.2,190.0,7.5,1027.6
2021-08-02,14.1,7.0,22.6,0.0,199.0,8.7,1026.0
2021-08-03,14.3,5.2,23.4,0.0,187.0,6.2,1024.6
2021-08-04,15.5,8.2,25.2,0.0,49.0,6.3,1025.1
2021-08-05,17.0,11.0,25.2,0.0,37.0,7.4,1023.6
2021-08-06,21.1,16.4,28.0,0.0,44.0,9.2,1021.1
2021-08-07,22.8,17.5,30.3,0.0,39.0,10.4,1017.6
2021-08-08,21.9,15.5,30.8,0.0,37.0,8.0,1016.5
2021-08-09,22.4,15.0,31.0,0.0,29.0,11.3,1015.8
2021-08-10,16.0,13.4,31.0,2.7,206.0,13.5,1019.1
2021-08-11,14.6,13.0,18.2,0.1,193.0,11.3,1022.1
2021-08-12,13.6,9.0,18.4,0.0,202.0,9.2,1021.6
2021-08-13,14.4,11.4,18.2,5.2,114.0,6.6,1020.9
