time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.4,22.4,,,,,
2021-01-02,27.9,22.5,33.2,4.0,132.0,4.4,1010.6
2021-01-03,25.1,22.8,29.0,15.0,182.0,4.3,1010.9
2021-01-04,26.9,22.8,31.2,0.0,151.0,4.0,1009.6
2021-01-05,28.3,23.3,33.5,0.8,138.0,6.1,1008.9
2021-01-06,27.4,22.4,33.5,0.3,133.0,4.5,1008.8
2021-01-07,27.9,23.4,32.1,0.0,232.0,5.7,1008.6
2021-01-08,26.9,23.0,31.5,1.9,213.0,7.0,1010.0
2021-01-09,26.1,21.7,32.7,0.0,199.0,4.3,1009.0
2021-01-10,26.4,23.0,30.4,0.6,154.0,4.8,1008.8
2021-01-11,27.6,21.1,33.7,0.0,91.0,3.8,1008.2
2021-01-12,27.4,22.0,34.5,0.1,215.0,4.7,1008.8
2021-01-13,25.2,22.2,32.3,0.0,246.0,6.7,1009.6
2021-01-14,25.9,22.0,32.2,7.1,244.0,6.8,1009.9
2021-01-15,25.9,21.6,32.1,0.0,203.0,5.6,1009.3
2021-01-16,27.6,23.2,33.0,0.0,177.0,6.6,1008.6
2021-01-17,26.1,23.0,30.5,2.8,120.0,3.4,1009.1
2021-01-18,26.8,22.4,33.0,1.0,192.0,5.0,1008.6
2021-01-19,25.1,22.6,31.8,0.3,238.0,6.1,1009.4
2021-01-20,28.2,22.6,32.3,2.0,222.0,5.1,1009.6
2021-01-21,28.1,24.1,33.2,0.0,209.0,4.5,1009.5
2021-01-22,27.7,22.5,33.2,0.0,263.0,4.6,1008.9
2021-01-23,26.3,22.0,32.1,0.0,244.0,5.9,1008.9
2021-01-24,26.1,21.0,32.9,0.0,233.0,6.9,1009.4
2021-01-25,26.0,22.8,32.6,0.1,168.0,5.9,1009.7
2021-01-26,27.9,21.5,33.1,0.0,179.0,4.8,1009.2
2021-01-27,25.9,21.8,31.5,11.1,203.0,6.1,1010.0
2021-01-28,25.6,21.4,30.9,0.9,223.0,5.3,1010.1
2021-01-29,27.7,21.5,33.5,3.6,209.0,4.7,1009.9
2021-01-30,24.9,22.0,30.2,15.0,239.0,5.6,1009.9
2021-01-31,25.6,22.1,31.7,0.0,244.0,4.9,1009.0
2021-02-01,27.6,22.5,33.0,0.1,258.0,5.0,1009.8
2021-02-02,28.1,22.9,34.0,0.0,224.0,5.6,1010.3
2021-02-03,26.3,23.0,33.2,0.0,230.0,4.4,1010.1
2021-02-04,27.2,22.6,34.0,0.0,198.0,6.5,1009.6
2021-02-05,27.1,22.9,34.1,0.0,186.0,5.2,1009.8
2021-02-06,25.6,22.1,30.8,1.2,157.0,4.6,1009.8
2021-02-07,27.1,20.6,33.7,0.0,285.0,4.8,1008.6
2021-02-08,27.3,22.2,33.5,0.1,319.0,5.0,1007.8
2021-02-09,25.7,21.6,35.1,0.0,310.0,4.3,1007.9
2021-02-10,27.7,22.4,33.7,0.0,277.0,7.2,1008.8
2021-02-11,29.3,23.4,36.7,0.0,262.0,4.9,1007.8
2021-02-12,29.1,24.0,35.9,0.0,240.0,6.3,1007.5
2021-02-13,29.2,24.1,35.4,0.0,178.0,5.2,1007.5
2021-02-14,28.1,23.7,35.4,0.0,172.0,5.2,1007.3
2021-02-15,28.1,24.2,34.0,2.9,256.0,6.1,1007.8
2021-02-16,26.8,23.0,32.3,4.6,218.0,7.2,1008.0
2021-02-17,26.7,20.7,33.2,0.0,288.0,6.2,1008.6
2021-02-18,24.4,20.7,32.8,0.0,327.0,4.8,1010.3
2021-02-19,24.3,19.5,30.8,0.0,41.0,3.9,1011.5
2021-02-20,26.1,21.6,32.4,0.4,82.0,5.2,1011.6
2021-02-21,27.4,21.6,34.9,0.0,91.0,4.5,1009.7
2021-02-22,27.4,20.5,35.3,0.0,232.0,4.4,1009.4
2021-02-23,25.3,22.0,32.3,0.0,215.0,7.2,1010.8
2021-02-24,26.8,21.3,33.7,0.0,100.0,5.9,1009.5
2021-02-25,27.9,20.0,35.8,0.0,33.0,4.1,1007.8
2021-02-26,28.3,23.5,33.3,0.9,233.0,7.9,1008.9
2021-02-27,28.2,23.5,34.0,0.0,158.0,5.3,1008.2
2021-02-28,28.8,23.0,36.6,0.0,96.0,5.7,1006.3
2021-03-01,30.8,24.0,38.0,0.0,115.0,6.0,1004.9
2021-03-02,25.5,22.5,35.0,0.1,228.0,8.5,1007.5
2021-03-03,27.3,21.0,34.2,0.0,163.0,5.3,1007.6
2021-03-04,28.8,23.9,36.6,0.0,157.0,4.8,1006.5
