time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,12.3,3.0,,,,,
2021-01-02,12.7,3.1,22.6,0.0,16.0,3.8,1017.2
2021-01-03,13.8,3.4,23.8,0.0,32.0,4.1,1016.1
2021-01-04,13.7,6.0,24.0,0.0,9.0,3.6,1016.4
2021-01-05,15.8,6.0,26.2,0.0,14.0,3.5,1016.4
2021-01-06,15.2,4.0,27.0,0.0,290.0,5.3,1014.0
2021-01-07,16.7,7.0,25.4,0.0,288.0,4.9,1013.4
2021-01-08,13.2,5.0,25.3,0.0,347.0,3.0,1013.5
2021-01-09,14.6,5.0,24.6,0.0,328.0,3.1,1013.5
2021-01-10,13.5,4.0,22.4,0.0,299.0,4.6,1013.2
2021-01-11,15.1,7.0,22.6,2.0,199.0,4.6,1015.1
2021-01-12,13.1,5.0,23.2,0.0,319.0,4.8,1015.3
2021-01-13,11.7,3.0,19.4,0.0,329.0,4.8,1015.3
2021-01-14,10.9,2.0,21.6,0.0,4.0,3.7,1015.7
2021-01-15,12.2,2.0,21.8,0.0,299.0,3.6,1013.6
2021-01-16,12.7,5.0,21.2,0.0,8.0,3.4,1012.8
2021-01-17,13.8,7.0,22.2,0.0,25.0,4.4,1016.0
2021-01-18,14.6,6.0,23.8,0.0,21.0,4.3,1015.8
2021-01-19,14.8,8.5,22.0,1.1,311.0,4.9,1013.4
2021-01-20,13.6,6.0,20.0,1.1,308.0,4.5,1013.6
2021-01-21,14.9,8.0,21.6,1.9,261.0,4.7,1013.8
2021-01-22,12.9,5.6,21.6,0.0,339.0,2.8,1015.1
2021-01-23,14.5,6.0,22.6,0.0,318.0,4.9,1013.5
2021-01-24,12.1,5.0,21.4,0.0,323.0,3.6,1014.9
2021-01-25,12.7,3.0,24.0,0.0,328.0,4.2,1016.2
2021-01-26,13.0,4.0,23.0,0.0,330.0,3.8,1015.7
2021-01-27,14.3,4.0,24.2,0.0,295.0,3.9,1015.7
2021-01-28,14.6,6.0,24.4,0.0,359.0,4.0,1016.5
2021-01-29,15.0,6.0,25.0,0.0,274.0,4.8,1015.3
2021-01-30,16.6,6.9,23.4,0.0,285.0,4.7,1014.6
2021-01-31,16.1,6.5,21.8,0.0,296.0,4.2,1016.3
2021-02-01,15.1,4.8,22.2,0.0,302.0,3.8,1017.3
2021-02-02,13.4,4.5,23.6,0.0,314.0,3.2,1017.0
2021-02-03,15.7,6.0,24.0,0.0,41.0,5.2,1016.7
2021-02-04,14.6,6.6,24.4,0.0,342.0,3.5,1017.0
2021-02-05,16.1,5.0,25.6,0.0,0.0,5.5,1016.4
2021-02-06,17.1,7.3,24.8,0.0,334.0,4.5,1014.7
