time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.0,20.1,25.8,0.0,303.0,10.2,1013.4
2021-01-02,22.3,20.1,26.0,0.0,295.0,10.0,1013.9
2021-01-03,22.2,16.0,25.3,0.0,234.0,15.5,1012.9
2021-01-04,23.1,20.7,26.0,0.0,212.0,18.5,1012.1
2021-01-05,22.4,19.0,26.0,0.0,224.0,18.4,1012.5
2021-01-06,21.9,19.0,26.0,0.0,220.0,17.2,1013.6
2021-01-07,22.1,18.4,25.3,0.0,228.0,16.1,1014.6
2021-01-08,21.7,18.1,25.8,0.0,214.0,21.3,1014.4
2021-01-09,21.8,18.6,25.8,0.0,230.0,17.0,1013.5
2021-01-10,21.9,18.6,24.4,0.0,224.0,17.7,1013.2
2021-01-11,21.7,18.9,24.9,0.0,211.0,18.8,1013.2
2021-01-12,21.9,19.8,24.4,0.0,208.0,18.0,1013.5
2021-01-13,21.4,19.0,24.1,0.0,222.0,17.9,1012.9
2021-01-14,21.6,19.3,23.5,0.0,222.0,17.1,1012.3
2021-01-15,21.4,18.6,24.0,0.0,226.0,13.5,1012.7
2021-01-16,22.3,20.7,25.0,0.0,231.0,13.0,1013.1
2021-01-17,22.1,18.4,25.5,0.0,249.0,12.6,1012.9
2021-01-18,21.6,17.7,26.2,0.0,221.0,16.9,1011.6
2021-01-19,21.8,18.1,25.3,0.0,218.0,18.1,1012.7
2021-01-20,21.2,18.2,25.0,0.0,212.0,21.6,1012.1
2021-01-21,21.2,17.5,24.8,0.0,211.0,20.8,1012.3
2021-01-22,20.5,16.1,25.3,0.0,219.0,18.4,1012.0
2021-01-23,20.9,17.1,24.0,0.0,229.0,18.0,1011.8
2021-01-24,20.8,17.9,23.5,0.0,249.0,14.2,1011.8
2021-01-25,21.3,16.8,24.4,0.0,240.0,16.2,1011.4
2021-01-26,21.6,17.6,25.0,0.0,220.0,20.2,1012.3
2021-01-27,21.2,18.2,25.2,0.0,225.0,16.1,1011.2
2021-01-28,21.4,18.9,24.2,0.0,262.0,14.2,1011.4
2021-01-29,21.7,18.6,24.6,0.0,209.0,15.4,1011.7
2021-01-30,21.2,18.3,24.9,0.0,221.0,16.5,1012.1
2021-01-31,21.5,19.2,24.3,0.0,211.0,17.5,1011.7
2021-02-01,21.4,18.5,24.8,0.0,233.0,15.1,1011.3
2021-02-02,21.8,18.8,25.0,0.0,215.0,17.7,1011.3
2021-02-03,21.5,18.2,25.2,0.0,212.0,17.4,1011.3
2021-02-04,22.2,19.2,24.5,0.0,222.0,13.9,1012.4
2021-02-05,22.0,19.6,25.0,0.0,222.0,13.8,1012.4
2021-02-06,22.4,19.2,26.0,0.0,231.0,15.1,1012.0
2021-02-07,23.0,19.3,26.0,0.0,210.0,18.9,1012.3
2021-02-08,22.4,19.2,26.6,0.0,219.0,22.3,1012.4
2021-02-09,22.1,19.0,25.4,0.0,218.0,23.4,1011.4
2021-02-10,20.3,18.0,26.0,0.0,236.0,12.1,1011.7
2021-02-11,23.3,20.0,26.0,0.0,204.0,14.8,1011.8
2021-02-12,23.5,19.0,27.0,0.0,211.0,19.1,1011.5
2021-02-13,25.0,19.7,28.0,0.0,208.0,27.2,1011.1
2021-02-14,23.3,19.3,27.7,0.0,203.0,23.9,1011.8
2021-02-15,22.2,18.0,26.2,0.0,216.0,19.1,1014.0
2021-02-16,22.1,17.9,26.7,0.0,215.0,20.5,1014.8
