time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.5,3.0,19.4,0.0,,,
2021-01-02,10.6,1.6,18.8,0.0,354.0,8.4,1021.3
2021-01-03,9.9,0.8,17.4,0.0,51.0,8.2,1019.9
2021-01-04,10.1,0.5,18.8,0.0,356.0,5.8,1019.7
2021-01-05,11.1,1.9,19.0,0.0,356.0,7.5,1021.2
2021-01-06,10.6,1.6,18.1,0.0,347.0,8.5,1022.5
2021-01-07,9.8,1.6,16.3,0.0,344.0,11.0,1023.4
2021-01-08,9.8,0.0,18.7,0.0,333.0,7.9,1022.5
2021-01-09,9.0,-1.1,17.0,0.0,14.0,7.5,1023.0
2021-01-10,10.3,0.1,18.5,0.0,11.0,7.8,1022.0
2021-01-11,11.8,1.0,20.5,0.0,12.0,8.1,1021.9
2021-01-12,12.4,3.5,21.5,0.0,7.0,7.3,1022.2
2021-01-13,13.6,2.9,22.7,0.0,0.0,8.4,1020.0
2021-01-14,14.4,4.2,23.5,0.0,355.0,9.8,1016.5
2021-01-15,16.2,4.1,26.0,0.0,11.0,7.8,1015.5
2021-01-16,17.7,6.0,27.1,0.0,0.0,9.1,1013.9
2021-01-17,18.1,6.9,27.0,0.0,357.0,7.0,1012.8
2021-01-18,19.0,11.0,26.4,0.0,352.0,9.0,1014.2
2021-01-19,18.1,9.7,25.0,0.0,325.0,8.1,1016.2
2021-01-20,19.3,10.9,27.4,0.0,11.0,8.0,1016.2
2021-01-21,19.4,11.0,26.8,0.0,0.0,9.8,1015.1
2021-01-22,15.3,10.2,20.4,0.0,352.0,22.6,1019.4
2021-01-23,11.1,5.0,18.3,0.0,183.0,10.9,1024.2
2021-01-24,10.2,0.7,18.4,0.0,20.0,6.1,1022.8
2021-01-25,12.5,3.5,20.8,0.0,359.0,6.3,1021.4
2021-01-26,14.8,3.1,24.0,0.0,7.0,7.4,1018.8
2021-01-27,14.4,5.5,22.4,0.0,348.0,9.4,1019.0
2021-01-28,15.3,4.4,25.3,0.0,11.0,8.7,1020.4
2021-01-29,17.3,5.7,26.0,0.0,14.0,8.0,1018.9
2021-01-30,18.8,10.0,26.5,0.0,0.0,8.6,1016.7
2021-01-31,20.1,9.7,26.1,0.0,346.0,8.1,1016.4
2021-02-01,17.9,9.6,25.0,0.0,334.0,5.7,1018.1
2021-02-02,18.2,9.1,26.3,0.0,343.0,7.4,1019.7
2021-02-03,17.6,7.1,25.0,0.0,333.0,7.4,1018.8
2021-02-04,17.9,8.5,27.1,0.0,29.0,9.4,1019.3
2021-02-05,18.1,7.6,26.0,0.0,8.0,7.0,1019.6
2021-02-06,19.2,8.6,28.2,0.0,8.0,9.3,1017.6
