time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-12.2,-15.4,-8.9,,150.0,8.6,1017.9
2021-01-02,-8.4,-10.8,-4.8,0.4,180.0,12.8,1004.7
2021-01-03,-5.3,-7.2,-1.5,0.0,197.0,13.0,996.6
2021-01-04,-8.0,-13.4,-1.6,0.5,300.0,16.7,1003.0
2021-01-05,-13.9,-18.0,-11.0,0.0,161.0,9.5,1021.1
2021-01-06,-7.0,-13.4,-2.8,0.1,166.0,18.1,1022.8
2021-01-07,-1.5,-3.1,0.0,0.6,222.0,18.2,1022.5
2021-01-08,-4.7,-8.0,-2.0,0.0,245.0,13.1,1026.8
2021-01-09,-9.3,-10.2,-7.2,0.0,245.0,11.0,1025.8
2021-01-10,-7.8,-10.1,-6.4,0.0,243.0,17.7,1014.3
2021-01-11,-8.1,-9.9,-6.3,0.0,244.0,14.2,1010.0
2021-01-12,-4.8,-8.3,-1.7,0.9,232.0,12.8,1002.6
2021-01-13,-2.5,-3.9,-1.0,0.0,209.0,12.2,1000.5
2021-01-14,-2.7,-3.9,-1.8,3.6,110.0,14.1,1000.4
2021-01-15,-10.7,-18.3,-1.8,3.3,345.0,15.7,1018.5
2021-01-16,-10.5,-13.2,-6.0,1.4,197.0,11.8,1012.0
2021-01-17,-17.1,-22.0,-9.6,0.9,6.0,19.2,1015.6
2021-01-18,-22.5,-24.0,-20.5,0.0,356.0,10.2,1022.7
2021-01-19,-21.0,-23.7,-19.0,0.0,252.0,15.4,1020.9
2021-01-20,-14.9,-19.1,-11.7,9.0,91.0,19.7,992.7
2021-01-21,-20.9,-25.2,-16.1,0.4,338.0,18.2,1015.4
2021-01-22,-21.6,-24.0,-19.0,0.0,274.0,7.1,1019.7
2021-01-23,-19.8,-23.5,-15.9,2.1,102.0,17.1,1020.4
2021-01-24,-18.7,-20.8,-17.1,1.9,343.0,13.4,1020.2
2021-01-25,-23.3,-27.7,-20.3,0.0,300.0,8.4,1029.2
2021-01-26,-26.5,-31.0,-23.0,0.0,296.0,5.5,1031.1
2021-01-27,-25.3,-27.2,-20.0,0.0,256.0,7.3,1037.2
2021-01-28,-23.8,-28.0,-20.0,0.0,163.0,7.5,1039.2
2021-01-29,-19.6,-25.0,-12.0,0.0,131.0,16.9,1030.1
2021-01-30,-12.7,-15.2,-10.2,1.3,124.0,13.4,1023.5
2021-01-31,-9.6,-10.6,-8.1,0.1,354.0,7.5,1026.3
2021-02-01,-11.2,-12.1,-10.3,0.0,285.0,6.2,1029.2
2021-02-02,-9.5,-12.6,-4.6,1.1,151.0,19.1,1020.2
2021-02-03,-5.4,-10.1,-3.8,7.8,141.0,15.7,1006.2
2021-02-04,-17.2,-21.2,-10.9,10.9,0.0,23.8,1007.4
2021-02-05,-23.3,-25.4,-21.2,1.6,333.0,24.2,1009.9
2021-02-06,-28.6,-31.0,-24.5,1.1,311.0,24.9,1018.3
2021-02-07,-31.3,-33.0,-30.0,0.0,283.0,24.6,1020.4
2021-02-08,-31.9,-35.0,-29.0,0.5,253.0,23.6,1014.2
2021-02-09,-28.9,-30.8,-27.5,0.1,266.0,14.1,1018.9
2021-02-10,-31.8,-32.9,-30.3,0.0,299.0,9.6,1032.6
2021-02-11,-31.9,-33.5,-28.0,0.0,212.0,9.3,1036.7
2021-02-12,-31.3,-33.9,-27.0,0.0,123.0,7.0,1040.5
2021-02-13,-30.9,-33.3,-26.0,0.0,347.0,3.7,1040.6
2021-02-14,-29.5,-32.6,-25.8,0.0,241.0,14.4,1036.3
2021-02-15,-24.4,-27.4,-20.9,0.0,237.0,13.9,1029.0
2021-02-16,-19.9,-23.0,-14.0,0.0,243.0,9.2,1023.3
2021-02-17,-18.5,-23.1,-11.7,0.0,231.0,11.2,1025.0
2021-02-18,-19.5,-24.6,-14.0,0.0,243.0,7.1,1027.6
2021-02-19,-18.7,-29.0,-10.0,0.0,200.0,9.3,1023.3
2021-02-20,-12.0,-18.6,-3.0,0.0,192.0,18.0,1010.5
2021-02-21,-4.9,-10.1,2.0,0.0,213.0,18.0,1001.1
2021-02-22,-2.9,-5.0,0.0,2.9,278.0,20.8,986.2
2021-02-23,-12.5,-17.0,-5.3,0.7,347.0,14.9,1008.2
2021-02-24,-17.8,-28.3,-14.0,0.0,310.0,8.2,1021.4
2021-02-25,-9.7,-18.6,-2.0,0.0,201.0,16.0,1010.9
2021-02-26,-18.1,-26.0,-5.5,5.8,13.0,20.9,1003.9
2021-02-27,-24.4,-27.4,-19.0,0.0,296.0,7.8,1022.1
2021-02-28,-22.5,-24.7,-19.0,0.4,279.0,14.5,1018.9
2021-03-01,-20.4,-28.0,-14.0,2.3,234.0,14.5,1022.5
2021-03-02,-14.1,-17.2,-11.0,2.8,41.0,12.4,1008.2
2021-03-03,-12.7,-19.0,-6.0,0.0,119.0,11.9,1022.1
2021-03-04,-8.4,-13.9,-0.8,0.0,162.0,8.0,1029.3
2021-03-05,-9.9,-12.4,-7.0,0.0,70.0,10.0,1036.4
2021-03-06,-6.4,-13.3,2.0,0.0,133.0,21.2,1025.9
2021-03-07,0.3,-3.2,4.0,0.4,205.0,19.4,1008.5
2021-03-08,1.5,-2.4,10.0,0.0,252.0,12.1,1014.4
2021-03-09,-5.1,-7.1,-1.8,0.9,48.0,18.5,1018.2
2021-03-10,-6.2,-11.1,0.0,0.0,116.0,12.5,1016.4
2021-03-11,-13.3,-18.0,-7.3,1.9,320.0,17.9,1017.4
2021-03-12,-11.1,-22.0,-2.8,0.0,221.0,14.9,1022.9
2021-03-13,-7.4,-10.8,-2.7,0.0,319.0,20.1,1026.2
2021-03-14,-13.0,-22.1,-3.8,,,,
2021-03-15,-1.0,-8.7,6.2,0.0,211.0,21.8,1018.0
2021-03-16,-0.7,-2.0,1.0,0.1,292.0,13.7,1014.5
