time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,19.2,10.2,,,,,
2021-01-02,21.5,12.0,25.0,0.0,115.0,7.5,1016.4
2021-01-03,22.8,14.8,28.0,0.0,154.0,6.5,1014.2
2021-01-04,22.2,14.1,28.3,0.0,89.0,7.5,1014.9
2021-01-05,21.8,17.8,24.0,0.1,52.0,5.5,1015.8
2021-01-06,24.4,18.2,28.0,0.2,17.0,4.6,1014.4
2021-01-07,24.0,15.7,28.2,0.0,35.0,7.8,1013.1
2021-01-08,21.4,18.0,24.8,0.0,38.0,7.0,1012.9
2021-01-09,23.4,19.4,28.5,0.1,25.0,5.2,1013.4
2021-01-10,21.8,17.0,28.3,0.0,12.0,8.8,1013.9
2021-01-11,21.7,15.8,25.0,0.0,20.0,7.8,1016.0
2021-01-12,19.3,13.2,23.3,0.0,20.0,5.9,1016.6
2021-01-13,18.3,9.4,22.0,0.0,35.0,7.8,1016.3
2021-01-14,17.2,7.1,22.0,0.0,43.0,7.5,1016.2
2021-01-15,19.4,7.2,24.1,0.0,55.0,5.9,1014.5
2021-01-16,20.6,7.9,25.4,0.0,51.0,8.1,1013.1
2021-01-17,20.8,9.4,27.9,0.0,81.0,6.7,1014.3
2021-01-18,22.6,13.8,26.0,0.0,60.0,5.7,1014.9
2021-01-19,24.3,17.3,27.0,0.0,202.0,11.2,1013.2
2021-01-20,20.2,14.2,25.0,0.0,13.0,6.2,1014.8
2021-01-21,16.5,8.8,27.4,0.0,2.0,4.3,1014.0
2021-01-22,19.6,9.5,25.0,0.0,45.0,5.0,1015.0
2021-01-23,22.3,9.3,28.8,0.0,176.0,7.8,1013.1
2021-01-24,20.9,13.4,28.6,0.0,258.0,7.0,1013.4
2021-01-25,18.5,12.9,23.0,0.0,10.0,11.2,1016.3
2021-01-26,15.4,11.9,23.5,0.0,26.0,9.9,1016.3
2021-01-27,14.6,8.9,23.5,0.0,15.0,7.9,1016.6
2021-01-28,17.5,10.3,24.1,0.1,19.0,8.5,1016.3
2021-01-29,16.4,10.0,20.0,0.0,11.0,10.8,1018.0
2021-01-30,17.6,6.3,22.0,0.0,34.0,6.1,1018.0
2021-01-31,19.3,7.6,23.4,0.0,54.0,8.3,1018.1
2021-02-01,19.6,8.7,24.0,0.0,40.0,7.2,1020.0
