time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,15.8,5.6,21.1,6.1,221.0,17.3,
2021-01-02,6.1,1.7,7.2,0.0,283.0,7.6,1019.6
2021-01-03,5.8,-1.0,13.3,0.0,338.0,4.0,1020.9
2021-01-04,8.6,1.7,18.9,0.0,206.0,9.0,1018.3
2021-01-05,9.1,1.1,16.7,0.0,356.0,4.7,1020.6
2021-01-06,6.8,0.6,14.4,0.0,94.0,12.2,1019.6
2021-01-07,9.5,3.9,10.6,10.7,268.0,16.9,1011.6
2021-01-08,4.3,3.3,5.0,0.0,322.0,16.9,1022.2
2021-01-09,4.1,1.7,7.2,0.0,351.0,15.8,1026.1
2021-01-10,3.0,0.6,5.0,6.9,21.0,10.8,1026.3
2021-01-11,1.8,0.6,2.2,9.1,354.0,12.2,1025.8
2021-01-12,3.1,-2.1,10.0,0.0,352.0,7.9,1027.7
2021-01-13,4.1,-1.6,12.8,1.8,210.0,7.2,1021.7
2021-01-14,7.1,0.0,18.3,0.0,192.0,14.0,1012.1
2021-01-15,8.9,1.1,12.2,0.0,271.0,12.6,1011.7
2021-01-16,6.1,-0.5,11.1,0.0,294.0,9.0,1015.7
2021-01-17,5.9,-1.0,16.7,0.0,257.0,9.7,1016.5
2021-01-18,7.4,-2.1,17.2,0.0,198.0,6.8,1020.6
2021-01-19,8.8,3.9,15.6,0.3,12.0,6.8,1025.6
2021-01-20,11.4,9.4,15.0,0.8,7.0,3.6,1026.4
2021-01-21,14.1,12.2,17.8,10.2,236.0,10.8,1016.1
2021-01-22,13.1,10.6,14.4,10.9,18.0,8.3,1015.5
2021-01-23,11.2,7.8,15.6,0.0,51.0,7.9,1020.1
2021-01-24,12.9,7.8,20.0,1.0,167.0,11.2,1016.8
2021-01-25,20.5,15.0,25.6,18.5,179.0,21.6,1008.4
2021-01-26,16.3,8.3,21.1,0.0,49.0,5.4,1012.4
2021-01-27,13.6,5.0,15.6,2.8,348.0,15.5,1020.3
2021-01-28,6.5,1.1,11.1,0.0,4.0,15.1,1033.2
2021-01-29,6.2,-1.0,16.1,0.0,90.0,7.2,1027.4
2021-01-30,10.7,5.6,17.8,0.0,165.0,19.4,1016.6
2021-01-31,16.1,6.7,19.4,3.3,282.0,19.1,1014.3
2021-02-01,6.3,0.0,6.7,0.0,336.0,20.2,1024.1
2021-02-02,3.5,-2.1,10.6,0.0,338.0,9.0,1023.9
2021-02-03,4.5,-3.2,16.7,0.0,26.0,3.6,1020.7
2021-02-04,10.0,3.9,19.4,8.1,178.0,19.4,1011.9
2021-02-05,9.7,1.7,11.1,0.0,10.0,9.4,1015.3
2021-02-06,5.7,3.9,8.3,4.6,85.0,9.4,1013.2
2021-02-07,7.1,3.3,8.9,0.3,41.0,11.9,1018.5
2021-02-08,7.4,0.0,17.8,0.0,119.0,9.7,1019.7
2021-02-09,15.1,7.2,22.8,0.0,11.0,4.0,1019.1
2021-02-10,14.3,6.7,24.4,1.0,80.0,7.9,1018.2
2021-02-11,9.6,1.1,17.8,3.3,347.0,14.4,1017.5
2021-02-12,1.7,0.6,2.2,0.8,352.0,17.6,1019.6
2021-02-13,-0.1,-2.1,0.6,0.3,346.0,19.8,1019.5
2021-02-14,-2.0,-4.9,-1.6,3.8,350.0,18.4,1020.1
2021-02-15,-5.0,-8.2,-2.1,13.5,325.0,17.6,1017.6
2021-02-16,-7.0,-9.9,-1.0,0.8,356.0,9.0,1023.4
2021-02-17,-3.3,-6.6,2.2,23.9,46.0,12.6,1020.1
2021-02-18,0.0,-2.1,1.1,0.0,343.0,16.9,1021.9
2021-02-19,-1.7,-5.5,2.8,0.0,347.0,12.6,1029.6
2021-02-20,0.6,-5.5,12.2,0.0,8.0,2.5,1029.5
2021-02-21,7.3,-2.7,20.0,0.0,156.0,15.8,1023.5
2021-02-22,14.3,1.7,17.8,1.5,308.0,10.4,1021.2
2021-02-23,9.7,-0.5,23.3,0.0,247.0,7.2,1019.8
2021-02-24,13.6,2.8,25.6,0.0,189.0,12.2,1017.9
2021-02-25,18.0,11.7,23.9,0.0,109.0,7.6,1019.8
2021-02-26,18.2,12.8,27.8,0.0,233.0,15.5,1015.4
2021-02-27,22.3,18.3,27.2,0.0,173.0,18.4,1016.3
2021-02-28,23.4,18.9,29.4,5.3,175.0,18.7,1014.7
2021-03-01,17.6,8.9,21.7,6.4,19.0,15.8,1019.5
2021-03-02,7.9,2.8,8.3,19.3,14.0,14.0,1022.4
2021-03-03,7.4,1.1,16.7,0.0,7.0,7.2,1021.3
2021-03-04,10.2,1.1,22.2,0.0,7.0,3.2,1020.3
2021-03-05,11.8,5.6,18.3,0.0,21.0,6.8,1017.9
2021-03-06,12.6,5.0,17.2,0.0,13.0,16.9,1022.9
2021-03-07,10.2,1.7,18.9,0.0,16.0,7.2,1029.2
2021-03-08,11.2,1.1,23.3,0.0,126.0,7.2,1031.7
2021-03-09,13.2,2.8,23.9,0.0,163.0,12.2,1029.1
2021-03-10,17.6,11.7,26.1,0.0,163.0,21.6,1024.7
2021-03-11,20.1,15.0,26.7,0.0,165.0,17.3,1024.2
2021-03-12,21.4,16.1,27.8,0.0,175.0,10.1,1025.1
2021-03-13,20.1,12.2,27.8,0.0,169.0,8.6,1022.6
2021-03-14,19.6,12.2,26.7,0.0,,15.5,
2021-03-15,21.7,15.6,26.7,18.3,175.0,14.4,1013.5
2021-03-16,22.3,18.9,28.9,16.8,205.0,10.4,1012.1
2021-03-17,22.3,17.2,28.9,30.2,176.0,21.2,1007.9
2021-03-18,14.8,10.0,17.8,0.0,278.0,22.7,1012.8
2021-03-19,10.5,8.9,12.2,0.0,328.0,14.4,1022.2
2021-03-20,11.2,6.7,17.8,0.0,30.0,8.6,1026.1
2021-03-21,12.7,4.4,21.1,0.0,74.0,6.5,1023.7
2021-03-22,14.3,6.1,23.3,0.0,101.0,11.5,1017.6
2021-03-23,17.0,13.3,19.4,20.6,160.0,18.4,1010.0
2021-03-24,17.8,13.9,25.0,2.5,152.0,10.8,1011.4
2021-03-25,21.6,17.8,27.8,13.2,187.0,16.6,1006.9
2021-03-26,20.4,14.4,26.7,0.0,73.0,10.8,1015.8
2021-03-27,23.8,19.4,31.1,0.0,175.0,20.5,1014.5
2021-03-28,20.6,10.0,23.9,7.4,334.0,20.9,1018.9
2021-03-29,13.4,5.6,22.2,0.0,96.0,9.4,1022.3
2021-03-30,16.3,7.8,26.7,11.2,163.0,15.1,1017.0
2021-03-31,19.5,7.2,22.8,14.5,309.0,19.8,1020.0
2021-04-01,10.8,5.0,16.1,0.0,355.0,19.8,1030.0
2021-04-02,9.2,2.8,17.2,0.0,24.0,9.7,1030.7
2021-04-03,11.1,2.2,21.7,0.0,20.0,3.6,1028.6
2021-04-04,15.4,8.3,25.0,0.0,340.0,2.2,1025.1
2021-04-05,17.1,9.4,26.7,0.0,185.0,9.0,1020.1
2021-04-06,19.3,12.2,27.8,0.0,173.0,13.3,1017.1
2021-04-07,21.2,15.6,27.8,2.0,167.0,19.8,1013.2
2021-04-08,21.9,15.0,28.3,0.0,233.0,10.4,1009.7
2021-04-09,21.7,15.6,31.1,64.8,164.0,14.8,1008.7
2021-04-10,20.2,15.6,26.1,18.0,255.0,13.7,1006.4
2021-04-11,18.1,8.9,25.6,0.0,342.0,5.8,1007.8
