time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,14.8,8.7,22.0,,97.0,7.2,1016.5
2021-01-02,16.3,12.4,20.9,0.0,104.0,9.7,1014.6
2021-01-03,17.0,13.5,22.0,0.3,112.0,7.9,1012.9
2021-01-04,18.6,14.3,22.1,7.1,93.0,7.5,1014.6
2021-01-05,18.9,15.1,23.0,3.0,97.0,7.1,1014.1
2021-01-06,16.2,14.0,23.0,0.0,358.0,4.4,1015.0
2021-01-07,15.9,11.2,20.8,,,2.1,1014.9
2021-01-08,14.7,13.0,21.1,,82.0,5.1,1013.8
2021-01-09,16.9,12.8,19.0,,33.0,2.3,1015.1
2021-01-10,16.2,13.0,22.0,,349.0,2.6,1015.4
2021-01-11,14.7,7.4,23.0,,,2.3,1016.7
2021-01-12,15.1,7.0,22.0,,,2.1,1017.2
2021-01-13,15.9,6.6,24.0,,,2.5,1015.9
2021-01-14,16.5,8.3,25.2,,24.0,1.5,1015.4
2021-01-15,17.4,8.2,24.9,,,3.0,1013.9
2021-01-16,17.5,8.6,26.0,,,3.2,1012.7
2021-01-17,15.8,11.6,26.6,,99.0,15.4,1013.2
2021-01-18,15.6,10.4,22.8,,94.0,15.3,1014.6
2021-01-19,17.1,10.4,24.0,,,3.7,1014.1
2021-01-20,18.3,9.8,26.4,,,4.6,1014.4
2021-01-21,18.7,11.0,26.5,,337.0,6.9,1014.1
2021-01-22,18.2,9.4,26.0,,120.0,7.3,1014.5
2021-01-23,18.2,11.0,26.6,,73.0,13.1,1012.5
2021-01-24,15.5,9.7,25.6,,5.0,7.5,1016.2
2021-01-25,13.6,7.7,22.2,,50.0,6.5,1018.5
2021-01-26,13.1,5.6,21.4,,,4.6,1018.6
2021-01-27,14.2,6.6,21.4,,,4.2,1018.1
2021-01-28,13.9,6.0,22.9,,,4.3,1018.4
2021-01-29,14.3,6.8,22.0,,358.0,4.5,1019.2
2021-01-30,15.1,6.6,23.0,,,3.8,1018.0
2021-01-31,16.2,7.5,24.0,,,4.6,1018.1
2021-02-01,17.2,8.9,25.6,,,5.1,1019.6
2021-02-02,19.1,10.0,27.0,,121.0,5.1,1017.8
2021-02-03,21.0,12.0,28.9,,341.0,5.3,1015.7
2021-02-04,19.1,16.0,29.0,,44.0,9.2,1015.5
2021-02-05,16.9,10.0,27.2,,82.0,6.3,1017.8
2021-02-06,16.4,11.0,23.3,,28.0,6.3,1019.2
2021-02-07,17.2,10.0,24.0,,,5.1,1019.1
2021-02-08,18.9,9.8,26.2,,,3.7,1018.7
2021-02-09,20.7,11.9,27.6,,,5.1,1015.4
2021-02-10,21.3,13.9,30.0,,351.0,5.6,1013.8
2021-02-11,20.6,13.4,28.0,,29.0,5.7,1014.6
2021-02-12,20.5,15.0,27.0,,90.0,7.1,1015.3
2021-02-13,20.9,13.0,26.0,,106.0,5.9,1015.4
2021-02-14,21.7,14.2,29.0,,110.0,6.2,1014.6
