time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.6,25.0,31.0,,109.0,14.2,1013.6
2021-01-02,26.9,22.0,31.0,0.6,110.0,12.7,1012.3
2021-01-03,27.8,24.5,31.0,3.3,102.0,14.2,1011.5
2021-01-04,27.5,23.9,31.0,2.4,93.0,14.8,1011.8
2021-01-05,27.2,23.0,31.5,0.1,123.0,15.1,1012.9
2021-01-06,27.4,24.0,31.0,0.3,100.0,14.8,1012.6
2021-01-07,27.7,24.0,31.2,0.3,89.0,15.2,1012.9
2021-01-08,27.6,25.0,32.0,0.3,81.0,12.8,1012.5
2021-01-09,26.9,23.0,31.0,1.3,64.0,11.2,1011.8
2021-01-10,26.7,23.0,30.0,1.1,71.0,10.7,1012.3
2021-01-11,26.8,25.0,30.0,1.0,62.0,9.8,1012.2
2021-01-12,27.0,23.9,30.0,1.0,65.0,10.1,1012.4
2021-01-13,26.6,24.0,30.0,1.0,47.0,8.2,1012.3
2021-01-14,27.1,23.0,31.0,0.0,66.0,10.7,1012.1
2021-01-15,27.1,23.7,31.0,1.9,98.0,13.2,1011.4
2021-01-16,26.9,23.0,31.0,0.3,117.0,15.1,1010.8
2021-01-17,26.7,23.0,31.0,2.0,131.0,16.1,1010.6
2021-01-18,26.6,22.8,30.5,0.0,117.0,12.7,1011.3
2021-01-19,26.7,23.0,30.1,5.1,118.0,12.5,1012.1
2021-01-20,26.8,23.9,31.0,1.0,107.0,13.3,1012.0
2021-01-21,27.2,23.0,32.0,0.0,123.0,14.5,1012.6
2021-01-22,27.0,23.0,32.0,1.0,137.0,15.7,1013.7
2021-01-23,26.6,23.1,30.0,1.0,142.0,17.7,1012.9
2021-01-24,26.4,23.0,30.0,1.0,137.0,13.2,1011.9
2021-01-25,27.4,23.9,31.0,2.0,120.0,16.4,1011.2
2021-01-26,27.1,23.0,31.0,0.8,117.0,13.2,1011.7
2021-01-27,26.7,22.3,31.1,1.0,123.0,15.2,1011.6
2021-01-28,27.7,24.0,31.0,0.0,98.0,14.2,1011.8
2021-01-29,27.8,24.3,31.2,1.3,94.0,13.5,1012.4
2021-01-30,27.7,24.7,32.0,1.0,111.0,15.3,1013.1
2021-01-31,27.1,23.0,31.0,0.7,132.0,14.3,1012.8
2021-02-01,27.9,25.3,31.0,1.7,93.0,13.6,1012.2
2021-02-02,27.9,25.0,32.0,0.8,92.0,14.1,1012.8
2021-02-03,27.8,24.7,31.0,1.7,106.0,15.5,1013.4
2021-02-04,27.1,22.9,32.0,0.0,95.0,11.1,1012.9
2021-02-05,27.4,22.0,31.2,0.0,84.0,11.1,1012.5
2021-02-06,27.4,23.0,32.0,0.2,75.0,9.2,1012.2
2021-02-07,27.5,23.0,32.0,0.0,92.0,11.3,1011.8
2021-02-08,27.9,24.0,32.0,1.0,88.0,12.0,1011.1
2021-02-09,28.1,23.0,32.0,0.7,111.0,12.4,1011.7
2021-02-10,25.9,24.0,32.0,2.3,109.0,14.5,1011.4
2021-02-11,27.6,25.0,32.0,3.5,116.0,19.0,1011.7
2021-02-12,27.2,24.0,32.0,3.4,122.0,15.4,1011.7
2021-02-13,27.3,22.1,30.0,102.1,135.0,12.9,1011.4
2021-02-14,27.0,22.5,31.2,0.3,111.0,13.3,1010.8
2021-02-15,27.3,24.9,30.2,0.0,92.0,11.5,1010.1
2021-02-16,27.6,25.0,31.0,3.6,46.0,11.6,1010.8
2021-02-17,28.0,24.0,31.2,0.9,59.0,11.6,1011.3
2021-02-18,27.3,23.0,31.0,3.0,50.0,8.4,1012.2
2021-02-19,25.0,22.7,32.0,0.0,63.0,10.6,1012.9
2021-02-20,27.9,24.0,31.5,2.5,96.0,13.0,1013.5
2021-02-21,27.7,24.6,31.0,1.5,102.0,14.5,1012.6
2021-02-22,27.4,23.7,32.0,0.6,130.0,13.1,1012.0
2021-02-23,27.4,23.0,32.0,2.2,120.0,11.8,1012.9
2021-02-24,28.0,22.3,31.7,10.9,108.0,12.6,1012.9
2021-02-25,26.8,25.0,29.0,0.0,80.0,8.1,1011.1
2021-02-26,23.8,21.2,25.0,61.0,160.0,7.6,1010.7
2021-02-27,24.4,20.2,28.0,87.9,152.0,8.6,1011.0
2021-02-28,25.0,20.4,29.0,36.1,151.0,10.3,1009.7
2021-03-01,24.8,23.0,28.1,0.0,106.0,10.2,1008.5
2021-03-02,26.2,22.3,30.0,14.0,121.0,12.0,1011.4
2021-03-03,26.6,23.0,30.1,1.0,138.0,14.2,1013.1
2021-03-04,26.1,23.2,30.2,0.0,151.0,16.0,1012.6
2021-03-05,26.7,22.5,31.0,6.1,142.0,14.0,1011.8
2021-03-06,26.9,24.0,30.6,0.0,119.0,11.9,1012.2
2021-03-07,26.8,22.3,31.0,0.0,111.0,10.6,1012.7
2021-03-08,27.3,22.5,31.0,0.8,107.0,9.8,1011.9
2021-03-09,26.8,22.7,31.0,2.1,121.0,10.5,1010.9
2021-03-10,26.9,23.0,31.0,1.7,117.0,11.3,1011.2
2021-03-11,27.5,24.0,31.0,2.1,123.0,13.6,1011.9
2021-03-12,27.6,23.7,31.2,0.6,113.0,12.8,1012.3
2021-03-13,27.4,23.0,31.0,1.1,92.0,12.7,1012.6
2021-03-14,27.3,23.0,31.0,0.4,120.0,12.9,1013.0
2021-03-15,26.9,22.7,31.0,1.7,140.0,14.0,1012.5
2021-03-16,26.7,23.5,30.2,0.5,131.0,12.8,1011.6
2021-03-17,26.7,21.7,31.2,0.0,127.0,9.9,1011.2
2021-03-18,25.3,20.8,29.0,24.9,112.0,8.3,1011.2
2021-03-19,26.4,20.6,30.0,6.1,116.0,12.3,1011.7
2021-03-20,26.8,22.1,31.0,2.0,134.0,13.1,1012.7
2021-03-21,26.6,22.3,31.0,0.0,136.0,12.6,1012.5
2021-03-22,26.4,21.2,31.0,10.9,109.0,8.7,1012.0
2021-03-23,26.9,22.3,31.0,0.0,118.0,11.2,1012.5
2021-03-24,26.1,22.1,30.0,4.1,139.0,12.9,1012.7
2021-03-25,26.0,20.8,31.0,18.0,150.0,13.5,1012.9
2021-03-26,26.2,22.1,31.0,8.9,142.0,14.0,1012.5
2021-03-27,26.5,21.2,30.0,11.9,112.0,9.8,1012.2
2021-03-28,26.1,21.4,31.0,32.0,124.0,6.7,1012.1
2021-03-29,26.5,21.8,30.0,7.1,122.0,7.5,1011.9
2021-03-30,27.2,23.1,30.1,7.1,92.0,9.5,1011.6
2021-03-31,27.3,23.0,31.1,0.0,85.0,8.8,1010.2
2021-04-01,27.3,23.7,31.0,1.1,77.0,10.1,1010.2
2021-04-02,27.2,23.0,32.0,0.3,114.0,9.3,1012.2
2021-04-03,26.0,22.9,29.0,4.1,150.0,12.4,1012.7
2021-04-04,26.3,21.0,30.1,13.0,98.0,10.2,1012.2
2021-04-05,27.1,23.0,30.2,4.1,107.0,11.5,1012.3
2021-04-06,26.6,22.3,31.0,0.0,150.0,14.3,1012.3
2021-04-07,26.8,22.1,31.0,1.0,154.0,15.0,1012.7
2021-04-08,27.0,23.7,31.0,2.0,142.0,15.1,1013.0
2021-04-09,26.4,22.0,30.7,0.0,158.0,16.3,1012.9
2021-04-10,24.6,20.8,29.0,10.9,173.0,10.2,1011.3
2021-04-11,24.9,21.2,28.5,41.9,178.0,9.5,1011.5
2021-04-12,25.6,21.0,29.5,14.0,156.0,12.1,1012.6
2021-04-13,26.1,22.1,30.0,0.5,141.0,11.1,1013.3
2021-04-14,26.4,22.1,30.1,10.9,132.0,10.1,1012.3
2021-04-15,24.9,22.5,27.0,4.1,166.0,11.3,1012.3
2021-04-16,25.2,21.6,29.0,6.1,146.0,9.7,1011.9
2021-04-17,25.2,22.1,29.0,3.0,146.0,8.8,1012.0
2021-04-18,24.2,20.2,28.0,69.1,184.0,7.5,1012.1
2021-04-19,25.6,20.4,30.0,26.9,98.0,7.8,1012.4
2021-04-20,25.8,22.0,29.0,0.0,109.0,8.3,1011.9
2021-04-21,27.0,21.8,31.0,0.3,52.0,6.9,1012.4
2021-04-22,27.0,23.1,30.5,1.5,82.0,9.2,1012.5
2021-04-23,26.7,22.1,31.0,2.0,143.0,10.1,1012.3
2021-04-24,26.2,22.1,30.0,6.1,131.0,8.6,1012.1
2021-04-25,26.1,21.4,30.0,2.0,142.0,10.8,1011.8
2021-04-26,26.3,21.6,31.0,0.0,135.0,10.5,1011.6
2021-04-27,26.3,21.6,31.0,0.5,143.0,10.2,1011.2
2021-04-28,25.7,21.6,29.0,13.0,138.0,8.9,1011.3
2021-04-29,25.8,21.8,30.0,11.9,143.0,9.2,1012.4
2021-04-30,24.9,21.2,29.0,19.1,158.0,13.5,1013.1
2021-05-01,25.9,20.8,31.0,1.0,157.0,12.6,1012.6
2021-05-02,25.9,20.2,30.0,0.0,161.0,11.1,1012.7
2021-05-03,25.6,21.4,29.0,1.2,156.0,12.1,1012.5
2021-05-04,24.2,20.8,27.0,15.0,187.0,6.6,1013.1
2021-05-05,24.7,22.0,30.0,0.0,160.0,8.8,1013.7
2021-05-06,25.7,21.0,30.0,2.0,153.0,11.4,1013.6
2021-05-07,25.9,20.6,30.0,0.0,148.0,10.2,1014.6
2021-05-08,25.8,21.4,29.0,0.0,154.0,11.4,1015.0
2021-05-09,24.8,21.2,29.0,11.9,161.0,11.0,1014.5
2021-05-10,25.2,20.8,29.2,13.0,164.0,13.4,1013.4
2021-05-11,25.6,21.4,30.0,2.0,159.0,15.5,1012.9
2021-05-12,25.4,21.0,29.7,1.0,149.0,14.6,1013.0
2021-05-13,23.5,21.2,24.2,103.9,187.0,8.6,1013.1
2021-05-14,23.8,20.0,26.0,189.0,158.0,8.4,1013.3
2021-05-15,24.7,21.0,28.5,11.9,158.0,12.5,1013.6
2021-05-16,25.2,20.2,30.0,0.0,160.0,13.8,1014.0
2021-05-17,25.7,20.6,30.0,1.2,153.0,14.5,1013.8
2021-05-18,24.6,20.2,28.0,5.1,151.0,10.8,1014.2
2021-05-19,25.1,19.8,29.0,2.0,142.0,9.1,1014.2
2021-05-20,25.6,20.2,29.5,0.0,137.0,9.6,1013.8
2021-05-21,25.8,21.0,29.5,0.0,138.0,10.9,1013.9
2021-05-22,25.5,22.0,30.0,0.0,150.0,11.4,1014.1
2021-05-23,25.2,20.0,30.0,0.5,154.0,13.4,1014.0
2021-05-24,26.1,23.0,30.2,1.0,138.0,12.4,1013.9
2021-05-25,25.4,21.0,30.0,0.0,150.0,11.7,1015.0
2021-05-26,26.2,22.6,30.0,1.7,150.0,17.5,1014.8
2021-05-27,25.2,21.6,29.0,3.0,144.0,16.2,1013.2
2021-05-28,24.6,20.8,29.0,2.0,156.0,12.6,1013.0
2021-05-29,25.2,21.4,29.0,2.0,161.0,12.4,1013.5
2021-05-30,25.4,20.2,29.0,0.0,157.0,11.9,1014.2
2021-05-31,24.9,21.0,28.0,7.9,130.0,8.4,1014.0
2021-06-01,25.1,21.0,29.0,7.9,149.0,9.8,1013.2
2021-06-02,24.7,20.0,29.0,0.0,159.0,12.2,1013.6
2021-06-03,25.0,21.0,29.5,0.1,158.0,13.2,1015.0
2021-06-04,25.3,22.0,29.0,0.0,150.0,14.3,1015.0
2021-06-05,25.2,20.2,29.2,0.0,150.0,12.4,1014.5
2021-06-06,23.9,22.0,27.0,3.5,154.0,10.8,1012.9
2021-06-07,24.9,19.8,29.0,9.9,160.0,14.6,1012.5
2021-06-08,24.9,20.8,29.0,0.0,154.0,14.4,1012.8
2021-06-09,24.3,20.8,28.0,7.1,139.0,15.6,1013.3
2021-06-10,24.8,19.8,29.0,1.0,152.0,13.2,1013.4
2021-06-11,24.8,19.8,30.0,1.0,161.0,13.2,1013.2
2021-06-12,25.1,19.6,30.0,0.0,158.0,12.8,1013.7
2021-06-13,24.9,19.0,30.0,0.0,156.0,11.2,1014.7
2021-06-14,24.8,19.6,30.0,2.0,169.0,14.0,1015.4
2021-06-15,25.4,21.0,29.0,0.3,150.0,12.6,1015.0
2021-06-16,25.2,20.2,29.0,0.0,151.0,13.8,1014.5
2021-06-17,25.7,21.4,30.0,1.5,153.0,13.5,1015.4
2021-06-18,23.8,19.8,27.0,20.1,181.0,15.5,1016.7
2021-06-19,24.2,19.8,28.5,0.3,180.0,14.7,1017.4
2021-06-20,24.3,19.4,29.0,0.3,171.0,7.9,1016.4
2021-06-21,25.2,19.6,29.5,0.0,150.0,9.6,1015.9
2021-06-22,25.2,20.4,29.0,4.1,142.0,10.2,1015.6
2021-06-23,24.8,19.8,29.0,0.0,148.0,13.6,1015.1
2021-06-24,23.7,19.8,27.0,0.5,178.0,10.7,1015.1
2021-06-25,24.9,19.8,29.0,3.0,168.0,17.3,1014.9
2021-06-26,24.8,19.8,30.0,0.0,165.0,16.8,1014.1
2021-06-27,23.4,20.7,27.7,1.1,160.0,17.7,1014.1
2021-06-28,23.7,19.6,28.0,2.0,156.0,16.2,1015.4
2021-06-29,23.8,18.0,28.0,0.0,156.0,14.4,1015.6
2021-06-30,23.9,20.2,27.0,0.5,151.0,10.1,1015.9
2021-07-01,25.3,21.0,29.0,15.0,130.0,12.6,1016.6
2021-07-02,25.0,20.0,29.0,2.0,152.0,15.0,1017.4
2021-07-03,23.5,19.6,27.0,16.0,171.0,10.7,1016.7
2021-07-04,23.9,19.0,28.2,2.0,155.0,11.3,1016.7
2021-07-05,24.1,19.6,28.0,0.0,154.0,14.5,1017.2
2021-07-06,25.0,20.6,29.0,1.1,152.0,14.3,1016.0
2021-07-07,24.4,19.0,29.0,0.0,161.0,13.9,1015.1
2021-07-08,24.2,21.0,27.0,4.1,159.0,15.7,1015.3
2021-07-09,25.1,20.6,28.6,0.8,148.0,13.3,1015.5
2021-07-10,24.8,19.8,29.0,0.5,144.0,13.5,1015.4
2021-07-11,24.9,22.0,29.0,0.0,152.0,14.7,1015.6
2021-07-12,24.4,20.2,28.2,10.9,141.0,16.2,1015.9
2021-07-13,24.4,19.8,29.0,3.0,156.0,14.6,1016.4
2021-07-14,24.9,19.8,29.0,7.9,150.0,17.1,1015.4
2021-07-15,24.9,20.6,28.2,4.1,146.0,14.4,1015.1
2021-07-16,24.4,20.2,28.0,2.0,159.0,11.9,1015.1
2021-07-17,23.6,20.2,25.0,4.1,146.0,11.5,1016.1
2021-07-18,24.1,19.8,28.5,13.0,152.0,13.2,1016.0
2021-07-19,23.9,20.0,27.0,0.5,146.0,11.2,1015.3
2021-07-20,24.9,21.0,28.0,0.0,121.0,12.3,1016.0
2021-07-21,22.8,19.2,26.2,7.9,155.0,12.2,1018.2
2021-07-22,23.6,20.2,27.0,5.1,146.0,15.8,1019.6
2021-07-23,23.9,19.0,27.2,7.9,156.0,18.1,1017.9
2021-07-24,24.0,19.0,28.0,2.0,159.0,16.0,1016.5
2021-07-25,23.4,18.6,27.5,7.1,152.0,11.6,1015.7
2021-07-26,24.9,19.0,29.0,9.9,134.0,13.6,1015.5
2021-07-27,24.7,19.2,29.0,0.5,147.0,13.1,1015.3
2021-07-28,25.3,21.0,29.2,0.0,143.0,12.7,1014.8
2021-07-29,25.1,20.0,29.1,0.3,147.0,11.2,1015.3
2021-07-30,24.7,19.4,29.1,0.9,150.0,14.7,1016.6
2021-07-31,24.7,19.4,30.0,14.0,154.0,17.9,1018.1
2021-08-01,24.7,20.2,28.0,9.9,156.0,17.5,1018.8
2021-08-02,23.3,19.4,26.0,2.0,169.0,16.4,1017.4
2021-08-03,23.8,21.7,28.0,20.1,163.0,13.8,1016.9
2021-08-04,23.1,19.2,25.0,2.0,177.0,15.5,1018.0
2021-08-05,23.2,18.6,28.0,2.0,164.0,18.7,1018.9
2021-08-06,24.7,19.6,29.0,2.0,161.0,17.8,1018.7
2021-08-07,24.2,19.8,28.6,1.0,149.0,19.1,1017.8
2021-08-08,24.4,18.8,29.1,9.9,160.0,16.8,1017.1
2021-08-09,24.7,20.0,28.1,1.0,159.0,12.4,1017.3
2021-08-10,23.2,18.6,25.0,35.1,165.0,15.6,1016.9
2021-08-11,23.9,22.0,27.0,0.0,140.0,14.3,1015.7
2021-08-12,24.3,20.0,28.0,25.9,147.0,13.1,1015.7
2021-08-13,23.9,19.0,28.0,7.9,157.0,14.5,1016.6
2021-08-14,24.2,18.8,30.0,0.0,161.0,15.8,1015.8
2021-08-15,24.3,19.2,28.0,0.3,154.0,16.2,1014.7
2021-08-16,23.8,19.7,29.0,0.0,169.0,16.2,1015.1
2021-08-17,23.9,18.8,29.2,2.0,161.0,18.0,1016.9
2021-08-18,24.7,18.8,29.0,9.9,154.0,16.8,1016.9
2021-08-19,23.6,19.0,28.0,0.5,149.0,15.6,1014.9
2021-08-20,23.9,19.6,27.0,11.9,147.0,18.5,1014.6
2021-08-21,24.1,19.0,29.0,1.0,151.0,14.1,1015.4
2021-08-22,24.6,19.8,29.0,0.0,150.0,15.7,1014.2
2021-08-23,25.6,20.2,29.0,8.9,124.0,20.3,1012.9
2021-08-24,25.4,19.8,28.0,4.1,130.0,15.6,1012.9
2021-08-25,24.9,21.2,28.0,3.0,139.0,15.3,1013.0
2021-08-26,24.7,21.0,28.0,1.0,131.0,15.6,1014.1
2021-08-27,25.6,22.3,29.0,0.0,124.0,14.1,1015.1
2021-08-28,25.4,21.8,29.7,0.0,137.0,15.5,1016.1
2021-08-29,25.0,19.2,29.0,61.0,135.0,15.8,1015.4
2021-08-30,25.0,21.8,28.7,1.0,133.0,14.7,1014.2
2021-08-31,24.6,20.8,29.0,0.5,143.0,14.1,1014.6
2021-09-01,24.4,20.4,28.0,2.0,144.0,14.9,1015.0
2021-09-02,24.6,18.2,29.0,0.0,157.0,16.5,1015.5
2021-09-03,25.1,19.8,29.0,0.5,135.0,14.9,1015.5
2021-09-04,25.9,22.9,29.1,0.0,108.0,13.0,1015.3
2021-09-05,25.5,20.8,28.5,2.0,128.0,12.2,1015.1
2021-09-06,25.2,21.4,29.0,0.0,141.0,13.0,1014.6
2021-09-07,25.3,19.8,30.0,2.0,142.0,13.1,1014.0
2021-09-08,25.6,21.6,29.2,0.5,137.0,15.0,1014.8
2021-09-09,25.0,19.6,29.0,0.3,144.0,14.5,1015.1
2021-09-10,25.0,19.4,29.1,0.0,145.0,14.3,1015.7
2021-09-11,25.5,21.7,29.0,0.4,136.0,15.4,1016.5
2021-09-12,25.7,22.1,30.0,0.5,139.0,16.2,1016.5
2021-09-13,25.7,21.2,29.2,0.5,149.0,14.6,1014.8
2021-09-14,25.9,20.2,30.0,6.1,151.0,15.8,1014.4
2021-09-15,25.8,21.8,29.0,0.3,143.0,16.1,1015.8
2021-09-16,26.3,21.8,30.0,0.5,148.0,17.1,1016.9
2021-09-17,25.8,22.5,29.7,0.0,141.0,17.6,1016.5
2021-09-18,26.0,22.0,30.0,0.0,123.0,18.5,1014.6
2021-09-19,25.2,20.2,29.5,0.0,135.0,13.7,1014.3
2021-09-20,25.3,22.0,30.0,0.7,120.0,12.3,1014.3
2021-09-21,25.4,19.6,31.0,0.0,133.0,11.5,1014.4
2021-09-22,26.0,20.4,30.0,0.7,59.0,8.8,1012.8
2021-09-23,26.3,22.0,31.0,0.9,116.0,12.1,1014.3
2021-09-24,25.2,22.9,28.0,0.5,129.0,13.0,1015.8
2021-09-25,25.6,21.8,29.5,1.0,138.0,15.7,1016.4
2021-09-26,25.6,22.7,29.0,0.0,133.0,17.9,1016.2
2021-09-27,25.7,23.0,30.0,1.0,143.0,20.3,1015.2
2021-09-28,25.7,21.2,30.0,2.0,154.0,20.0,1014.0
2021-09-29,25.7,20.0,30.0,6.1,148.0,14.9,1012.9
2021-09-30,26.1,21.8,30.0,0.3,134.0,12.9,1012.7
2021-10-01,26.3,23.0,30.0,0.0,125.0,12.5,1013.1
2021-10-02,26.8,23.3,30.0,2.8,111.0,13.5,1013.1
2021-10-03,26.4,23.0,30.1,0.8,115.0,15.8,1013.4
2021-10-04,26.4,22.3,30.1,1.0,121.0,15.8,1013.4
2021-10-05,26.2,22.0,30.0,0.0,131.0,14.3,1012.7
2021-10-06,26.5,23.0,30.1,1.8,127.0,16.5,1012.7
2021-10-07,26.5,22.9,31.0,0.5,123.0,14.8,1011.3
2021-10-08,26.8,22.9,30.0,1.0,115.0,13.1,1011.9
2021-10-09,26.5,23.0,31.0,0.0,137.0,13.9,1013.1
2021-10-10,25.9,20.6,30.0,4.1,125.0,11.4,1013.5
2021-10-11,26.7,20.4,31.0,0.0,93.0,10.2,1013.9
2021-10-12,26.6,22.5,30.5,2.3,94.0,11.8,1013.6
2021-10-13,26.2,21.0,31.0,0.1,101.0,11.5,1012.8
2021-10-14,25.4,21.6,29.0,4.1,126.0,12.3,1012.8
2021-10-15,26.6,21.8,30.0,8.9,118.0,17.1,1013.7
2021-10-16,26.5,23.1,31.0,0.0,125.0,15.7,1013.8
