time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,0.7,0.2,2.0,,112.0,6.3,1006.9
2021-01-02,0.3,-0.3,0.9,,13.0,4.6,1014.4
2021-01-03,-0.7,-1.7,0.8,,35.0,11.9,1026.6
2021-01-04,-1.3,-3.3,-0.8,,38.0,14.7,1028.2
2021-01-05,-0.4,-1.1,0.2,,33.0,16.7,1027.3
2021-01-06,-2.1,-2.7,-0.9,,30.0,20.9,1020.2
2021-01-07,-1.3,-2.1,-1.0,,30.0,15.3,1012.9
2021-01-08,-0.4,-1.7,0.2,,25.0,12.5,1014.1
2021-01-09,-1.8,-3.0,0.0,,5.0,8.3,1020.8
2021-01-10,-1.7,-4.7,0.3,,198.0,15.2,1014.8
2021-01-11,0.5,-3.8,2.3,,187.0,20.6,1002.0
2021-01-12,-2.9,-5.8,1.8,,220.0,12.9,992.9
2021-01-13,-2.7,-6.1,-1.4,,65.0,15.8,1002.4
2021-01-14,-3.7,-5.3,-0.8,,31.0,19.8,1020.4
2021-01-15,-10.8,-15.0,-5.1,,327.0,10.8,1025.8
2021-01-16,-8.6,-14.5,-6.5,,316.0,5.7,1022.1
2021-01-17,-4.1,-7.0,-2.8,,191.0,5.1,1019.8
2021-01-18,-3.2,-4.3,-2.4,,183.0,9.9,1014.1
2021-01-19,-0.3,-2.6,0.7,,146.0,12.3,1003.8
2021-01-20,1.2,0.0,2.7,,150.0,14.1,994.2
2021-01-21,3.2,2.4,4.6,,180.0,23.6,986.8
2021-01-22,1.8,0.3,4.3,,183.0,25.7,980.7
2021-01-23,1.7,0.4,3.1,,198.0,17.4,992.4
2021-01-24,-1.2,-3.2,0.7,,152.0,5.3,996.4
2021-01-25,-1.9,-3.2,-0.9,,326.0,6.8,999.0
2021-01-26,-3.9,-5.9,-1.7,,294.0,8.9,1007.0
2021-01-27,-4.9,-9.4,-2.4,,211.0,5.1,1007.3
2021-01-28,-4.6,-5.7,-2.0,,352.0,19.2,1002.1
2021-01-29,-5.1,-7.0,-3.3,,359.0,11.7,1001.7
2021-01-30,-8.8,-12.2,-4.1,,272.0,5.7,1000.5
2021-01-31,-9.0,-15.7,-1.1,,236.0,7.2,998.5
2021-02-01,-6.1,-16.5,-1.2,,189.0,8.7,1000.7
2021-02-02,-4.9,-11.3,-0.8,,27.0,7.7,1002.3
2021-02-03,-6.2,-8.4,-3.1,,41.0,13.2,1008.4
2021-02-04,-9.6,-11.4,-7.2,,11.0,14.0,1019.0
