time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.6,,,,,,
2021-01-02,27.7,20.4,31.0,10.4,23.0,3.2,1014.3
2021-01-03,24.7,20.9,30.4,14.2,66.0,3.3,1009.8
2021-01-04,27.1,21.3,29.0,21.5,253.0,2.9,1010.9
2021-01-05,24.7,21.3,25.2,21.0,191.0,2.4,1011.2
2021-01-06,26.8,20.9,30.0,9.7,206.0,3.0,1013.3
2021-01-07,27.6,20.7,31.0,3.6,154.0,4.0,1015.7
2021-01-08,24.7,20.9,28.6,0.2,326.0,2.3,1015.3
2021-01-09,28.7,21.0,33.0,0.0,264.0,2.9,1013.6
2021-01-10,24.9,20.8,30.1,7.9,17.0,3.1,1011.4
2021-01-11,30.1,21.2,33.0,17.3,118.0,4.0,1013.5
2021-01-12,30.1,21.4,33.0,8.5,240.0,4.0,1013.0
2021-01-13,28.3,21.5,31.1,11.4,82.0,3.4,1012.5
2021-01-14,28.8,21.4,33.0,18.9,326.0,3.4,1012.0
2021-01-15,27.4,21.6,32.0,13.5,282.0,3.8,1011.5
2021-01-16,28.8,21.7,31.0,12.4,182.0,4.6,1010.7
2021-01-17,25.2,21.9,31.2,8.2,221.0,3.4,1007.5
2021-01-18,31.0,21.6,35.0,10.3,227.0,4.4,1011.1
2021-01-19,28.6,21.5,32.0,7.8,223.0,4.1,1013.2
2021-01-20,27.2,21.6,31.0,6.2,354.0,2.4,1014.0
2021-01-21,28.1,21.2,30.0,11.1,250.0,3.1,1013.6
2021-01-22,28.8,21.5,33.0,28.3,264.0,3.3,1014.3
2021-01-23,23.2,21.3,25.1,25.2,18.0,2.0,1015.1
2021-01-24,23.3,20.7,27.3,4.5,99.0,2.5,1011.0
2021-01-25,27.3,20.9,30.0,10.6,228.0,3.1,1012.8
2021-01-26,27.2,21.7,31.0,18.2,315.0,3.1,1012.5
2021-01-27,28.9,21.2,32.0,5.2,267.0,2.7,1011.7
2021-01-28,29.1,21.8,34.0,1.4,296.0,3.7,1011.0
2021-01-29,30.9,21.3,34.2,6.7,262.0,5.2,1011.3
2021-01-30,29.4,21.6,33.0,10.5,254.0,4.2,1012.8
2021-01-31,25.4,21.3,30.6,2.4,346.0,3.2,1010.9
2021-02-01,27.9,22.0,33.0,12.8,39.0,2.6,1012.5
2021-02-02,28.4,21.5,34.0,3.6,325.0,4.0,1012.3
2021-02-03,29.7,21.8,34.0,14.6,311.0,2.9,1013.1
2021-02-04,29.1,21.8,31.8,19.1,290.0,3.9,1014.7
2021-02-05,27.6,21.5,32.0,25.4,134.0,3.7,1014.1
2021-02-06,26.2,21.9,30.0,20.8,262.0,2.3,1014.6
2021-02-07,24.6,21.2,29.8,1.4,240.0,3.0,1010.8
2021-02-08,30.0,20.9,34.0,6.9,264.0,3.9,1012.4
2021-02-09,28.9,21.3,32.0,14.3,204.0,3.6,1011.2
2021-02-10,25.1,21.3,33.0,13.6,186.0,3.0,1010.5
2021-02-11,24.4,21.2,31.0,18.9,179.0,4.3,1010.6
2021-02-12,23.8,21.2,30.0,11.3,267.0,2.9,1012.3
2021-02-13,27.9,21.4,32.0,1.6,246.0,3.0,1012.4
2021-02-14,24.7,21.4,29.3,5.1,222.0,3.4,1009.7
2021-02-15,28.8,21.4,31.0,12.1,201.0,4.6,1013.0
2021-02-16,29.1,21.0,32.0,7.9,210.0,4.3,1012.8
2021-02-17,29.8,21.2,34.0,12.9,192.0,4.4,1011.3
2021-02-18,30.1,21.2,33.0,13.6,196.0,3.2,1012.3
2021-02-19,25.8,20.9,33.0,0.7,153.0,4.0,1012.4
2021-02-20,26.2,22.5,33.0,0.4,211.0,3.2,1012.3
2021-02-21,25.0,21.8,29.9,10.1,244.0,3.5,1010.4
2021-02-22,25.1,21.8,28.0,32.7,344.0,2.9,1013.9
2021-02-23,27.4,21.9,31.0,18.3,84.0,2.5,1013.9
2021-02-24,27.2,22.0,30.0,28.7,120.0,3.2,1014.2
2021-02-25,25.9,21.8,28.6,22.1,3.0,2.8,1013.9
2021-02-26,28.7,21.7,33.0,1.8,233.0,3.6,1011.4
2021-02-27,28.4,21.9,32.0,36.6,299.0,4.2,1011.8
2021-02-28,23.9,21.9,28.7,20.8,275.0,2.7,1009.6
2021-03-01,27.5,22.0,31.0,9.2,298.0,3.2,1010.4
2021-03-02,27.8,21.6,31.0,30.0,158.0,2.9,1011.8
2021-03-03,27.0,21.5,31.0,25.0,132.0,3.5,1013.4
2021-03-04,26.3,21.7,30.0,15.7,175.0,2.7,1013.9
2021-03-05,27.5,21.4,32.0,6.2,297.0,3.3,1013.0
2021-03-06,28.6,21.5,31.0,12.5,353.0,3.9,1013.7
2021-03-07,23.3,21.4,26.3,22.7,6.0,2.0,1012.7
2021-03-08,27.4,21.4,31.0,10.4,0.0,3.6,1013.7
2021-03-09,27.2,21.4,31.2,14.8,235.0,4.2,1014.3
2021-03-10,24.7,21.5,28.0,4.2,268.0,2.8,1014.3
2021-03-11,27.9,21.1,32.0,0.0,71.0,3.3,1013.0
