time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,22.2,16.8,27.9,,,,
2021-01-02,22.8,15.6,28.5,,23.0,10.5,1015.1
2021-01-03,24.8,16.7,31.2,0.0,24.0,8.4,1013.4
2021-01-04,25.8,18.5,31.5,0.0,21.0,9.7,1013.2
2021-01-05,27.8,20.0,33.5,0.0,33.0,7.8,1012.9
2021-01-06,27.7,21.7,33.9,0.0,29.0,6.9,1011.1
2021-01-07,27.9,20.8,34.4,0.0,36.0,5.5,1010.0
2021-01-08,26.8,21.4,32.1,0.0,42.0,8.2,1010.5
2021-01-09,24.0,19.8,29.5,0.0,34.0,8.7,1012.8
2021-01-10,24.4,17.6,31.0,0.0,19.0,8.0,1012.6
2021-01-11,24.4,17.1,30.0,0.0,27.0,10.1,1014.0
2021-01-12,20.6,15.4,26.0,0.0,38.0,13.6,1016.3
2021-01-13,21.2,15.2,27.8,0.0,28.0,7.3,1015.0
2021-01-14,22.9,13.4,30.5,0.0,20.0,5.3,1013.0
2021-01-15,24.4,15.8,32.0,0.0,336.0,4.2,1010.7
2021-01-16,25.6,17.6,33.4,0.0,205.0,5.2,1010.2
2021-01-17,25.4,17.2,31.5,0.0,28.0,5.9,1012.5
2021-01-18,22.6,20.2,28.5,0.0,35.0,9.8,1014.9
2021-01-19,21.7,14.4,28.4,0.0,23.0,8.2,1013.9
2021-01-20,22.9,15.0,31.0,0.0,19.0,4.1,1012.8
2021-01-21,24.2,14.8,32.1,0.0,2.0,4.2,1011.6
2021-01-22,25.4,16.2,33.0,0.0,282.0,4.7,1010.6
2021-01-23,26.7,17.2,33.3,0.0,202.0,6.7,1010.4
2021-01-24,27.3,19.8,34.3,0.0,235.0,6.4,1010.8
2021-01-25,28.1,20.2,35.5,0.0,256.0,4.7,1010.7
2021-01-26,28.8,19.7,35.0,0.1,343.0,5.2,1010.0
2021-01-27,28.8,22.2,33.7,0.5,23.0,3.7,1010.5
2021-01-28,28.8,22.5,34.8,0.3,343.0,5.6,1011.7
2021-01-29,27.0,22.5,32.6,0.2,34.0,6.3,1012.9
2021-01-30,26.9,20.8,33.2,0.0,47.0,5.4,1012.9
2021-01-31,26.9,19.6,33.3,0.0,41.0,4.6,1013.3
2021-02-01,27.6,19.0,34.5,0.0,25.0,4.9,1013.2
2021-02-02,28.7,20.2,35.7,0.0,34.0,3.6,1012.8
2021-02-03,27.9,21.2,34.9,0.0,30.0,5.2,1012.4
2021-02-04,27.1,19.4,33.6,0.0,28.0,6.0,1013.3
2021-02-05,26.9,19.3,34.8,0.0,14.0,4.4,1012.8
2021-02-06,27.7,19.0,35.5,0.0,16.0,4.6,1011.3
2021-02-07,28.5,19.6,35.5,0.0,74.0,5.4,1010.9
2021-02-08,27.7,21.0,35.3,6.1,274.0,4.3,1010.4
2021-02-09,26.9,22.3,32.9,0.0,26.0,6.1,1010.5
2021-02-10,28.8,21.5,32.4,0.0,40.0,8.4,1011.1
2021-02-11,26.0,20.6,31.8,0.0,29.0,6.2,1011.6
2021-02-12,26.3,20.6,32.9,0.0,58.0,5.1,1011.9
2021-02-13,27.2,20.7,35.2,0.0,205.0,5.4,1012.0
2021-02-14,28.7,21.0,35.7,0.0,225.0,5.6,1011.8
2021-02-15,28.7,21.2,35.8,0.0,184.0,5.0,1010.5
2021-02-16,29.1,21.4,36.0,0.0,159.0,5.7,1009.7
2021-02-17,28.9,22.3,34.5,4.2,99.0,6.5,1011.6
2021-02-18,27.6,23.3,32.9,0.6,49.0,7.4,1014.3
2021-02-19,27.4,20.8,31.3,0.0,53.0,11.2,1015.2
2021-02-20,26.1,20.9,31.6,0.0,39.0,10.4,1014.5
2021-02-21,26.0,19.4,32.8,0.0,57.0,5.6,1012.9
2021-02-22,28.0,18.8,35.8,0.0,224.0,4.8,1011.4
2021-02-23,29.1,20.2,36.4,0.0,232.0,5.9,1010.2
2021-02-24,29.4,20.6,37.0,0.0,236.0,6.7,1009.0
2021-02-25,31.2,22.5,38.1,0.0,276.0,11.9,1007.9
2021-02-26,31.4,22.4,39.3,0.0,286.0,9.2,1006.3
2021-02-27,30.4,21.6,39.0,0.0,247.0,9.6,1006.7
2021-02-28,29.2,21.0,38.1,0.0,184.0,7.6,1008.3
2021-03-01,29.7,21.0,37.4,0.0,134.0,5.0,1011.1
2021-03-02,30.2,21.6,35.7,0.9,129.0,6.4,1011.3
2021-03-03,29.9,23.1,35.5,9.3,159.0,5.9,1011.5
2021-03-04,30.1,22.7,36.3,0.3,151.0,6.7,1012.1
2021-03-05,29.8,23.2,37.5,2.3,200.0,4.3,1011.7
2021-03-06,30.1,22.1,37.8,0.0,173.0,4.9,1011.7
2021-03-07,30.8,22.5,38.3,0.0,175.0,5.5,1011.0
2021-03-08,30.7,23.4,37.5,0.1,98.0,5.1,1012.1
2021-03-09,30.5,23.9,36.6,0.3,120.0,4.7,1012.2
2021-03-10,30.8,22.7,37.0,0.8,199.0,4.5,1012.1
2021-03-11,31.0,23.2,37.2,0.0,74.0,5.1,1011.9
2021-03-12,30.9,23.2,36.9,0.0,34.0,4.9,1011.9
2021-03-13,30.7,23.2,36.8,0.0,30.0,5.8,1011.3
2021-03-14,30.9,23.5,36.6,0.1,148.0,4.9,1010.0
2021-03-15,30.7,24.1,37.0,1.1,206.0,4.7,1009.2
2021-03-16,30.3,25.0,36.5,0.2,185.0,4.9,1008.7
2021-03-17,30.8,23.8,37.7,0.2,206.0,4.4,1008.4
2021-03-18,31.3,24.0,38.4,0.2,211.0,5.0,1008.1
2021-03-19,31.4,23.3,38.8,0.0,217.0,5.5,1007.4
2021-03-20,31.5,25.9,38.2,0.0,200.0,5.8,1006.3
2021-03-21,31.9,23.9,38.5,0.9,193.0,6.4,1006.9
2021-03-22,26.1,24.3,28.5,52.1,26.0,4.8,1011.3
2021-03-23,28.8,22.1,33.8,0.0,16.0,7.2,1012.4
2021-03-24,30.9,21.6,36.3,0.0,4.0,5.8,1009.8
2021-03-25,30.7,25.3,36.3,0.0,171.0,7.1,1008.6
2021-03-26,30.5,23.8,37.4,0.0,196.0,4.6,1008.6
2021-03-27,30.7,23.7,37.1,0.0,206.0,6.5,1007.7
2021-03-28,31.6,23.5,38.0,0.1,232.0,6.1,1007.5
2021-03-29,31.7,25.1,38.2,0.0,266.0,7.6,1006.6
2021-03-30,31.8,24.9,37.0,0.0,271.0,10.6,1005.4
2021-03-31,32.3,24.3,38.5,0.0,264.0,9.6,1004.5
2021-04-01,31.4,25.8,38.4,0.5,264.0,9.2,1005.0
2021-04-02,30.8,24.6,38.4,0.4,249.0,7.7,1006.1
2021-04-03,31.5,23.3,36.4,0.1,175.0,7.6,1006.1
2021-04-04,28.0,24.2,34.3,5.6,0.0,5.6,1008.1
2021-04-05,27.7,21.6,31.5,4.8,88.0,5.6,1010.2
2021-04-06,26.7,22.5,30.2,17.0,86.0,3.7,1011.2
2021-04-07,28.1,23.2,33.5,6.1,18.0,5.6,1011.7
2021-04-08,29.1,22.0,35.5,0.3,284.0,5.0,1009.9
2021-04-09,30.7,23.3,37.3,0.5,286.0,5.4,1009.2
2021-04-10,30.0,23.7,36.3,0.5,353.0,4.2,1010.5
2021-04-11,30.4,23.7,36.1,15.7,90.0,4.2,1012.1
2021-04-12,31.0,23.8,36.6,2.6,297.0,3.5,1011.9
2021-04-13,30.8,23.7,37.7,4.4,291.0,2.7,1011.1
2021-04-14,29.6,22.5,35.6,8.3,261.0,5.9,1010.7
2021-04-15,30.3,23.0,37.3,0.0,260.0,5.9,1009.3
2021-04-16,29.5,23.8,37.8,7.6,272.0,6.3,1009.2
2021-04-17,29.7,23.2,33.4,2.1,269.0,5.0,1010.6
2021-04-18,30.0,23.3,36.0,2.5,285.0,5.0,1010.4
2021-04-19,28.4,22.6,36.5,0.0,238.0,5.4,1008.9
2021-04-20,31.3,23.5,38.2,4.6,254.0,5.9,1008.2
2021-04-21,29.7,24.9,36.5,0.8,292.0,5.5,1008.6
2021-04-22,30.7,24.6,38.0,5.3,278.0,8.3,1008.0
2021-04-23,32.6,24.7,37.5,0.5,265.0,11.4,1006.9
2021-04-24,30.7,25.7,38.0,9.1,269.0,9.1,1006.9
2021-04-25,29.6,25.2,36.2,3.6,262.0,8.2,1008.0
2021-04-26,30.2,23.5,36.5,11.6,261.0,7.9,1008.2
2021-04-27,27.8,23.2,34.5,28.2,313.0,4.8,1009.6
2021-04-28,28.7,22.5,34.4,3.0,39.0,3.8,1011.0
2021-04-29,27.9,22.8,33.5,4.8,41.0,4.1,1011.0
2021-04-30,27.5,21.5,32.9,3.0,79.0,4.0,1010.6
2021-05-01,28.3,22.5,34.8,25.1,108.0,2.9,1010.7
2021-05-02,28.9,22.6,35.0,15.5,315.0,3.9,1010.4
2021-05-03,31.0,21.3,36.3,15.2,234.0,2.5,1008.7
2021-05-04,29.3,23.8,37.5,31.0,250.0,3.8,1008.2
2021-05-05,31.1,21.2,36.7,30.5,251.0,4.1,1008.0
2021-05-06,26.2,20.5,29.8,8.6,54.0,4.2,1011.2
2021-05-07,27.2,20.8,29.8,7.4,335.0,3.2,1011.2
2021-05-08,29.6,22.6,35.0,0.0,261.0,4.8,1009.5
2021-05-09,29.4,22.0,34.3,0.0,267.0,4.7,1008.7
2021-05-10,30.5,23.5,36.8,6.9,253.0,5.3,1007.8
2021-05-11,31.6,23.2,37.0,0.0,248.0,7.0,1007.1
2021-05-12,32.5,24.6,37.7,1.1,250.0,6.5,1006.3
2021-05-13,31.1,25.4,37.8,0.2,257.0,6.9,1005.8
2021-05-14,32.3,23.5,37.5,0.2,218.0,8.3,1005.7
2021-05-15,32.6,25.5,38.3,10.2,255.0,6.1,1006.6
2021-05-16,29.9,25.5,38.2,59.7,259.0,3.6,1006.9
2021-05-17,31.9,22.8,37.4,10.2,268.0,5.5,1007.1
2021-05-18,32.1,25.0,37.2,0.0,265.0,5.1,1007.6
2021-05-19,31.8,25.0,38.1,2.3,276.0,9.2,1007.0
2021-05-20,31.7,24.7,37.4,0.5,265.0,10.0,1007.0
2021-05-21,31.6,25.0,38.5,2.3,273.0,10.1,1007.0
2021-05-22,31.3,25.2,36.5,1.5,268.0,11.0,1005.9
2021-05-23,31.8,23.9,37.4,0.0,264.0,13.2,1006.2
2021-05-24,32.1,24.0,37.5,0.0,266.0,11.2,1006.9
2021-05-25,29.9,24.6,35.5,1.5,278.0,6.1,1006.9
2021-05-26,30.7,23.2,35.4,0.6,270.0,9.8,1006.6
2021-05-27,29.2,23.6,37.2,26.2,270.0,7.5,1006.8
2021-05-28,28.2,23.6,32.2,0.3,239.0,4.1,1008.3
2021-05-29,28.8,22.5,35.2,8.9,217.0,5.1,1008.2
2021-05-30,30.2,22.5,35.8,0.3,236.0,5.6,1007.4
2021-05-31,30.4,23.5,36.8,1.0,236.0,6.4,1006.3
2021-06-01,30.8,23.0,37.9,4.1,247.0,7.5,1006.5
2021-06-02,31.2,23.7,37.8,0.0,257.0,8.1,1006.6
2021-06-03,32.7,24.6,38.2,0.0,259.0,9.6,1007.4
2021-06-04,32.8,24.5,38.2,0.1,270.0,11.1,1007.3
2021-06-05,31.2,26.9,35.7,0.1,264.0,12.4,1007.5
2021-06-06,31.1,25.8,35.6,4.7,276.0,11.7,1007.0
2021-06-07,29.5,24.5,33.0,0.3,256.0,12.5,1006.8
2021-06-08,28.6,23.4,34.7,0.5,251.0,9.9,1007.0
2021-06-09,28.7,23.1,33.2,0.5,247.0,6.3,1007.0
2021-06-10,29.0,22.1,32.1,0.0,248.0,8.8,1006.3
2021-06-11,28.4,23.0,30.8,1.5,252.0,7.5,1005.7
2021-06-12,28.1,23.6,35.0,7.1,265.0,7.7,1006.5
2021-06-13,28.9,22.3,33.0,0.0,270.0,8.3,1006.7
2021-06-14,28.3,22.8,31.8,1.5,238.0,7.2,1007.0
2021-06-15,26.8,22.5,31.1,9.9,251.0,4.8,1007.0
2021-06-16,28.1,21.5,31.6,2.3,249.0,4.5,1008.0
2021-06-17,26.9,22.5,32.0,0.3,260.0,6.8,1009.5
2021-06-18,30.6,22.5,36.4,0.0,271.0,6.4,1010.1
2021-06-19,31.3,22.1,37.0,0.1,274.0,10.5,1009.6
2021-06-20,31.4,23.5,37.5,0.2,280.0,11.9,1008.2
2021-06-21,31.5,25.8,37.0,1.0,266.0,11.8,1007.3
2021-06-22,31.3,26.1,36.9,0.4,256.0,12.5,1008.0
2021-06-23,30.6,25.3,35.7,0.8,264.0,12.1,1009.0
2021-06-24,29.8,25.7,35.1,0.0,279.0,13.4,1007.5
2021-06-25,30.1,25.2,35.0,0.6,272.0,10.7,1006.6
2021-06-26,30.7,24.5,36.0,3.1,249.0,7.1,1007.3
2021-06-27,31.7,25.5,37.2,3.4,259.0,7.8,1009.1
2021-06-28,29.9,26.5,36.7,0.0,272.0,9.9,1008.6
2021-06-29,30.9,25.2,36.9,0.0,274.0,10.6,1007.7
2021-06-30,31.0,25.8,36.8,0.4,272.0,11.2,1007.6
2021-07-01,30.2,24.9,37.0,15.5,261.0,9.9,1007.6
2021-07-02,30.8,24.2,37.0,0.1,261.0,9.4,1008.6
2021-07-03,31.4,25.5,38.7,0.0,275.0,11.0,1007.6
2021-07-04,32.9,26.3,39.5,0.4,272.0,13.3,1006.4
2021-07-05,33.0,26.4,39.4,0.0,274.0,12.3,1005.4
2021-07-06,30.5,26.6,35.6,0.9,272.0,13.2,1004.8
2021-07-07,30.8,26.2,36.5,0.5,276.0,11.5,1006.1
2021-07-08,30.1,25.4,36.0,0.0,274.0,9.7,1005.9
2021-07-09,27.9,25.8,35.6,19.1,261.0,4.7,1005.0
2021-07-10,28.0,24.0,33.5,28.2,99.0,3.5,1005.1
2021-07-11,26.9,24.0,30.0,9.4,64.0,3.9,1007.0
2021-07-12,28.1,24.5,35.2,1.5,243.0,3.2,1008.8
2021-07-13,30.6,23.4,36.0,0.0,257.0,4.6,1007.6
2021-07-14,28.8,25.2,35.4,4.8,233.0,6.1,1006.7
2021-07-15,27.7,24.5,34.9,1.5,227.0,4.4,1007.8
2021-07-16,27.7,23.3,34.0,1.0,245.0,6.3,1009.3
2021-07-17,27.9,23.7,34.7,7.9,261.0,8.2,1007.8
