time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,30.5,,,,,,
2021-01-02,28.9,20.0,37.0,0.0,19.0,9.9,1011.0
2021-01-03,28.0,16.0,38.0,0.0,15.0,7.9,1011.0
2021-01-04,29.5,21.0,38.0,0.0,22.0,9.1,1010.8
2021-01-05,29.9,22.0,39.0,0.0,52.0,12.2,1010.7
2021-01-06,30.3,21.0,39.0,0.0,65.0,10.3,1010.9
2021-01-07,29.3,21.0,40.0,0.0,51.0,9.5,1011.2
2021-01-08,29.3,20.5,39.3,0.0,20.0,13.6,1011.4
2021-01-09,26.7,20.0,34.5,0.0,9.0,17.8,1012.3
2021-01-10,25.7,19.0,33.0,0.0,29.0,22.0,1012.6
2021-01-11,24.8,18.5,31.1,0.0,28.0,18.9,1013.2
2021-01-12,26.3,20.3,32.0,0.0,36.0,12.7,1013.7
2021-01-13,25.4,19.0,35.6,0.0,42.0,15.5,1013.4
2021-01-14,28.2,19.0,37.4,0.0,31.0,12.3,1012.7
2021-01-15,26.9,21.0,36.0,0.0,38.0,13.2,1011.9
2021-01-16,25.8,19.0,36.0,0.0,37.0,13.3,1011.6
2021-01-17,26.6,20.2,35.0,0.0,55.0,13.4,1011.8
2021-01-18,26.2,19.0,36.0,0.0,43.0,14.3,1012.5
2021-01-19,26.1,19.8,35.5,0.0,43.0,12.8,1012.8
2021-01-20,27.7,18.0,37.0,0.0,45.0,11.8,1012.2
2021-01-21,28.3,19.0,38.0,0.0,38.0,11.3,1011.4
2021-01-22,28.9,21.0,35.5,0.0,57.0,14.9,1012.6
2021-01-23,27.7,21.9,35.0,0.0,57.0,11.0,1012.6
2021-01-24,27.7,18.0,36.0,0.0,56.0,11.5,1011.5
2021-01-25,26.5,17.0,38.0,0.0,51.0,9.3,1010.9
2021-01-26,28.7,19.0,38.5,0.0,46.0,9.8,1011.5
2021-01-27,28.8,19.0,39.2,0.0,29.0,6.6,1011.0
2021-01-28,28.4,18.0,38.0,0.0,32.0,8.4,1010.8
2021-01-29,28.0,19.0,37.3,0.0,33.0,8.6,1011.8
2021-01-30,28.6,19.0,39.3,0.0,18.0,10.0,1011.8
2021-01-31,29.4,21.0,38.2,0.0,36.0,12.4,1011.4
2021-02-01,28.8,21.0,37.3,0.0,34.0,9.4,1011.1
2021-02-02,27.7,19.0,40.2,0.0,38.0,7.8,1011.3
2021-02-03,27.8,19.5,37.0,0.0,24.0,10.8,1011.9
2021-02-04,28.7,20.0,37.0,0.0,28.0,12.2,1012.1
2021-02-05,24.1,19.0,31.0,0.0,12.0,17.0,1013.1
2021-02-06,23.5,18.0,30.0,0.0,27.0,19.0,1014.6
2021-02-07,25.6,18.0,34.0,0.0,40.0,16.6,1013.3
2021-02-08,26.4,18.0,35.0,0.0,39.0,14.1,1012.5
2021-02-09,27.6,19.0,33.0,0.0,24.0,11.8,1011.8
2021-02-10,23.2,19.0,38.0,0.0,28.0,10.3,1011.2
2021-02-11,29.7,19.0,41.0,0.0,16.0,10.4,1011.0
2021-02-12,29.9,22.0,41.0,0.0,11.0,11.1,1010.4
2021-02-13,33.6,21.0,40.4,0.0,22.0,11.2,1009.5
2021-02-14,30.4,22.0,40.0,0.0,14.0,12.6,1008.5
2021-02-15,30.5,21.5,38.4,0.0,20.0,8.3,1008.8
2021-02-16,29.4,21.9,39.2,0.0,3.0,7.3,1009.1
2021-02-17,28.9,25.8,32.0,0.0,16.0,6.5,1010.5
2021-02-18,30.1,24.5,37.2,0.0,13.0,7.3,1011.5
2021-02-19,26.6,24.3,36.3,0.0,13.0,10.8,1012.8
2021-02-20,29.6,23.0,39.0,0.0,7.0,12.9,1013.3
2021-02-21,31.9,21.6,39.5,0.0,8.0,16.6,1012.0
2021-02-22,29.6,21.0,40.5,0.0,24.0,14.8,1010.9
2021-02-23,31.6,23.0,40.5,0.0,54.0,12.9,1011.1
2021-02-24,32.1,23.5,41.2,0.0,39.0,10.2,1012.0
2021-02-25,29.9,21.5,39.8,0.0,26.0,11.3,1011.5
2021-02-26,29.8,23.4,36.0,0.0,41.0,14.1,1011.3
2021-02-27,28.1,22.0,35.0,0.0,17.0,13.1,1010.8
