time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,19.3,16.9,23.2,3.7,342.0,6.8,1014.8
2021-01-03,18.3,16.7,21.3,4.8,359.0,3.4,1015.0
2021-01-04,19.7,15.2,24.9,4.3,342.0,4.2,1012.7
2021-01-05,19.6,17.2,23.7,14.0,352.0,4.6,1013.5
2021-01-06,20.2,16.8,24.2,6.3,2.0,6.1,1012.8
2021-01-07,21.1,16.7,26.9,3.5,35.0,3.8,1011.3
2021-01-08,20.3,17.4,25.8,24.7,261.0,5.4,1011.7
2021-01-09,18.9,17.4,21.8,9.8,275.0,7.7,1012.7
2021-01-10,19.0,16.6,22.0,13.4,305.0,8.0,1011.8
2021-01-11,19.4,16.8,24.6,13.3,299.0,4.8,1011.8
2021-01-12,19.9,17.3,23.8,7.5,320.0,6.0,1012.2
2021-01-13,19.9,16.8,24.3,9.1,334.0,8.7,1012.3
2021-01-14,20.0,16.8,25.1,15.6,330.0,6.7,1012.6
2021-01-15,19.7,17.2,23.4,5.2,320.0,9.4,1012.8
2021-01-16,20.8,17.1,25.9,2.0,321.0,8.2,1011.5
2021-01-17,20.8,16.1,26.1,7.8,312.0,6.5,1011.3
2021-01-18,20.0,17.3,23.8,14.4,316.0,5.9,1012.0
2021-01-19,20.2,17.0,23.6,9.5,303.0,8.2,1012.5
2021-01-20,20.4,17.7,24.8,4.5,289.0,5.7,1013.8
2021-01-21,19.9,17.8,23.9,5.5,285.0,5.5,1013.5
2021-01-22,19.9,17.3,25.0,1.8,321.0,5.2,1012.5
2021-01-23,19.7,17.0,24.4,7.7,344.0,7.2,1012.4
2021-01-24,19.7,16.4,24.2,15.0,359.0,5.2,1013.3
2021-01-25,19.0,16.4,21.7,8.3,9.0,5.5,1015.1
2021-01-26,19.6,17.1,24.0,4.0,89.0,5.1,1015.1
2021-01-27,20.3,16.1,25.4,0.5,145.0,5.7,1013.3
2021-01-28,20.7,16.8,25.4,10.5,6.0,5.6,1012.9
2021-01-29,19.8,16.7,25.5,4.7,278.0,5.7,1014.5
2021-01-30,20.4,16.5,24.9,0.5,90.0,4.2,1013.2
2021-01-31,20.4,15.8,25.7,8.9,348.0,4.7,1011.5
2021-02-01,19.8,17.2,25.3,3.8,323.0,5.3,1014.5
2021-02-02,19.6,17.6,23.9,6.3,330.0,5.5,1015.8
2021-02-03,21.1,16.8,26.4,4.8,90.0,6.5,1014.8
2021-02-04,20.8,15.8,26.1,0.8,132.0,5.7,1014.6
2021-02-05,20.4,16.1,26.4,12.7,77.0,6.8,1014.3
2021-02-06,20.5,16.4,25.4,11.7,45.0,4.2,1012.7
2021-02-07,20.3,17.1,25.9,5.7,332.0,4.1,1011.2
2021-02-08,20.3,17.8,27.1,18.5,243.0,4.5,1011.7
2021-02-09,19.6,17.8,23.7,24.6,311.0,4.0,1012.5
2021-02-10,19.8,17.4,22.8,10.7,255.0,6.4,1012.6
2021-02-11,19.5,17.2,22.7,8.6,293.0,7.0,1012.6
2021-02-12,20.0,17.7,23.2,14.1,301.0,9.1,1011.6
2021-02-13,20.7,17.5,25.5,7.1,313.0,8.8,1011.5
2021-02-14,20.6,17.7,25.3,8.9,321.0,8.5,1011.8
2021-02-15,22.2,18.3,28.0,0.8,330.0,9.5,1010.3
2021-02-16,22.0,18.2,27.8,1.0,328.0,10.4,1009.9
2021-02-17,21.6,17.8,27.7,1.9,326.0,9.7,1010.9
2021-02-18,21.4,17.8,25.7,8.8,331.0,5.7,1012.2
2021-02-19,20.8,16.9,25.4,1.3,313.0,4.9,1013.4
2021-02-20,20.4,17.0,25.2,8.3,350.0,3.5,1014.4
2021-02-21,19.9,17.1,24.9,11.1,248.0,3.8,1014.9
2021-02-22,19.6,16.1,23.3,3.7,88.0,6.4,1014.8
2021-02-23,19.6,16.4,23.2,6.3,83.0,4.4,1014.0
2021-02-24,18.8,17.0,22.0,17.5,325.0,8.4,1013.9
2021-02-25,19.8,15.9,25.0,5.8,352.0,3.8,1013.1
2021-02-26,20.5,15.5,26.8,8.2,311.0,4.1,1012.3
2021-02-27,20.2,17.1,23.6,1.9,4.0,4.5,1012.5
2021-02-28,20.6,15.5,27.0,1.1,27.0,4.8,1011.5
2021-03-01,20.4,17.6,25.9,8.3,78.0,7.2,1012.7
2021-03-02,21.2,16.7,26.8,8.8,82.0,7.1,1011.9
2021-03-03,20.1,17.4,23.4,24.4,137.0,4.1,1012.7
2021-03-04,19.8,16.6,24.8,4.3,331.0,4.3,1011.9
2021-03-05,19.7,16.1,24.0,5.1,317.0,5.8,1012.4
2021-03-06,19.6,16.1,25.0,16.7,260.0,5.2,1013.1
2021-03-07,20.1,16.9,24.9,27.7,308.0,4.8,1012.9
2021-03-08,19.1,17.6,22.5,11.3,315.0,5.9,1013.1
2021-03-09,20.4,16.5,26.9,0.5,346.0,6.9,1013.3
2021-03-10,20.7,14.8,26.6,2.9,352.0,5.9,1012.9
2021-03-11,21.8,16.1,27.1,2.3,55.0,6.8,1011.3
2021-03-12,21.6,18.0,27.7,6.8,80.0,7.5,1012.2
2021-03-13,20.3,17.3,24.8,8.7,87.0,5.9,1013.9
2021-03-14,19.9,17.6,23.6,5.0,85.0,4.5,1013.7
2021-03-15,20.8,16.5,28.2,1.5,82.0,8.7,1011.9
2021-03-16,21.1,17.3,26.0,0.1,85.0,8.2,1011.7
2021-03-17,20.9,16.6,26.7,5.5,86.0,5.7,1012.6
2021-03-18,20.3,16.7,24.8,2.6,78.0,6.3,1013.5
2021-03-19,21.1,17.7,26.2,1.7,89.0,8.5,1012.4
2021-03-20,20.9,17.0,25.8,1.8,93.0,7.1,1012.2
2021-03-21,21.2,17.5,26.2,2.5,90.0,8.2,1011.6
2021-03-22,21.0,17.7,26.0,14.4,81.0,7.4,1012.4
2021-03-23,20.2,16.8,25.7,5.7,108.0,8.0,1014.6
2021-03-24,20.4,16.5,25.6,0.3,104.0,9.4,1014.1
2021-03-25,20.8,18.1,25.5,8.1,90.0,6.0,1012.3
2021-03-26,19.8,16.4,24.7,11.8,22.0,4.4,1013.6
2021-03-27,20.1,17.3,25.2,4.7,288.0,7.4,1014.6
2021-03-28,19.9,16.1,25.7,10.7,358.0,3.5,1013.9
2021-03-29,19.5,16.5,23.8,10.2,97.0,8.2,1014.2
2021-03-30,19.3,16.6,23.9,5.8,108.0,12.2,1014.5
2021-03-31,19.0,15.8,23.1,6.6,104.0,9.8,1015.5
2021-04-01,19.6,15.4,24.5,1.6,103.0,9.9,1015.8
2021-04-02,19.9,16.0,24.8,0.4,109.0,10.5,1015.6
