time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,8.8,1.2,18.5,0.0,,5.1,1020.6
2021-01-02,9.4,1.3,19.0,0.0,,3.7,1020.0
2021-01-03,12.6,3.0,20.5,0.0,,4.7,1019.0
2021-01-04,13.1,9.7,17.4,0.0,,5.4,1020.7
2021-01-05,13.2,9.0,19.2,0.0,,3.7,1021.3
2021-01-06,13.6,6.6,23.8,0.0,,5.7,1018.3
2021-01-07,12.9,5.7,23.0,0.0,108.0,8.0,1016.7
2021-01-08,11.7,4.0,21.4,0.0,89.0,7.0,1016.8
2021-01-09,12.6,4.6,23.0,0.0,,5.8,1016.3
2021-01-10,12.8,4.4,23.7,0.0,,7.7,1015.5
2021-01-11,11.9,4.8,21.8,0.0,150.0,7.5,1016.3
2021-01-12,11.2,6.7,18.6,0.0,,6.6,1016.5
2021-01-13,10.9,6.6,18.0,0.0,,6.9,1016.1
2021-01-14,11.0,6.8,18.2,0.0,,5.7,1017.1
2021-01-15,11.2,5.7,19.8,0.0,137.0,6.6,1015.9
2021-01-16,11.8,5.5,19.5,0.0,233.0,6.7,1014.5
2021-01-17,12.1,9.0,19.0,0.0,,5.5,1019.4
2021-01-18,12.5,4.9,20.6,0.0,,5.8,1019.4
2021-01-19,11.6,6.5,19.2,0.0,,7.1,1015.4
2021-01-20,10.6,4.5,19.5,0.0,207.0,8.0,1014.4
2021-01-21,9.9,4.0,18.5,0.0,,6.2,1014.1
2021-01-22,9.9,3.5,19.0,0.0,,6.2,1017.6
2021-01-23,10.7,4.0,19.5,0.0,,6.6,1016.6
2021-01-24,10.8,4.2,19.2,0.0,0.0,7.0,1017.3
2021-01-25,9.9,3.4,18.3,0.0,,7.2,1018.7
2021-01-26,9.9,2.8,18.0,0.0,26.0,5.7,1018.0
2021-01-27,9.7,2.0,19.0,0.0,,5.4,1018.3
2021-01-28,9.9,2.0,18.0,0.0,107.0,7.0,1020.0
2021-01-29,10.0,2.5,19.3,0.0,133.0,7.7,1018.6
2021-01-30,9.3,2.4,17.2,0.0,,7.7,1016.8
2021-01-31,9.2,1.8,19.0,0.0,,7.2,1019.1
2021-02-01,9.5,2.5,18.8,0.0,124.0,6.4,1021.0
2021-02-02,10.4,2.7,19.9,0.0,,6.6,1021.2
2021-02-03,11.3,3.0,20.6,0.0,,6.6,1021.2
2021-02-04,11.4,3.6,20.0,0.0,,6.4,1021.1
2021-02-05,10.8,3.5,19.2,0.0,64.0,7.9,1020.6
2021-02-06,8.6,4.0,19.0,1.3,,7.0,1019.0
2021-02-07,9.4,1.0,18.5,0.0,99.0,7.3,1020.2
2021-02-08,11.9,2.5,22.0,0.0,96.0,5.9,1020.3
2021-02-09,12.1,3.7,22.0,0.0,,6.6,1018.0
2021-02-10,12.7,6.4,19.0,0.0,139.0,6.8,1017.1
2021-02-11,13.0,6.8,20.0,,,6.7,1017.4
2021-02-12,13.5,9.0,20.0,,,6.1,1018.8
2021-02-13,13.0,9.0,21.2,0.0,,6.6,1019.2
2021-02-14,14.2,8.6,21.0,,,6.9,1018.2
2021-02-15,13.8,8.0,21.2,0.0,,7.1,1016.8
2021-02-16,13.5,5.4,22.5,0.0,177.0,6.8,1017.2
2021-02-17,13.1,6.5,23.3,0.0,,7.6,1019.3
2021-02-18,12.3,7.0,22.0,0.0,,6.8,1021.8
2021-02-19,14.4,4.4,21.0,0.0,,5.8,1023.6
2021-02-20,13.7,7.0,22.0,,,6.7,1022.7
2021-02-21,10.0,8.0,23.0,,,6.1,1020.9
2021-02-22,15.3,8.0,24.2,,150.0,6.4,1019.5
2021-02-23,15.8,10.0,24.8,0.0,,7.4,1017.8
2021-02-24,16.1,10.0,25.0,,,7.1,1015.5
2021-02-25,16.2,11.0,23.0,,,6.3,1013.0
2021-02-26,16.8,9.6,23.0,0.0,165.0,7.5,1011.9
2021-02-27,17.6,13.0,25.4,0.0,,6.7,1011.9
2021-02-28,18.0,14.0,26.2,,209.0,7.4,1013.3
2021-03-01,16.9,10.4,27.5,0.0,,8.2,1015.7
2021-03-02,15.1,7.5,25.4,0.0,145.0,10.2,1016.5
2021-03-03,15.1,7.3,24.9,0.0,,10.9,1017.3
2021-03-04,15.3,8.0,24.9,0.0,150.0,8.1,1016.8
2021-03-05,14.8,8.9,24.7,0.0,,8.5,1015.3
2021-03-06,14.8,8.0,24.3,6.1,119.0,7.1,1016.2
2021-03-07,14.9,9.5,22.0,0.0,,5.6,1018.2
2021-03-08,16.8,10.6,27.5,0.0,,8.2,1019.3
2021-03-09,17.6,10.0,27.2,0.0,352.0,8.8,1018.5
2021-03-10,16.9,10.5,27.3,0.0,,8.7,1019.0
2021-03-11,17.6,9.0,27.7,0.5,275.0,8.8,1020.4
2021-03-12,18.9,10.6,28.0,0.0,213.0,8.1,1022.5
2021-03-13,15.4,12.7,22.4,0.0,199.0,8.0,1020.8
2021-03-14,16.8,9.4,25.7,0.0,,7.6,1017.3
2021-03-15,17.3,10.4,26.7,0.0,,8.9,1016.5
2021-03-16,17.8,10.5,27.0,0.0,202.0,9.4,1016.6
2021-03-17,17.9,11.0,25.6,,162.0,9.2,1016.3
2021-03-18,18.1,10.5,27.5,0.0,216.0,9.1,1016.8
2021-03-19,18.7,11.2,27.7,0.0,162.0,6.8,1016.0
2021-03-20,18.6,12.0,27.0,0.0,326.0,8.1,1013.6
2021-03-21,18.8,10.0,28.7,0.0,64.0,7.1,1016.0
2021-03-22,19.1,10.8,28.0,0.0,147.0,7.8,1018.7
2021-03-23,19.9,11.6,28.6,0.0,157.0,8.4,1019.6
2021-03-24,19.4,13.0,28.1,0.0,355.0,8.7,1017.8
2021-03-25,18.5,10.8,28.4,0.0,159.0,7.7,1015.9
2021-03-26,17.8,9.5,28.2,0.0,125.0,8.9,1015.5
2021-03-27,17.6,10.6,26.3,0.0,103.0,8.5,1016.0
2021-03-28,17.3,11.0,24.8,0.0,140.0,6.0,1013.2
2021-03-29,18.1,10.8,25.2,0.0,173.0,6.5,1009.4
2021-03-30,19.3,11.5,27.2,0.0,137.0,7.2,1004.5
2021-03-31,17.9,12.0,26.8,0.0,40.0,8.0,1002.0
2021-04-01,17.4,13.6,27.0,9.9,135.0,9.2,1004.1
2021-04-02,17.7,9.6,27.5,0.0,142.0,9.0,1008.2
2021-04-03,17.8,8.7,27.9,0.0,121.0,9.3,1011.5
2021-04-04,17.6,10.0,26.6,,133.0,6.7,1012.2
2021-04-05,17.6,9.6,27.4,0.0,120.0,6.5,1013.2
2021-04-06,17.9,10.2,26.7,0.0,64.0,5.4,1013.1
2021-04-07,19.7,11.0,28.8,0.0,60.0,5.9,1014.9
2021-04-08,20.0,13.0,30.7,0.0,353.0,9.6,1015.4
2021-04-09,18.7,11.8,29.5,0.0,53.0,10.0,1016.0
2021-04-10,19.5,10.2,30.2,1.0,96.0,8.0,1018.5
2021-04-11,20.7,11.2,31.2,0.0,110.0,7.1,1018.6
2021-04-12,20.3,13.4,28.8,,82.0,8.2,1019.4
2021-04-13,19.6,11.4,30.2,0.0,106.0,6.6,1017.7
2021-04-14,21.0,11.8,30.0,0.0,98.0,6.9,1017.0
2021-04-15,20.9,13.5,31.0,0.0,355.0,11.5,1014.2
2021-04-16,16.4,13.0,26.1,11.9,101.0,6.4,1013.4
2021-04-17,18.1,11.6,28.2,1.3,353.0,8.8,1017.0
2021-04-18,17.9,11.2,29.0,0.3,291.0,10.0,1016.0
2021-04-19,19.2,10.0,28.5,7.4,146.0,6.6,1013.1
2021-04-20,21.1,12.0,31.0,0.0,160.0,7.5,1014.2
2021-04-21,18.2,14.5,22.8,0.0,91.0,7.2,1015.9
2021-04-22,17.6,13.3,26.3,6.6,181.0,9.4,1017.1
2021-04-23,20.1,9.8,29.5,0.0,331.0,8.3,1016.3
2021-04-24,21.8,12.5,31.0,0.0,321.0,12.1,1016.5
2021-04-25,22.4,13.0,32.4,0.0,262.0,8.9,1016.6
2021-04-26,22.8,13.4,31.6,0.0,140.0,9.0,1015.9
2021-04-27,22.4,14.0,32.0,0.0,113.0,8.1,1016.7
2021-04-28,22.8,14.0,31.5,0.0,147.0,8.6,1017.9
2021-04-29,18.3,14.7,30.0,5.3,54.0,6.3,1017.8
