time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,28.9,20.8,38.2,,,,
2021-01-02,27.7,19.0,38.2,0.0,25.0,7.8,1010.2
2021-01-03,27.2,19.5,36.5,0.0,15.0,7.4,1010.4
2021-01-04,27.2,17.6,37.0,0.0,37.0,9.0,1010.6
2021-01-05,28.8,18.5,39.0,0.0,48.0,10.9,1010.9
2021-01-06,29.0,18.4,39.0,0.0,60.0,10.5,1011.2
2021-01-07,29.7,18.4,40.2,0.0,70.0,8.4,1010.8
2021-01-08,28.7,18.5,40.2,0.0,58.0,7.4,1010.1
2021-01-09,29.1,19.8,40.1,0.0,326.0,8.0,1009.8
2021-01-10,26.9,18.9,34.2,0.0,10.0,12.9,1010.8
2021-01-11,25.6,19.8,34.0,0.0,35.0,12.5,1012.0
2021-01-12,25.8,18.6,34.0,0.0,40.0,10.8,1013.0
2021-01-13,28.0,18.5,38.0,0.0,46.0,9.3,1013.1
2021-01-14,27.9,19.0,37.0,0.0,51.0,10.5,1012.5
2021-01-15,27.3,19.0,37.0,0.0,54.0,11.6,1012.1
2021-01-16,25.3,17.6,33.0,0.0,57.0,11.5,1011.5
2021-01-17,25.6,18.4,33.8,0.0,64.0,11.3,1012.2
2021-01-18,26.6,19.0,35.0,0.0,52.0,10.9,1012.6
2021-01-19,25.4,9.2,34.5,0.0,46.0,9.7,1013.0
2021-01-20,27.5,16.7,38.5,0.0,48.0,9.9,1012.0
2021-01-21,28.8,18.9,39.0,0.0,65.0,11.8,1011.9
2021-01-22,27.7,19.9,36.4,0.0,62.0,11.6,1013.3
2021-01-23,26.0,18.5,35.0,0.0,60.0,10.0,1013.1
2021-01-24,25.3,15.9,36.0,0.0,60.0,9.4,1011.9
2021-01-25,25.4,16.5,37.5,0.0,61.0,9.5,1011.4
2021-01-26,26.4,16.2,38.0,0.0,60.0,10.4,1011.7
2021-01-27,26.8,14.9,38.7,0.0,60.0,10.5,1011.6
2021-01-28,26.9,13.0,38.0,0.0,59.0,10.0,1011.3
2021-01-29,26.4,13.0,38.0,0.0,46.0,9.2,1011.8
2021-01-30,26.9,13.5,39.0,0.0,56.0,9.9,1011.7
2021-01-31,26.9,15.6,36.8,0.0,54.0,10.7,1011.8
2021-02-01,27.2,17.0,37.5,0.0,62.0,9.5,1011.6
2021-02-02,28.1,16.4,38.0,0.0,60.0,9.2,1011.3
2021-02-03,27.8,15.5,38.8,0.0,56.0,8.1,1011.3
2021-02-04,28.6,17.5,40.0,0.0,44.0,6.7,1010.0
2021-02-05,27.8,17.5,38.0,0.0,298.0,9.0,1010.6
2021-02-06,26.0,18.4,34.2,0.0,330.0,10.2,1012.6
2021-02-07,26.8,21.1,33.0,0.0,35.0,13.0,1012.3
2021-02-08,25.6,15.5,34.0,0.0,40.0,9.3,1011.8
2021-02-09,28.4,18.0,36.2,0.0,41.0,8.9,1011.2
