time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,30.4,,,,,,
2021-01-02,30.6,22.7,38.0,0.0,52.0,6.7,1009.2
2021-01-03,28.9,22.1,37.5,0.0,23.0,4.6,1009.3
2021-01-04,29.1,21.0,37.2,0.0,65.0,8.6,1009.7
2021-01-05,29.6,21.0,38.0,0.0,60.0,9.6,1009.6
2021-01-06,31.0,19.5,38.0,0.0,78.0,9.2,1010.1
2021-01-07,29.5,20.0,39.0,0.0,76.0,9.2,1010.0
2021-01-08,29.4,23.0,39.3,0.0,326.0,9.1,1009.5
2021-01-09,30.5,23.0,38.0,0.0,298.0,9.7,1009.3
2021-01-10,29.4,22.0,37.0,0.0,349.0,8.4,1009.4
2021-01-11,27.9,20.0,34.2,0.0,52.0,9.9,1010.6
2021-01-12,26.4,20.0,35.0,0.0,63.0,9.4,1011.4
2021-01-13,29.1,20.0,37.0,0.0,57.0,9.5,1011.8
2021-01-14,27.5,20.4,37.6,0.0,66.0,9.3,1010.9
2021-01-15,29.2,17.4,38.0,0.0,88.0,10.9,1010.5
2021-01-16,29.9,17.2,34.0,0.0,87.0,11.3,1009.9
2021-01-17,27.9,16.0,35.4,0.0,79.0,11.8,1010.7
2021-01-18,29.2,16.3,35.6,0.0,86.0,11.2,1011.1
2021-01-19,29.3,16.2,36.0,0.0,74.0,10.8,1011.5
2021-01-20,29.6,18.9,38.5,0.0,79.0,9.5,1010.5
2021-01-21,29.5,19.1,38.6,0.0,69.0,8.8,1010.2
2021-01-22,27.9,19.0,36.5,0.0,76.0,10.1,1011.5
2021-01-23,29.1,18.1,37.0,0.0,78.0,9.8,1011.4
2021-01-24,28.4,16.5,37.0,0.0,80.0,10.5,1010.4
2021-01-25,27.9,18.0,38.5,0.0,87.0,10.5,1010.0
2021-01-26,28.8,19.1,39.0,0.0,77.0,9.4,1010.2
2021-01-27,29.4,18.0,38.6,0.0,75.0,9.5,1010.0
2021-01-28,29.4,18.4,38.5,0.0,68.0,9.9,1009.8
2021-01-29,28.9,19.0,38.2,0.0,61.0,8.5,1010.4
2021-01-30,30.3,20.0,40.0,0.0,97.0,8.1,1010.5
2021-01-31,27.2,19.4,37.5,0.0,92.0,9.8,1010.4
2021-02-01,30.2,19.4,39.0,0.0,68.0,9.6,1009.8
2021-02-02,30.9,19.0,40.0,0.0,67.0,8.3,1010.1
2021-02-03,30.9,20.8,39.5,0.0,89.0,6.6,1010.5
2021-02-04,33.2,21.5,40.5,0.0,245.0,7.6,1009.3
2021-02-05,31.9,24.0,39.0,0.0,305.0,9.8,1010.2
2021-02-06,27.7,21.0,34.5,0.0,348.0,7.2,1011.9
2021-02-07,29.2,22.0,36.0,0.0,52.0,9.4,1010.7
2021-02-08,28.5,20.0,38.0,0.0,71.0,10.0,1010.0
2021-02-09,29.5,21.6,38.6,0.0,52.0,8.9,1009.8
2021-02-10,26.3,22.0,38.8,0.0,57.0,8.9,1009.5
2021-02-11,30.6,22.3,39.4,0.0,41.0,9.0,1009.2
2021-02-12,31.4,21.5,41.0,0.0,31.0,7.2,1008.8
2021-02-13,37.1,24.0,41.7,0.0,23.0,6.7,1007.4
2021-02-14,32.4,23.6,41.0,0.0,279.0,9.3,1006.9
2021-02-15,32.6,21.7,40.6,0.0,312.0,8.9,1007.4
2021-02-16,31.2,22.8,40.0,0.0,306.0,10.3,1007.4
2021-02-17,30.5,25.8,37.6,0.0,347.0,10.6,1008.8
2021-02-18,30.8,23.9,37.5,0.0,61.0,6.6,1010.0
2021-02-19,28.7,26.4,37.6,0.0,357.0,6.6,1011.0
2021-02-20,33.1,27.0,39.5,0.0,41.0,9.3,1011.1
2021-02-21,32.4,26.0,40.0,0.0,37.0,7.5,1010.0
2021-02-22,31.2,24.1,42.0,0.0,78.0,10.5,1009.2
2021-02-23,32.7,22.2,40.0,0.0,78.0,9.6,1010.0
2021-02-24,29.9,22.0,40.0,0.0,69.0,8.5,1010.7
2021-02-25,29.3,19.9,39.0,0.0,77.0,10.2,1010.4
2021-02-26,28.8,19.5,36.1,0.0,61.0,10.3,1010.4
2021-02-27,29.3,22.0,37.0,0.0,56.0,8.3,1009.1
2021-02-28,30.5,22.9,38.6,0.0,70.0,6.8,1007.7
2021-03-01,31.4,23.0,39.0,0.0,13.0,7.8,1007.8
2021-03-02,32.7,24.4,41.6,0.0,64.0,8.9,1007.5
2021-03-03,32.6,23.1,42.6,0.0,31.0,6.9,1007.8
2021-03-04,32.2,26.0,41.4,0.0,321.0,11.4,1007.8
2021-03-05,33.6,24.0,40.6,0.0,55.0,8.1,1007.2
2021-03-06,34.7,25.2,41.2,0.0,290.0,10.4,1008.2
2021-03-07,34.6,26.5,40.0,0.0,288.0,11.8,1009.5
