time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.1,-3.0,2.0,,125.0,16.4,1020.8
2021-01-02,5.1,1.2,7.0,,153.0,30.0,1012.7
2021-01-03,6.8,4.0,7.6,,177.0,42.5,1012.0
2021-01-04,3.5,2.0,7.6,,228.0,32.7,1020.7
2021-01-05,1.6,1.0,3.4,,213.0,13.3,1020.8
2021-01-06,-0.4,-5.0,3.0,,310.0,29.5,1023.0
2021-01-07,-4.4,-6.0,2.0,,98.0,17.9,1027.9
2021-01-08,3.4,-4.0,6.5,,250.0,45.7,1001.9
2021-01-09,-4.4,-7.2,1.0,,331.0,20.1,1015.2
2021-01-10,-6.0,-8.6,0.8,,39.0,12.4,1014.1
2021-01-11,-5.3,-8.0,-1.0,,82.0,10.2,1012.2
2021-01-12,1.4,-5.5,4.0,,100.0,35.1,1010.4
2021-01-13,4.5,2.3,5.7,,130.0,48.9,1001.0
2021-01-14,3.4,2.0,5.5,,158.0,24.8,1007.5
2021-01-15,2.8,1.0,4.3,,75.0,28.0,1005.9
2021-01-16,2.6,1.0,3.5,,313.0,34.8,998.4
2021-01-17,1.7,0.7,3.2,,280.0,29.9,1000.9
2021-01-18,0.8,0.0,1.7,,347.0,30.8,1005.4
2021-01-19,-0.1,-1.1,1.4,,10.0,40.6,1008.8
2021-01-20,-1.5,-4.0,1.7,,24.0,43.0,1011.4
2021-01-21,-0.7,-3.6,0.9,,23.0,41.1,1010.5
2021-01-22,-2.6,-3.0,-1.4,,16.0,39.4,1011.5
2021-01-23,-1.7,-2.6,-0.7,,15.0,44.2,1009.2
2021-01-24,-1.7,-3.0,0.0,,29.0,40.2,1011.4
2021-01-25,-2.2,-3.0,2.2,,65.0,35.8,1013.0
2021-01-26,-2.6,-3.3,-0.7,,74.0,41.9,1012.5
2021-01-27,-0.8,-3.3,0.1,,74.0,37.5,1014.1
2021-01-28,-3.1,-5.6,0.4,,67.0,15.5,1011.2
2021-01-29,-1.1,-6.4,2.7,,98.0,13.1,1010.7
2021-01-30,-1.6,-6.0,2.0,,48.0,18.9,1013.2
2021-01-31,-2.7,-7.0,0.2,,82.0,16.8,1008.0
2021-02-01,-1.9,-3.7,0.0,,98.0,20.3,1006.7
2021-02-02,1.1,-2.0,3.4,,90.0,31.3,1006.0
2021-02-03,2.1,-0.9,4.9,,110.0,36.0,1013.0
2021-02-04,2.4,0.9,3.6,,125.0,40.5,1019.7
2021-02-05,2.9,1.8,4.0,,123.0,38.2,1020.4
2021-02-06,1.7,0.0,3.6,,81.0,28.0,1025.7
2021-02-07,1.0,0.0,2.4,,67.0,25.3,1025.9
2021-02-08,1.1,-1.0,2.4,,65.0,20.8,1025.7
2021-02-09,-0.8,-3.2,1.3,,52.0,17.1,1025.7
2021-02-10,0.7,-2.0,3.0,,119.0,17.0,1019.4
2021-02-11,2.7,1.0,4.0,,117.0,28.2,1016.2
2021-02-12,4.1,3.0,5.0,,100.0,49.7,1013.4
2021-02-13,4.1,2.9,6.1,,102.0,58.3,1003.2
2021-02-14,4.9,2.5,7.4,,87.0,35.2,982.1
2021-02-15,4.1,2.0,7.0,,162.0,23.0,976.6
2021-02-16,3.0,1.0,5.2,,194.0,15.0,984.6
2021-02-17,2.3,1.0,3.4,,321.0,13.8,979.8
2021-02-18,1.8,-0.7,3.1,,2.0,12.9,981.9
2021-02-19,0.1,-1.4,1.3,,44.0,18.0,978.7
2021-02-20,3.3,0.0,7.0,,82.0,25.6,971.7
2021-02-21,1.5,1.0,3.0,,13.0,18.3,977.5
2021-02-22,1.9,0.0,4.0,,49.0,7.3,989.8
2021-02-23,1.6,-1.1,4.0,,43.0,22.9,983.8
2021-02-24,2.2,0.0,4.6,,34.0,15.4,984.6
2021-02-25,2.2,0.0,5.0,,97.0,19.7,997.4
2021-02-26,6.9,3.2,8.1,,162.0,37.2,992.4
2021-02-27,6.6,5.0,8.3,,194.0,50.3,1000.0
2021-02-28,3.1,0.0,6.9,,223.0,49.9,1008.4
2021-03-01,3.7,1.7,5.6,,214.0,22.8,1019.1
2021-03-02,5.2,3.0,7.4,,118.0,13.9,1021.8
2021-03-03,4.9,3.0,6.9,,119.0,28.8,1032.9
